Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,29.0,29.1,28.5,28.65,99326.0,0.0,1.0,29.0,29.1,28.5,28.65,99326.0
2016-11-16,28.35,29.05,28.2793,28.8,135057.0,0.0,1.0,28.35,29.05,28.2793,28.8,135057.0
2016-11-15,28.25,28.85,28.05,28.5,175951.0,0.0,1.0,28.25,28.85,28.05,28.5,175951.0
2016-11-14,28.3,29.65,28.0,28.4,360279.0,0.0,1.0,28.3,29.65,28.0,28.4,360279.0
2016-11-11,27.6,28.1,27.25,27.8,149824.0,0.0,1.0,27.6,28.1,27.25,27.8,149824.0
2016-11-10,26.75,28.6,26.2,27.4,208328.0,0.0,1.0,26.75,28.6,26.2,27.4,208328.0
2016-11-09,25.9,26.8,25.4,26.2,273830.0,0.0,1.0,25.9,26.8,25.4,26.2,273830.0
2016-11-08,25.25,25.7,24.9,25.7,81475.0,0.0,1.0,25.25,25.7,24.9,25.7,81475.0
2016-11-07,25.5,27.4,25.1,25.25,92284.0,0.0,1.0,25.5,27.4,25.1,25.25,92284.0
2016-11-04,24.3,25.1,24.3,24.85,93757.0,0.0,1.0,24.3,25.1,24.3,24.85,93757.0
2016-11-03,24.75,24.95,24.4,24.45,50324.0,0.0,1.0,24.75,24.95,24.4,24.45,50324.0
2016-11-02,25.15,25.225,24.6,24.65,48049.0,0.0,1.0,25.15,25.225,24.6,24.65,48049.0
2016-11-01,25.55,25.9,25.15,25.4,89649.0,0.0,1.0,25.55,25.9,25.15,25.4,89649.0
2016-10-31,26.15,26.15,25.2,25.4,82531.0,0.0,1.0,26.15,26.15,25.2,25.4,82531.0
2016-10-28,26.4,26.8,25.65,26.15,73328.0,0.0,1.0,26.4,26.8,25.65,26.15,73328.0
2016-10-27,27.4,28.3,25.6,26.3,156231.0,0.0,1.0,27.4,28.3,25.6,26.3,156231.0
2016-10-26,24.85,25.35,24.85,24.9,58340.0,0.0,1.0,24.85,25.35,24.85,24.9,58340.0
2016-10-25,25.2,25.2,24.65,25.1,85931.0,0.0,1.0,25.2,25.2,24.65,25.1,85931.0
2016-10-24,25.3,25.45,24.8,25.05,42390.0,0.0,1.0,25.3,25.45,24.8,25.05,42390.0
2016-10-21,24.4,25.2,24.2,25.1,45617.0,0.0,1.0,24.4,25.2,24.2,25.1,45617.0
2016-10-20,24.7,25.1999,24.55,24.75,53208.0,0.0,1.0,24.7,25.1999,24.55,24.75,53208.0
2016-10-19,24.5,24.95,24.35,24.8,49556.0,0.0,1.0,24.5,24.95,24.35,24.8,49556.0
2016-10-18,24.75,24.75,24.25,24.4,48079.0,0.0,1.0,24.75,24.75,24.25,24.4,48079.0
2016-10-17,24.55,24.7,24.1678,24.25,36554.0,0.0,1.0,24.55,24.7,24.1678,24.25,36554.0
2016-10-14,24.25,24.75,23.95,24.6,59699.0,0.0,1.0,24.25,24.75,23.95,24.6,59699.0
2016-10-13,24.2,24.45,23.6,24.05,116461.0,0.0,1.0,24.2,24.45,23.6,24.05,116461.0
2016-10-12,25.25,25.5,24.8,24.85,79921.0,0.0,1.0,25.25,25.5,24.8,24.85,79921.0
2016-10-11,25.65,25.9,25.25,25.3,88015.0,0.0,1.0,25.65,25.9,25.25,25.3,88015.0
2016-10-10,26.15,26.25,25.65,25.8,70906.0,0.0,1.0,26.15,26.25,25.65,25.8,70906.0
2016-10-07,26.23,26.37,25.85,25.99,87857.0,0.0,1.0,26.23,26.37,25.85,25.99,87857.0
2016-10-06,26.37,26.5721,26.16,26.24,41821.0,0.0,1.0,26.37,26.5721,26.16,26.24,41821.0
2016-10-05,26.3,26.63,26.23,26.41,56916.0,0.0,1.0,26.3,26.63,26.23,26.41,56916.0
2016-10-04,26.45,26.54,26.04,26.06,75139.0,0.0,1.0,26.45,26.54,26.04,26.06,75139.0
2016-10-03,26.72,26.78,26.25,26.32,98485.0,0.0,1.0,26.72,26.78,26.25,26.32,98485.0
2016-09-30,26.46,27.09,26.189,26.89,96400.0,0.0,1.0,26.46,27.09,26.189,26.89,96400.0
