Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,5.85,6.6,5.8,6.4,2089236.0,0.0,1.0,5.85,6.6,5.8,6.4,2089236.0
2016-11-16,5.55,5.75,5.3,5.75,1116871.0,0.0,1.0,5.55,5.75,5.3,5.75,1116871.0
2016-11-15,5.2,5.5,5.05,5.5,1674173.0,0.0,1.0,5.2,5.5,5.05,5.5,1674173.0
2016-11-14,4.3,5.1,4.3,5.05,1816553.0,0.0,1.0,4.3,5.1,4.3,5.05,1816553.0
2016-11-11,4.5,4.7,4.15,4.65,1806013.0,0.0,1.0,4.5,4.7,4.15,4.65,1806013.0
2016-11-10,4.1,4.65,3.9,4.4,2601221.0,0.0,1.0,4.1,4.65,3.9,4.4,2601221.0
2016-11-09,3.65,4.15,3.3,3.95,5815011.0,0.0,1.0,3.65,4.15,3.3,3.95,5815011.0
2016-11-08,3.05,3.55,3.05,3.55,5379502.0,0.0,1.0,3.05,3.55,3.05,3.55,5379502.0
2016-11-07,3.4,3.4,3.1,3.15,6785534.0,0.0,1.0,3.4,3.4,3.1,3.15,6785534.0
2016-11-04,3.9,3.95,2.75,3.4,22869853.0,0.0,1.0,3.9,3.95,2.75,3.4,22869853.0
2016-11-03,8.4,8.525,8.1,8.4,638684.0,0.0,1.0,8.4,8.525,8.1,8.4,638684.0
2016-11-02,8.4,8.5,8.15,8.35,632083.0,0.0,1.0,8.4,8.5,8.15,8.35,632083.0
2016-11-01,8.5,8.8,8.0,8.15,1153041.0,0.0,1.0,8.5,8.8,8.0,8.15,1153041.0
2016-10-31,8.35,8.7,8.2,8.45,433359.0,0.0,1.0,8.35,8.7,8.2,8.45,433359.0
2016-10-28,8.44,8.72,8.29,8.43,1008355.0,0.0,1.0,8.44,8.72,8.29,8.43,1008355.0
2016-10-27,9.19,9.19,8.26,8.46,1560837.0,0.0,1.0,9.19,9.19,8.26,8.46,1560837.0
2016-10-26,9.61,9.63,9.19,9.26,376697.0,0.0,1.0,9.61,9.63,9.19,9.26,376697.0
2016-10-25,9.75,9.755,9.4213,9.6,673132.0,0.0,1.0,9.75,9.755,9.4213,9.6,673132.0
2016-10-24,9.81,9.9,9.705,9.75,453330.0,0.0,1.0,9.81,9.9,9.705,9.75,453330.0
2016-10-21,10.06,10.125,9.7,9.74,670221.0,0.0,1.0,10.06,10.125,9.7,9.74,670221.0
2016-10-20,10.4,10.63,9.96,10.22,825400.0,0.0,1.0,10.4,10.63,9.96,10.22,825400.0
2016-10-19,10.52,10.79,10.35,10.41,532513.0,0.0,1.0,10.52,10.79,10.35,10.41,532513.0
2016-10-18,11.03,11.03,10.51,10.53,260696.0,0.0,1.0,11.03,11.03,10.51,10.53,260696.0
2016-10-17,10.83,11.08,10.69,10.7,388473.0,0.0,1.0,10.83,11.08,10.69,10.7,388473.0
2016-10-14,10.7,10.995,10.627,10.95,466877.0,0.0,1.0,10.7,10.995,10.627,10.95,466877.0
2016-10-13,10.62,10.73,10.51,10.71,406486.0,0.0,1.0,10.62,10.73,10.51,10.71,406486.0
2016-10-12,10.79,10.82,10.54,10.75,350582.0,0.0,1.0,10.79,10.82,10.54,10.75,350582.0
2016-10-11,10.87,10.87,10.65,10.75,419080.0,0.0,1.0,10.87,10.87,10.65,10.75,419080.0
2016-10-10,10.59,10.89,10.52,10.87,428708.0,0.0,1.0,10.59,10.89,10.52,10.87,428708.0
2016-10-07,10.87,10.8901,10.395,10.56,1021571.0,0.0,1.0,10.87,10.8901,10.395,10.56,1021571.0
2016-10-06,10.97,11.08,10.85,11.0,344216.0,0.0,1.0,10.97,11.08,10.85,11.0,344216.0
2016-10-05,10.63,11.1,10.62,11.04,568401.0,0.0,1.0,10.63,11.1,10.62,11.04,568401.0
2016-10-04,10.67,10.825,10.56,10.625,291441.0,0.0,1.0,10.67,10.825,10.56,10.625,291441.0
2016-10-03,10.65,10.83,10.32,10.63,463895.0,0.0,1.0,10.65,10.83,10.32,10.63,463895.0
2016-09-30,10.56,10.825,10.42,10.705,727608.0,0.0,1.0,10.56,10.825,10.42,10.705,727608.0
2016-09-29,10.83,10.84,10.44,10.47,1986530.0,0.0,1.0,10.83,10.84,10.44,10.47,1986530.0
2016-09-28,10.84,10.93,10.66,10.87,858197.0,0.0,1.0,10.84,10.93,10.66,10.87,858197.0
2016-09-27,10.94,11.21,10.615,10.8,1270439.0,0.0,1.0,10.94,11.21,10.615,10.8,1270439.0
2016-09-26,11.36,11.5,10.92,10.98,284601.0,0.0,1.0,11.36,11.5,10.92,10.98,284601.0
2016-09-23,11.65,11.8,11.495,11.5,421177.0,0.0,1.0,11.65,11.8,11.495,11.5,421177.0
2016-09-22,11.36,11.78,11.15,11.64,714222.0,0.0,1.0,11.36,11.78,11.15,11.64,714222.0
2016-09-21,11.49,11.59,11.1,11.26,890123.0,0.0,1.0,11.49,11.59,11.1,11.26,890123.0
2016-09-20,11.8,11.83,11.33,11.43,433630.0,0.0,1.0,11.8,11.83,11.33,11.43,433630.0
2016-09-19,11.69,11.79,11.635,11.75,438120.0,0.0,1.0,11.69,11.79,11.635,11.75,438120.0
2016-09-16,11.94,12.09,11.52,11.665,616977.0,0.0,1.0,11.94,12.09,11.52,11.665,616977.0
2016-09-15,11.82,12.16,11.81,11.92,594492.0,0.0,1.0,11.82,12.16,11.81,11.92,594492.0
2016-09-14,12.06,12.4,11.8,11.85,584610.0,0.0,1.0,12.06,12.4,11.8,11.85,584610.0
2016-09-13,12.13,12.31,11.84,12.02,455466.0,0.0,1.0,12.13,12.31,11.84,12.02,455466.0
2016-09-12,12.02,12.25,11.905,12.23,264877.0,0.0,1.0,12.02,12.25,11.905,12.23,264877.0
2016-09-09,12.39,12.62,12.14,12.14,683911.0,0.0,1.0,12.39,12.62,12.14,12.14,683911.0
2016-09-08,12.39,12.57,12.35,12.48,473689.0,0.0,1.0,12.39,12.57,12.35,12.48,473689.0
2016-09-07,12.24,12.54,12.24,12.45,400544.0,0.0,1.0,12.24,12.54,12.24,12.45,400544.0
2016-09-06,12.5,12.57,12.15,12.21,498041.0,0.0,1.0,12.5,12.57,12.15,12.21,498041.0
2016-09-02,12.36,12.6,12.19,12.49,587351.0,0.0,1.0,12.36,12.6,12.19,12.49,587351.0
2016-09-01,12.39,12.559,12.08,12.24,356826.0,0.0,1.0,12.39,12.559,12.08,12.24,356826.0
2016-08-31,12.49,12.66,12.25,12.34,300259.0,0.0,1.0,12.49,12.66,12.25,12.34,300259.0
2016-08-30,12.38,12.71,12.38,12.48,444573.0,0.0,1.0,12.38,12.71,12.38,12.48,444573.0
2016-08-29,12.29,12.8,12.12,12.43,482363.0,0.0,1.0,12.29,12.8,12.12,12.43,482363.0
2016-08-26,12.59,12.7,12.2,12.29,464784.0,0.0,1.0,12.59,12.7,12.2,12.29,464784.0
2016-08-25,12.74,12.9,12.53,12.56,507261.0,0.0,1.0,12.74,12.9,12.53,12.56,507261.0
2016-08-24,13.03,13.03,12.78,12.8,232591.0,0.0,1.0,13.03,13.03,12.78,12.8,232591.0
2016-08-23,13.08,13.3731,12.81,13.03,445575.0,0.0,1.0,13.08,13.3731,12.81,13.03,445575.0
2016-08-22,13.09,13.18,12.86,13.01,284715.0,0.0,1.0,13.09,13.18,12.86,13.01,284715.0
2016-08-19,13.12,13.24,12.91,13.18,352754.0,0.0,1.0,13.12,13.24,12.91,13.18,352754.0
2016-08-18,13.05,13.24,12.97,13.13,304783.0,0.0,1.0,13.05,13.24,12.97,13.13,304783.0
2016-08-17,13.2,13.455,12.86,13.1,438036.0,0.0,1.0,13.2,13.455,12.86,13.1,438036.0
2016-08-16,13.77,13.92,13.23,13.24,415677.0,0.0,1.0,13.77,13.92,13.23,13.24,415677.0
2016-08-15,13.77,13.97,13.73,13.78,383482.0,0.0,1.0,13.77,13.97,13.73,13.78,383482.0
2016-08-12,13.21,13.97,13.13,13.74,549775.0,0.0,1.0,13.21,13.97,13.13,13.74,549775.0
2016-08-11,12.8,13.29,12.75,13.22,549319.0,0.0,1.0,12.8,13.29,12.75,13.22,549319.0
2016-08-10,13.15,13.24,12.77,12.78,462492.0,0.0,1.0,13.15,13.24,12.77,12.78,462492.0
2016-08-09,13.6,13.6,13.17,13.18,579744.0,0.0,1.0,13.6,13.6,13.17,13.18,579744.0
2016-08-08,13.57,14.0,13.53,13.64,770874.0,0.21,1.0,13.57,14.0,13.53,13.64,770874.0
2016-08-05,13.93,14.27,13.811,14.0,582243.0,0.0,1.0,13.71878700361,14.053631768953,13.60159133574,13.787725631769,582243.0
2016-08-04,13.67,14.36,13.51,13.83,788706.0,0.0,1.0,13.462729241877,14.142267148014,13.305155234657,13.620303249097,788706.0
2016-08-03,13.37,13.67,13.04,13.63,631909.0,0.0,1.0,13.167277978339,13.462729241877,12.842281588448,13.423335740072,631909.0
2016-08-02,13.57,13.8099,13.21,13.42,724481.0,0.0,1.0,13.364245487365,13.60050801444,13.009703971119,13.216519855596,724481.0
2016-08-01,12.79,13.96,12.55,13.59,2122197.0,0.0,1.0,12.596072202166,13.748332129964,12.359711191336,13.383942238267,2122197.0
2016-07-29,14.7,14.7,12.38,12.76,5553060.0,0.0,1.0,14.477111913357,14.477111913357,12.192288808664,12.566527075812,5553060.0
2016-07-28,18.18,18.44,17.95,18.19,579643.0,0.0,1.0,17.904346570397,18.16040433213,17.677833935018,17.914194945848,579643.0
2016-07-27,18.639,18.639,18.16,18.17,344323.0,0.0,1.0,18.35638700361,18.35638700361,17.884649819495,17.894498194946,344323.0
2016-07-26,18.21,18.62,18.2,18.3,245487.0,0.0,1.0,17.933891696751,18.337675090253,17.9240433213,18.022527075812,245487.0
2016-07-25,18.15,18.26,18.02,18.23,194943.0,0.0,1.0,17.874801444043,17.983133574007,17.746772563177,17.953588447653,194943.0
2016-07-22,17.97,18.2,17.84,18.15,104040.0,0.0,1.0,17.697530685921,17.9240433213,17.569501805054,17.874801444043,104040.0
