Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,7.32,7.52,7.32,7.48,3079937.0,0.0,1.0,7.32,7.52,7.32,7.48,3079937.0
2016-11-16,7.43,7.53,7.34,7.35,2978594.0,0.0,1.0,7.43,7.53,7.34,7.35,2978594.0
2016-11-15,7.37,7.46,7.31,7.44,2764531.0,0.0,1.0,7.37,7.46,7.31,7.44,2764531.0
2016-11-14,7.34,7.39,7.315,7.37,2121654.0,0.0,1.0,7.34,7.39,7.315,7.37,2121654.0
2016-11-11,7.24,7.385,7.24,7.33,1278218.0,0.0,1.0,7.24,7.385,7.24,7.33,1278218.0
2016-11-10,7.36,7.4,7.26,7.26,2202779.0,0.0,1.0,7.36,7.4,7.26,7.26,2202779.0
2016-11-09,7.27,7.47,7.22,7.37,2343960.0,0.0,1.0,7.27,7.47,7.22,7.37,2343960.0
2016-11-08,7.41,7.48,7.381,7.44,1601527.0,0.0,1.0,7.41,7.48,7.381,7.44,1601527.0
2016-11-07,7.44,7.48,7.38,7.4,1490185.0,0.0,1.0,7.44,7.48,7.38,7.4,1490185.0
2016-11-04,7.34,7.425,7.32,7.38,1785239.0,0.0,1.0,7.34,7.425,7.32,7.38,1785239.0
2016-11-03,7.22,7.355,7.21,7.31,1822309.0,0.0,1.0,7.22,7.355,7.21,7.31,1822309.0
2016-11-02,7.24,7.27,7.17,7.19,1283024.0,0.0,1.0,7.24,7.27,7.17,7.19,1283024.0
2016-11-01,7.32,7.365,7.21,7.22,1623036.0,0.0,1.0,7.32,7.365,7.21,7.22,1623036.0
2016-10-31,7.29,7.35,7.26,7.31,1705214.0,0.0,1.0,7.29,7.35,7.26,7.31,1705214.0
2016-10-28,7.31,7.38,7.25,7.3,944792.0,0.0,1.0,7.31,7.38,7.25,7.3,944792.0
2016-10-27,7.42,7.42,7.31,7.33,1193112.0,0.0,1.0,7.42,7.42,7.31,7.33,1193112.0
2016-10-26,7.46,7.47,7.4,7.42,1270711.0,0.0,1.0,7.46,7.47,7.4,7.42,1270711.0
2016-10-25,7.37,7.46,7.365,7.46,928262.0,0.0,1.0,7.37,7.46,7.365,7.46,928262.0
2016-10-24,7.31,7.37,7.28,7.37,1187780.0,0.0,1.0,7.31,7.37,7.28,7.37,1187780.0
2016-10-21,7.26,7.32,7.23,7.29,1223230.0,0.0,1.0,7.26,7.32,7.23,7.29,1223230.0
2016-10-20,7.3,7.3,7.22,7.27,715584.0,0.0,1.0,7.3,7.3,7.22,7.27,715584.0
2016-10-19,7.3,7.325,7.24,7.28,1432641.0,0.0,1.0,7.3,7.325,7.24,7.28,1432641.0
