Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,10.48,10.83,10.0,10.66,286095.0,0.0,1.0,10.48,10.83,10.0,10.66,286095.0
2016-11-16,10.25,10.58,10.02,10.43,207930.0,0.0,1.0,10.25,10.58,10.02,10.43,207930.0
2016-11-15,9.88,10.44,9.7,10.36,220958.0,0.0,1.0,9.88,10.44,9.7,10.36,220958.0
2016-11-14,10.0,10.126,9.7,9.74,366243.0,0.0,1.0,10.0,10.126,9.7,9.74,366243.0
2016-11-11,9.09,9.68,8.98,9.66,326482.0,0.0,1.0,9.09,9.68,8.98,9.66,326482.0
2016-11-10,8.77,9.24,8.52,9.05,281529.0,0.0,1.0,8.77,9.24,8.52,9.05,281529.0
2016-11-09,7.95,8.89,7.95,8.45,364228.0,0.0,1.0,7.95,8.89,7.95,8.45,364228.0
2016-11-08,7.79,8.2,7.76,8.12,213252.0,0.0,1.0,7.79,8.2,7.76,8.12,213252.0
2016-11-07,7.79,7.9714,7.76,7.85,228937.0,0.0,1.0,7.79,7.9714,7.76,7.85,228937.0
2016-11-04,7.44,7.82,7.44,7.76,153703.0,0.0,1.0,7.44,7.82,7.44,7.76,153703.0
2016-11-03,7.16,7.55,7.16,7.45,140357.0,0.0,1.0,7.16,7.55,7.16,7.45,140357.0
2016-11-02,7.04,7.3,7.04,7.13,84116.0,0.0,1.0,7.04,7.3,7.04,7.13,84116.0
2016-11-01,7.0,7.17,6.93,7.13,153455.0,0.0,1.0,7.0,7.17,6.93,7.13,153455.0
2016-10-31,6.7,7.08,6.63,7.01,99109.0,0.0,1.0,6.7,7.08,6.63,7.01,99109.0
2016-10-28,6.43,6.68,6.3,6.62,128291.0,0.0,1.0,6.43,6.68,6.3,6.62,128291.0
2016-10-27,6.07,6.08,5.91,6.05,69904.0,0.0,1.0,6.07,6.08,5.91,6.05,69904.0
2016-10-26,6.2,6.3,5.83,5.99,127610.0,0.0,1.0,6.2,6.3,5.83,5.99,127610.0
