Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,65.65,66.9,65.65,66.0,419737.0,0.0,1.0,65.65,66.9,65.65,66.0,419737.0
2016-11-16,65.0,66.75,65.0,65.45,277441.0,0.0,1.0,65.0,66.75,65.0,65.45,277441.0
2016-11-15,65.6,66.5,64.85,65.0,316000.0,0.0,1.0,65.6,66.5,64.85,65.0,316000.0
2016-11-14,65.45,68.145,65.1,65.45,365206.0,0.0,1.0,65.45,68.145,65.1,65.45,365206.0
2016-11-11,64.85,66.25,64.4,64.8,299723.0,0.0,1.0,64.85,66.25,64.4,64.8,299723.0
2016-11-10,62.55,65.9,62.5,64.65,363007.0,0.0,1.0,62.55,65.9,62.5,64.65,363007.0
2016-11-09,56.5,62.35,53.86,61.9,366634.0,0.0,1.0,56.5,62.35,53.86,61.9,366634.0
2016-11-08,51.7,53.0,51.7,52.55,155085.0,0.0,1.0,51.7,53.0,51.7,52.55,155085.0
2016-11-07,50.75,52.05,50.75,51.75,142549.0,0.0,1.0,50.75,52.05,50.75,51.75,142549.0
2016-11-04,50.1,50.85,49.9,49.9,142398.0,0.0,1.0,50.1,50.85,49.9,49.9,142398.0
2016-11-03,50.6,51.1,49.85,49.9,95134.0,0.0,1.0,50.6,51.1,49.85,49.9,95134.0
2016-11-02,49.8,51.2,49.5,50.55,138879.0,0.0,1.0,49.8,51.2,49.5,50.55,138879.0
2016-11-01,51.45,52.15,49.75,50.0,174616.0,0.0,1.0,51.45,52.15,49.75,50.0,174616.0
2016-10-31,52.2,52.4019,50.55,51.45,199160.0,0.0,1.0,52.2,52.4019,50.55,51.45,199160.0
2016-10-28,52.49,53.875,51.515,51.72,134431.0,0.0,1.0,52.49,53.875,51.515,51.72,134431.0
2016-10-27,53.53,53.53,52.53,52.55,106162.0,0.0,1.0,53.53,53.53,52.53,52.55,106162.0
2016-10-26,53.94,54.7,53.01,53.43,117230.0,0.0,1.0,53.94,54.7,53.01,53.43,117230.0
2016-10-25,54.39,55.75,54.17,54.19,78718.0,0.0,1.0,54.39,55.75,54.17,54.19,78718.0
2016-10-24,55.4,55.5,54.23,54.42,149394.0,0.0,1.0,55.4,55.5,54.23,54.42,149394.0
2016-10-21,55.02,55.39,54.41,55.28,124639.0,0.0,1.0,55.02,55.39,54.41,55.28,124639.0
2016-10-20,55.22,55.54,54.68,55.44,193414.0,0.0,1.0,55.22,55.54,54.68,55.44,193414.0
2016-10-19,55.48,55.48,54.52,55.18,98978.0,0.0,1.0,55.48,55.48,54.52,55.18,98978.0
2016-10-18,54.54,55.86,54.54,55.32,232990.0,0.0,1.0,54.54,55.86,54.54,55.32,232990.0
2016-10-17,53.66,54.17,53.16,54.0,149347.0,0.0,1.0,53.66,54.17,53.16,54.0,149347.0
2016-10-14,53.81,54.21,53.43,53.53,99677.0,0.0,1.0,53.81,54.21,53.43,53.53,99677.0
2016-10-13,53.39,54.39,53.23,53.38,139898.0,0.0,1.0,53.39,54.39,53.23,53.38,139898.0
2016-10-12,54.58,55.515,51.43,53.91,153387.0,0.0,1.0,54.58,55.515,51.43,53.91,153387.0
2016-10-11,55.18,55.46,53.98,54.4,214892.0,0.0,1.0,55.18,55.46,53.98,54.4,214892.0
2016-10-10,54.43,55.37,54.35,55.24,164237.0,0.0,1.0,54.43,55.37,54.35,55.24,164237.0
2016-10-07,54.12,54.6492,54.08,54.48,167859.0,0.0,1.0,54.12,54.6492,54.08,54.48,167859.0
2016-10-06,53.4,54.245,53.28,54.11,214878.0,0.0,1.0,53.4,54.245,53.28,54.11,214878.0
2016-10-05,52.77,53.66,52.63,53.5,126399.0,0.0,1.0,52.77,53.66,52.63,53.5,126399.0
2016-10-04,53.35,53.55,52.15,52.56,161655.0,0.0,1.0,53.35,53.55,52.15,52.56,161655.0
2016-10-03,53.73,53.76,53.15,53.17,161786.0,0.0,1.0,53.73,53.76,53.15,53.17,161786.0
2016-09-30,54.17,54.17,53.18,53.73,162369.0,0.0,1.0,54.17,54.17,53.18,53.73,162369.0
2016-09-29,54.23,54.56,53.74,53.92,105752.0,0.0,1.0,54.23,54.56,53.74,53.92,105752.0
2016-09-28,54.14,54.682,53.86,54.36,122575.0,0.0,1.0,54.14,54.682,53.86,54.36,122575.0
2016-09-27,54.23,54.52,53.79,54.19,117549.0,0.0,1.0,54.23,54.52,53.79,54.19,117549.0
2016-09-26,53.15,54.67,52.73,54.15,228337.0,0.0,1.0,53.15,54.67,52.73,54.15,228337.0
2016-09-23,54.74,55.54,53.53,53.53,124211.0,0.0,1.0,54.74,55.54,53.53,53.53,124211.0
2016-09-22,54.31,55.36,54.22,54.84,168581.0,0.0,1.0,54.31,55.36,54.22,54.84,168581.0
2016-09-21,53.48,54.28,53.37,53.91,226467.0,0.0,1.0,53.48,54.28,53.37,53.91,226467.0
2016-09-20,54.07,54.29,53.29,53.3,199231.0,0.0,1.0,54.07,54.29,53.29,53.3,199231.0
2016-09-19,53.67,54.57,53.605,53.73,217970.0,0.0,1.0,53.67,54.57,53.605,53.73,217970.0
2016-09-16,53.26,54.19,53.24,53.85,258857.0,0.0,1.0,53.26,54.19,53.24,53.85,258857.0
2016-09-15,52.43,53.57,52.01,53.45,205289.0,0.0,1.0,52.43,53.57,52.01,53.45,205289.0
2016-09-14,53.42,53.46,52.32,52.34,207986.0,0.0,1.0,53.42,53.46,52.32,52.34,207986.0
2016-09-13,54.23,54.26,53.15,53.19,201777.0,0.0,1.0,54.23,54.26,53.15,53.19,201777.0
2016-09-12,54.01,54.53,53.67,54.24,265657.0,0.0,1.0,54.01,54.53,53.67,54.24,265657.0
2016-09-09,54.66,55.08,54.02,54.03,198464.0,0.0,1.0,54.66,55.08,54.02,54.03,198464.0
2016-09-08,55.03,55.27,54.52,55.09,152807.0,0.0,1.0,55.03,55.27,54.52,55.09,152807.0
2016-09-07,54.51,55.33,54.05,55.13,315551.0,0.0,1.0,54.51,55.33,54.05,55.13,315551.0
2016-09-06,55.78,55.78,54.58,54.68,284416.0,0.0,1.0,55.78,55.78,54.58,54.68,284416.0
2016-09-02,55.09,55.87,54.73,55.75,243723.0,0.0,1.0,55.09,55.87,54.73,55.75,243723.0
2016-09-01,57.06,57.285,55.08,55.12,377171.0,0.0,1.0,57.06,57.285,55.08,55.12,377171.0
2016-08-31,57.02,57.47,56.56,57.12,182931.0,0.0,1.0,57.02,57.47,56.56,57.12,182931.0
2016-08-30,56.54,57.19,56.3901,56.92,188806.0,0.0,1.0,56.54,57.19,56.3901,56.92,188806.0
2016-08-29,56.3,56.95,55.22,56.63,168812.0,0.0,1.0,56.3,56.95,55.22,56.63,168812.0
2016-08-26,57.44,57.62,55.87,56.18,214487.0,0.0,1.0,57.44,57.62,55.87,56.18,214487.0
2016-08-25,57.07,58.39,57.06,57.24,203168.0,0.0,1.0,57.07,58.39,57.06,57.24,203168.0
2016-08-24,58.03,58.53,57.09,57.3,179927.0,0.0,1.0,58.03,58.53,57.09,57.3,179927.0
2016-08-23,58.15,58.1805,56.706,57.85,170175.0,0.0,1.0,58.15,58.1805,56.706,57.85,170175.0
2016-08-22,58.61,58.89,57.11,57.96,159912.0,0.0,1.0,58.61,58.89,57.11,57.96,159912.0
2016-08-19,58.07,58.85,58.0,58.53,217190.0,0.0,1.0,58.07,58.85,58.0,58.53,217190.0
2016-08-18,57.79,58.9374,57.67,58.47,201739.0,0.0,1.0,57.79,58.9374,57.67,58.47,201739.0
2016-08-17,58.12,58.12,56.745,57.75,247114.0,0.0,1.0,58.12,58.12,56.745,57.75,247114.0
2016-08-16,58.86,59.3699,57.87,57.89,251201.0,0.0,1.0,58.86,59.3699,57.87,57.89,251201.0
2016-08-15,58.91,59.64,58.31,59.35,300957.0,0.0,1.0,58.91,59.64,58.31,59.35,300957.0
2016-08-12,58.15,59.12,58.15,59.03,250026.0,0.0,1.0,58.15,59.12,58.15,59.03,250026.0
2016-08-11,58.65,58.86,58.32,58.61,204012.0,0.0,1.0,58.65,58.86,58.32,58.61,204012.0
2016-08-10,58.46,58.8,58.095,58.41,232424.0,0.0,1.0,58.46,58.8,58.095,58.41,232424.0
2016-08-09,58.99,59.0625,58.53,58.55,188022.0,0.0,1.0,58.99,59.0625,58.53,58.55,188022.0
2016-08-08,59.06,59.76,58.65,58.76,205079.0,0.0,1.0,59.06,59.76,58.65,58.76,205079.0
2016-08-05,59.22,60.26,58.01,59.26,232466.0,0.0,1.0,59.22,60.26,58.01,59.26,232466.0
2016-08-04,60.95,61.34,58.847,59.1,216410.0,0.0,1.0,60.95,61.34,58.847,59.1,216410.0
2016-08-03,62.69,63.0,60.87,61.15,370247.0,0.0,1.0,62.69,63.0,60.87,61.15,370247.0
2016-08-02,65.35,66.39,61.72,62.62,560439.0,0.0,1.0,65.35,66.39,61.72,62.62,560439.0
2016-08-01,68.66,69.205,65.42,65.72,439106.0,0.0,1.0,68.66,69.205,65.42,65.72,439106.0
2016-07-29,72.15,72.31,68.015,68.47,271836.0,0.0,1.0,72.15,72.31,68.015,68.47,271836.0
2016-07-28,71.04,71.79,68.48,71.14,216002.0,0.0,1.0,71.04,71.79,68.48,71.14,216002.0
2016-07-27,71.01,71.46,70.55,71.25,130914.0,0.0,1.0,71.01,71.46,70.55,71.25,130914.0
2016-07-26,70.9,71.566,70.51,71.2,129606.0,0.0,1.0,70.9,71.566,70.51,71.2,129606.0
2016-07-25,71.37,71.37,70.35,70.85,106214.0,0.0,1.0,71.37,71.37,70.35,70.85,106214.0
2016-07-22,70.35,71.41,69.68,71.23,207589.0,0.0,1.0,70.35,71.41,69.68,71.23,207589.0
2016-07-21,68.79,70.76,68.72,70.22,186824.0,0.0,1.0,68.79,70.76,68.72,70.22,186824.0
2016-07-20,68.16,69.285,68.0,68.91,158420.0,0.0,1.0,68.16,69.285,68.0,68.91,158420.0
2016-07-19,68.3,68.725,67.03,68.12,176907.0,0.0,1.0,68.3,68.725,67.03,68.12,176907.0
2016-07-18,68.99,69.305,68.27,68.88,136087.0,0.0,1.0,68.99,69.305,68.27,68.88,136087.0
2016-07-15,69.45,69.77,68.29,68.735,164731.0,0.0,1.0,69.45,69.77,68.29,68.735,164731.0
2016-07-14,69.32,69.88,68.59,69.03,237580.0,0.0,1.0,69.32,69.88,68.59,69.03,237580.0
2016-07-13,67.88,69.02,67.63,68.86,151257.0,0.0,1.0,67.88,69.02,67.63,68.86,151257.0
2016-07-12,67.65,68.16,67.35,67.7,224110.0,0.0,1.0,67.65,68.16,67.35,67.7,224110.0
