Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,16.25,16.6,16.225,16.55,485780.0,0.0,1.0,16.25,16.6,16.225,16.55,485780.0
2016-11-16,16.2,16.375,16.1,16.3,604960.0,0.0,1.0,16.2,16.375,16.1,16.3,604960.0
2016-11-15,16.25,16.35,16.1,16.2,747176.0,0.0,1.0,16.25,16.35,16.1,16.2,747176.0
2016-11-14,16.0,16.6,15.95,16.25,997199.0,0.0,1.0,16.0,16.6,15.95,16.25,997199.0
2016-11-11,14.95,15.85,14.75,15.8,808596.0,0.0,1.0,14.95,15.85,14.75,15.8,808596.0
2016-11-10,14.75,15.325,14.15,14.95,830490.0,0.0,1.0,14.75,15.325,14.15,14.95,830490.0
2016-11-09,13.95,14.7,13.9,14.7,490289.0,0.0,1.0,13.95,14.7,13.9,14.7,490289.0
2016-11-08,13.75,14.0,13.7,14.0,202576.0,0.0,1.0,13.75,14.0,13.7,14.0,202576.0
2016-11-07,13.95,14.0,13.5,13.85,536001.0,0.0,1.0,13.95,14.0,13.5,13.85,536001.0
2016-11-04,13.6,13.8,13.4,13.75,432631.0,0.0,1.0,13.6,13.8,13.4,13.75,432631.0
2016-11-03,13.2,13.6,13.2,13.5,340853.0,0.0,1.0,13.2,13.6,13.2,13.5,340853.0
2016-11-02,13.5,13.55,13.35,13.45,302087.0,0.0,1.0,13.5,13.55,13.35,13.45,302087.0
2016-11-01,13.55,13.9,13.35,13.45,290244.0,0.0,1.0,13.55,13.9,13.35,13.45,290244.0
2016-10-31,13.55,13.65,13.45,13.65,270354.0,0.0,1.0,13.55,13.65,13.45,13.65,270354.0
2016-10-28,13.4,13.65,13.4,13.55,197982.0,0.0,1.0,13.4,13.65,13.4,13.55,197982.0
2016-10-27,13.8,13.85,13.45,13.45,246018.0,0.0,1.0,13.8,13.85,13.45,13.45,246018.0
2016-10-26,13.7,13.9,13.7,13.8,316800.0,0.0,1.0,13.7,13.9,13.7,13.8,316800.0
