Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,25.1,25.45,25.1,25.35,13152.0,0.0,1.0,25.1,25.45,25.1,25.35,13152.0
2016-11-16,24.55,25.05,24.45,25.0,26350.0,0.0,1.0,24.55,25.05,24.45,25.0,26350.0
2016-11-15,25.0,25.0,24.25,24.75,15870.0,0.0,1.0,25.0,25.0,24.25,24.75,15870.0
2016-11-14,25.95,26.0,24.6,25.2,67940.0,0.0,1.0,25.95,26.0,24.6,25.2,67940.0
2016-11-11,23.75,25.75,23.75,25.7,50155.0,0.0,1.0,23.75,25.75,23.75,25.7,50155.0
2016-11-10,24.0,25.4,23.5,23.85,73683.0,0.0,1.0,24.0,25.4,23.5,23.85,73683.0
2016-11-09,21.8,23.1,21.65,23.1,28224.0,0.0,1.0,21.8,23.1,21.65,23.1,28224.0
2016-11-08,21.95,22.25,21.75,21.85,19104.0,0.0,1.0,21.95,22.25,21.75,21.85,19104.0
2016-11-07,21.9,22.2,21.6,22.15,16399.0,0.0,1.0,21.9,22.2,21.6,22.15,16399.0
2016-11-04,21.55,21.75,21.55,21.65,19700.0,0.0,1.0,21.55,21.75,21.55,21.65,19700.0
2016-11-03,21.7,21.75,21.65,21.65,19199.0,0.0,1.0,21.7,21.75,21.65,21.65,19199.0
2016-11-02,21.75,21.75,21.55,21.55,15069.0,0.0,1.0,21.75,21.75,21.55,21.55,15069.0
2016-11-01,21.8,21.85,21.6,21.6,18088.0,0.0,1.0,21.8,21.85,21.6,21.6,18088.0
2016-10-31,22.0,22.05,21.8,21.95,16776.0,0.0,1.0,22.0,22.05,21.8,21.95,16776.0
2016-10-28,21.8,22.0,21.8,21.95,12704.0,0.0,1.0,21.8,22.0,21.8,21.95,12704.0
2016-10-27,21.95,21.95,21.6,21.85,13443.0,0.0,1.0,21.95,21.95,21.6,21.85,13443.0
2016-10-26,21.95,22.075,21.85,21.95,11171.0,0.0,1.0,21.95,22.075,21.85,21.95,11171.0
2016-10-25,22.0,22.245,21.78,22.1,10560.0,0.0,1.0,22.0,22.245,21.78,22.1,10560.0
2016-10-24,22.4,22.4,21.95,22.15,8510.0,0.0,1.0,22.4,22.4,21.95,22.15,8510.0
2016-10-21,22.0,22.35,21.8,22.2,8582.0,0.0,1.0,22.0,22.35,21.8,22.2,8582.0
2016-10-20,22.3,22.35,22.15,22.25,8516.0,0.0,1.0,22.3,22.35,22.15,22.25,8516.0
2016-10-19,21.85,22.445,21.85,22.2,8779.0,0.0,1.0,21.85,22.445,21.85,22.2,8779.0
2016-10-18,21.85,21.95,21.75,21.9,10412.0,0.0,1.0,21.85,21.95,21.75,21.9,10412.0
2016-10-17,21.65,21.95,21.6,21.75,9218.0,0.0,1.0,21.65,21.95,21.6,21.75,9218.0
2016-10-14,21.89,21.89,21.6,21.63,22802.0,0.0,1.0,21.89,21.89,21.6,21.63,22802.0
2016-10-13,21.75,22.11,21.64,21.7,15851.0,0.0,1.0,21.75,22.11,21.64,21.7,15851.0
2016-10-12,21.84,22.0,21.7,21.89,13654.0,0.0,1.0,21.84,22.0,21.7,21.89,13654.0
2016-10-11,22.13,22.13,21.8,21.8,12446.0,0.0,1.0,22.13,22.13,21.8,21.8,12446.0
2016-10-10,22.0,22.1,21.95,22.09,8984.0,0.0,1.0,22.0,22.1,21.95,22.09,8984.0
2016-10-07,22.05,22.05,21.8,21.94,14130.0,0.0,1.0,22.05,22.05,21.8,21.94,14130.0
2016-10-06,22.36,22.36,22.01,22.1,4608.0,0.0,1.0,22.36,22.36,22.01,22.1,4608.0
2016-10-05,22.311,22.48,22.14,22.29,6652.0,0.0,1.0,22.311,22.48,22.14,22.29,6652.0
2016-10-04,22.36,22.36,22.01,22.23,10459.0,0.0,1.0,22.36,22.36,22.01,22.23,10459.0
2016-10-03,22.72,22.72,22.03,22.18,14250.0,0.0,1.0,22.72,22.72,22.03,22.18,14250.0
2016-09-30,22.7,22.93,22.5419,22.79,21742.0,0.0,1.0,22.7,22.93,22.5419,22.79,21742.0
2016-09-29,22.77,23.02,22.58,22.67,15967.0,0.0,1.0,22.77,23.02,22.58,22.67,15967.0
2016-09-28,22.32,22.85,22.32,22.73,10725.0,0.0,1.0,22.32,22.85,22.32,22.73,10725.0
2016-09-27,22.46,22.7,22.23,22.42,21599.0,0.0,1.0,22.46,22.7,22.23,22.42,21599.0
2016-09-26,22.61,22.775,22.49,22.49,14746.0,0.0,1.0,22.61,22.775,22.49,22.49,14746.0
2016-09-23,22.67,22.68,22.59,22.65,10648.0,0.0,1.0,22.67,22.68,22.59,22.65,10648.0
2016-09-22,22.3,22.79,22.3,22.71,12330.0,0.0,1.0,22.3,22.79,22.3,22.71,12330.0
2016-09-21,21.97,22.41,21.81,22.25,13426.0,0.0,1.0,21.97,22.41,21.81,22.25,13426.0
2016-09-20,21.95,22.033,21.61,21.85,41627.0,0.0,1.0,21.95,22.033,21.61,21.85,41627.0
2016-09-19,21.85,22.095,21.585,21.83,18999.0,0.0,1.0,21.85,22.095,21.585,21.83,18999.0
2016-09-16,21.27,21.98,20.881,21.93,58734.0,0.0,1.0,21.27,21.98,20.881,21.93,58734.0
2016-09-15,21.0813,21.35,20.861,21.22,7725.0,0.0,1.0,21.0813,21.35,20.861,21.22,7725.0
2016-09-14,21.02,21.25,20.8419,21.08,17679.0,0.0,1.0,21.02,21.25,20.8419,21.08,17679.0
2016-09-13,21.42,21.46,20.98,21.05,15529.0,0.0,1.0,21.42,21.46,20.98,21.05,15529.0
2016-09-12,21.45,21.571,21.39,21.45,7801.0,0.0,1.0,21.45,21.571,21.39,21.45,7801.0
2016-09-09,21.72,21.81,21.46,21.48,14170.0,0.0,1.0,21.72,21.81,21.46,21.48,14170.0
2016-09-08,21.88,22.05,21.46,21.99,16618.0,0.17,1.0,21.88,22.05,21.46,21.99,16618.0
2016-09-07,22.0628,22.27,21.92,22.11,13127.0,0.0,1.0,21.89354566787,22.099156137184,21.751841155235,21.940383574007,13127.0
2016-09-06,22.18,22.18,21.93,22.04,8166.0,0.0,1.0,22.009846570397,22.009846570397,21.761764440433,21.870920577617,8166.0
2016-09-02,21.99,22.15,21.9735,22.09,14669.0,0.0,1.0,21.821304151625,21.980076714801,21.804930731047,21.92053700361,14669.0
2016-09-01,22.19,22.19,21.67,22.0,7579.0,0.0,1.0,22.019769855596,22.019769855596,21.503759025271,21.831227436823,7579.0
