Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,62.66,62.97,62.46,62.81,6536316.0,0.0,1.0,62.66,62.97,62.46,62.81,6536316.0
2016-11-16,61.79,62.71,61.74,62.66,7631675.0,0.0,1.0,61.79,62.71,61.74,62.66,7631675.0
2016-11-15,61.02,61.82,61.02,61.81,8290845.0,0.0,1.0,61.02,61.82,61.02,61.81,8290845.0
2016-11-14,61.39,61.78,61.0263,61.19,8862599.0,0.0,1.0,61.39,61.78,61.0263,61.19,8862599.0
2016-11-11,61.94,62.255,61.6,61.76,7434809.0,0.0,1.0,61.94,62.255,61.6,61.76,7434809.0
2016-11-10,63.32,63.42,60.93,61.72,15217987.0,0.0,1.0,63.32,63.42,60.93,61.72,15217987.0
2016-11-09,64.14,64.34,62.63,64.04,11115164.0,0.0,1.0,64.14,64.34,62.63,64.04,11115164.0
2016-11-08,65.29,66.2,65.185,65.84,6376365.0,0.0,1.0,65.29,66.2,65.185,65.84,6376365.0
2016-11-07,64.6,65.395,64.6,65.27,7204993.0,0.0,1.0,64.6,65.395,64.6,65.27,7204993.0
2016-11-04,64.88,65.17,64.31,64.38,5908553.0,0.0,1.0,64.88,65.17,64.31,64.38,5908553.0
2016-11-03,65.09,65.3116,64.39,65.07,7958337.0,0.0,1.0,65.09,65.3116,64.39,65.07,7958337.0
2016-11-02,65.28,65.81,65.11,65.12,4697703.0,0.0,1.0,65.28,65.81,65.11,65.12,4697703.0
2016-11-01,66.19,66.25,65.4,65.48,6088437.0,0.0,1.0,66.19,66.25,65.4,65.48,6088437.0
2016-10-31,65.87,66.22,65.66,66.12,5975026.0,0.0,1.0,65.87,66.22,65.66,66.12,5975026.0
2016-10-28,64.86,66.1,64.78,65.88,9101306.0,0.0,1.0,64.86,66.1,64.78,65.88,9101306.0
2016-10-27,64.06,65.34,64.03,64.43,5665470.0,0.0,1.0,64.06,65.34,64.03,64.43,5665470.0
2016-10-26,64.56,64.7399,64.23,64.52,4596453.0,0.0,1.0,64.56,64.7399,64.23,64.52,4596453.0
2016-10-25,65.04,65.1,64.5744,64.71,4927551.0,0.0,1.0,65.04,65.1,64.5744,64.71,4927551.0
2016-10-24,63.87,65.3,63.79,64.95,10676753.0,0.0,1.0,63.87,65.3,63.79,64.95,10676753.0
2016-10-21,63.81,64.34,63.36,63.7,14789502.0,0.0,1.0,63.81,64.34,63.36,63.7,14789502.0
2016-10-20,61.85,62.04,61.61,61.85,5097882.0,0.0,1.0,61.85,62.04,61.61,61.85,5097882.0
2016-10-19,62.26,62.3,61.44,61.91,6332904.0,0.0,1.0,62.26,62.3,61.44,61.91,6332904.0
2016-10-18,62.78,63.1,62.54,62.66,3575815.0,0.0,1.0,62.78,63.1,62.54,62.66,3575815.0
2016-10-17,62.44,62.8,62.34,62.43,3926780.0,0.0,1.0,62.44,62.8,62.34,62.43,3926780.0
2016-10-14,62.66,62.73,62.29,62.44,4701373.0,0.0,1.0,62.66,62.73,62.29,62.44,4701373.0
2016-10-13,62.46,62.985,62.15,62.69,4898145.0,0.0,1.0,62.46,62.985,62.15,62.69,4898145.0
2016-10-12,62.2,62.745,61.86,62.54,5006074.0,0.0,1.0,62.2,62.745,61.86,62.54,5006074.0
2016-10-11,62.52,62.55,61.6,61.99,6942222.0,0.0,1.0,62.52,62.55,61.6,61.99,6942222.0
2016-10-10,62.18,62.42,61.65,61.75,5277393.0,0.0,1.0,62.18,62.42,61.65,61.75,5277393.0
2016-10-07,62.08,62.33,61.51,61.92,6304369.0,0.0,1.0,62.08,62.33,61.51,61.92,6304369.0
2016-10-06,61.0,61.8,60.85,61.78,6183626.0,0.0,1.0,61.0,61.8,60.85,61.78,6183626.0
2016-10-05,61.58,61.76,60.82,61.22,9915700.0,0.0,1.0,61.58,61.76,60.82,61.22,9915700.0
2016-10-04,62.7,62.8,61.51,61.78,7855143.0,0.0,1.0,62.7,62.8,61.51,61.78,7855143.0
2016-10-03,63.04,63.18,62.57,62.85,5088611.0,0.0,1.0,63.04,63.18,62.57,62.85,5088611.0
2016-09-30,63.09,63.55,62.895,63.23,6331453.0,0.0,1.0,63.09,63.55,62.895,63.23,6331453.0
2016-09-29,63.52,63.59,62.81,62.82,5133050.0,0.0,1.0,63.52,63.59,62.81,62.82,5133050.0
2016-09-28,63.52,63.9,63.36,63.77,6979240.0,0.0,1.0,63.52,63.9,63.36,63.77,6979240.0
2016-09-27,63.28,63.43,62.79,63.32,4477687.0,0.0,1.0,63.28,63.43,62.79,63.32,4477687.0
2016-09-26,63.83,63.88,62.98,63.03,4716610.0,0.0,1.0,63.83,63.88,62.98,63.03,4716610.0
2016-09-23,64.37,64.39,63.71,63.87,4399871.0,0.0,1.0,64.37,64.39,63.71,63.87,4399871.0
2016-09-22,63.75,64.32,63.71,64.12,4577142.0,0.0,1.0,63.75,64.32,63.71,64.12,4577142.0
2016-09-21,62.83,63.63,62.6,63.5,4933201.0,0.0,1.0,62.83,63.63,62.6,63.5,4933201.0
2016-09-20,62.8,63.215,62.7,62.97,4118815.0,0.0,1.0,62.8,63.215,62.7,62.97,4118815.0
2016-09-19,62.82,63.0,62.6,62.72,3537593.0,0.0,1.0,62.82,63.0,62.6,62.72,3537593.0
2016-09-16,63.02,63.07,62.46,62.8,6805738.0,0.0,1.0,63.02,63.07,62.46,62.8,6805738.0
2016-09-15,62.92,63.38,62.59,63.25,5748059.0,0.0,1.0,62.92,63.38,62.59,63.25,5748059.0
2016-09-14,63.58,63.77,62.821,63.12,6684249.0,0.0,1.0,63.58,63.77,62.821,63.12,6684249.0
2016-09-13,64.21,64.48,63.47,63.55,6412177.0,0.61,1.0,64.21,64.48,63.47,63.55,6412177.0
2016-09-12,63.52,64.81,63.51,64.67,8491779.0,0.0,1.0,62.91608478803,64.193820137157,62.906179862843,64.055151184539,8491779.0
2016-09-09,66.06,66.085,63.56,63.56,10308166.0,0.0,1.0,65.431935785536,65.456698098504,62.955704488778,62.955704488778,10308166.0
2016-09-08,66.84,67.08,66.17,66.4,4676681.0,0.0,1.0,66.204519950125,66.442238154613,65.540889962594,65.768703241895,4676681.0
2016-09-07,67.12,67.31,66.5,66.72,4252059.0,0.0,1.0,66.481857855362,66.670051433915,65.867752493766,66.08566084788,4252059.0
2016-09-06,66.89,67.32,66.745,67.2,4351066.0,0.0,1.0,66.25404457606,66.679956359102,66.110423160848,66.561097256858,4351066.0
2016-09-02,66.61,67.23,66.45,66.88,4315201.0,0.0,1.0,65.976706670823,66.590812032419,65.81822786783,66.244139650873,4315201.0
2016-09-01,65.91,66.34,65.73,66.32,4500469.0,0.0,1.0,65.283361907731,65.709273690773,65.105073254364,65.689463840399,4500469.0
2016-08-31,65.71,66.13,65.7,66.09,4788450.0,0.0,1.0,65.08526340399,65.501270261845,65.075358478803,65.461650561097,4788450.0
2016-08-30,66.12,66.24,65.76,65.88,3847429.0,0.0,1.0,65.491365336658,65.610224438903,65.134788029925,65.25364713217,3847429.0
2016-08-29,65.83,66.135,65.72,66.1,3574378.0,0.0,1.0,65.204122506234,65.506222724439,65.095168329177,65.471555486284,3574378.0
2016-08-26,65.97,66.58,65.72,65.83,5130431.0,0.0,1.0,65.342791458853,65.946991895262,65.095168329177,65.204122506234,5130431.0
2016-08-25,66.25,66.31,65.7,65.92,4735460.0,0.0,1.0,65.62012936409,65.679558915212,65.075358478803,65.293266832918,4735460.0
2016-08-24,66.28,66.37,65.81,66.16,5163776.0,0.0,1.0,65.649844139651,65.738988466334,65.18431265586,65.530985037406,5163776.0
2016-08-23,66.58,66.71,66.38,66.46,3071161.0,0.0,1.0,65.946991895262,66.075755922693,65.748893391521,65.828132793017,3071161.0
2016-08-22,66.39,66.47,66.09,66.34,2958847.0,0.0,1.0,65.758798316708,65.838037718204,65.461650561097,65.709273690773,2958847.0
2016-08-19,66.4,66.57,65.93,66.33,3264744.0,0.0,1.0,65.768703241895,65.937086970075,65.303171758105,65.699368765586,3264744.0
2016-08-18,66.46,66.57,66.1075,66.31,4152784.0,0.0,1.0,65.828132793017,65.937086970075,65.478984180175,65.679558915212,4152784.0
2016-08-17,66.42,66.68,65.88,66.46,4720865.0,0.0,1.0,65.788513092269,66.046041147132,65.25364713217,65.828132793017,4720865.0
2016-08-16,66.08,66.498,66.01,66.26,4864109.0,0.0,1.0,65.45174563591,65.865771508728,65.382411159601,65.630034289277,4864109.0
2016-08-15,66.67,66.69,66.25,66.26,4039866.0,0.0,1.0,66.036136221945,66.055946072319,65.62012936409,65.630034289277,4039866.0
2016-08-12,66.95,67.13,66.675,66.74,4174707.0,0.0,1.0,66.313474127182,66.491762780549,66.041088684539,66.105470698254,4174707.0
