Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-03-04,6.17,6.17,6.17,6.17,0.0,0.0,1.0,6.17,6.17,6.17,6.17,0.0
2015-03-03,6.17,6.17,6.17,6.17,0.0,0.0,1.0,6.17,6.17,6.17,6.17,0.0
2015-03-02,6.17,6.17,6.17,6.17,0.0,0.0,1.0,6.17,6.17,6.17,6.17,0.0
2015-02-27,6.17,6.17,6.17,6.17,0.0,0.0,1.0,6.17,6.17,6.17,6.17,0.0
2015-02-26,6.17,6.17,6.17,6.17,0.0,0.0,1.0,6.17,6.17,6.17,6.17,0.0
2015-02-25,6.17,6.17,6.17,6.17,0.0,0.0,1.0,6.17,6.17,6.17,6.17,0.0
2015-02-24,6.17,6.17,6.17,6.17,0.0,0.0,1.0,6.17,6.17,6.17,6.17,0.0
2015-02-06,6.17,6.17,6.17,6.17,0.0,0.0,1.0,6.17,6.17,6.17,6.17,0.0
2015-02-05,6.17,6.17,6.17,6.17,0.0,0.0,1.0,6.17,6.17,6.17,6.17,0.0
2015-02-04,6.17,6.17,6.17,6.17,0.0,0.0,1.0,6.17,6.17,6.17,6.17,0.0
2015-01-26,6.17,6.17,6.17,6.17,0.0,0.0,1.0,6.17,6.17,6.17,6.17,0.0
2015-01-23,6.17,6.17,6.17,6.17,0.0,0.0,1.0,6.17,6.17,6.17,6.17,0.0
2015-01-22,6.17,6.17,6.17,6.17,0.0,0.0,1.0,6.17,6.17,6.17,6.17,0.0
2014-12-08,6.17,6.17,6.17,6.17,0.0,0.0,1.0,6.17,6.17,6.17,6.17,0.0
2014-12-05,6.17,6.17,6.17,6.17,0.0,0.0,1.0,6.17,6.17,6.17,6.17,0.0
2014-12-04,6.17,6.17,6.17,6.17,0.0,0.0,1.0,6.17,6.17,6.17,6.17,0.0
2014-12-03,6.17,6.17,6.17,6.17,0.0,0.0,1.0,6.17,6.17,6.17,6.17,0.0
2014-12-02,6.17,6.17,6.17,6.17,0.0,0.0,1.0,6.17,6.17,6.17,6.17,0.0
2014-11-24,6.17,6.17,6.17,6.17,0.0,0.0,1.0,6.17,6.17,6.17,6.17,0.0
2014-11-21,6.17,6.17,6.17,6.17,0.0,0.0,1.0,6.17,6.17,6.17,6.17,0.0
