Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,12.37,12.47,12.24,12.26,3749677.0,0.0,1.0,12.37,12.47,12.24,12.26,3749677.0
2016-11-16,12.34,12.46,12.27,12.37,3058119.0,0.0,1.0,12.34,12.46,12.27,12.37,3058119.0
2016-11-15,12.37,12.44,12.2,12.34,2873267.0,0.0,1.0,12.37,12.44,12.2,12.34,2873267.0
2016-11-14,12.02,12.33,11.93,12.31,6914768.0,0.0,1.0,12.02,12.33,11.93,12.31,6914768.0
2016-11-11,11.86,12.11,11.86,12.0,6529532.0,0.0,1.0,11.86,12.11,11.86,12.0,6529532.0
2016-11-10,12.09,12.15,11.74,11.89,7985128.0,0.0,1.0,12.09,12.15,11.74,11.89,7985128.0
2016-11-09,11.9,12.14,11.54,12.09,10393969.0,0.0,1.0,11.9,12.14,11.54,12.09,10393969.0
2016-11-08,12.5,12.53,12.275,12.36,4436852.0,0.0,1.0,12.5,12.53,12.275,12.36,4436852.0
2016-11-07,12.28,12.53,12.175,12.51,6442438.0,0.0,1.0,12.28,12.53,12.175,12.51,6442438.0
2016-11-04,11.8,12.21,11.8,12.1,6444274.0,0.0,1.0,11.8,12.21,11.8,12.1,6444274.0
2016-11-03,12.35,12.39,11.66,11.84,10921527.0,0.0,1.0,12.35,12.39,11.66,11.84,10921527.0
2016-11-02,12.66,12.68,12.19,12.2,15087187.0,0.0,1.0,12.66,12.68,12.19,12.2,15087187.0
2016-11-01,13.91,13.92,13.07,13.08,8346859.0,0.0,1.0,13.91,13.92,13.07,13.08,8346859.0
2016-10-31,13.71,14.045,13.61,13.94,10616384.0,0.0,1.0,13.71,14.045,13.61,13.94,10616384.0
2016-10-28,13.99,14.18,13.68,13.69,6464257.0,0.0,1.0,13.99,14.18,13.68,13.69,6464257.0
2016-10-27,14.48,14.48,13.86,14.03,4252407.0,0.0,1.0,14.48,14.48,13.86,14.03,4252407.0
2016-10-26,14.73,14.77,14.38,14.48,3293194.0,0.0,1.0,14.73,14.77,14.38,14.48,3293194.0
2016-10-25,14.84,14.91,14.74,14.79,2018737.0,0.0,1.0,14.84,14.91,14.74,14.79,2018737.0
2016-10-24,14.96,15.035,14.78,14.86,2568962.0,0.0,1.0,14.96,15.035,14.78,14.86,2568962.0
2016-10-21,14.66,14.815,14.615,14.76,1909224.0,0.0,1.0,14.66,14.815,14.615,14.76,1909224.0
2016-10-20,14.6,14.825,14.59,14.78,2188998.0,0.0,1.0,14.6,14.825,14.59,14.78,2188998.0
2016-10-19,14.69,14.79,14.59,14.67,1842728.0,0.0,1.0,14.69,14.79,14.59,14.67,1842728.0
2016-10-18,14.64,14.84,14.54,14.69,2075411.0,0.0,1.0,14.64,14.84,14.54,14.69,2075411.0
2016-10-17,14.55,14.6,14.46,14.51,2347643.0,0.0,1.0,14.55,14.6,14.46,14.51,2347643.0
2016-10-14,14.57,14.73,14.39,14.55,6499043.0,0.0,1.0,14.57,14.73,14.39,14.55,6499043.0
2016-10-13,14.32,14.61,14.25,14.54,3433871.0,0.0,1.0,14.32,14.61,14.25,14.54,3433871.0
2016-10-12,14.28,14.435,14.14,14.37,2122227.0,0.0,1.0,14.28,14.435,14.14,14.37,2122227.0
2016-10-11,14.38,14.46,14.13,14.25,3156704.0,0.0,1.0,14.38,14.46,14.13,14.25,3156704.0
