Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,52.6,53.3,52.3,52.8,77760.0,0.0,1.0,52.6,53.3,52.3,52.8,77760.0
2016-11-16,52.75,53.0,51.5,52.25,67528.0,0.0,1.0,52.75,53.0,51.5,52.25,67528.0
2016-11-15,52.9,53.05,51.25,52.75,69452.0,0.0,1.0,52.9,53.05,51.25,52.75,69452.0
2016-11-14,51.0,52.7,50.736,52.55,84618.0,0.0,1.0,51.0,52.7,50.736,52.55,84618.0
2016-11-11,49.85,51.0,49.15,50.8,153125.0,0.0,1.0,49.85,51.0,49.15,50.8,153125.0
2016-11-10,48.75,50.05,48.25,49.8,115437.0,0.0,1.0,48.75,50.05,48.25,49.8,115437.0
2016-11-09,46.7,48.3,46.7,48.2,88465.0,0.0,1.0,46.7,48.3,46.7,48.2,88465.0
2016-11-08,46.6,47.4,46.4,47.05,82813.0,0.0,1.0,46.6,47.4,46.4,47.05,82813.0
2016-11-07,47.1,47.35,46.5,46.9,54960.0,0.0,1.0,47.1,47.35,46.5,46.9,54960.0
2016-11-04,45.75,46.75,45.7,46.0,68240.0,0.0,1.0,45.75,46.75,45.7,46.0,68240.0
2016-11-03,46.85,46.85,45.35,45.45,193569.0,0.0,1.0,46.85,46.85,45.35,45.45,193569.0
2016-11-02,47.35,47.5,46.25,46.55,110570.0,0.0,1.0,47.35,47.5,46.25,46.55,110570.0
2016-11-01,47.7,47.8,46.5,47.55,101085.0,0.0,1.0,47.7,47.8,46.5,47.55,101085.0
2016-10-31,46.15,47.65,46.1,47.55,111239.0,0.0,1.0,46.15,47.65,46.1,47.55,111239.0
2016-10-28,45.77,46.52,45.58,46.14,99217.0,0.0,1.0,45.77,46.52,45.58,46.14,99217.0
2016-10-27,46.77,46.77,45.61,45.72,44476.0,0.0,1.0,46.77,46.77,45.61,45.72,44476.0
2016-10-26,46.67,47.37,46.15,46.46,65798.0,0.0,1.0,46.67,47.37,46.15,46.46,65798.0
2016-10-25,47.33,47.769,46.23,46.89,237317.0,0.0,1.0,47.33,47.769,46.23,46.89,237317.0
2016-10-24,47.29,47.73,46.62,47.17,115043.0,0.0,1.0,47.29,47.73,46.62,47.17,115043.0
2016-10-21,46.84,47.49,46.45,47.06,57875.0,0.0,1.0,46.84,47.49,46.45,47.06,57875.0
2016-10-20,47.04,47.48,46.12,47.23,101380.0,0.0,1.0,47.04,47.48,46.12,47.23,101380.0
2016-10-19,46.31,47.58,46.07,47.26,136330.0,0.0,1.0,46.31,47.58,46.07,47.26,136330.0
2016-10-18,45.83,46.29,45.45,46.13,85706.0,0.0,1.0,45.83,46.29,45.45,46.13,85706.0
2016-10-17,44.93,45.47,44.63,45.42,143898.0,0.0,1.0,44.93,45.47,44.63,45.42,143898.0
2016-10-14,44.75,45.1,44.385,45.02,101102.0,0.0,1.0,44.75,45.1,44.385,45.02,101102.0
2016-10-13,42.44,44.439,41.53,44.33,360141.0,0.0,1.0,42.44,44.439,41.53,44.33,360141.0
2016-10-12,42.65,43.25,42.11,42.57,82314.0,0.0,1.0,42.65,43.25,42.11,42.57,82314.0
2016-10-11,43.87,44.24,42.41,42.49,104936.0,0.0,1.0,43.87,44.24,42.41,42.49,104936.0
2016-10-10,44.6,44.94,43.7801,43.88,88324.0,0.0,1.0,44.6,44.94,43.7801,43.88,88324.0
2016-10-07,45.08,45.37,44.14,44.23,101699.0,0.0,1.0,45.08,45.37,44.14,44.23,101699.0
2016-10-06,45.34,45.6,44.92,45.37,54790.0,0.0,1.0,45.34,45.6,44.92,45.37,54790.0
2016-10-05,45.47,45.92,45.26,45.49,93367.0,0.0,1.0,45.47,45.92,45.26,45.49,93367.0
2016-10-04,46.09,46.46,45.22,45.27,84354.0,0.0,1.0,46.09,46.46,45.22,45.27,84354.0
