Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,4.98,5.31,4.92,5.29,3048308.0,0.0,1.0,4.98,5.31,4.92,5.29,3048308.0
2016-11-16,4.98,5.0,4.815,4.91,1757645.0,0.0,1.0,4.98,5.0,4.815,4.91,1757645.0
2016-11-15,5.2,5.22,4.87,5.0,3453116.0,0.0,1.0,5.2,5.22,4.87,5.0,3453116.0
2016-11-14,5.13,5.2199,5.1,5.2,2483898.0,0.0,1.0,5.13,5.2199,5.1,5.2,2483898.0
2016-11-11,5.19,5.25,5.035,5.08,3061605.0,0.0,1.0,5.19,5.25,5.035,5.08,3061605.0
2016-11-10,4.85,5.35,4.81,5.19,6154367.0,0.0,1.0,4.85,5.35,4.81,5.19,6154367.0
2016-11-09,4.12,4.8,4.12,4.66,5767200.0,0.0,1.0,4.12,4.8,4.12,4.66,5767200.0
2016-11-08,4.05,4.14,4.0,4.08,847038.0,0.0,1.0,4.05,4.14,4.0,4.08,847038.0
2016-11-07,3.99,4.09,3.94,4.05,1797246.0,0.0,1.0,3.99,4.09,3.94,4.05,1797246.0
2016-11-04,3.68,3.92,3.65,3.9,1215980.0,0.0,1.0,3.68,3.92,3.65,3.9,1215980.0
2016-11-03,3.9,3.928,3.65,3.67,2441532.0,0.0,1.0,3.9,3.928,3.65,3.67,2441532.0
2016-11-02,3.95,4.12,3.86,3.9,1452597.0,0.0,1.0,3.95,4.12,3.86,3.9,1452597.0
2016-11-01,4.03,4.05,3.92,3.96,1754188.0,0.0,1.0,4.03,4.05,3.92,3.96,1754188.0
2016-10-31,4.05,4.08,3.98,4.04,1583338.0,0.0,1.0,4.05,4.08,3.98,4.04,1583338.0
2016-10-28,4.03,4.1,4.03,4.05,827119.0,0.0,1.0,4.03,4.1,4.03,4.05,827119.0
2016-10-27,4.05,4.1,4.01,4.04,788848.0,0.0,1.0,4.05,4.1,4.01,4.04,788848.0
2016-10-26,4.08,4.1062,4.0,4.06,1194885.0,0.0,1.0,4.08,4.1062,4.0,4.06,1194885.0
2016-10-25,4.1,4.14,4.05,4.1,1174564.0,0.0,1.0,4.1,4.14,4.05,4.1,1174564.0
2016-10-24,4.31,4.35,4.08,4.14,1879033.0,0.0,1.0,4.31,4.35,4.08,4.14,1879033.0
2016-10-21,4.26,4.32,4.26,4.28,1037743.0,0.0,1.0,4.26,4.32,4.26,4.28,1037743.0
2016-10-20,4.5,4.55,4.26,4.34,3697843.0,0.0,1.0,4.5,4.55,4.26,4.34,3697843.0
2016-10-19,4.66,4.79,4.62,4.76,774337.0,0.0,1.0,4.66,4.79,4.62,4.76,774337.0
2016-10-18,4.61,4.7,4.57,4.65,1018619.0,0.0,1.0,4.61,4.7,4.57,4.65,1018619.0
2016-10-17,4.44,4.55,4.4,4.55,1200336.0,0.0,1.0,4.44,4.55,4.4,4.55,1200336.0
2016-10-14,4.51,4.57,4.45,4.45,1396757.0,0.0,1.0,4.51,4.57,4.45,4.45,1396757.0
2016-10-13,4.44,4.49,4.38,4.46,1095636.0,0.0,1.0,4.44,4.49,4.38,4.46,1095636.0
2016-10-12,4.5,4.54,4.47,4.51,1118412.0,0.0,1.0,4.5,4.54,4.47,4.51,1118412.0
2016-10-11,4.63,4.645,4.52,4.54,855592.0,0.0,1.0,4.63,4.645,4.52,4.54,855592.0
2016-10-10,4.75,4.78,4.64,4.64,559084.0,0.0,1.0,4.75,4.78,4.64,4.64,559084.0
2016-10-07,4.77,4.771,4.64,4.67,828176.0,0.0,1.0,4.77,4.771,4.64,4.67,828176.0
2016-10-06,4.75,4.8,4.74,4.76,775425.0,0.0,1.0,4.75,4.8,4.74,4.76,775425.0
2016-10-05,4.75,4.79,4.7,4.78,1295648.0,0.0,1.0,4.75,4.79,4.7,4.78,1295648.0
2016-10-04,4.81,4.86,4.645,4.69,1698708.0,0.0,1.0,4.81,4.86,4.645,4.69,1698708.0
2016-10-03,4.79,4.82,4.73,4.81,1087347.0,0.0,1.0,4.79,4.82,4.73,4.81,1087347.0
2016-09-30,4.63,4.815,4.58,4.79,1459202.0,0.0,1.0,4.63,4.815,4.58,4.79,1459202.0
2016-09-29,4.55,4.64,4.54,4.6,979842.0,0.0,1.0,4.55,4.64,4.54,4.6,979842.0
2016-09-28,4.47,4.57,4.43,4.57,728056.0,0.0,1.0,4.47,4.57,4.43,4.57,728056.0
2016-09-27,4.31,4.43,4.31,4.43,529760.0,0.0,1.0,4.31,4.43,4.31,4.43,529760.0
2016-09-26,4.39,4.41,4.35,4.35,616064.0,0.0,1.0,4.39,4.41,4.35,4.35,616064.0
2016-09-23,4.44,4.52,4.38,4.4,856499.0,0.0,1.0,4.44,4.52,4.38,4.4,856499.0
2016-09-22,4.5,4.56,4.42,4.47,1189876.0,0.0,1.0,4.5,4.56,4.42,4.47,1189876.0
2016-09-21,4.36,4.47,4.34,4.47,850265.0,0.0,1.0,4.36,4.47,4.34,4.47,850265.0
2016-09-20,4.38,4.43,4.3,4.31,1114270.0,0.0,1.0,4.38,4.43,4.3,4.31,1114270.0
2016-09-19,4.42,4.48,4.35,4.35,1057762.0,0.0,1.0,4.42,4.48,4.35,4.35,1057762.0
2016-09-16,4.34,4.4,4.32,4.37,2078421.0,0.0,1.0,4.34,4.4,4.32,4.37,2078421.0
2016-09-15,4.27,4.38,4.27,4.38,1393372.0,0.0,1.0,4.27,4.38,4.27,4.38,1393372.0
2016-09-14,4.33,4.36,4.27,4.29,1425860.0,0.0,1.0,4.33,4.36,4.27,4.29,1425860.0
2016-09-13,4.46,4.51,4.29,4.32,2040444.0,0.0,1.0,4.46,4.51,4.29,4.32,2040444.0
2016-09-12,4.59,4.59,4.43,4.55,1550473.0,0.0,1.0,4.59,4.59,4.43,4.55,1550473.0
2016-09-09,4.83,4.84,4.6,4.6,4543734.0,0.0,1.0,4.83,4.84,4.6,4.6,4543734.0
2016-09-08,4.93,4.96,4.86,4.87,1588087.0,0.0,1.0,4.93,4.96,4.86,4.87,1588087.0
2016-09-07,4.86,4.95,4.86,4.92,1421533.0,0.0,1.0,4.86,4.95,4.86,4.92,1421533.0
2016-09-06,4.9,4.96,4.86,4.93,1261235.0,0.0,1.0,4.9,4.96,4.86,4.93,1261235.0
2016-09-02,4.87,4.92,4.84,4.87,1027198.0,0.0,1.0,4.87,4.92,4.84,4.87,1027198.0
2016-09-01,4.92,4.92,4.76,4.85,1326960.0,0.0,1.0,4.92,4.92,4.76,4.85,1326960.0
2016-08-31,4.89,4.92,4.82,4.9,1374430.0,0.0,1.0,4.89,4.92,4.82,4.9,1374430.0
2016-08-30,4.92,4.99,4.89,4.91,1129741.0,0.0,1.0,4.92,4.99,4.89,4.91,1129741.0
2016-08-29,4.9,4.95,4.85,4.94,1621047.0,0.0,1.0,4.9,4.95,4.85,4.94,1621047.0
2016-08-26,4.88,5.0,4.86,4.92,1552359.0,0.0,1.0,4.88,5.0,4.86,4.92,1552359.0
2016-08-25,4.86,4.8996,4.82,4.87,1681323.0,0.0,1.0,4.86,4.8996,4.82,4.87,1681323.0
2016-08-24,4.92,4.97,4.86,4.88,1233435.0,0.0,1.0,4.92,4.97,4.86,4.88,1233435.0
2016-08-23,4.9,4.99,4.89,4.95,1570530.0,0.0,1.0,4.9,4.99,4.89,4.95,1570530.0
2016-08-22,5.0,5.0,4.88,4.89,2066987.0,0.0,1.0,5.0,5.0,4.88,4.89,2066987.0
2016-08-19,4.92,5.08,4.89,5.03,3732678.0,0.0,1.0,4.92,5.08,4.89,5.03,3732678.0
2016-08-18,4.9,4.95,4.88,4.92,3318489.0,0.0,1.0,4.9,4.95,4.88,4.92,3318489.0
2016-08-17,4.82,4.92,4.8,4.9,3118409.0,0.0,1.0,4.82,4.92,4.8,4.9,3118409.0
2016-08-16,4.81,4.85,4.78,4.84,3410213.0,0.0,1.0,4.81,4.85,4.78,4.84,3410213.0
2016-08-15,4.74,4.84,4.74,4.81,1867839.0,0.0,1.0,4.74,4.84,4.74,4.81,1867839.0
2016-08-12,4.73,4.81,4.72,4.76,3078789.0,0.0,1.0,4.73,4.81,4.72,4.76,3078789.0
2016-08-11,4.78,4.84,4.75,4.75,2564297.0,0.0,1.0,4.78,4.84,4.75,4.75,2564297.0
2016-08-10,4.91,4.92,4.75,4.84,5156252.0,0.0,1.0,4.91,4.92,4.75,4.84,5156252.0
2016-08-09,5.02,5.35,4.62,4.82,16352028.0,0.0,1.0,5.02,5.35,4.62,4.82,16352028.0
2016-08-08,5.77,5.84,5.7,5.79,3214584.0,0.0,1.0,5.77,5.84,5.7,5.79,3214584.0
2016-08-05,5.72,5.82,5.69,5.78,1690887.0,0.0,1.0,5.72,5.82,5.69,5.78,1690887.0
2016-08-04,5.66,5.72,5.61,5.69,1134224.0,0.0,1.0,5.66,5.72,5.61,5.69,1134224.0
2016-08-03,5.53,5.7,5.51,5.66,2467903.0,0.0,1.0,5.53,5.7,5.51,5.66,2467903.0
2016-08-02,5.57,5.6,5.53,5.55,1735769.0,0.0,1.0,5.57,5.6,5.53,5.55,1735769.0
2016-08-01,5.57,5.64,5.4701,5.56,1281160.0,0.0,1.0,5.57,5.64,5.4701,5.56,1281160.0
2016-07-29,5.64,5.71,5.54,5.57,3791814.0,0.0,1.0,5.64,5.71,5.54,5.57,3791814.0
2016-07-28,5.7,5.745,5.58,5.64,3130400.0,0.0,1.0,5.7,5.745,5.58,5.64,3130400.0
2016-07-27,5.67,5.75,5.65,5.69,2488721.0,0.0,1.0,5.67,5.75,5.65,5.69,2488721.0
2016-07-26,5.56,5.67,5.56,5.62,1657058.0,0.0,1.0,5.56,5.67,5.56,5.62,1657058.0
2016-07-25,5.53,5.61,5.5,5.53,2086620.0,0.0,1.0,5.53,5.61,5.5,5.53,2086620.0
2016-07-22,5.68,5.71,5.54,5.58,2408967.0,0.0,1.0,5.68,5.71,5.54,5.58,2408967.0
2016-07-21,5.63,5.79,5.62,5.7,2387507.0,0.0,1.0,5.63,5.79,5.62,5.7,2387507.0
2016-07-20,5.66,5.695,5.56,5.6,2174168.0,0.0,1.0,5.66,5.695,5.56,5.6,2174168.0
2016-07-19,5.68,5.73,5.65,5.71,2084532.0,0.0,1.0,5.68,5.73,5.65,5.71,2084532.0
2016-07-18,5.62,5.73,5.6,5.71,1605861.0,0.0,1.0,5.62,5.73,5.6,5.71,1605861.0
2016-07-15,5.59,5.69,5.58,5.64,1282988.0,0.0,1.0,5.59,5.69,5.58,5.64,1282988.0
2016-07-14,5.66,5.7,5.53,5.57,1741183.0,0.0,1.0,5.66,5.7,5.53,5.57,1741183.0
2016-07-13,5.67,5.71,5.57,5.59,1517631.0,0.0,1.0,5.67,5.71,5.57,5.59,1517631.0
2016-07-12,5.45,5.65,5.45,5.64,2164694.0,0.0,1.0,5.45,5.65,5.45,5.64,2164694.0
2016-07-11,5.35,5.49,5.32,5.41,1874503.0,0.0,1.0,5.35,5.49,5.32,5.41,1874503.0
2016-07-08,5.22,5.36,5.17,5.32,2950424.0,0.0,1.0,5.22,5.36,5.17,5.32,2950424.0
2016-07-07,5.14,5.25,5.12,5.16,2993392.0,0.0,1.0,5.14,5.25,5.12,5.16,2993392.0
2016-07-06,5.08,5.15,4.97,5.14,4991285.0,0.0,1.0,5.08,5.15,4.97,5.14,4991285.0
2016-07-05,5.54,5.54,5.05,5.1,5549346.0,0.0,1.0,5.54,5.54,5.05,5.1,5549346.0
2016-07-01,5.46,5.59,5.35,5.55,5330429.0,0.0,1.0,5.46,5.59,5.35,5.55,5330429.0
2016-06-30,5.28,5.47,5.06,5.45,5234086.0,0.0,1.0,5.28,5.47,5.06,5.45,5234086.0
2016-06-29,5.18,5.31,5.07,5.27,3734133.0,0.0,1.0,5.18,5.31,5.07,5.27,3734133.0
2016-06-28,5.2,5.29,5.03,5.1,3277846.0,0.0,1.0,5.2,5.29,5.03,5.1,3277846.0
2016-06-27,5.43,5.43,5.12,5.15,3616396.0,0.0,1.0,5.43,5.43,5.12,5.15,3616396.0
2016-06-24,5.45,5.62,5.37,5.54,12304583.0,0.0,1.0,5.45,5.62,5.37,5.54,12304583.0
2016-06-23,5.82,5.87,5.71,5.79,2810954.0,0.0,1.0,5.82,5.87,5.71,5.79,2810954.0
2016-06-22,5.82,5.89,5.7,5.72,2011572.0,0.0,1.0,5.82,5.89,5.7,5.72,2011572.0
2016-06-21,5.77,5.85,5.74,5.82,2105052.0,0.0,1.0,5.77,5.85,5.74,5.82,2105052.0
2016-06-20,5.79,5.83,5.73,5.78,3128249.0,0.0,1.0,5.79,5.83,5.73,5.78,3128249.0
2016-06-17,5.59,5.745,5.57,5.7,2167013.0,0.0,1.0,5.59,5.745,5.57,5.7,2167013.0
2016-06-16,5.58,5.59,5.5,5.58,1087042.0,0.0,1.0,5.58,5.59,5.5,5.58,1087042.0
2016-06-15,5.58,5.66,5.54,5.6,1629441.0,0.0,1.0,5.58,5.66,5.54,5.6,1629441.0
2016-06-14,5.56,5.605,5.46,5.55,1406387.0,0.0,1.0,5.56,5.605,5.46,5.55,1406387.0
2016-06-13,5.54,5.68,5.53,5.6,2693142.0,0.0,1.0,5.54,5.68,5.53,5.6,2693142.0
2016-06-10,5.61,5.69,5.54,5.57,2105979.0,0.0,1.0,5.61,5.69,5.54,5.57,2105979.0
2016-06-09,5.6,5.71,5.51,5.66,6108128.0,0.0,1.0,5.6,5.71,5.51,5.66,6108128.0
2016-06-08,5.75,5.8,5.62,5.65,2750536.0,0.0,1.0,5.75,5.8,5.62,5.65,2750536.0
2016-06-07,5.75,5.79,5.71,5.74,1469813.0,0.0,1.0,5.75,5.79,5.71,5.74,1469813.0
2016-06-06,5.75,5.775,5.72,5.75,3107716.0,0.0,1.0,5.75,5.775,5.72,5.75,3107716.0
2016-06-03,5.74,5.77,5.65,5.71,1958552.0,0.0,1.0,5.74,5.77,5.65,5.71,1958552.0
2016-06-02,5.77,5.8,5.73,5.75,3386414.0,0.0,1.0,5.77,5.8,5.73,5.75,3386414.0
2016-06-01,5.63,5.78,5.545,5.78,4468857.0,0.0,1.0,5.63,5.78,5.545,5.78,4468857.0
2016-05-31,5.68,5.75,5.595,5.7,3289166.0,0.0,1.0,5.68,5.75,5.595,5.7,3289166.0
2016-05-27,5.66,5.71,5.58,5.68,2323358.0,0.0,1.0,5.66,5.71,5.58,5.68,2323358.0
