Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,75.35,77.95,73.5,75.5,222271.0,0.0,1.0,75.35,77.95,73.5,75.5,222271.0
2016-11-16,74.05,75.0,73.65,74.8,123780.0,0.0,1.0,74.05,75.0,73.65,74.8,123780.0
2016-11-15,74.1,74.75,73.65,74.55,85389.0,0.0,1.0,74.1,74.75,73.65,74.55,85389.0
2016-11-14,74.45,75.15,73.6,74.25,198264.0,0.0,1.0,74.45,75.15,73.6,74.25,198264.0
2016-11-11,71.95,74.05,71.8,73.8,193360.0,0.0,1.0,71.95,74.05,71.8,73.8,193360.0
2016-11-10,71.1,73.0,70.65,71.95,190998.0,0.0,1.0,71.1,73.0,70.65,71.95,190998.0
2016-11-09,66.4,70.7,66.4,70.45,231704.0,0.0,1.0,66.4,70.7,66.4,70.45,231704.0
2016-11-08,67.35,67.65,65.95,67.35,156098.0,0.0,1.0,67.35,67.65,65.95,67.35,156098.0
2016-11-07,69.5,70.0,66.85,67.55,211328.0,0.0,1.0,69.5,70.0,66.85,67.55,211328.0
2016-11-04,67.0,69.15,66.7,67.9,193612.0,0.0,1.0,67.0,69.15,66.7,67.9,193612.0
2016-11-03,66.5,67.0,66.45,66.8,135648.0,0.0,1.0,66.5,67.0,66.45,66.8,135648.0
2016-11-02,66.4,66.95,66.05,66.2,128172.0,0.0,1.0,66.4,66.95,66.05,66.2,128172.0
2016-11-01,67.2,67.7,65.75,66.6,158410.0,0.0,1.0,67.2,67.7,65.75,66.6,158410.0
2016-10-31,66.1,67.5,65.55,67.2,182273.0,0.0,1.0,66.1,67.5,65.55,67.2,182273.0
2016-10-28,66.4,67.25,65.8,66.1,220497.0,0.0,1.0,66.4,67.25,65.8,66.1,220497.0
2016-10-27,67.75,67.75,65.9,66.3,238837.0,0.0,1.0,67.75,67.75,65.9,66.3,238837.0
2016-10-26,67.75,68.3,67.25,67.3,197482.0,0.0,1.0,67.75,68.3,67.25,67.3,197482.0
2016-10-25,68.95,68.95,67.275,68.3,166185.0,0.0,1.0,68.95,68.95,67.275,68.3,166185.0
2016-10-24,68.8,69.8,68.4,69.15,117571.0,0.0,1.0,68.8,69.8,68.4,69.15,117571.0
2016-10-21,67.25,68.045,67.1,67.65,284392.0,0.0,1.0,67.25,68.045,67.1,67.65,284392.0
2016-10-20,68.8,68.9,68.1,68.3,125639.0,0.0,1.0,68.8,68.9,68.1,68.3,125639.0
2016-10-19,68.85,69.8,68.5,69.25,98012.0,0.0,1.0,68.85,69.8,68.5,69.25,98012.0
2016-10-18,69.2,69.4,68.45,68.65,77498.0,0.0,1.0,69.2,69.4,68.45,68.65,77498.0
2016-10-17,67.5,68.1,67.4,68.0,94913.0,0.0,1.0,67.5,68.1,67.4,68.0,94913.0
2016-10-14,68.53,68.55,67.1,67.58,123578.0,0.0,1.0,68.53,68.55,67.1,67.58,123578.0
