Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-01-29,13.27,13.89,13.06,13.71,2592582.0,0.0,1.0,13.27,13.89,13.06,13.71,2592582.0
2016-01-28,13.3,13.66,12.86,13.14,2297257.0,0.0,1.0,13.3,13.66,12.86,13.14,2297257.0
2016-01-27,12.5,13.32,12.42,12.95,2531129.0,0.0,1.0,12.5,13.32,12.42,12.95,2531129.0
2016-01-26,11.96,13.04,11.85,12.61,2201753.0,0.0,1.0,11.96,13.04,11.85,12.61,2201753.0
2016-01-25,11.94,12.47,11.79,11.87,1615188.0,0.0,1.0,11.94,12.47,11.79,11.87,1615188.0
2016-01-22,11.72,12.3399,11.29,11.95,2067763.0,0.0,1.0,11.72,12.3399,11.29,11.95,2067763.0
2016-01-21,11.08,11.85,10.9476,11.4,2252352.0,0.0,1.0,11.08,11.85,10.9476,11.4,2252352.0
2016-01-20,10.52,11.29,9.95,11.16,2557045.0,0.0,1.0,10.52,11.29,9.95,11.16,2557045.0
2016-01-19,11.22,11.305,10.561,10.71,1258992.0,0.0,1.0,11.22,11.305,10.561,10.71,1258992.0
2016-01-15,11.08,11.25,10.58,11.13,1216152.0,0.0,1.0,11.08,11.25,10.58,11.13,1216152.0
2016-01-14,10.83,11.565,10.8,11.46,1977242.0,0.0,1.0,10.83,11.565,10.8,11.46,1977242.0
2016-01-13,11.55,11.77,10.75,10.86,2514188.0,0.0,1.0,11.55,11.77,10.75,10.86,2514188.0
2016-01-12,12.18,12.33,11.3,11.53,2236102.0,0.0,1.0,12.18,12.33,11.3,11.53,2236102.0
2016-01-11,12.13,12.3,11.77,11.97,1784171.0,0.0,1.0,12.13,12.3,11.77,11.97,1784171.0
2016-01-08,13.33,13.4,12.035,12.09,2600805.0,0.0,1.0,13.33,13.4,12.035,12.09,2600805.0
2016-01-07,13.21,13.82,13.021,13.17,1470281.0,0.0,1.0,13.21,13.82,13.021,13.17,1470281.0
2016-01-06,14.08,14.22,13.21,13.43,1794717.0,0.0,1.0,14.08,14.22,13.21,13.43,1794717.0
2016-01-05,14.74,14.84,14.18,14.35,1345032.0,0.0,1.0,14.74,14.84,14.18,14.35,1345032.0
2016-01-04,14.36,14.68,13.94,14.66,1728448.0,0.0,1.0,14.36,14.68,13.94,14.66,1728448.0
2015-12-31,14.57,14.95,14.48,14.68,1000738.0,0.0,1.0,14.57,14.95,14.48,14.68,1000738.0
2015-12-30,14.86,14.94,14.48,14.57,1286259.0,0.0,1.0,14.86,14.94,14.48,14.57,1286259.0
2015-12-29,15.04,15.19,14.52,14.85,1038498.0,0.0,1.0,15.04,15.19,14.52,14.85,1038498.0
2015-12-28,14.99,15.07,14.72,15.03,1155888.0,0.0,1.0,14.99,15.07,14.72,15.03,1155888.0
2015-12-24,15.43,15.44,14.93,15.05,830875.0,0.0,1.0,15.43,15.44,14.93,15.05,830875.0
2015-12-23,15.5,15.73,15.31,15.4,1209335.0,0.0,1.0,15.5,15.73,15.31,15.4,1209335.0
2015-12-22,14.7,15.5,14.58,15.41,1945123.0,0.0,1.0,14.7,15.5,14.58,15.41,1945123.0
2015-12-21,14.7,14.94,14.32,14.53,1367119.0,0.0,1.0,14.7,14.94,14.32,14.53,1367119.0
2015-12-18,14.26,14.77,14.26,14.63,2820575.0,0.0,1.0,14.26,14.77,14.26,14.63,2820575.0
2015-12-17,14.56,14.88,14.211,14.42,1794857.0,0.0,1.0,14.56,14.88,14.211,14.42,1794857.0
2015-12-16,13.75,14.59,13.65,14.52,1963860.0,0.0,1.0,13.75,14.59,13.65,14.52,1963860.0
2015-12-15,13.6,13.98,13.48,13.58,2076913.0,0.0,1.0,13.6,13.98,13.48,13.58,2076913.0
2015-12-14,14.8,15.16,13.19,13.48,4229338.0,0.0,1.0,14.8,15.16,13.19,13.48,4229338.0
2015-12-11,14.96,15.29,14.7,14.81,4143082.0,0.0,1.0,14.96,15.29,14.7,14.81,4143082.0
2015-12-10,14.17,15.8,13.55,15.27,22135294.0,0.18,1.0,14.17,15.8,13.55,15.27,22135294.0
2015-12-09,19.67,19.755,17.97,18.57,5743397.0,0.0,1.0,19.440834951456,19.524844660194,17.760640776699,18.353650485437,5743397.0
2015-12-08,20.25,20.3,19.42,19.7,2618610.0,0.0,1.0,20.014077669903,20.063495145631,19.193747572816,19.470485436893,2618610.0
2015-12-07,20.84,21.02,20.32,20.38,1669356.0,0.0,1.0,20.597203883495,20.775106796117,20.083262135922,20.142563106796,1669356.0
2015-12-04,20.25,21.12,20.19,20.95,1064196.0,0.0,1.0,20.014077669903,20.873941747573,19.954776699029,20.705922330097,1064196.0
2015-12-03,20.92,21.08,20.08,20.31,1351633.0,0.0,1.0,20.67627184466,20.83440776699,19.846058252427,20.073378640777,1351633.0
2015-12-02,20.64,21.4,20.44,20.72,998340.0,0.0,1.0,20.399533980583,21.15067961165,20.20186407767,20.478601941748,998340.0
2015-12-01,20.02,20.73,20.02,20.65,1053778.0,0.0,1.0,19.786757281553,20.488485436893,19.786757281553,20.409417475728,1053778.0
2015-11-30,20.57,20.99,19.8,19.99,1052097.0,0.0,1.0,20.330349514563,20.74545631068,19.56932038835,19.757106796117,1052097.0
2015-11-27,20.93,20.93,20.421,20.65,471142.0,0.0,1.0,20.686155339806,20.686155339806,20.183085436893,20.409417475728,471142.0
2015-11-25,20.42,21.08,20.4,21.01,869442.0,0.0,1.0,20.182097087379,20.83440776699,20.162330097087,20.765223300971,869442.0
2015-11-24,20.1,20.7,20.02,20.46,1201943.0,0.0,1.0,19.865825242718,20.458834951456,19.786757281553,20.221631067961,1201943.0
2015-11-23,19.71,20.26,19.7,20.15,1192738.0,0.0,1.0,19.480368932039,20.023961165049,19.470485436893,19.915242718447,1192738.0
2015-11-20,19.3,19.86,19.245,19.77,1647849.0,0.0,1.0,19.075145631068,19.628621359223,19.020786407767,19.539669902913,1647849.0
2015-11-19,18.86,19.39,18.6301,19.07,1236014.0,0.0,1.0,18.64027184466,19.164097087379,18.413050291262,18.847825242718,1236014.0
2015-11-18,18.31,18.7,18.17,18.69,1803492.0,0.0,1.0,18.09667961165,18.48213592233,17.958310679612,18.472252427184,1803492.0
2015-11-17,19.21,19.28,18.09,18.35,1965598.0,0.0,1.0,18.986194174757,19.055378640777,17.879242718447,18.136213592233,1965598.0
2015-11-16,18.9,19.24,18.28,19.16,2420527.0,0.0,1.0,18.679805825243,19.015844660194,18.067029126214,18.936776699029,2420527.0
2015-11-13,19.75,19.79,18.68,18.9,2435483.0,0.0,1.0,19.519902912621,19.559436893204,18.462368932039,18.679805825243,2435483.0
