Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,16.65,17.3,16.5,16.7,226111.0,0.0,1.0,16.65,17.3,16.5,16.7,226111.0
2016-11-16,16.5,16.6,16.35,16.45,159824.0,0.0,1.0,16.5,16.6,16.35,16.45,159824.0
2016-11-15,16.25,16.7,16.25,16.5,192462.0,0.0,1.0,16.25,16.7,16.25,16.5,192462.0
2016-11-14,16.85,17.3,16.0,16.4,311223.0,0.0,1.0,16.85,17.3,16.0,16.4,311223.0
2016-11-11,16.55,17.25,16.5,16.65,363215.0,0.0,1.0,16.55,17.25,16.5,16.65,363215.0
2016-11-10,15.7,16.7,15.65,16.55,269530.0,0.0,1.0,15.7,16.7,15.65,16.55,269530.0
2016-11-09,14.45,15.5,14.3,15.425,226659.0,0.0,1.0,14.45,15.5,14.3,15.425,226659.0
2016-11-08,14.3,14.7,14.275,14.5,167182.0,0.0,1.0,14.3,14.7,14.275,14.5,167182.0
2016-11-07,13.8,14.85,13.8,14.35,237560.0,0.0,1.0,13.8,14.85,13.8,14.35,237560.0
2016-11-04,14.0,14.39,13.425,13.65,344331.0,0.0,1.0,14.0,14.39,13.425,13.65,344331.0
2016-11-03,15.0,16.0,14.05,14.35,393986.0,0.0,1.0,15.0,16.0,14.05,14.35,393986.0
2016-11-02,17.1,17.35,16.5,16.5,94679.0,0.0,1.0,17.1,17.35,16.5,16.5,94679.0
2016-11-01,17.65,17.75,16.9,17.25,97242.0,0.0,1.0,17.65,17.75,16.9,17.25,97242.0
2016-10-31,16.75,17.7,16.55,17.65,116285.0,0.0,1.0,16.75,17.7,16.55,17.65,116285.0
2016-10-28,17.0,17.05,16.25,16.65,165247.0,0.0,1.0,17.0,17.05,16.25,16.65,165247.0
2016-10-27,17.6,17.6,17.1,17.15,69997.0,0.0,1.0,17.6,17.6,17.1,17.15,69997.0
2016-10-26,17.95,18.2,17.31,17.45,121836.0,0.0,1.0,17.95,18.2,17.31,17.45,121836.0
2016-10-25,17.3,18.05,17.25,17.95,98975.0,0.0,1.0,17.3,18.05,17.25,17.95,98975.0
2016-10-24,17.85,18.15,17.2,17.35,116546.0,0.0,1.0,17.85,18.15,17.2,17.35,116546.0
2016-10-21,17.34,17.81,17.1801,17.53,86974.0,0.0,1.0,17.34,17.81,17.1801,17.53,86974.0
2016-10-20,17.97,18.14,17.6,17.61,79432.0,0.0,1.0,17.97,18.14,17.6,17.61,79432.0
2016-10-19,18.15,18.36,17.88,18.08,58583.0,0.0,1.0,18.15,18.36,17.88,18.08,58583.0
2016-10-18,17.66,18.34,17.6072,18.04,114271.0,0.0,1.0,17.66,18.34,17.6072,18.04,114271.0
2016-10-17,17.68,17.72,17.39,17.42,144674.0,0.0,1.0,17.68,17.72,17.39,17.42,144674.0
2016-10-14,18.59,18.65,17.61,17.62,182218.0,0.0,1.0,18.59,18.65,17.61,17.62,182218.0
2016-10-13,18.9,18.92,18.28,18.4,113310.0,0.0,1.0,18.9,18.92,18.28,18.4,113310.0
2016-10-12,19.1,19.61,18.76,19.22,142137.0,0.0,1.0,19.1,19.61,18.76,19.22,142137.0
2016-10-11,19.35,19.71,18.87,19.0,308469.0,0.0,1.0,19.35,19.71,18.87,19.0,308469.0
2016-10-10,19.67,19.89,19.15,19.295,116176.0,0.0,1.0,19.67,19.89,19.15,19.295,116176.0
2016-10-07,20.18,20.38,19.16,19.5,158877.0,0.0,1.0,20.18,20.38,19.16,19.5,158877.0
2016-10-06,19.78,20.39,19.46,20.21,267774.0,0.0,1.0,19.78,20.39,19.46,20.21,267774.0
2016-10-05,19.18,20.11,19.085,19.69,256092.0,0.0,1.0,19.18,20.11,19.085,19.69,256092.0
2016-10-04,18.7,19.2965,18.29,19.05,126214.0,0.0,1.0,18.7,19.2965,18.29,19.05,126214.0
2016-10-03,18.1,18.87,17.995,18.7,124048.0,0.0,1.0,18.1,18.87,17.995,18.7,124048.0
2016-09-30,17.56,18.33,17.4,18.25,185608.0,0.0,1.0,17.56,18.33,17.4,18.25,185608.0
2016-09-29,17.76,17.94,17.39,17.41,96842.0,0.0,1.0,17.76,17.94,17.39,17.41,96842.0
2016-09-28,17.78,18.09,17.655,17.72,157248.0,0.0,1.0,17.78,18.09,17.655,17.72,157248.0
2016-09-27,17.24,17.71,17.2,17.69,133191.0,0.0,1.0,17.24,17.71,17.2,17.69,133191.0
2016-09-26,17.5,17.625,17.38,17.41,100335.0,0.0,1.0,17.5,17.625,17.38,17.41,100335.0
2016-09-23,17.82,17.97,17.5,17.59,86388.0,0.0,1.0,17.82,17.97,17.5,17.59,86388.0
2016-09-22,18.13,18.29,17.9,18.01,132918.0,0.0,1.0,18.13,18.29,17.9,18.01,132918.0
2016-09-21,17.9,18.17,17.59,17.84,73320.0,0.0,1.0,17.9,18.17,17.59,17.84,73320.0
2016-09-20,17.77,18.01,17.62,17.83,136990.0,0.0,1.0,17.77,18.01,17.62,17.83,136990.0
2016-09-19,18.01,18.31,17.5,17.73,73419.0,0.0,1.0,18.01,18.31,17.5,17.73,73419.0
2016-09-16,17.89,18.0,17.65,17.88,177292.0,0.0,1.0,17.89,18.0,17.65,17.88,177292.0
2016-09-15,18.18,18.47,17.98,18.03,128175.0,0.0,1.0,18.18,18.47,17.98,18.03,128175.0
2016-09-14,18.22,18.52,17.8401,18.11,245927.0,0.0,1.0,18.22,18.52,17.8401,18.11,245927.0
2016-09-13,17.97,18.39,17.72,18.17,163041.0,0.0,1.0,17.97,18.39,17.72,18.17,163041.0
2016-09-12,18.1,18.36,17.9,18.33,148216.0,0.0,1.0,18.1,18.36,17.9,18.33,148216.0
2016-09-09,18.47,18.63,18.34,18.45,150008.0,0.0,1.0,18.47,18.63,18.34,18.45,150008.0
2016-09-08,18.77,19.0,18.532,18.77,145221.0,0.0,1.0,18.77,19.0,18.532,18.77,145221.0
2016-09-07,18.37,18.98,18.18,18.81,138209.0,0.0,1.0,18.37,18.98,18.18,18.81,138209.0
2016-09-06,18.71,18.74,18.08,18.39,148399.0,0.0,1.0,18.71,18.74,18.08,18.39,148399.0
2016-09-02,17.76,18.7,17.67,18.68,89309.0,0.0,1.0,17.76,18.7,17.67,18.68,89309.0
2016-09-01,17.76,17.95,17.36,17.61,102060.0,0.0,1.0,17.76,17.95,17.36,17.61,102060.0
2016-08-31,17.98,18.12,17.61,17.75,123265.0,0.07,1.0,17.98,18.12,17.61,17.75,123265.0
2016-08-30,18.24,18.59,17.88,18.125,141049.0,0.0,1.0,18.16835016835,18.516975308642,17.809764309764,18.053801907969,141049.0
2016-08-29,17.76,18.453,17.1701,18.28,101159.0,0.0,1.0,17.690235690236,18.380513468013,17.10265291807,18.208193041526,101159.0
2016-08-26,17.54,17.94,17.42,17.64,110600.0,0.0,1.0,17.471099887767,17.869528619529,17.351571268238,17.570707070707,110600.0
2016-08-25,17.13,17.51,17.13,17.5,81909.0,0.0,1.0,17.06271043771,17.441217732884,17.06271043771,17.43125701459,81909.0
2016-08-24,17.73,18.44,17.19,17.25,164158.0,0.0,1.0,17.660353535354,18.367564534231,17.122474747475,17.182239057239,164158.0
2016-08-23,17.08,17.58,17.02,17.57,204615.0,0.0,1.0,17.01290684624,17.510942760943,16.953142536476,17.500982042649,204615.0
2016-08-22,16.94,16.98,16.47,16.92,113003.0,0.0,1.0,16.873456790123,16.9132996633,16.405303030303,16.853535353535,113003.0
2016-08-19,16.71,17.32,16.12,17.09,228821.0,0.0,1.0,16.64436026936,17.251964085297,16.056677890011,17.022867564534,228821.0
2016-08-18,16.5,16.75,16.31,16.73,80932.0,0.0,1.0,16.435185185185,16.684203142536,16.245931537598,16.664281705948,80932.0
2016-08-17,16.47,16.51,15.94,16.48,98597.0,0.0,1.0,16.405303030303,16.445145903479,15.877384960718,16.415263748597,98597.0
2016-08-16,16.59,16.65,16.38,16.45,85065.0,0.0,1.0,16.524831649832,16.584595959596,16.315656565657,16.385381593715,85065.0
2016-08-15,16.58,16.91,16.43,16.7,139584.0,0.0,1.0,16.514870931538,16.843574635241,16.365460157127,16.634399551066,139584.0
2016-08-12,16.83,16.83,16.39,16.46,101447.0,0.0,1.0,16.763888888889,16.763888888889,16.325617283951,16.395342312009,101447.0
2016-08-11,16.62,16.95,16.37,16.87,147648.0,0.0,1.0,16.554713804714,16.883417508418,16.305695847363,16.803731762065,147648.0
2016-08-10,16.74,16.79,16.43,16.54,79846.0,0.0,1.0,16.674242424242,16.724046015713,16.365460157127,16.475028058361,79846.0
2016-08-09,16.81,16.989,16.39,16.66,97972.0,0.0,1.0,16.743967452301,16.922264309764,16.325617283951,16.59455667789,97972.0
2016-08-08,16.88,17.0,16.54,16.85,86551.0,0.0,1.0,16.813692480359,16.933221099888,16.475028058361,16.783810325477,86551.0
2016-08-05,16.36,16.99,16.01,16.9,186292.0,0.0,1.0,16.295735129068,16.923260381594,15.947109988777,16.833613916947,186292.0
2016-08-04,16.21,16.54,15.72,16.2,150514.0,0.0,1.0,16.146324354658,16.475028058361,15.658249158249,16.136363636364,150514.0
2016-08-03,15.93,16.03,15.65,15.89,180664.0,0.0,1.0,15.867424242424,15.967031425365,15.588524130191,15.827581369248,180664.0
2016-08-02,16.78,16.78,15.95,15.97,141756.0,0.0,1.0,16.714085297419,16.714085297419,15.887345679012,15.9072671156,141756.0
2016-08-01,16.9,16.96,16.58,16.61,104989.0,0.0,1.0,16.833613916947,16.893378226712,16.514870931538,16.54475308642,104989.0
2016-07-29,17.1,17.36,16.655,16.87,253924.0,0.0,1.0,17.032828282828,17.291806958474,16.589576318743,16.803731762065,253924.0
2016-07-28,17.07,17.21,16.69,17.19,121031.0,0.0,1.0,17.002946127946,17.142396184063,16.624438832772,17.122474747475,121031.0
2016-07-27,16.68,17.21,16.67,17.19,114155.0,0.0,1.0,16.614478114478,17.142396184063,16.604517396184,17.122474747475,114155.0
2016-07-26,16.11,16.72,16.11,16.68,117397.0,0.0,1.0,16.046717171717,16.654320987654,16.046717171717,16.614478114478,117397.0
2016-07-25,15.85,16.36,15.7,16.18,131582.0,0.0,1.0,15.787738496072,16.295735129068,15.638327721661,16.116442199776,131582.0
2016-07-22,16.01,16.31,15.65,15.92,122968.0,0.0,1.0,15.947109988777,16.245931537598,15.588524130191,15.85746352413,122968.0
2016-07-21,16.56,16.56,15.92,16.0,145542.0,0.0,1.0,16.494949494949,16.494949494949,15.85746352413,15.937149270483,145542.0
2016-07-20,15.94,16.59,15.59,16.58,236982.0,0.0,1.0,15.877384960718,16.524831649832,15.528759820426,16.514870931538,236982.0
2016-07-19,15.82,16.0,15.72,15.93,184219.0,0.0,1.0,15.75785634119,15.937149270483,15.658249158249,15.867424242424,184219.0
2016-07-18,15.59,15.99,14.191,15.9,155203.0,0.0,1.0,15.528759820426,15.927188552189,14.135255331089,15.837542087542,155203.0
2016-07-15,15.29,15.68,15.13,15.65,148431.0,0.0,1.0,15.229938271605,15.618406285073,15.0705667789,15.588524130191,148431.0
2016-07-14,15.13,15.36,14.9,15.17,209503.0,0.0,1.0,15.0705667789,15.299663299663,14.841470258137,15.110409652076,209503.0
2016-07-13,15.34,15.38,14.92,14.96,137071.0,0.0,1.0,15.279741863075,15.319584736251,14.861391694725,14.901234567901,137071.0
2016-07-12,14.88,15.49,14.805,15.25,208777.0,0.0,1.0,14.821548821549,15.429152637486,14.746843434343,15.190095398429,208777.0
2016-07-11,14.48,14.794,14.0801,14.63,158823.0,0.0,1.0,14.423120089787,14.73588664422,14.024790965208,14.572530864198,158823.0
2016-07-08,13.88,14.52,13.88,14.46,191776.0,0.0,1.0,13.825476992144,14.462962962963,13.825476992144,14.403198653199,191776.0
2016-07-07,13.61,13.87,13.5,13.64,145714.0,0.0,1.0,13.556537598204,13.81551627385,13.44696969697,13.586419753086,145714.0
2016-07-06,13.37,13.53,12.771,13.48,205888.0,0.0,1.0,13.317480359147,13.476851851852,12.720833333333,13.427048260382,205888.0
2016-07-05,14.16,14.2801,13.39,13.52,184429.0,0.0,1.0,14.104377104377,14.224005331089,13.337401795735,13.466891133558,184429.0
2016-07-01,13.94,14.455,13.8,14.16,141742.0,0.0,1.0,13.885241301908,14.398218294052,13.745791245791,14.104377104377,141742.0
2016-06-30,13.55,14.0,13.29,14.0,205516.0,0.0,1.0,13.49677328844,13.945005611672,13.237794612795,13.945005611672,205516.0
2016-06-29,13.74,13.78,13.43,13.55,374057.0,0.0,1.0,13.686026936027,13.725869809203,13.377244668911,13.49677328844,374057.0
2016-06-28,13.75,14.3399,13.25,13.54,503604.0,0.0,1.0,13.695987654321,14.283570426487,13.197951739618,13.486812570146,503604.0
2016-06-27,15.49,15.5,13.18,13.35,664051.0,0.0,1.0,15.429152637486,15.43911335578,13.12822671156,13.297558922559,664051.0
2016-06-24,17.0,17.0,15.34,15.35,572492.0,0.0,1.0,16.933221099888,16.933221099888,15.279741863075,15.289702581369,572492.0
2016-06-23,17.6,18.22,17.6,18.12,253496.0,0.0,1.0,17.530864197531,18.148428731762,17.530864197531,18.048821548822,253496.0
2016-06-22,17.84,17.92,17.38,17.38,74592.0,0.0,1.0,17.769921436588,17.849607182941,17.311728395062,17.311728395062,74592.0
2016-06-21,18.3,18.3,17.47,17.85,128462.0,0.0,1.0,18.228114478114,18.228114478114,17.401374859708,17.779882154882,128462.0
2016-06-20,17.9,18.6,17.77,18.3,186225.0,0.0,1.0,17.829685746352,18.526936026936,17.70019640853,18.228114478114,186225.0
2016-06-17,17.59,18.06,17.38,17.63,133054.0,0.0,1.0,17.520903479237,17.989057239057,17.311728395062,17.560746352413,133054.0
2016-06-16,17.72,17.806,17.1,17.54,112234.0,0.0,1.0,17.650392817059,17.736054994388,17.032828282828,17.471099887767,112234.0
2016-06-15,17.78,18.23,17.5938,17.9,164409.0,0.0,1.0,17.710157126824,18.158389450056,17.524688552189,17.829685746352,164409.0
2016-06-14,17.56,17.87,17.21,17.63,128501.0,0.0,1.0,17.491021324355,17.79980359147,17.142396184063,17.560746352413,128501.0
2016-06-13,17.99,18.15,17.66,17.71,129454.0,0.0,1.0,17.919332210999,18.078703703704,17.590628507295,17.640432098765,129454.0
2016-06-10,18.04,18.34,17.76,18.08,237701.0,0.0,1.0,17.969135802469,18.267957351291,17.690235690236,18.008978675645,237701.0
2016-06-09,18.94,18.94,17.99,18.25,161547.0,0.0,1.0,18.865600448934,18.865600448934,17.919332210999,18.178310886644,161547.0
2016-06-08,18.85,19.3,18.61,19.16,223842.0,0.0,1.0,18.775953984287,19.22418630752,18.53689674523,19.084736251403,223842.0
2016-06-07,18.66,19.2,18.53,18.77,275826.0,0.0,1.0,18.5867003367,19.124579124579,18.457210998878,18.696268237935,275826.0
2016-06-06,18.03,18.81,17.88,18.78,171869.0,0.0,1.0,17.959175084175,18.736111111111,17.809764309764,18.706228956229,171869.0
2016-06-03,17.86,17.98,17.0,17.91,259094.0,0.0,1.0,17.789842873176,17.909371492705,16.933221099888,17.839646464646,259094.0
