Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-05-06,9.24,9.26,9.24,9.26,350078.0,0.0,1.0,9.24,9.26,9.24,9.26,350078.0
2016-05-05,9.25,9.25,9.24,9.24,62769.0,0.0,1.0,9.25,9.25,9.24,9.24,62769.0
2016-05-04,9.24,9.26,9.24,9.24,378793.0,0.0,1.0,9.24,9.26,9.24,9.24,378793.0
2016-05-03,9.24,9.25,9.24,9.24,104387.0,0.0,1.0,9.24,9.25,9.24,9.24,104387.0
2016-05-02,9.25,9.25,9.23,9.25,176244.0,0.0,1.0,9.25,9.25,9.23,9.25,176244.0
2016-04-29,9.24,9.25,9.24,9.25,59686.0,0.0,1.0,9.24,9.25,9.24,9.25,59686.0
2016-04-28,9.24,9.25,9.24,9.24,73232.0,0.0,1.0,9.24,9.25,9.24,9.24,73232.0
2016-04-27,9.24,9.25,9.24,9.25,165365.0,0.0,1.0,9.24,9.25,9.24,9.25,165365.0
2016-04-26,9.24,9.26,9.23,9.25,120334.0,0.0,1.0,9.24,9.26,9.23,9.25,120334.0
2016-04-25,9.24,9.25,9.23,9.25,122493.0,0.0,1.0,9.24,9.25,9.23,9.25,122493.0
2016-04-22,9.24,9.25,9.24,9.25,50656.0,0.0,1.0,9.24,9.25,9.24,9.25,50656.0
2016-04-21,9.24,9.26,9.23,9.24,127630.0,0.0,1.0,9.24,9.26,9.23,9.24,127630.0
2016-04-20,9.25,9.25,9.2239,9.24,62880.0,0.0,1.0,9.25,9.25,9.2239,9.24,62880.0
2016-04-19,9.25,9.25,9.24,9.25,87995.0,0.0,1.0,9.25,9.25,9.24,9.25,87995.0
2016-04-18,9.23,9.25,9.23,9.25,84342.0,0.0,1.0,9.23,9.25,9.23,9.25,84342.0
2016-04-15,9.21,9.24,9.21,9.23,115963.0,0.0,1.0,9.21,9.24,9.21,9.23,115963.0
2016-04-14,9.24,9.25,9.21,9.21,146698.0,0.0,1.0,9.24,9.25,9.21,9.21,146698.0
