Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,36.1,36.35,35.65,35.95,211854.0,0.0,1.0,36.1,36.35,35.65,35.95,211854.0
2016-11-16,36.5,37.35,36.1,36.1,275973.0,0.0,1.0,36.5,37.35,36.1,36.1,275973.0
2016-11-15,35.7,36.7708,34.25,36.5,291573.0,0.0,1.0,35.7,36.7708,34.25,36.5,291573.0
2016-11-14,35.25,36.35,35.2,36.0,301169.0,0.0,1.0,35.25,36.35,35.2,36.0,301169.0
2016-11-11,35.0,35.25,33.9,35.1,420237.0,0.0,1.0,35.0,35.25,33.9,35.1,420237.0
2016-11-10,33.5,34.3,33.25,33.95,456530.0,0.0,1.0,33.5,34.3,33.25,33.95,456530.0
2016-11-09,31.75,33.3,30.105,33.3,238853.0,0.0,1.0,31.75,33.3,30.105,33.3,238853.0
2016-11-08,32.3,32.65,32.05,32.45,152657.0,0.0,1.0,32.3,32.65,32.05,32.45,152657.0
2016-11-07,32.3,32.65,31.9,32.3,289727.0,0.0,1.0,32.3,32.65,31.9,32.3,289727.0
2016-11-04,31.5,32.0,31.5,31.8,246102.0,0.0,1.0,31.5,32.0,31.5,31.8,246102.0
2016-11-03,31.5,31.8,31.25,31.35,213204.0,0.0,1.0,31.5,31.8,31.25,31.35,213204.0
2016-11-02,31.6,32.3,31.35,31.65,218184.0,0.0,1.0,31.424583663759,32.120697858842,31.175971451229,31.474306106265,218184.0
2016-11-01,31.75,32.1,31.1,31.7,301073.0,0.0,1.0,31.573750991277,31.921808088818,30.927359238699,31.524028548771,301073.0
2016-10-31,31.45,32.0,31.1592,31.7,380206.0,0.0,1.0,31.275416336241,31.822363203807,30.986230610626,31.524028548771,380206.0
2016-10-28,31.35,32.7,31.225,31.35,266029.0,0.0,1.0,31.175971451229,32.51847739889,31.051665344964,31.175971451229,266029.0
2016-10-27,32.1,33.6,31.15,31.3,713657.0,0.0,1.0,31.921808088818,33.413481363997,30.977081681205,31.126249008723,713657.0
2016-10-26,31.8,31.95,30.9,31.75,295248.0,0.0,1.0,31.623473433783,31.772640761301,30.728469468676,31.573750991277,295248.0
2016-10-25,32.05,32.35,31.8,32.1,384863.0,0.0,1.0,31.872085646312,32.170420301348,31.623473433783,31.921808088818,384863.0
2016-10-24,32.55,32.8,32.15,32.15,364969.0,0.0,1.0,32.369310071372,32.617922283902,31.971530531324,31.971530531324,364969.0
2016-10-21,31.05,32.35,30.95,32.25,258531.0,0.0,1.0,30.877636796193,32.170420301348,30.778191911182,32.070975416336,258531.0
2016-10-20,31.4,31.5,30.9,31.15,134927.0,0.0,1.0,31.225693893735,31.325138778747,30.728469468676,30.977081681205,134927.0
2016-10-19,30.95,31.5,30.4,31.3,218002.0,0.0,1.0,30.778191911182,31.325138778747,30.231245043616,31.126249008723,218002.0
2016-10-18,30.55,31.05,30.35,30.7,194834.0,0.0,1.0,30.380412371134,30.877636796193,30.18152260111,30.529579698652,194834.0
2016-10-17,30.0,30.35,29.8,30.35,135374.0,0.0,1.0,29.833465503569,30.18152260111,29.634575733545,30.18152260111,135374.0
2016-10-14,30.1,30.35,29.35,30.05,163050.0,0.0,1.0,29.93291038858,30.18152260111,29.187073750991,29.883187946075,163050.0
2016-10-13,30.2,30.35,29.6,30.1,113082.0,0.0,1.0,30.032355273592,30.18152260111,29.435685963521,29.93291038858,113082.0
2016-10-12,30.3,30.7,29.9,30.3,110561.0,0.0,1.0,30.131800158604,30.529579698652,29.734020618557,30.131800158604,110561.0
2016-10-11,30.25,30.65,29.95,30.2,141792.0,0.0,1.0,30.082077716098,30.479857256146,29.783743061063,30.032355273592,141792.0
2016-10-10,30.0,30.8,30.0,30.45,95018.0,0.0,1.0,29.833465503569,30.629024583664,29.833465503569,30.280967486122,95018.0
2016-10-07,30.33,30.469,29.97,30.03,172942.0,0.0,1.0,30.161633624108,30.299862014274,29.803632038065,29.863298969072,172942.0
2016-10-06,30.06,30.35,29.82,30.31,147553.0,0.0,1.0,29.893132434576,30.18152260111,29.654464710547,30.141744647105,147553.0
2016-10-05,29.79,30.57,29.73,30.15,153230.0,0.0,1.0,29.624631245044,30.400301348136,29.564964314036,29.982632831086,153230.0
2016-10-04,29.63,29.865,29.36,29.67,118002.0,0.0,1.0,29.465519429025,29.699214908803,29.197018239492,29.505297383029,118002.0
2016-10-03,29.52,29.81,29.05,29.49,213626.0,0.0,1.0,29.356130055511,29.644520222046,28.888739095956,29.326296590008,213626.0
2016-09-30,29.61,29.87,29.2,29.69,313714.0,0.0,1.0,29.445630452022,29.704187153053,29.037906423473,29.525186360032,313714.0
2016-09-29,29.66,29.83,29.39,29.44,226692.0,0.0,1.0,29.495352894528,29.664409199048,29.226851704996,29.276574147502,226692.0
2016-09-28,29.58,29.77,29.15,29.66,141177.0,0.0,1.0,29.415796986519,29.604742268041,28.988183980967,29.495352894528,141177.0
2016-09-27,29.52,29.94,29.49,29.64,254305.0,0.0,1.0,29.356130055511,29.773798572561,29.326296590008,29.475463917526,254305.0
2016-09-26,29.42,29.77,29.05,29.64,144016.0,0.0,1.0,29.2566851705,29.604742268041,28.888739095956,29.475463917526,144016.0
2016-09-23,30.33,30.33,29.5,29.59,200406.0,0.0,1.0,30.161633624108,30.161633624108,29.336241078509,29.42574147502,200406.0
2016-09-22,30.0,30.45,29.9401,30.43,196034.0,0.0,1.0,29.833465503569,30.280967486122,29.773898017446,30.26107850912,196034.0
2016-09-21,28.89,29.95,28.72,29.89,233683.0,0.0,1.0,28.729627279937,29.783743061063,28.560570975416,29.724076130056,233683.0
2016-09-20,28.34,28.94,28.05,28.76,252505.0,0.0,1.0,28.182680412371,28.779349722443,27.894290245837,28.600348929421,252505.0
2016-09-19,27.57,28.51,27.525,28.3,231968.0,0.0,1.0,27.41695479778,28.351736716891,27.372204599524,28.142902458366,231968.0
2016-09-16,27.59,27.59,26.9,27.54,433128.0,0.0,1.0,27.436843774782,27.436843774782,26.7506740682,27.387121332276,433128.0
2016-09-15,27.24,27.6,27.06,27.56,109912.0,0.0,1.0,27.08878667724,27.446788263283,26.909785884219,27.407010309278,109912.0
2016-09-14,27.37,27.45,27.05,27.22,157475.0,0.0,1.0,27.218065027756,27.297620935765,26.899841395718,27.068897700238,157475.0
2016-09-13,28.07,28.19,26.97,27.27,179657.0,0.0,1.0,27.914179222839,28.033513084853,26.820285487708,27.118620142744,179657.0
2016-09-12,27.57,28.26,27.28,28.1,148884.0,0.0,1.0,27.41695479778,28.103124504362,27.128564631245,27.944012688343,148884.0
2016-09-09,28.23,28.23,27.57,27.58,191242.0,0.0,1.0,28.073291038858,28.073291038858,27.41695479778,27.426899286281,191242.0
2016-09-08,28.66,28.95,28.28,28.47,135995.0,0.0,1.0,28.500904044409,28.789294210944,28.123013481364,28.311958762887,135995.0
2016-09-07,28.26,28.75,27.97,28.71,372171.0,0.0,1.0,28.103124504362,28.59040444092,27.814734337827,28.550626486915,372171.0
2016-09-06,28.15,28.68,28.0,28.25,319371.0,0.0,1.0,27.993735130849,28.520793021412,27.844567803331,28.09318001586,319371.0
2016-09-02,28.56,28.7065,28.04,28.11,451523.0,0.0,1.0,28.401459159397,28.54714591594,27.884345757335,27.953957176844,451523.0
2016-09-01,28.85,28.95,28.1703,28.51,261690.0,0.0,1.0,28.689849325932,28.789294210944,28.013922442506,28.351736716891,261690.0
2016-08-31,29.16,29.23,28.5,28.82,168998.0,0.0,1.0,28.998128469469,29.067739888977,28.34179222839,28.660015860428,168998.0
2016-08-30,28.75,29.3,28.67,29.245,156431.0,0.0,1.0,28.59040444092,29.137351308485,28.51084853291,29.082656621729,156431.0
2016-08-29,28.8,29.34,28.7022,28.91,141533.0,0.0,1.0,28.640126883426,29.17712926249,28.542869785884,28.749516256939,141533.0
2016-08-26,28.93,29.12,28.52,28.79,114903.0,0.0,1.0,28.769405233941,28.958350515464,28.361681205393,28.630182394925,114903.0
2016-08-25,29.17,29.44,28.75,28.94,103758.0,0.0,1.0,29.00807295797,29.276574147502,28.59040444092,28.779349722443,103758.0
2016-08-24,29.29,29.33,29.02,29.18,150052.0,0.0,1.0,29.127406819984,29.167184773989,28.858905630452,29.018017446471,150052.0
2016-08-23,29.1,29.52,29.03,29.36,113254.0,0.0,1.0,28.938461538462,29.356130055511,28.868850118953,29.197018239492,113254.0
2016-08-22,29.38,29.795,28.84,28.96,224931.0,0.0,1.0,29.216907216495,29.629603489294,28.679904837431,28.799238699445,224931.0
2016-08-19,29.01,29.43,28.65,29.4,245432.0,0.0,1.0,28.848961141951,29.266629659001,28.490959555908,29.236796193497,245432.0
