Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,11.66,11.87,11.64,11.78,36676.0,0.0,1.0,11.66,11.87,11.64,11.78,36676.0
2016-11-16,11.48,11.62,11.34,11.55,36507.0,0.0,1.0,11.48,11.62,11.34,11.55,36507.0
2016-11-15,11.49,11.61,11.35,11.58,35245.0,0.0,1.0,11.49,11.61,11.35,11.58,35245.0
2016-11-14,11.4,11.69,11.32,11.53,44192.0,0.0,1.0,11.4,11.69,11.32,11.53,44192.0
2016-11-11,10.89,11.5,10.81,11.42,87101.0,0.0,1.0,10.89,11.5,10.81,11.42,87101.0
2016-11-10,10.61,10.96,10.37,10.89,61363.0,0.0,1.0,10.61,10.96,10.37,10.89,61363.0
2016-11-09,10.42,10.67,10.33,10.49,108969.0,0.0,1.0,10.42,10.67,10.33,10.49,108969.0
2016-11-08,10.74,10.74,10.04,10.55,85697.0,0.0,1.0,10.74,10.74,10.04,10.55,85697.0
2016-11-07,10.62,10.94,10.62,10.86,120106.0,0.0,1.0,10.62,10.94,10.62,10.86,120106.0
2016-11-04,9.53,10.57,9.45,10.5,105039.0,0.0,1.0,9.53,10.57,9.45,10.5,105039.0
2016-11-03,9.86,10.0442,9.62,9.67,78648.0,0.0,1.0,9.86,10.0442,9.62,9.67,78648.0
2016-11-02,9.73,10.0,9.66,9.89,44884.0,0.0,1.0,9.73,10.0,9.66,9.89,44884.0
2016-11-01,10.04,10.04,9.59,9.79,64735.0,0.0,1.0,10.04,10.04,9.59,9.79,64735.0
2016-10-31,10.0,10.19,10.0,10.02,52061.0,0.0,1.0,10.0,10.19,10.0,10.02,52061.0
2016-10-28,10.05,10.09,9.95,10.01,24738.0,0.0,1.0,10.05,10.09,9.95,10.01,24738.0
2016-10-27,10.29,10.29,9.8,10.02,62779.0,0.0,1.0,10.29,10.29,9.8,10.02,62779.0
2016-10-26,10.47,10.6,10.06,10.35,43456.0,0.0,1.0,10.47,10.6,10.06,10.35,43456.0
2016-10-25,10.56,10.672,10.3,10.56,31855.0,0.0,1.0,10.56,10.672,10.3,10.56,31855.0
2016-10-24,10.65,10.68,10.42,10.67,29827.0,0.0,1.0,10.65,10.68,10.42,10.67,29827.0
2016-10-21,10.38,10.6,10.2601,10.59,54080.0,0.0,1.0,10.38,10.6,10.2601,10.59,54080.0
2016-10-20,10.27,10.58,10.19,10.55,59426.0,0.0,1.0,10.27,10.58,10.19,10.55,59426.0
2016-10-19,9.76,10.4,9.76,10.36,181348.0,0.0,1.0,9.76,10.4,9.76,10.36,181348.0
2016-10-18,9.83,9.84,9.55,9.7,197964.0,0.0,1.0,9.83,9.84,9.55,9.7,197964.0
2016-10-17,9.72,9.7803,9.56,9.67,58237.0,0.0,1.0,9.72,9.7803,9.56,9.67,58237.0
2016-10-14,9.85,10.0,9.66,9.7,32548.0,0.0,1.0,9.85,10.0,9.66,9.7,32548.0
2016-10-13,9.95,10.01,9.7,9.77,28962.0,0.0,1.0,9.95,10.01,9.7,9.77,28962.0
2016-10-12,10.0,10.12,9.97,10.06,44221.0,0.0,1.0,10.0,10.12,9.97,10.06,44221.0
2016-10-11,10.0,10.09,9.961,10.02,65549.0,0.0,1.0,10.0,10.09,9.961,10.02,65549.0
2016-10-10,10.06,10.26,9.96,10.03,20890.0,0.0,1.0,10.06,10.26,9.96,10.03,20890.0
2016-10-07,10.16,10.22,10.0,10.03,15026.0,0.0,1.0,10.16,10.22,10.0,10.03,15026.0
2016-10-06,10.14,10.205,9.9101,10.17,21379.0,0.0,1.0,10.14,10.205,9.9101,10.17,21379.0
2016-10-05,10.42,10.54,10.13,10.14,28573.0,0.0,1.0,10.42,10.54,10.13,10.14,28573.0
2016-10-04,10.53,10.62,10.25,10.29,24171.0,0.0,1.0,10.53,10.62,10.25,10.29,24171.0
2016-10-03,10.6,10.76,10.36,10.45,48820.0,0.0,1.0,10.6,10.76,10.36,10.45,48820.0
2016-09-30,10.29,10.75,10.22,10.67,35912.0,0.0,1.0,10.29,10.75,10.22,10.67,35912.0
2016-09-29,10.48,10.54,10.13,10.16,35887.0,0.0,1.0,10.48,10.54,10.13,10.16,35887.0
2016-09-28,10.34,10.52,10.17,10.47,64869.0,0.0,1.0,10.34,10.52,10.17,10.47,64869.0
2016-09-27,10.2,10.48,10.15,10.3,31183.0,0.0,1.0,10.2,10.48,10.15,10.3,31183.0
2016-09-26,10.34,10.34,10.04,10.17,28387.0,0.0,1.0,10.34,10.34,10.04,10.17,28387.0
2016-09-23,10.4,10.4,10.11,10.26,38588.0,0.0,1.0,10.4,10.4,10.11,10.26,38588.0
2016-09-22,10.13,10.46,10.12,10.39,204171.0,0.0,1.0,10.13,10.46,10.12,10.39,204171.0
2016-09-21,10.03,10.09,9.75,9.95,45223.0,0.0,1.0,10.03,10.09,9.75,9.95,45223.0
2016-09-20,10.18,10.18,9.65,9.89,58425.0,0.0,1.0,10.18,10.18,9.65,9.89,58425.0
2016-09-19,9.84,10.4,9.81,10.03,87508.0,0.0,1.0,9.84,10.4,9.81,10.03,87508.0
2016-09-16,9.78,9.89,9.52,9.81,78069.0,0.0,1.0,9.78,9.89,9.52,9.81,78069.0
2016-09-15,9.95,10.01,9.77,9.79,46862.0,0.0,1.0,9.95,10.01,9.77,9.79,46862.0
2016-09-14,10.25,10.37,9.94,9.99,72484.0,0.0,1.0,10.25,10.37,9.94,9.99,72484.0
2016-09-13,10.76,10.79,10.13,10.26,79721.0,0.0,1.0,10.76,10.79,10.13,10.26,79721.0
2016-09-12,10.71,10.82,10.61,10.79,79444.0,0.0,1.0,10.71,10.82,10.61,10.79,79444.0
2016-09-09,11.1,11.1,10.71,10.71,107622.0,0.0,1.0,11.1,11.1,10.71,10.71,107622.0
2016-09-08,10.95,11.28,10.94,11.14,108452.0,0.0,1.0,10.95,11.28,10.94,11.14,108452.0
2016-09-07,10.78,11.03,10.72,10.95,87257.0,0.0,1.0,10.78,11.03,10.72,10.95,87257.0
2016-09-06,10.94,11.1,10.66,10.69,167568.0,0.0,1.0,10.94,11.1,10.66,10.69,167568.0
2016-09-02,10.72,10.78,10.54,10.61,95092.0,0.0,1.0,10.72,10.78,10.54,10.61,95092.0
2016-09-01,10.81,10.81,10.61,10.77,138477.0,0.0,1.0,10.81,10.81,10.61,10.77,138477.0
2016-08-31,10.75,10.91,10.48,10.85,48879.0,0.0,1.0,10.75,10.91,10.48,10.85,48879.0
2016-08-30,10.75,10.81,10.57,10.81,30513.0,0.0,1.0,10.75,10.81,10.57,10.81,30513.0
2016-08-29,10.7,10.84,10.58,10.69,60689.0,0.0,1.0,10.7,10.84,10.58,10.69,60689.0
2016-08-26,10.71,10.85,10.35,10.72,52953.0,0.0,1.0,10.71,10.85,10.35,10.72,52953.0
2016-08-25,10.29,10.83,10.17,10.71,65105.0,0.0,1.0,10.29,10.83,10.17,10.71,65105.0
2016-08-24,10.23,10.45,10.23,10.36,83846.0,0.0,1.0,10.23,10.45,10.23,10.36,83846.0
2016-08-23,9.94,10.42,9.87,10.31,306651.0,0.0,1.0,9.94,10.42,9.87,10.31,306651.0
2016-08-22,9.68,9.905,9.59,9.89,78381.0,0.0,1.0,9.68,9.905,9.59,9.89,78381.0
2016-08-19,9.82,9.82,9.52,9.75,69178.0,0.0,1.0,9.82,9.82,9.52,9.75,69178.0
2016-08-18,9.89,9.9,9.61,9.89,61264.0,0.0,1.0,9.89,9.9,9.61,9.89,61264.0
2016-08-17,9.97,9.97,9.68,9.83,50683.0,0.0,1.0,9.97,9.97,9.68,9.83,50683.0
2016-08-16,9.79,9.94,9.66,9.89,72070.0,0.0,1.0,9.79,9.94,9.66,9.89,72070.0
2016-08-15,9.88,9.955,9.75,9.85,131041.0,0.0,1.0,9.88,9.955,9.75,9.85,131041.0
2016-08-12,9.61,9.83,9.41,9.77,48888.0,0.0,1.0,9.61,9.83,9.41,9.77,48888.0
2016-08-11,9.47,9.61,9.33,9.56,58441.0,0.0,1.0,9.47,9.61,9.33,9.56,58441.0
2016-08-10,9.75,9.7699,9.35,9.38,43123.0,0.0,1.0,9.75,9.7699,9.35,9.38,43123.0
2016-08-09,9.85,9.98,9.54,9.86,107208.0,0.0,1.0,9.85,9.98,9.54,9.86,107208.0
2016-08-08,9.74,9.9001,9.71,9.86,37432.0,0.0,1.0,9.74,9.9001,9.71,9.86,37432.0
2016-08-05,9.95,10.03,9.76,9.8,72779.0,0.0,1.0,9.95,10.03,9.76,9.8,72779.0
2016-08-04,9.75,9.98,9.65,9.87,113645.0,0.0,1.0,9.75,9.98,9.65,9.87,113645.0
2016-08-03,9.66,9.715,9.52,9.61,51318.0,0.0,1.0,9.66,9.715,9.52,9.61,51318.0
2016-08-02,9.59,9.85,9.59,9.67,81537.0,0.0,1.0,9.59,9.85,9.59,9.67,81537.0
2016-08-01,9.85,9.85,9.57,9.7,62665.0,0.0,1.0,9.85,9.85,9.57,9.7,62665.0
2016-07-29,10.3,10.37,9.8,9.85,159858.0,0.0,1.0,10.3,10.37,9.8,9.85,159858.0
2016-07-28,9.4,9.72,9.17,9.62,59719.0,0.0,1.0,9.4,9.72,9.17,9.62,59719.0
2016-07-27,9.42,9.55,9.2701,9.43,208897.0,0.0,1.0,9.42,9.55,9.2701,9.43,208897.0
2016-07-26,9.44,9.48,9.18,9.4,40738.0,0.0,1.0,9.44,9.48,9.18,9.4,40738.0
2016-07-25,9.16,9.68,8.98,9.48,78676.0,0.0,1.0,9.16,9.68,8.98,9.48,78676.0
2016-07-22,9.0,9.28,8.85,9.15,71074.0,0.0,1.0,9.0,9.28,8.85,9.15,71074.0
2016-07-21,9.18,9.18,8.88,8.97,190045.0,0.0,1.0,9.18,9.18,8.88,8.97,190045.0
2016-07-20,9.0,9.13,8.87,8.95,161532.0,0.0,1.0,9.0,9.13,8.87,8.95,161532.0
2016-07-19,9.22,9.26,8.95,9.02,73091.0,0.0,1.0,9.22,9.26,8.95,9.02,73091.0
2016-07-18,9.31,9.592,9.06,9.15,144428.0,0.0,1.0,9.31,9.592,9.06,9.15,144428.0
2016-07-15,9.85,9.85,9.3199,9.35,89529.0,0.0,1.0,9.85,9.85,9.3199,9.35,89529.0
2016-07-14,9.95,9.95,9.66,9.72,56718.0,0.0,1.0,9.95,9.95,9.66,9.72,56718.0
2016-07-13,10.14,10.14,9.61,9.89,17046.0,0.0,1.0,10.14,10.14,9.61,9.89,17046.0
2016-07-12,10.05,10.21,9.895,10.0,126209.0,0.0,1.0,10.05,10.21,9.895,10.0,126209.0
2016-07-11,9.74,10.15,9.74,10.0,53224.0,0.0,1.0,9.74,10.15,9.74,10.0,53224.0
2016-07-08,9.63,9.87,9.54,9.8,108561.0,0.0,1.0,9.63,9.87,9.54,9.8,108561.0
2016-07-07,9.52,9.64,9.46,9.5,55845.0,0.0,1.0,9.52,9.64,9.46,9.5,55845.0
2016-07-06,9.49,9.78,9.2301,9.45,73120.0,0.0,1.0,9.49,9.78,9.2301,9.45,73120.0
2016-07-05,9.87,9.87,9.25,9.55,48346.0,0.0,1.0,9.87,9.87,9.25,9.55,48346.0
2016-07-01,9.6,10.02,9.36,9.96,80331.0,0.0,1.0,9.6,10.02,9.36,9.96,80331.0
2016-06-30,9.55,9.56,9.21,9.54,55040.0,0.0,1.0,9.55,9.56,9.21,9.54,55040.0
2016-06-29,9.46,9.5601,9.14,9.45,45770.0,0.0,1.0,9.46,9.5601,9.14,9.45,45770.0
2016-06-28,8.88,9.45,8.88,9.23,58117.0,0.0,1.0,8.88,9.45,8.88,9.23,58117.0
2016-06-27,9.26,9.29,8.71,8.74,60758.0,0.0,1.0,9.26,9.29,8.71,8.74,60758.0
2016-06-24,9.55,9.72,9.36,9.4,173577.0,0.0,1.0,9.55,9.72,9.36,9.4,173577.0
2016-06-23,9.79,10.1,9.71,9.96,28544.0,0.0,1.0,9.79,10.1,9.71,9.96,28544.0
2016-06-22,9.8,10.18,9.54,9.57,24027.0,0.0,1.0,9.8,10.18,9.54,9.57,24027.0
2016-06-21,10.26,10.64,9.67,9.81,59061.0,0.0,1.0,10.26,10.64,9.67,9.81,59061.0
2016-06-20,10.29,10.48,10.24,10.24,39338.0,0.0,1.0,10.29,10.48,10.24,10.24,39338.0
2016-06-17,10.46,10.5,10.18,10.2,82460.0,0.0,1.0,10.46,10.5,10.18,10.2,82460.0
2016-06-16,10.28,10.49,10.1301,10.44,27125.0,0.0,1.0,10.28,10.49,10.1301,10.44,27125.0
2016-06-15,10.44,10.51,10.235,10.35,25802.0,0.0,1.0,10.44,10.51,10.235,10.35,25802.0
2016-06-14,10.35,10.44,10.24,10.43,38613.0,0.0,1.0,10.35,10.44,10.24,10.43,38613.0
2016-06-13,10.35,10.61,10.33,10.37,47871.0,0.0,1.0,10.35,10.61,10.33,10.37,47871.0
2016-06-10,10.52,10.89,10.255,10.37,20586.0,0.0,1.0,10.52,10.89,10.255,10.37,20586.0
2016-06-09,11.05,11.15,10.7,10.72,32352.0,0.0,1.0,11.05,11.15,10.7,10.72,32352.0
2016-06-08,10.66,11.18,10.52,11.05,40794.0,0.0,1.0,10.66,11.18,10.52,11.05,40794.0
2016-06-07,10.09,10.69,10.04,10.62,36101.0,0.0,1.0,10.09,10.69,10.04,10.62,36101.0
2016-06-06,10.26,10.42,9.97,10.12,30700.0,0.0,1.0,10.26,10.42,9.97,10.12,30700.0
2016-06-03,9.96,10.36,9.65,10.27,41404.0,0.0,1.0,9.96,10.36,9.65,10.27,41404.0
2016-06-02,10.0,10.1,9.92,9.96,30083.0,0.0,1.0,10.0,10.1,9.92,9.96,30083.0
2016-06-01,10.1,10.12,10.0,10.0,35399.0,0.0,1.0,10.1,10.12,10.0,10.0,35399.0
2016-05-31,10.2,10.21,9.9,10.13,42439.0,0.0,1.0,10.2,10.21,9.9,10.13,42439.0
2016-05-27,9.95,10.19,9.95,10.18,34920.0,0.0,1.0,9.95,10.19,9.95,10.18,34920.0
2016-05-26,9.96,10.19,9.85,9.91,51365.0,0.0,1.0,9.96,10.19,9.85,9.91,51365.0
2016-05-25,9.97,10.09,9.82,9.97,50884.0,0.0,1.0,9.97,10.09,9.82,9.97,50884.0
2016-05-24,9.34,10.03,9.295,9.99,85346.0,0.0,1.0,9.34,10.03,9.295,9.99,85346.0
2016-05-23,9.11,9.32,9.08,9.2,40270.0,0.0,1.0,9.11,9.32,9.08,9.2,40270.0
2016-05-20,8.78,9.1996,8.78,9.15,41142.0,0.0,1.0,8.78,9.1996,8.78,9.15,41142.0
2016-05-19,8.77,8.84,8.62,8.71,31744.0,0.0,1.0,8.77,8.84,8.62,8.71,31744.0
2016-05-18,8.86,8.9399,8.71,8.82,57356.0,0.0,1.0,8.86,8.9399,8.71,8.82,57356.0
2016-05-17,8.89,9.04,8.71,8.74,57525.0,0.0,1.0,8.89,9.04,8.71,8.74,57525.0
2016-05-16,9.13,9.26,8.88,8.9,26346.0,0.0,1.0,9.13,9.26,8.88,8.9,26346.0
2016-05-13,8.88,9.26,8.71,8.95,121855.0,0.0,1.0,8.88,9.26,8.71,8.95,121855.0
2016-05-12,9.04,9.11,8.96,8.98,58739.0,0.0,1.0,9.04,9.11,8.96,8.98,58739.0
2016-05-11,9.31,9.31,9.02,9.13,52411.0,0.0,1.0,9.31,9.31,9.02,9.13,52411.0
2016-05-10,9.74,9.74,9.25,9.36,37685.0,0.0,1.0,9.74,9.74,9.25,9.36,37685.0
2016-05-09,9.07,9.82,9.07,9.43,48933.0,0.0,1.0,9.07,9.82,9.07,9.43,48933.0
2016-05-06,9.41,9.45,9.25,9.29,44057.0,0.0,1.0,9.41,9.45,9.25,9.29,44057.0
2016-05-05,9.8,10.11,9.32,9.35,72791.0,0.0,1.0,9.8,10.11,9.32,9.35,72791.0
2016-05-04,10.23,10.24,9.53,9.57,81092.0,0.0,1.0,10.23,10.24,9.53,9.57,81092.0
2016-05-03,10.75,10.75,10.27,10.29,93408.0,0.0,1.0,10.75,10.75,10.27,10.29,93408.0
2016-05-02,11.11,11.11,10.685,10.86,94163.0,0.0,1.0,11.11,11.11,10.685,10.86,94163.0
2016-04-29,10.95,11.445,10.95,11.13,174562.0,0.0,1.0,10.95,11.445,10.95,11.13,174562.0
2016-04-28,12.11,12.35,11.8801,12.25,147197.0,0.0,1.0,12.11,12.35,11.8801,12.25,147197.0
2016-04-27,12.28,12.38,12.06,12.19,24838.0,0.0,1.0,12.28,12.38,12.06,12.19,24838.0
2016-04-26,12.31,12.32,12.12,12.22,30766.0,0.0,1.0,12.31,12.32,12.12,12.22,30766.0
2016-04-25,12.32,12.34,12.12,12.21,39115.0,0.0,1.0,12.32,12.34,12.12,12.21,39115.0
2016-04-22,12.5,12.54,12.26,12.31,26017.0,0.0,1.0,12.5,12.54,12.26,12.31,26017.0
2016-04-21,12.3,12.59,12.3,12.51,28369.0,0.0,1.0,12.3,12.59,12.3,12.51,28369.0
2016-04-20,12.27,12.46,12.14,12.36,44535.0,0.0,1.0,12.27,12.46,12.14,12.36,44535.0
2016-04-19,12.54,12.79,12.18,12.26,58760.0,0.0,1.0,12.54,12.79,12.18,12.26,58760.0
2016-04-18,12.44,12.71,12.32,12.54,28229.0,0.0,1.0,12.44,12.71,12.32,12.54,28229.0
2016-04-15,12.37,12.69,12.17,12.55,52818.0,0.0,1.0,12.37,12.69,12.17,12.55,52818.0
2016-04-14,12.55,12.67,12.245,12.37,46971.0,0.0,1.0,12.55,12.67,12.245,12.37,46971.0
2016-04-13,12.3,12.6,12.1,12.54,38581.0,0.0,1.0,12.3,12.6,12.1,12.54,38581.0
2016-04-12,12.19,12.36,12.02,12.25,53858.0,0.0,1.0,12.19,12.36,12.02,12.25,53858.0
2016-04-11,12.25,12.25,11.95,12.16,29542.0,0.0,1.0,12.25,12.25,11.95,12.16,29542.0
2016-04-08,12.27,12.27,11.9,12.14,35070.0,0.0,1.0,12.27,12.27,11.9,12.14,35070.0
2016-04-07,11.95,12.14,11.78,12.08,38085.0,0.0,1.0,11.95,12.14,11.78,12.08,38085.0
2016-04-06,11.6,12.18,11.54,12.07,39936.0,0.0,1.0,11.6,12.18,11.54,12.07,39936.0
2016-04-05,11.5,11.86,11.4,11.65,71967.0,0.0,1.0,11.5,11.86,11.4,11.65,71967.0
2016-04-04,12.31,12.31,11.35,11.65,69665.0,0.0,1.0,12.31,12.31,11.35,11.65,69665.0
2016-04-01,12.21,12.35,11.84,12.27,77727.0,0.0,1.0,12.21,12.35,11.84,12.27,77727.0
2016-03-31,11.78,12.43,11.78,12.26,114451.0,0.0,1.0,11.78,12.43,11.78,12.26,114451.0
2016-03-30,11.82,11.89,11.64,11.74,34713.0,0.0,1.0,11.82,11.89,11.64,11.74,34713.0
2016-03-29,11.15,11.77,11.15,11.73,102681.0,0.0,1.0,11.15,11.77,11.15,11.73,102681.0
2016-03-28,11.19,11.42,11.06,11.18,59574.0,0.0,1.0,11.19,11.42,11.06,11.18,59574.0
2016-03-24,11.1,11.395,10.94,11.19,73882.0,0.0,1.0,11.1,11.395,10.94,11.19,73882.0
2016-03-23,11.45,11.49,11.06,11.1,40511.0,0.0,1.0,11.45,11.49,11.06,11.1,40511.0
2016-03-22,11.72,11.73,11.35,11.47,34386.0,0.0,1.0,11.72,11.73,11.35,11.47,34386.0
2016-03-21,12.14,12.17,11.7,11.74,42599.0,0.0,1.0,12.14,12.17,11.7,11.74,42599.0
2016-03-18,11.95,12.13,11.74,12.01,59004.0,0.0,1.0,11.95,12.13,11.74,12.01,59004.0
2016-03-17,11.33,11.83,11.15,11.8,50996.0,0.0,1.0,11.33,11.83,11.15,11.8,50996.0
2016-03-16,11.14,11.48,11.11,11.32,22886.0,0.0,1.0,11.14,11.48,11.11,11.32,22886.0
2016-03-15,11.63,11.63,11.13,11.2,30537.0,0.0,1.0,11.63,11.63,11.13,11.2,30537.0
2016-03-14,11.32,11.7,11.18,11.65,42208.0,0.0,1.0,11.32,11.7,11.18,11.65,42208.0
2016-03-11,11.12,11.45,11.12,11.34,36816.0,0.0,1.0,11.12,11.45,11.12,11.34,36816.0
2016-03-10,11.42,11.5199,10.87,11.01,62653.0,0.0,1.0,11.42,11.5199,10.87,11.01,62653.0
2016-03-09,11.15,11.57,10.9,11.35,73242.0,0.0,1.0,11.15,11.57,10.9,11.35,73242.0
2016-03-08,11.35,11.5,10.89,11.08,117680.0,0.0,1.0,11.35,11.5,10.89,11.08,117680.0
2016-03-07,10.72,11.48,10.72,11.47,112875.0,0.0,1.0,10.72,11.48,10.72,11.47,112875.0
2016-03-04,10.5,10.83,10.36,10.75,146159.0,0.0,1.0,10.5,10.83,10.36,10.75,146159.0
2016-03-03,10.2,10.79,10.16,10.41,79360.0,0.0,1.0,10.2,10.79,10.16,10.41,79360.0
2016-03-02,10.23,10.3,10.0,10.28,118323.0,0.0,1.0,10.23,10.3,10.0,10.28,118323.0
2016-03-01,10.22,10.39,9.81,10.19,116218.0,0.0,1.0,10.22,10.39,9.81,10.19,116218.0
2016-02-29,10.06,10.19,9.76,10.05,181884.0,0.0,1.0,10.06,10.19,9.76,10.05,181884.0
2016-02-26,10.6,10.94,9.81,10.1,273389.0,0.0,1.0,10.6,10.94,9.81,10.1,273389.0
2016-02-25,8.45,8.76,8.2,8.66,76656.0,0.0,1.0,8.45,8.76,8.2,8.66,76656.0
2016-02-24,7.95,8.51,7.95,8.41,73641.0,0.0,1.0,7.95,8.51,7.95,8.41,73641.0
2016-02-23,8.0,8.15,7.81,7.99,123388.0,0.0,1.0,8.0,8.15,7.81,7.99,123388.0
2016-02-22,7.74,8.13,7.71,8.0,39724.0,0.0,1.0,7.74,8.13,7.71,8.0,39724.0
2016-02-19,7.75,7.85,7.66,7.68,49154.0,0.0,1.0,7.75,7.85,7.66,7.68,49154.0
