Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,12.3,12.4,12.2,12.3,729981.0,0.0,1.0,12.3,12.4,12.2,12.3,729981.0
2016-11-16,12.25,12.35,12.15,12.2,538780.0,0.0,1.0,12.25,12.35,12.15,12.2,538780.0
2016-11-15,12.45,12.45,12.05,12.25,761152.0,0.0,1.0,12.45,12.45,12.05,12.25,761152.0
2016-11-14,12.45,12.6,12.2,12.45,841642.0,0.0,1.0,12.45,12.6,12.2,12.45,841642.0
2016-11-11,11.8,12.4,11.75,12.25,1408332.0,0.0,1.0,11.8,12.4,11.75,12.25,1408332.0
2016-11-10,11.6,11.95,11.5,11.75,1102793.0,0.0,1.0,11.6,11.95,11.5,11.75,1102793.0
2016-11-09,11.1,11.525,11.05,11.5,912879.0,0.0,1.0,11.1,11.525,11.05,11.5,912879.0
2016-11-08,11.05,11.3,11.05,11.2,697839.0,0.0,1.0,11.05,11.3,11.05,11.2,697839.0
2016-11-07,11.05,11.275,10.975,11.1,713016.0,0.0,1.0,11.05,11.275,10.975,11.1,713016.0
2016-11-04,10.9,11.1,10.75,10.95,929377.0,0.0,1.0,10.9,11.1,10.75,10.95,929377.0
2016-11-03,10.9,10.95,10.6,10.8,1168626.0,0.0,1.0,10.9,10.95,10.6,10.8,1168626.0
2016-11-02,11.0,11.2,10.85,10.95,863341.0,0.0,1.0,11.0,11.2,10.85,10.95,863341.0
2016-11-01,10.9,11.0,10.75,10.9,914892.0,0.0,1.0,10.9,11.0,10.75,10.9,914892.0
2016-10-31,11.05,11.1,10.9,10.9,620960.0,0.0,1.0,11.05,11.1,10.9,10.9,620960.0
2016-10-28,10.95,11.1,10.9,11.05,393905.0,0.0,1.0,10.95,11.1,10.9,11.05,393905.0
2016-10-27,11.4,11.4,10.8,11.0,872577.0,0.0,1.0,11.4,11.4,10.8,11.0,872577.0
2016-10-26,11.45,11.55,11.3,11.4,649305.0,0.0,1.0,11.45,11.55,11.3,11.4,649305.0
2016-10-25,11.4,11.5,11.35,11.45,377289.0,0.0,1.0,11.4,11.5,11.35,11.45,377289.0
2016-10-24,11.7,11.7,11.45,11.5,558244.0,0.0,1.0,11.7,11.7,11.45,11.5,558244.0
2016-10-21,11.4,11.55,11.3,11.55,346539.0,0.0,1.0,11.4,11.55,11.3,11.55,346539.0
2016-10-20,11.5,11.6,11.4,11.55,526759.0,0.0,1.0,11.5,11.6,11.4,11.55,526759.0
