Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,4.92,5.079,4.9073,5.05,2921613.0,0.0,1.0,4.92,5.079,4.9073,5.05,2921613.0
2016-11-16,4.88,4.98,4.78,4.9,3295349.0,0.0,1.0,4.88,4.98,4.78,4.9,3295349.0
2016-11-15,4.82,4.86,4.5193,4.81,3545113.0,0.0,1.0,4.82,4.86,4.5193,4.81,3545113.0
2016-11-14,4.83,4.995,4.77,4.8,3638066.0,0.0,1.0,4.83,4.995,4.77,4.8,3638066.0
2016-11-11,4.94,5.01,4.69,4.73,5313927.0,0.0,1.0,4.94,5.01,4.69,4.73,5313927.0
2016-11-10,4.77,5.01,4.74,4.82,5761248.0,0.0,1.0,4.77,5.01,4.74,4.82,5761248.0
2016-11-09,4.28,4.85,4.28,4.67,4888498.0,0.0,1.0,4.28,4.85,4.28,4.67,4888498.0
2016-11-08,4.33,4.59,4.239,4.47,5680959.0,0.0,1.0,4.33,4.59,4.239,4.47,5680959.0
2016-11-07,4.3605,4.42,4.29,4.33,2366872.0,0.0,1.0,4.3605,4.42,4.29,4.33,2366872.0
2016-11-04,4.18,4.36,4.1599,4.26,2161805.0,0.0,1.0,4.18,4.36,4.1599,4.26,2161805.0
2016-11-03,4.28,4.28,4.16,4.18,2440863.0,0.0,1.0,4.28,4.28,4.16,4.18,2440863.0
2016-11-02,4.35,4.39,4.24,4.24,3164089.0,0.0,1.0,4.35,4.39,4.24,4.24,3164089.0
2016-11-01,4.33,4.42,4.21,4.36,3817302.0,0.0,1.0,4.33,4.42,4.21,4.36,3817302.0
2016-10-31,4.27,4.35,4.18,4.27,3951599.0,0.0,1.0,4.27,4.35,4.18,4.27,3951599.0
2016-10-28,4.19,4.51,4.09,4.19,8466233.0,0.0,1.0,4.19,4.51,4.09,4.19,8466233.0
2016-10-27,4.12,4.42,3.97,4.12,14767855.0,0.0,1.0,4.12,4.42,3.97,4.12,14767855.0
2016-10-26,3.72,3.77,3.5,3.52,5199505.0,0.0,1.0,3.72,3.77,3.5,3.52,5199505.0
2016-10-25,3.94,4.1193,3.73,3.74,7248135.0,0.0,1.0,3.94,4.1193,3.73,3.74,7248135.0
2016-10-24,4.03,4.14,4.03,4.06,2371562.0,0.0,1.0,4.03,4.14,4.03,4.06,2371562.0
2016-10-21,4.15,4.21,3.88,4.0,3971182.0,0.0,1.0,4.15,4.21,3.88,4.0,3971182.0
2016-10-20,4.04,4.28,4.01,4.2,4640941.0,0.0,1.0,4.04,4.28,4.01,4.2,4640941.0
2016-10-19,3.85,4.08,3.83,4.03,3079290.0,0.0,1.0,3.85,4.08,3.83,4.03,3079290.0
2016-10-18,3.65,4.05,3.62,3.84,4248640.0,0.0,1.0,3.65,4.05,3.62,3.84,4248640.0
2016-10-17,3.67,3.6799,3.55,3.57,2744407.0,0.0,1.0,3.67,3.6799,3.55,3.57,2744407.0
2016-10-14,3.75,3.79,3.66,3.68,1914859.0,0.0,1.0,3.75,3.79,3.66,3.68,1914859.0
2016-10-13,3.52,3.73,3.51,3.7,2430237.0,0.0,1.0,3.52,3.73,3.51,3.7,2430237.0
2016-10-12,3.53,3.62,3.4899,3.55,1979070.0,0.0,1.0,3.53,3.62,3.4899,3.55,1979070.0
2016-10-11,3.65,3.79,3.48,3.51,5354939.0,0.0,1.0,3.65,3.79,3.48,3.51,5354939.0
2016-10-10,3.74,3.82,3.64,3.64,2706113.0,0.0,1.0,3.74,3.82,3.64,3.64,2706113.0
2016-10-07,3.85,3.88,3.61,3.74,2635801.0,0.0,1.0,3.85,3.88,3.61,3.74,2635801.0
2016-10-06,4.02,4.07,3.82,3.82,4087544.0,0.0,1.0,4.02,4.07,3.82,3.82,4087544.0
2016-10-05,4.04,4.12,3.931,4.0,4278951.0,0.0,1.0,4.04,4.12,3.931,4.0,4278951.0
