Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,0.451,0.4637,0.4411,0.445,229458.0,0.0,1.0,0.451,0.4637,0.4411,0.445,229458.0
2016-11-16,0.43,0.47,0.4,0.452,830390.0,0.0,1.0,0.43,0.47,0.4,0.452,830390.0
2016-11-15,0.43,0.4389,0.4212,0.43,176843.0,0.0,1.0,0.43,0.4389,0.4212,0.43,176843.0
2016-11-14,0.4024,0.4351,0.4024,0.429,150370.0,0.0,1.0,0.4024,0.4351,0.4024,0.429,150370.0
2016-11-11,0.4389,0.4389,0.3815,0.4,115515.0,0.0,1.0,0.4389,0.4389,0.3815,0.4,115515.0
2016-11-10,0.4126,0.4191,0.38,0.4191,158167.0,0.0,1.0,0.4126,0.4191,0.38,0.4191,158167.0
2016-11-09,0.4,0.41,0.3607,0.393,52518.0,0.0,1.0,0.4,0.41,0.3607,0.393,52518.0
2016-11-08,0.4,0.42,0.3652,0.42,149839.0,0.0,1.0,0.4,0.42,0.3652,0.42,149839.0
2016-11-07,0.4,0.44,0.38,0.3999,149173.0,0.0,1.0,0.4,0.44,0.38,0.3999,149173.0
2016-11-04,0.3601,0.43,0.351,0.39,316812.0,0.0,1.0,0.3601,0.43,0.351,0.39,316812.0
2016-11-03,0.377,0.39,0.3504,0.3662,113366.0,0.0,1.0,0.377,0.39,0.3504,0.3662,113366.0
2016-11-02,0.38,0.4175,0.36,0.3701,303970.0,0.0,1.0,0.38,0.4175,0.36,0.3701,303970.0
2016-11-01,0.4283,0.44,0.38,0.3892,330486.0,0.0,1.0,0.4283,0.44,0.38,0.3892,330486.0
2016-10-31,0.44,0.462,0.4036,0.42,264665.0,0.0,1.0,0.44,0.462,0.4036,0.42,264665.0
2016-10-28,0.4611,0.47,0.42,0.4299,620322.0,0.0,1.0,0.4611,0.47,0.42,0.4299,620322.0
2016-10-27,0.53,0.53,0.451,0.4599,1685158.0,0.0,1.0,0.53,0.53,0.451,0.4599,1685158.0
2016-10-26,0.537,0.702,0.5,0.55,13149255.0,0.0,1.0,0.537,0.702,0.5,0.55,13149255.0
2016-10-25,0.3705,0.4,0.3705,0.3705,78321.0,0.0,1.0,0.3705,0.4,0.3705,0.3705,78321.0
2016-10-24,0.405,0.405,0.3701,0.3701,160075.0,0.0,1.0,0.405,0.405,0.3701,0.3701,160075.0
2016-10-21,0.377,0.405,0.37,0.405,446153.0,0.0,1.0,0.377,0.405,0.37,0.405,446153.0
