Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,12.86,13.405,12.51,13.24,836838.0,0.0,1.0,12.86,13.405,12.51,13.24,836838.0
2016-11-16,13.59,14.03,12.795,12.89,993061.0,0.0,1.0,13.59,14.03,12.795,12.89,993061.0
2016-11-15,13.6,14.15,13.49,13.75,1159198.0,0.0,1.0,13.6,14.15,13.49,13.75,1159198.0
2016-11-14,12.89,13.47,12.52,13.46,1284781.0,0.0,1.0,12.89,13.47,12.52,13.46,1284781.0
2016-11-11,11.89,12.95,11.83,12.65,1156006.0,0.0,1.0,11.89,12.95,11.83,12.65,1156006.0
2016-11-10,11.1,12.3,11.04,11.88,2363168.0,0.0,1.0,11.1,12.3,11.04,11.88,2363168.0
2016-11-09,9.6,10.35,9.6,10.13,1007758.0,0.0,1.0,9.6,10.35,9.6,10.13,1007758.0
2016-11-08,9.75,10.0399,9.11,9.23,851989.0,0.0,1.0,9.75,10.0399,9.11,9.23,851989.0
2016-11-07,10.5,10.5,9.63,9.83,1230916.0,0.0,1.0,10.5,10.5,9.63,9.83,1230916.0
2016-11-04,9.15,9.985,9.12,9.72,867096.0,0.0,1.0,9.15,9.985,9.12,9.72,867096.0
2016-11-03,8.95,9.34,8.811,9.06,930067.0,0.0,1.0,8.95,9.34,8.811,9.06,930067.0
2016-11-02,8.35,8.75,8.2111,8.65,759133.0,0.0,1.0,8.35,8.75,8.2111,8.65,759133.0
2016-11-01,8.34,8.4607,8.06,8.31,637468.0,0.0,1.0,8.34,8.4607,8.06,8.31,637468.0
2016-10-31,8.12,8.22,7.81,8.2,663027.0,0.0,1.0,8.12,8.22,7.81,8.2,663027.0
2016-10-28,8.01,8.04,7.8,7.85,493775.0,0.0,1.0,8.01,8.04,7.8,7.85,493775.0
2016-10-27,8.29,8.44,7.82,7.99,687559.0,0.0,1.0,8.29,8.44,7.82,7.99,687559.0
2016-10-26,8.39,8.49,8.03,8.16,477636.0,0.0,1.0,8.39,8.49,8.03,8.16,477636.0
2016-10-25,8.8,8.95,8.2,8.43,767311.0,0.0,1.0,8.8,8.95,8.2,8.43,767311.0
2016-10-24,8.86,9.6,8.7,8.72,1688010.0,0.0,1.0,8.86,9.6,8.7,8.72,1688010.0
2016-10-21,8.71,8.97,8.17,8.52,2146045.0,0.0,1.0,8.71,8.97,8.17,8.52,2146045.0
