Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-10-27,33.2,33.97,33.08,33.94,3376626.0,0.0,1.0,33.2,33.97,33.08,33.94,3376626.0
2015-10-26,32.75,33.29,32.1,32.28,1255994.0,0.0,1.0,32.75,33.29,32.1,32.28,1255994.0
2015-10-23,33.3,33.36,31.71,33.18,2982485.0,0.0,1.0,33.3,33.36,31.71,33.18,2982485.0
2015-10-22,33.99,34.01,32.29,33.2,11270902.0,0.0,1.0,33.99,34.01,32.29,33.2,11270902.0
2015-10-21,33.96,34.0,33.96,33.98,851995.0,0.0,1.0,33.96,34.0,33.96,33.98,851995.0
2015-10-20,33.96,33.98,33.96,33.96,799598.0,0.0,1.0,33.96,33.98,33.96,33.96,799598.0
2015-10-19,33.87,33.97,33.82,33.96,860177.0,0.0,1.0,33.87,33.97,33.82,33.96,860177.0
2015-10-16,33.88,33.92,33.86,33.88,321432.0,0.0,1.0,33.88,33.92,33.86,33.88,321432.0
2015-10-15,33.9,33.9,33.86,33.89,410461.0,0.0,1.0,33.9,33.9,33.86,33.89,410461.0
2015-10-14,33.9,33.92,33.855,33.87,510808.0,0.0,1.0,33.9,33.92,33.855,33.87,510808.0
2015-10-13,33.91,33.93,33.86,33.88,264527.0,0.0,1.0,33.91,33.93,33.86,33.88,264527.0
2015-10-12,33.95,33.95,33.91,33.93,123538.0,0.0,1.0,33.95,33.95,33.91,33.93,123538.0
2015-10-09,33.9,33.94,33.8897,33.92,503985.0,0.0,1.0,33.9,33.94,33.8897,33.92,503985.0
2015-10-08,33.82,33.905,33.82,33.9,183282.0,0.0,1.0,33.82,33.905,33.82,33.9,183282.0
2015-10-07,33.85,33.9,33.74,33.86,243156.0,0.0,1.0,33.85,33.9,33.74,33.86,243156.0
2015-10-06,33.69,33.86,33.66,33.85,1009276.0,0.0,1.0,33.69,33.86,33.66,33.85,1009276.0
2015-10-05,33.17,33.79,33.06,33.65,424441.0,0.0,1.0,33.17,33.79,33.06,33.65,424441.0
2015-10-02,32.94,33.09,32.83,33.09,783778.0,0.0,1.0,32.94,33.09,32.83,33.09,783778.0
2015-10-01,32.99,33.06,32.66,32.99,1109657.0,0.0,1.0,32.99,33.06,32.66,32.99,1109657.0
2015-09-30,33.18,33.28,32.695,32.89,864220.0,0.0,1.0,33.18,33.28,32.695,32.89,864220.0
2015-09-29,33.24,33.4,33.07,33.09,539007.0,0.0,1.0,33.24,33.4,33.07,33.09,539007.0
2015-09-28,33.43,33.48,33.19,33.25,284403.0,0.0,1.0,33.43,33.48,33.19,33.25,284403.0
2015-09-25,33.43,33.56,33.37,33.43,544958.0,0.0,1.0,33.43,33.56,33.37,33.43,544958.0
2015-09-24,33.4,33.53,33.37,33.38,324679.0,0.0,1.0,33.4,33.53,33.37,33.38,324679.0
2015-09-23,33.55,33.55,33.43,33.45,167693.0,0.0,1.0,33.55,33.55,33.43,33.45,167693.0
2015-09-22,33.55,33.64,33.46,33.47,252396.0,0.0,1.0,33.55,33.64,33.46,33.47,252396.0
2015-09-21,33.63,33.74,33.51,33.54,116685.0,0.0,1.0,33.63,33.74,33.51,33.54,116685.0
2015-09-18,33.26,33.72,33.26,33.51,261071.0,0.0,1.0,33.26,33.72,33.26,33.51,261071.0
2015-09-17,33.65,33.74,33.55,33.57,507412.0,0.0,1.0,33.65,33.74,33.55,33.57,507412.0
2015-09-16,33.7,33.89,33.65,33.65,125300.0,0.0,1.0,33.7,33.89,33.65,33.65,125300.0
2015-09-15,33.69,33.75,33.65,33.66,275060.0,0.0,1.0,33.69,33.75,33.65,33.66,275060.0
2015-09-14,33.69,33.73,33.58,33.65,240028.0,0.0,1.0,33.69,33.73,33.58,33.65,240028.0
2015-09-11,33.61,33.74,33.61,33.69,106296.0,0.0,1.0,33.61,33.74,33.61,33.69,106296.0
2015-09-10,33.65,33.79,33.64,33.72,229051.0,0.0,1.0,33.65,33.79,33.64,33.72,229051.0
2015-09-09,33.49,33.71,33.45,33.66,929381.0,0.0,1.0,33.49,33.71,33.45,33.66,929381.0
2015-09-08,33.45,33.5,33.27,33.43,220446.0,0.0,1.0,33.45,33.5,33.27,33.43,220446.0
2015-09-04,33.1,33.43,33.01,33.26,185974.0,0.0,1.0,33.1,33.43,33.01,33.26,185974.0
2015-09-03,33.36,33.59,33.05,33.29,381191.0,0.0,1.0,33.36,33.59,33.05,33.29,381191.0
2015-09-02,33.36,33.48,33.11,33.3,296562.0,0.0,1.0,33.36,33.48,33.11,33.3,296562.0
2015-09-01,33.44,33.89,33.13,33.14,772855.0,0.0,1.0,33.44,33.89,33.13,33.14,772855.0
2015-08-31,33.57,33.62,33.42,33.5,374408.0,0.0,1.0,33.57,33.62,33.42,33.5,374408.0
2015-08-28,33.47,33.67,33.35,33.48,410556.0,0.0,1.0,33.47,33.67,33.35,33.48,410556.0
2015-08-27,33.2,33.54,33.2,33.47,341039.0,0.0,1.0,33.2,33.54,33.2,33.47,341039.0
2015-08-26,33.4,33.4,33.09,33.19,503888.0,0.0,1.0,33.4,33.4,33.09,33.19,503888.0
2015-08-25,33.37,33.56,33.22,33.22,232888.0,0.0,1.0,33.37,33.56,33.22,33.22,232888.0
2015-08-24,32.99,33.47,32.99,33.4,386400.0,0.0,1.0,32.99,33.47,32.99,33.4,386400.0
2015-08-21,33.35,33.47,33.35,33.42,477414.0,0.0,1.0,33.35,33.47,33.35,33.42,477414.0
2015-08-20,33.5,33.55,33.45,33.45,535757.0,0.0,1.0,33.5,33.55,33.45,33.45,535757.0
2015-08-19,33.51,33.55,33.45,33.51,634232.0,0.0,1.0,33.51,33.55,33.45,33.51,634232.0
2015-08-18,33.45,33.55,33.4,33.51,320530.0,0.0,1.0,33.45,33.55,33.4,33.51,320530.0
2015-08-17,33.5,33.55,33.41,33.48,482381.0,0.0,1.0,33.5,33.55,33.41,33.48,482381.0
2015-08-14,33.47,33.56,33.41,33.56,905873.0,0.0,1.0,33.47,33.56,33.41,33.56,905873.0
2015-08-13,33.45,33.51,33.45,33.47,607729.0,0.0,1.0,33.45,33.51,33.45,33.47,607729.0
2015-08-12,33.51,33.58,33.43,33.5,649660.0,0.0,1.0,33.51,33.58,33.43,33.5,649660.0
2015-08-11,33.57,33.65,33.41,33.5,595870.0,0.0,1.0,33.57,33.65,33.41,33.5,595870.0
2015-08-10,33.58,33.63,33.4,33.6,685356.0,0.0,1.0,33.58,33.63,33.4,33.6,685356.0
2015-08-07,33.49,33.58,33.39,33.5,696603.0,0.0,1.0,33.49,33.58,33.39,33.5,696603.0
2015-08-06,33.5,33.64,33.47,33.51,714292.0,0.0,1.0,33.5,33.64,33.47,33.51,714292.0
2015-08-05,33.55,33.6,33.45,33.53,4438179.0,0.0,1.0,33.55,33.6,33.45,33.53,4438179.0
2015-08-04,33.82,33.95,33.75,33.81,229450.0,0.0,1.0,33.82,33.95,33.75,33.81,229450.0
2015-08-03,33.88,33.92,33.78,33.8,364684.0,0.0,1.0,33.88,33.92,33.78,33.8,364684.0
2015-07-31,33.87,33.93,33.76,33.88,367452.0,0.0,1.0,33.87,33.93,33.76,33.88,367452.0
2015-07-30,33.72,33.96,33.66,33.8,556839.0,0.0,1.0,33.72,33.96,33.66,33.8,556839.0
2015-07-29,33.91,33.96,33.69,33.69,513806.0,0.0,1.0,33.91,33.96,33.69,33.69,513806.0
2015-07-28,33.74,33.97,33.57,33.86,687362.0,0.0,1.0,33.74,33.97,33.57,33.86,687362.0
2015-07-27,33.93,33.93,33.6,33.67,812861.0,0.0,1.0,33.93,33.93,33.6,33.67,812861.0
2015-07-24,34.05,34.11,33.92,34.0,239078.0,0.0,1.0,34.05,34.11,33.92,34.0,239078.0
2015-07-23,34.12,34.27,33.9,33.98,836209.0,0.0,1.0,34.12,34.27,33.9,33.98,836209.0
2015-07-22,34.02,34.17,33.95,34.05,384841.0,0.0,1.0,34.02,34.17,33.95,34.05,384841.0
2015-07-21,34.06,34.19,34.01,34.05,560191.0,0.0,1.0,34.06,34.19,34.01,34.05,560191.0
2015-07-20,34.14,34.14,34.04,34.05,366770.0,0.0,1.0,34.14,34.14,34.04,34.05,366770.0
2015-07-17,34.2,34.3,34.1,34.14,328671.0,0.0,1.0,34.2,34.3,34.1,34.14,328671.0
2015-07-16,34.64,34.64,34.64,34.25,873643.0,0.0,1.0,34.64,34.64,34.64,34.25,873643.0
2015-07-15,34.56,34.595,34.445,34.53,208335.0,0.0,1.0,34.56,34.595,34.445,34.53,208335.0
2015-07-14,34.53,34.65,34.525,34.57,103788.0,0.0,1.0,34.53,34.65,34.525,34.57,103788.0
2015-07-10,34.51,34.87,34.5,34.54,532893.0,0.0,1.0,34.51,34.87,34.5,34.54,532893.0
2015-07-09,34.92,35.0,34.5,34.5,527830.0,0.0,1.0,34.92,35.0,34.5,34.5,527830.0
2015-07-08,34.38,34.7,34.251,34.69,222775.0,0.0,1.0,34.38,34.7,34.251,34.69,222775.0
2015-07-07,34.81,34.99,34.33,34.77,1182967.0,0.0,1.0,34.81,34.99,34.33,34.77,1182967.0
2015-07-06,34.44,34.94,34.33,34.79,1643440.0,0.0,1.0,34.44,34.94,34.33,34.79,1643440.0
2015-07-02,33.57,33.615,33.43,33.46,517107.0,0.0,1.0,33.57,33.615,33.43,33.46,517107.0
2015-07-01,33.76,33.86,33.52,33.57,263627.0,0.0,1.0,33.76,33.86,33.52,33.57,263627.0
2015-06-30,33.75,33.785,33.5,33.555,404697.0,0.0,1.0,33.75,33.785,33.5,33.555,404697.0
2015-06-29,33.91,34.03,33.42,33.62,1415403.0,0.0,1.0,33.91,34.03,33.42,33.62,1415403.0
2015-06-26,34.1,34.1,34.02,34.02,151243.0,0.0,1.0,34.1,34.1,34.02,34.02,151243.0
2015-06-25,34.1,34.135,34.015,34.08,189495.0,0.0,1.0,34.1,34.135,34.015,34.08,189495.0
2015-06-24,34.09,34.12,34.02,34.05,242582.0,0.0,1.0,34.09,34.12,34.02,34.05,242582.0
2015-06-23,34.1,34.2,34.0,34.08,230018.0,0.0,1.0,34.1,34.2,34.0,34.08,230018.0
2015-06-22,34.17,34.26,34.08,34.11,106195.0,0.0,1.0,34.17,34.26,34.08,34.11,106195.0
2015-06-19,34.16,34.22,34.08,34.17,177899.0,0.0,1.0,34.16,34.22,34.08,34.17,177899.0
2015-06-18,34.1,34.24,34.08,34.15,218181.0,0.0,1.0,34.1,34.24,34.08,34.15,218181.0
2015-06-17,34.1,34.15,34.0,34.13,370791.0,0.0,1.0,34.1,34.15,34.0,34.13,370791.0
2015-06-16,34.05,34.17,34.02,34.07,788511.0,0.0,1.0,34.05,34.17,34.02,34.07,788511.0
2015-06-15,34.07,34.15,34.0,34.08,517285.0,0.0,1.0,34.07,34.15,34.0,34.08,517285.0
2015-06-12,34.19,34.33,34.06,34.11,180413.0,0.0,1.0,34.19,34.33,34.06,34.11,180413.0
2015-06-11,34.21,34.38,34.04,34.27,309233.0,0.0,1.0,34.21,34.38,34.04,34.27,309233.0
2015-06-10,34.44,34.5,34.1,34.14,351084.0,0.0,1.0,34.44,34.5,34.1,34.14,351084.0
2015-06-09,34.58,34.6,34.1,34.2,398513.0,0.0,1.0,34.58,34.6,34.1,34.2,398513.0
2015-06-08,34.45,34.63,34.22,34.49,433245.0,0.0,1.0,34.45,34.63,34.22,34.49,433245.0
2015-06-05,34.25,34.58,34.06,34.58,363937.0,0.0,1.0,34.25,34.58,34.06,34.58,363937.0
2015-06-04,34.02,34.29,34.01,34.27,555976.0,0.0,1.0,34.02,34.29,34.01,34.27,555976.0
2015-06-03,34.04,34.15,33.98,34.14,954861.0,0.0,1.0,34.04,34.15,33.98,34.14,954861.0
2015-06-02,33.98,34.27,33.97,34.14,1136764.0,0.0,1.0,33.98,34.27,33.97,34.14,1136764.0
2015-06-01,33.96,34.2,33.61,34.04,8131467.0,0.0,1.0,33.96,34.2,33.61,34.04,8131467.0
2015-05-29,26.81,26.89,26.31,26.54,134908.0,0.0,1.0,26.81,26.89,26.31,26.54,134908.0
2015-05-28,26.66,26.95,26.57,26.84,135225.0,0.0,1.0,26.66,26.95,26.57,26.84,135225.0
2015-05-27,26.81,26.85,26.57,26.74,143723.0,0.0,1.0,26.81,26.85,26.57,26.74,143723.0
2015-05-26,27.12,27.2009,26.54,26.75,121647.0,0.0,1.0,27.12,27.2009,26.54,26.75,121647.0
2015-05-22,27.27,27.68,27.0,27.33,284679.0,0.0,1.0,27.27,27.68,27.0,27.33,284679.0
2015-05-21,27.51,27.76,27.26,27.36,93339.0,0.0,1.0,27.51,27.76,27.26,27.36,93339.0
2015-05-20,27.43,27.7899,27.35,27.51,173741.0,0.0,1.0,27.43,27.7899,27.35,27.51,173741.0
2015-05-19,27.98,27.98,27.19,27.39,266780.0,0.0,1.0,27.98,27.98,27.19,27.39,266780.0
2015-05-18,27.67,28.03,27.518,27.95,142073.0,0.0,1.0,27.67,28.03,27.518,27.95,142073.0
2015-05-15,28.0,28.15,27.71,27.74,123268.0,0.0,1.0,28.0,28.15,27.71,27.74,123268.0
2015-05-14,27.76,28.23,27.53,28.06,99339.0,0.0,1.0,27.76,28.23,27.53,28.06,99339.0
2015-05-13,27.65,28.11,27.28,27.57,184992.0,0.0,1.0,27.65,28.11,27.28,27.57,184992.0
2015-05-12,27.98,28.07,27.38,27.59,361492.0,0.0,1.0,27.98,28.07,27.38,27.59,361492.0
2015-05-11,28.15,28.41,27.91,28.01,93767.0,0.0,1.0,28.15,28.41,27.91,28.01,93767.0
2015-05-08,28.75,28.75,28.01,28.19,296829.0,0.0,1.0,28.75,28.75,28.01,28.19,296829.0
2015-05-07,28.24,28.78,27.8225,28.42,177700.0,0.0,1.0,28.24,28.78,27.8225,28.42,177700.0
2015-05-06,28.57,28.72,28.03,28.32,137280.0,0.0,1.0,28.57,28.72,28.03,28.32,137280.0
2015-05-05,29.1,29.29,28.14,28.42,251129.0,0.0,1.0,29.1,29.29,28.14,28.42,251129.0
2015-05-04,28.87,29.17,28.76,29.01,211092.0,0.0,1.0,28.87,29.17,28.76,29.01,211092.0
2015-05-01,30.06,30.15,28.53,28.85,488624.0,0.0,1.0,30.06,30.15,28.53,28.85,488624.0
2015-04-30,29.78,30.84,29.2,30.04,527303.0,0.0,1.0,29.78,30.84,29.2,30.04,527303.0
2015-04-29,30.95,31.42,30.65,30.67,219616.0,0.0,1.0,30.95,31.42,30.65,30.67,219616.0
2015-04-28,31.15,31.33,30.9,31.05,182722.0,0.0,1.0,31.15,31.33,30.9,31.05,182722.0
2015-04-27,30.92,31.5,30.73,31.14,164760.0,0.0,1.0,30.92,31.5,30.73,31.14,164760.0
2015-04-24,30.75,31.16,30.53,30.86,140079.0,0.0,1.0,30.75,31.16,30.53,30.86,140079.0
2015-04-23,30.68,30.88,30.16,30.7,99718.0,0.0,1.0,30.68,30.88,30.16,30.7,99718.0
2015-04-22,30.56,30.94,30.31,30.68,95758.0,0.0,1.0,30.56,30.94,30.31,30.68,95758.0
2015-04-21,31.15,31.15,30.28,30.59,166908.0,0.0,1.0,31.15,31.15,30.28,30.59,166908.0
2015-04-20,30.87,31.31,30.64,31.12,113607.0,0.0,1.0,30.87,31.31,30.64,31.12,113607.0
2015-04-17,30.96,30.96,30.5,30.69,141137.0,0.0,1.0,30.96,30.96,30.5,30.69,141137.0
2015-04-16,31.82,31.98,31.23,31.28,117920.0,0.0,1.0,31.82,31.98,31.23,31.28,117920.0
2015-04-15,31.75,32.0,31.444,31.94,228859.0,0.0,1.0,31.75,32.0,31.444,31.94,228859.0
2015-04-14,32.13,32.13,31.39,31.65,194514.0,0.0,1.0,32.13,32.13,31.39,31.65,194514.0
2015-04-13,31.71,32.1,31.49,31.55,85426.0,0.0,1.0,31.71,32.1,31.49,31.55,85426.0
2015-04-10,31.74,31.91,31.35,31.68,139441.0,0.0,1.0,31.74,31.91,31.35,31.68,139441.0
2015-04-09,30.87,31.72,30.84,31.57,181875.0,0.0,1.0,30.87,31.72,30.84,31.57,181875.0
2015-04-08,31.02,31.31,30.75,30.87,222922.0,0.0,1.0,31.02,31.31,30.75,30.87,222922.0
2015-04-07,31.71,31.96,31.06,31.17,137672.0,0.0,1.0,31.71,31.96,31.06,31.17,137672.0
2015-04-06,31.38,31.97,31.35,31.81,200521.0,0.0,1.0,31.38,31.97,31.35,31.81,200521.0
2015-04-02,30.71,31.47,30.71,31.4,159675.0,0.0,1.0,30.71,31.47,30.71,31.4,159675.0
2015-04-01,30.38,31.17,30.0,30.87,245263.0,0.0,1.0,30.38,31.17,30.0,30.87,245263.0
2015-03-31,30.22,30.39,29.6,30.03,328536.0,0.0,1.0,30.22,30.39,29.6,30.03,328536.0
2015-03-30,29.83,30.63,29.81,30.46,182108.0,0.0,1.0,29.83,30.63,29.81,30.46,182108.0
2015-03-27,29.55,29.8548,28.88,29.61,163538.0,0.0,1.0,29.55,29.8548,28.88,29.61,163538.0
2015-03-26,29.58,29.7,29.19,29.5,386096.0,0.0,1.0,29.58,29.7,29.19,29.5,386096.0
2015-03-25,29.97,30.16,29.37,29.47,251134.0,0.0,1.0,29.97,30.16,29.37,29.47,251134.0
2015-03-24,29.81,30.05,29.51,29.92,153317.0,0.0,1.0,29.81,30.05,29.51,29.92,153317.0
2015-03-23,28.61,29.95,28.325,29.81,319731.0,0.0,1.0,28.61,29.95,28.325,29.81,319731.0
2015-03-20,28.4,28.65,28.17,28.52,247693.0,0.0,1.0,28.4,28.65,28.17,28.52,247693.0
2015-03-19,28.61,28.8,28.07,28.17,97034.0,0.0,1.0,28.61,28.8,28.07,28.17,97034.0
2015-03-18,28.05,29.05,27.79,28.98,202337.0,0.0,1.0,28.05,29.05,27.79,28.98,202337.0
