Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,16.85,17.3,16.85,17.1,652536.0,0.0,1.0,16.85,17.3,16.85,17.1,652536.0
2016-11-16,16.9,17.075,16.75,16.85,1019427.0,0.0,1.0,16.9,17.075,16.75,16.85,1019427.0
2016-11-15,16.75,17.1,16.4,17.0,922208.0,0.0,1.0,16.75,17.1,16.4,17.0,922208.0
2016-11-14,16.75,17.35,16.725,17.0,1445024.0,0.0,1.0,16.75,17.35,16.725,17.0,1445024.0
2016-11-11,15.95,16.6,15.21,16.6,1403398.0,0.0,1.0,15.95,16.6,15.21,16.6,1403398.0
2016-11-10,15.5,16.125,15.45,16.0,1839312.0,0.0,1.0,15.5,16.125,15.45,16.0,1839312.0
2016-11-09,14.85,15.35,14.7119,15.35,1761459.0,0.0,1.0,14.85,15.35,14.7119,15.35,1761459.0
2016-11-08,14.6,14.75,14.45,14.65,418570.0,0.0,1.0,14.6,14.75,14.45,14.65,418570.0
2016-11-07,14.65,14.8,14.55,14.7,699619.0,0.0,1.0,14.65,14.8,14.55,14.7,699619.0
2016-11-04,14.35,14.55,14.25,14.35,649454.0,0.0,1.0,14.35,14.55,14.25,14.35,649454.0
2016-11-03,14.35,14.5,14.25,14.3,688029.0,0.0,1.0,14.35,14.5,14.25,14.3,688029.0
2016-11-02,14.35,14.4,14.2,14.25,466728.0,0.0,1.0,14.35,14.4,14.2,14.25,466728.0
2016-11-01,14.75,14.8,14.25,14.45,1142099.0,0.0,1.0,14.75,14.8,14.25,14.45,1142099.0
2016-10-31,14.5,15.0,14.45,14.7,1415072.0,0.0,1.0,14.5,15.0,14.45,14.7,1415072.0
2016-10-28,14.44,14.44,14.27,14.38,1425115.0,0.0,1.0,14.44,14.44,14.27,14.38,1425115.0
2016-10-27,14.4,14.46,14.29,14.39,485248.0,0.0,1.0,14.4,14.46,14.29,14.39,485248.0
2016-10-26,14.19,14.38,14.175,14.31,572420.0,0.0,1.0,14.19,14.38,14.175,14.31,572420.0
2016-10-25,14.22,14.285,14.11,14.27,383677.0,0.0,1.0,14.22,14.285,14.11,14.27,383677.0
2016-10-24,14.2,14.3093,14.16,14.25,398463.0,0.0,1.0,14.2,14.3093,14.16,14.25,398463.0
2016-10-21,13.95,14.1,13.95,14.08,413125.0,0.0,1.0,13.95,14.1,13.95,14.08,413125.0
2016-10-20,14.09,14.19,14.01,14.09,531081.0,0.0,1.0,14.09,14.19,14.01,14.09,531081.0
2016-10-19,13.89,14.16,13.88,14.1,457916.0,0.0,1.0,13.89,14.16,13.88,14.1,457916.0
2016-10-18,13.93,13.93,13.735,13.87,566236.0,0.0,1.0,13.93,13.93,13.735,13.87,566236.0
2016-10-17,13.87,13.925,13.78,13.8,409397.0,0.0,1.0,13.87,13.925,13.78,13.8,409397.0
2016-10-14,13.97,14.06,13.8,13.89,795517.0,0.0,1.0,13.97,14.06,13.8,13.89,795517.0
2016-10-13,14.0,14.0,13.69,13.8,692117.0,0.0,1.0,14.0,14.0,13.69,13.8,692117.0
2016-10-12,14.13,14.17,14.03,14.1,577923.0,0.0,1.0,14.13,14.17,14.03,14.1,577923.0
2016-10-11,14.23,14.285,14.02,14.1,512248.0,0.0,1.0,14.23,14.285,14.02,14.1,512248.0
2016-10-10,14.24,14.32,14.2,14.25,401245.0,0.0,1.0,14.24,14.32,14.2,14.25,401245.0
2016-10-07,14.09,14.18,13.94,14.14,682287.0,0.0,1.0,14.09,14.18,13.94,14.14,682287.0
2016-10-06,14.16,14.16,13.97,14.1,418225.0,0.0,1.0,14.16,14.16,13.97,14.1,418225.0
2016-10-05,13.95,14.2,13.94,14.14,699359.0,0.0,1.0,13.95,14.2,13.94,14.14,699359.0
2016-10-04,13.95,14.04,13.85,13.9,737330.0,0.0,1.0,13.95,14.04,13.85,13.9,737330.0
2016-10-03,13.94,14.05,13.85,13.9,721114.0,0.0,1.0,13.94,14.05,13.85,13.9,721114.0
2016-09-30,13.79,14.105,13.7799,14.06,939374.0,0.0,1.0,13.79,14.105,13.7799,14.06,939374.0
2016-09-29,13.94,14.0,13.71,13.74,1181621.0,0.0,1.0,13.94,14.0,13.71,13.74,1181621.0
2016-09-28,13.76,13.91,13.7,13.9,1151072.0,0.0,1.0,13.76,13.91,13.7,13.9,1151072.0
2016-09-27,13.57,13.72,13.53,13.69,539400.0,0.0,1.0,13.57,13.72,13.53,13.69,539400.0
2016-09-26,13.88,13.9,13.62,13.63,826014.0,0.0,1.0,13.88,13.9,13.62,13.63,826014.0
2016-09-23,13.96,14.05,13.86,13.99,705793.0,0.0,1.0,13.96,14.05,13.86,13.99,705793.0
