Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-06-08,1.19,1.22,1.1699,1.21,711290.0,0.0,1.0,1.19,1.22,1.1699,1.21,711290.0
2016-06-07,1.21,1.2221,1.13,1.19,1560522.0,0.0,1.0,1.21,1.2221,1.13,1.19,1560522.0
2016-06-06,1.29,1.39,1.19,1.23,4369050.0,0.0,1.0,1.29,1.39,1.19,1.23,4369050.0
2016-06-03,1.11,1.16,1.07,1.13,1745616.0,0.0,1.0,1.11,1.16,1.07,1.13,1745616.0
2016-06-02,1.17,1.25,1.16,1.22,1553222.0,0.0,1.0,1.17,1.25,1.16,1.22,1553222.0
2016-06-01,1.16,1.2,1.14,1.18,919369.0,0.0,1.0,1.16,1.2,1.14,1.18,919369.0
2016-05-31,1.14,1.21,1.14,1.16,968176.0,0.0,1.0,1.14,1.21,1.14,1.16,968176.0
2016-05-27,1.14,1.16,1.12,1.13,417740.0,0.0,1.0,1.14,1.16,1.12,1.13,417740.0
2016-05-26,1.17,1.18,1.12,1.14,747457.0,0.0,1.0,1.17,1.18,1.12,1.14,747457.0
2016-05-25,1.13,1.19,1.11,1.17,969715.0,0.0,1.0,1.13,1.19,1.11,1.17,969715.0
2016-05-24,1.11,1.14,1.07,1.13,634077.0,0.0,1.0,1.11,1.14,1.07,1.13,634077.0
2016-05-23,1.1,1.16,1.09,1.09,585437.0,0.0,1.0,1.1,1.16,1.09,1.09,585437.0
2016-05-20,1.14,1.165,1.06,1.11,1111825.0,0.0,1.0,1.14,1.165,1.06,1.11,1111825.0
2016-05-19,1.13,1.16,1.075,1.14,775554.0,0.0,1.0,1.13,1.16,1.075,1.14,775554.0
2016-05-18,1.16,1.19,1.13,1.14,629438.0,0.0,1.0,1.16,1.19,1.13,1.14,629438.0
2016-05-17,1.09,1.19,1.09,1.15,1265072.0,0.0,1.0,1.09,1.19,1.09,1.15,1265072.0
2016-05-16,1.05,1.11,1.04,1.1,892031.0,0.0,1.0,1.05,1.11,1.04,1.1,892031.0
2016-05-13,1.03,1.09,1.015,1.04,550606.0,0.0,1.0,1.03,1.09,1.015,1.04,550606.0
2016-05-12,1.1,1.1,1.0,1.03,933653.0,0.0,1.0,1.1,1.1,1.0,1.03,933653.0
