Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,3.2,3.24,3.12,3.18,798939.0,0.0,1.0,3.2,3.24,3.12,3.18,798939.0
2016-11-16,3.3,3.33,3.21,3.23,614490.0,0.0,1.0,3.3,3.33,3.21,3.23,614490.0
2016-11-15,3.27,3.32,3.19,3.3,717654.0,0.0,1.0,3.27,3.32,3.19,3.3,717654.0
2016-11-14,3.38,3.4,3.23,3.28,1065022.0,0.0,1.0,3.38,3.4,3.23,3.28,1065022.0
2016-11-11,3.16,3.34,3.09,3.32,1318796.0,0.0,1.0,3.16,3.34,3.09,3.32,1318796.0
2016-11-10,3.15,3.28,3.04,3.21,1625695.0,0.0,1.0,3.15,3.28,3.04,3.21,1625695.0
2016-11-09,2.76,3.11,2.73,3.05,1789943.0,0.0,1.0,2.76,3.11,2.73,3.05,1789943.0
2016-11-08,2.79,2.88,2.75,2.83,715680.0,0.0,1.0,2.79,2.88,2.75,2.83,715680.0
2016-11-07,2.95,2.98,2.75,2.82,1108511.0,0.0,1.0,2.95,2.98,2.75,2.82,1108511.0
2016-11-04,2.5,2.99,2.5,2.79,1860713.0,0.0,1.0,2.5,2.99,2.5,2.79,1860713.0
2016-11-03,2.6,2.618,2.52,2.54,954722.0,0.0,1.0,2.6,2.618,2.52,2.54,954722.0
2016-11-02,2.76,2.77,2.57,2.58,1207562.0,0.0,1.0,2.76,2.77,2.57,2.58,1207562.0
2016-11-01,2.63,2.84,2.51,2.72,2423770.0,0.0,1.0,2.63,2.84,2.51,2.72,2423770.0
2016-10-31,2.6,2.63,2.48,2.49,1591233.0,0.0,1.0,2.6,2.63,2.48,2.49,1591233.0
2016-10-28,2.74,2.755,2.6,2.6,1442918.0,0.0,1.0,2.74,2.755,2.6,2.6,1442918.0
2016-10-27,2.82,2.85,2.72,2.73,816429.0,0.0,1.0,2.82,2.85,2.72,2.73,816429.0
2016-10-26,2.88,2.89,2.75,2.81,933386.0,0.0,1.0,2.88,2.89,2.75,2.81,933386.0
2016-10-25,2.88,2.95,2.87,2.88,901026.0,0.0,1.0,2.88,2.95,2.87,2.88,901026.0
2016-10-24,2.99,2.99,2.87,2.88,1527676.0,0.0,1.0,2.99,2.99,2.87,2.88,1527676.0
2016-10-21,3.0,3.01,2.87,2.98,1549300.0,0.0,1.0,3.0,3.01,2.87,2.98,1549300.0
2016-10-20,2.78,2.96,2.76,2.96,9865211.0,0.0,1.0,2.78,2.96,2.76,2.96,9865211.0
2016-10-19,3.5,3.55,3.46,3.49,557158.0,0.0,1.0,3.5,3.55,3.46,3.49,557158.0
2016-10-18,3.66,3.7,3.5,3.53,989051.0,0.0,1.0,3.66,3.7,3.5,3.53,989051.0
2016-10-17,3.74,3.76,3.62,3.64,948681.0,0.0,1.0,3.74,3.76,3.62,3.64,948681.0
2016-10-14,3.81,3.87,3.74,3.76,573705.0,0.0,1.0,3.81,3.87,3.74,3.76,573705.0
2016-10-13,3.81,3.87,3.75,3.78,432938.0,0.0,1.0,3.81,3.87,3.75,3.78,432938.0
2016-10-12,3.92,3.98,3.785,3.83,413111.0,0.0,1.0,3.92,3.98,3.785,3.83,413111.0
2016-10-11,3.98,4.0,3.84,3.93,1311490.0,0.0,1.0,3.98,4.0,3.84,3.93,1311490.0
2016-10-10,3.76,3.88,3.76,3.81,586355.0,0.0,1.0,3.76,3.88,3.76,3.81,586355.0
2016-10-07,3.92,3.964,3.7,3.71,1101061.0,0.0,1.0,3.92,3.964,3.7,3.71,1101061.0
2016-10-06,4.11,4.11,3.89,3.91,873968.0,0.0,1.0,4.11,4.11,3.89,3.91,873968.0
2016-10-05,4.0,4.14,3.92,3.97,1534102.0,0.0,1.0,4.0,4.14,3.92,3.97,1534102.0
2016-10-04,3.83,3.88,3.75,3.78,371441.0,0.0,1.0,3.83,3.88,3.75,3.78,371441.0
2016-10-03,3.8,3.865,3.76,3.8,408711.0,0.0,1.0,3.8,3.865,3.76,3.8,408711.0
2016-09-30,3.77,3.86,3.69,3.79,579722.0,0.0,1.0,3.77,3.86,3.69,3.79,579722.0
2016-09-29,3.86,3.871,3.76,3.77,503011.0,0.0,1.0,3.86,3.871,3.76,3.77,503011.0
2016-09-28,3.92,3.94,3.78,3.86,618997.0,0.0,1.0,3.92,3.94,3.78,3.86,618997.0
2016-09-27,3.89,3.95,3.85,3.89,327565.0,0.0,1.0,3.89,3.95,3.85,3.89,327565.0
2016-09-26,3.94,3.97,3.87,3.91,392429.0,0.0,1.0,3.94,3.97,3.87,3.91,392429.0
2016-09-23,3.97,4.04,3.925,3.97,353648.0,0.0,1.0,3.97,4.04,3.925,3.97,353648.0
2016-09-22,3.98,4.0199,3.92,4.0,435349.0,0.0,1.0,3.98,4.0199,3.92,4.0,435349.0
2016-09-21,3.91,3.98,3.81,3.95,669893.0,0.0,1.0,3.91,3.98,3.81,3.95,669893.0
2016-09-20,4.06,4.1,3.86,3.87,1119861.0,0.0,1.0,4.06,4.1,3.86,3.87,1119861.0
2016-09-19,4.06,4.12,3.99,4.02,1147079.0,0.0,1.0,4.06,4.12,3.99,4.02,1147079.0
2016-09-16,4.0,4.175,3.95,4.05,1357904.0,0.0,1.0,4.0,4.175,3.95,4.05,1357904.0
2016-09-15,4.04,4.05,3.92,4.0,448659.0,0.0,1.0,4.04,4.05,3.92,4.0,448659.0
2016-09-14,3.88,4.09,3.88,4.02,677501.0,0.0,1.0,3.88,4.09,3.88,4.02,677501.0
2016-09-13,4.06,4.06,3.84,3.89,743415.0,0.0,1.0,4.06,4.06,3.84,3.89,743415.0
2016-09-12,3.83,4.05,3.8,4.05,604254.0,0.0,1.0,3.83,4.05,3.8,4.05,604254.0
2016-09-09,4.2,4.21,3.91,3.91,926315.0,0.0,1.0,4.2,4.21,3.91,3.91,926315.0
2016-09-08,4.15,4.28,4.1,4.2,846342.0,0.0,1.0,4.15,4.28,4.1,4.2,846342.0
2016-09-07,4.21,4.25,4.11,4.12,1658665.0,0.0,1.0,4.21,4.25,4.11,4.12,1658665.0
2016-09-06,3.89,4.015,3.8521,3.94,779334.0,0.0,1.0,3.89,4.015,3.8521,3.94,779334.0
2016-09-02,3.79,3.91,3.75,3.87,420870.0,0.0,1.0,3.79,3.91,3.75,3.87,420870.0
2016-09-01,3.84,3.87,3.75,3.79,479944.0,0.0,1.0,3.84,3.87,3.75,3.79,479944.0
2016-08-31,3.87,3.908,3.78,3.86,760310.0,0.0,1.0,3.87,3.908,3.78,3.86,760310.0
2016-08-30,3.96,3.98,3.86,3.91,414782.0,0.0,1.0,3.96,3.98,3.86,3.91,414782.0
2016-08-29,3.93,3.98,3.8,3.91,561091.0,0.0,1.0,3.93,3.98,3.8,3.91,561091.0
2016-08-26,4.0,4.0,3.8,3.88,620232.0,0.0,1.0,4.0,4.0,3.8,3.88,620232.0
