Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,9.49,9.57,9.42,9.55,179408.0,0.0,1.0,9.49,9.57,9.42,9.55,179408.0
2016-11-16,9.48,9.59,9.37,9.41,249326.0,0.0,1.0,9.48,9.59,9.37,9.41,249326.0
2016-11-15,9.48,9.63,9.4,9.47,235453.0,0.0,1.0,9.48,9.63,9.4,9.47,235453.0
2016-11-14,9.28,9.48,9.17,9.48,309167.0,0.0,1.0,9.28,9.48,9.17,9.48,309167.0
2016-11-11,8.9,9.3,8.78,9.15,339401.0,0.0,1.0,8.9,9.3,8.78,9.15,339401.0
2016-11-10,8.28,9.14,8.28,8.9,457506.0,0.0,1.0,8.28,9.14,8.28,8.9,457506.0
2016-11-09,8.08,8.688,8.08,8.27,394252.0,0.0,1.0,8.08,8.688,8.08,8.27,394252.0
2016-11-08,8.32,8.56,8.2,8.23,134650.0,0.0,1.0,8.32,8.56,8.2,8.23,134650.0
2016-11-07,8.18,8.4528,8.11,8.42,266020.0,0.0,1.0,8.18,8.4528,8.11,8.42,266020.0
2016-11-04,7.57,8.01,7.51,8.0,129158.0,0.0,1.0,7.57,8.01,7.51,8.0,129158.0
2016-11-03,7.44,7.61,6.8801,7.61,246183.0,0.0,1.0,7.44,7.61,6.8801,7.61,246183.0
2016-11-02,7.83,7.95,7.65,7.86,135797.0,0.0,1.0,7.83,7.95,7.65,7.86,135797.0
2016-11-01,8.08,8.13,7.74,7.82,117585.0,0.0,1.0,8.08,8.13,7.74,7.82,117585.0
2016-10-31,8.05,8.18,7.85,8.08,235814.0,0.0,1.0,8.05,8.18,7.85,8.08,235814.0
2016-10-28,8.01,8.22,7.97,8.12,99467.0,0.0,1.0,8.01,8.22,7.97,8.12,99467.0
2016-10-27,8.07,8.09,7.95,7.99,168889.0,0.0,1.0,8.07,8.09,7.95,7.99,168889.0
2016-10-26,8.06,8.19,7.89,7.99,98735.0,0.0,1.0,8.06,8.19,7.89,7.99,98735.0
2016-10-25,8.24,8.24,8.05,8.1,100968.0,0.0,1.0,8.24,8.24,8.05,8.1,100968.0
2016-10-24,8.15,8.3901,8.145,8.22,249328.0,0.0,1.0,8.15,8.3901,8.145,8.22,249328.0
2016-10-21,7.91,8.15,7.89,8.14,120300.0,0.0,1.0,7.91,8.15,7.89,8.14,120300.0
2016-10-20,7.93,8.1,7.78,8.07,115101.0,0.0,1.0,7.93,8.1,7.78,8.07,115101.0
2016-10-19,7.82,8.01,7.7,7.98,120663.0,0.0,1.0,7.82,8.01,7.7,7.98,120663.0
2016-10-18,7.8,8.05,7.6,7.68,343338.0,0.0,1.0,7.8,8.05,7.6,7.68,343338.0
2016-10-17,7.3,7.84,7.298,7.77,275609.0,0.0,1.0,7.3,7.84,7.298,7.77,275609.0
2016-10-14,7.12,7.3299,7.12,7.29,41357.0,0.0,1.0,7.12,7.3299,7.12,7.29,41357.0
2016-10-13,7.36,7.36,7.02,7.11,108048.0,0.0,1.0,7.36,7.36,7.02,7.11,108048.0
2016-10-12,7.39,7.4,7.29,7.36,39813.0,0.0,1.0,7.39,7.4,7.29,7.36,39813.0
2016-10-11,7.47,7.49,7.27,7.34,55843.0,0.0,1.0,7.47,7.49,7.27,7.34,55843.0
2016-10-10,7.42,7.56,7.42,7.49,210222.0,0.0,1.0,7.42,7.56,7.42,7.49,210222.0
2016-10-07,7.14,7.42,7.09,7.38,229183.0,0.0,1.0,7.14,7.42,7.09,7.38,229183.0
2016-10-06,7.08,7.33,6.97,7.09,209499.0,0.0,1.0,7.08,7.33,6.97,7.09,209499.0
2016-10-05,6.89,6.91,6.77,6.86,47585.0,0.0,1.0,6.89,6.91,6.77,6.86,47585.0
2016-10-04,6.72,6.91,6.66,6.66,51911.0,0.0,1.0,6.72,6.91,6.66,6.66,51911.0
2016-10-03,6.79,6.85,6.67,6.73,63769.0,0.0,1.0,6.79,6.85,6.67,6.73,63769.0
2016-09-30,6.64,6.9,6.625,6.85,111972.0,0.0,1.0,6.64,6.9,6.625,6.85,111972.0
2016-09-29,6.65,6.72,6.6081,6.63,38516.0,0.0,1.0,6.65,6.72,6.6081,6.63,38516.0
2016-09-28,6.55,6.69,6.55,6.66,180402.0,0.0,1.0,6.55,6.69,6.55,6.66,180402.0
2016-09-27,6.51,6.66,6.51,6.55,44127.0,0.0,1.0,6.51,6.66,6.51,6.55,44127.0
2016-09-26,6.47,6.62,6.47,6.52,57937.0,0.0,1.0,6.47,6.62,6.47,6.52,57937.0
2016-09-23,6.5,6.611,6.42,6.48,52432.0,0.0,1.0,6.5,6.611,6.42,6.48,52432.0
2016-09-22,6.18,6.57,6.15,6.53,91885.0,0.0,1.0,6.18,6.57,6.15,6.53,91885.0
2016-09-21,5.88,6.18,5.88,6.14,53258.0,0.0,1.0,5.88,6.18,5.88,6.14,53258.0
2016-09-20,6.1,6.1,5.85,5.85,41217.0,0.0,1.0,6.1,6.1,5.85,5.85,41217.0
2016-09-19,5.93,6.06,5.87,6.0,29485.0,0.0,1.0,5.93,6.06,5.87,6.0,29485.0
2016-09-16,6.06,6.0765,5.87,5.88,77125.0,0.0,1.0,6.06,6.0765,5.87,5.88,77125.0
2016-09-15,5.92,6.08,5.87,6.05,44388.0,0.0,1.0,5.92,6.08,5.87,6.05,44388.0
2016-09-14,5.83,5.9,5.77,5.8,31194.0,0.0,1.0,5.83,5.9,5.77,5.8,31194.0
2016-09-13,5.97,6.05,5.76,5.83,45946.0,0.0,1.0,5.97,6.05,5.76,5.83,45946.0
2016-09-12,5.91,6.1,5.91,6.05,46508.0,0.0,1.0,5.91,6.1,5.91,6.05,46508.0
2016-09-09,6.41,6.41,5.9,5.93,48728.0,0.0,1.0,6.41,6.41,5.9,5.93,48728.0
2016-09-08,6.42,6.53,6.37,6.51,44526.0,0.0,1.0,6.42,6.53,6.37,6.51,44526.0
2016-09-07,6.3,6.49,6.21,6.46,51925.0,0.0,1.0,6.3,6.49,6.21,6.46,51925.0
2016-09-06,6.07,6.23,6.02,6.23,48459.0,0.0,1.0,6.07,6.23,6.02,6.23,48459.0
2016-09-02,6.14,6.19,6.09,6.1,47273.0,0.0,1.0,6.14,6.19,6.09,6.1,47273.0
2016-09-01,5.98,6.12,5.88,6.1,70670.0,0.0,1.0,5.98,6.12,5.88,6.1,70670.0
2016-08-31,6.09,6.105,5.93,5.96,58728.0,0.0,1.0,6.09,6.105,5.93,5.96,58728.0
2016-08-30,6.09,6.14,6.07,6.08,49300.0,0.0,1.0,6.09,6.14,6.07,6.08,49300.0
2016-08-29,6.05,6.14,5.961,6.08,47990.0,0.0,1.0,6.05,6.14,5.961,6.08,47990.0
2016-08-26,5.84,6.14,5.82,6.03,50259.0,0.0,1.0,5.84,6.14,5.82,6.03,50259.0
2016-08-25,6.11,6.15,5.82,5.88,155980.0,0.0,1.0,6.11,6.15,5.82,5.88,155980.0
2016-08-24,6.22,6.23,6.07,6.1,76830.0,0.0,1.0,6.22,6.23,6.07,6.1,76830.0
2016-08-23,6.13,6.33,6.13,6.15,34028.0,0.0,1.0,6.13,6.33,6.13,6.15,34028.0
2016-08-22,6.3,6.4,6.005,6.13,47206.0,0.0,1.0,6.3,6.4,6.005,6.13,47206.0
2016-08-19,6.34,6.5,6.32,6.34,150838.0,0.0,1.0,6.34,6.5,6.32,6.34,150838.0
2016-08-18,6.425,6.425,6.345,6.36,58305.0,0.0,1.0,6.425,6.425,6.345,6.36,58305.0
2016-08-17,6.56,6.57,6.38,6.42,47082.0,0.0,1.0,6.56,6.57,6.38,6.42,47082.0
2016-08-16,6.42,6.581,6.37,6.55,63327.0,0.0,1.0,6.42,6.581,6.37,6.55,63327.0
2016-08-15,6.56,6.56,6.38,6.42,140373.0,0.0,1.0,6.56,6.56,6.38,6.42,140373.0
2016-08-12,6.34,6.51,6.33,6.44,118729.0,0.0,1.0,6.34,6.51,6.33,6.44,118729.0
2016-08-11,6.28,6.36,6.19,6.34,119180.0,0.0,1.0,6.28,6.36,6.19,6.34,119180.0
2016-08-10,6.15,6.3,6.0,6.26,197775.0,0.0,1.0,6.15,6.3,6.0,6.26,197775.0
2016-08-09,6.05,6.19,6.03,6.19,82896.0,0.0,1.0,6.05,6.19,6.03,6.19,82896.0
2016-08-08,5.62,6.03,5.62,6.02,95771.0,0.0,1.0,5.62,6.03,5.62,6.02,95771.0
2016-08-05,5.68,6.07,5.59,5.59,313204.0,0.0,1.0,5.68,6.07,5.59,5.59,313204.0
2016-08-04,5.7,5.78,5.55,5.62,117648.0,0.0,1.0,5.7,5.78,5.55,5.62,117648.0
2016-08-03,5.73,5.8,5.64,5.79,77992.0,0.0,1.0,5.73,5.8,5.64,5.79,77992.0
2016-08-02,5.66,5.71,5.62,5.66,47808.0,0.0,1.0,5.66,5.71,5.62,5.66,47808.0
2016-08-01,5.6,5.7,5.57,5.66,35416.0,0.0,1.0,5.6,5.7,5.57,5.66,35416.0
2016-07-29,5.74,5.75,5.6,5.65,71201.0,0.0,1.0,5.74,5.75,5.6,5.65,71201.0
2016-07-28,5.7,5.8,5.58,5.72,54330.0,0.0,1.0,5.7,5.8,5.58,5.72,54330.0
2016-07-27,5.65,5.67,5.53,5.66,46593.0,0.0,1.0,5.65,5.67,5.53,5.66,46593.0
2016-07-26,5.34,5.67,5.26,5.62,76088.0,0.0,1.0,5.34,5.67,5.26,5.62,76088.0
2016-07-25,5.36,5.38,5.28,5.34,39781.0,0.0,1.0,5.36,5.38,5.28,5.34,39781.0
2016-07-22,5.18,5.3498,5.17,5.32,25815.0,0.0,1.0,5.18,5.3498,5.17,5.32,25815.0
2016-07-21,5.23,5.37,5.17,5.19,57340.0,0.0,1.0,5.23,5.37,5.17,5.19,57340.0
