Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-02-18,38.43,38.705,37.59,38.07,2683619.0,0.0,1.0,38.43,38.705,37.59,38.07,2683619.0
2016-02-17,38.11,39.04,37.96,38.61,2382625.0,0.0,1.0,38.11,39.04,37.96,38.61,2382625.0
2016-02-16,36.36,38.34,36.35,37.97,1371125.0,0.0,1.0,36.36,38.34,36.35,37.97,1371125.0
2016-02-12,35.63,36.27,35.62,36.01,1173880.0,0.0,1.0,35.63,36.27,35.62,36.01,1173880.0
2016-02-11,35.67,35.97,35.2,35.35,1329614.0,0.0,1.0,35.67,35.97,35.2,35.35,1329614.0
2016-02-10,37.08,37.4168,36.05,36.1,1303670.0,0.0,1.0,37.08,37.4168,36.05,36.1,1303670.0
2016-02-09,37.17,37.65,36.17,36.88,1084779.0,0.0,1.0,37.17,37.65,36.17,36.88,1084779.0
2016-02-08,37.95,37.95,36.63,37.55,1941047.0,0.0,1.0,37.95,37.95,36.63,37.55,1941047.0
2016-02-05,40.9,41.15,38.16,38.28,1486273.0,0.0,1.0,40.9,41.15,38.16,38.28,1486273.0
2016-02-04,40.44,41.56,40.27,40.94,1283959.0,0.0,1.0,40.44,41.56,40.27,40.94,1283959.0
2016-02-03,40.52,40.98,39.38,40.53,1419063.0,0.0,1.0,40.52,40.98,39.38,40.53,1419063.0
2016-02-02,41.19,41.19,40.26,40.31,1249497.0,0.0,1.0,41.19,41.19,40.26,40.31,1249497.0
2016-02-01,40.25,41.65,39.89,41.38,1513163.0,0.0,1.0,40.25,41.65,39.89,41.38,1513163.0
2016-01-29,39.26,40.69,39.02,40.51,2213480.0,0.0,1.0,39.26,40.69,39.02,40.51,2213480.0
2016-01-28,39.42,39.59,38.69,38.98,1047663.0,0.0,1.0,39.42,39.59,38.69,38.98,1047663.0
2016-01-27,39.44,39.73,38.82,39.16,836178.0,0.0,1.0,39.44,39.73,38.82,39.16,836178.0
2016-01-26,39.22,39.81,39.005,39.42,1041919.0,0.0,1.0,39.22,39.81,39.005,39.42,1041919.0
2016-01-25,40.43,40.48,39.02,39.12,1209820.0,0.0,1.0,40.43,40.48,39.02,39.12,1209820.0
2016-01-22,40.25,40.93,39.9,40.49,840970.0,0.0,1.0,40.25,40.93,39.9,40.49,840970.0
2016-01-21,39.55,40.67,39.25,39.88,1038832.0,0.0,1.0,39.55,40.67,39.25,39.88,1038832.0
2016-01-20,40.62,40.62,38.18,39.43,1484265.0,0.0,1.0,40.62,40.62,38.18,39.43,1484265.0
2016-01-19,41.68,41.88,40.57,40.88,1309848.0,0.0,1.0,41.68,41.88,40.57,40.88,1309848.0
2016-01-15,41.66,41.91,40.9,41.29,1247500.0,0.0,1.0,41.66,41.91,40.9,41.29,1247500.0
2016-01-14,42.9,43.0,42.26,42.36,1195223.0,0.0,1.0,42.9,43.0,42.26,42.36,1195223.0
2016-01-13,43.34,44.15,42.85,42.9,1712849.0,0.0,1.0,43.34,44.15,42.85,42.9,1712849.0
2016-01-12,44.34,44.37,42.61,43.14,2559444.0,0.0,1.0,44.34,44.37,42.61,43.14,2559444.0
2016-01-11,44.6,44.79,43.95,44.15,1395159.0,0.0,1.0,44.6,44.79,43.95,44.15,1395159.0
2016-01-08,44.95,45.22,44.38,44.43,1370329.0,0.0,1.0,44.95,45.22,44.38,44.43,1370329.0
2016-01-07,46.2,46.22,44.81,44.94,1068386.0,0.0,1.0,46.2,46.22,44.81,44.94,1068386.0
2016-01-06,47.15,47.22,46.45,46.73,1110367.0,0.0,1.0,47.15,47.22,46.45,46.73,1110367.0
