Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-05-22,260.76,261.68,260.76,261.25,1953837.0,0.0,1.0,260.76,261.68,260.76,261.25,1953837.0
2015-05-21,259.0,260.25,258.61,259.55,1917000.0,0.0,1.0,259.0,260.25,258.61,259.55,1917000.0
2015-05-20,259.16,259.2,258.06,258.725,328858.0,0.0,1.0,259.16,259.2,258.06,258.725,328858.0
2015-05-19,258.05,259.06,258.05,258.95,743630.0,0.0,1.0,258.05,259.06,258.05,258.95,743630.0
2015-05-18,257.0,258.56,257.0,258.225,643375.0,0.0,1.0,257.0,258.56,257.0,258.225,643375.0
2015-05-15,255.9,256.4278,254.94,255.42,1242456.0,0.0,1.0,255.9,256.4278,254.94,255.42,1242456.0
2015-05-14,255.37,256.7,255.0,255.92,423346.0,0.0,1.0,255.37,256.7,255.0,255.92,423346.0
2015-05-13,254.95,255.47,254.8775,254.99,379509.0,0.0,1.0,254.95,255.47,254.8775,254.99,379509.0
2015-05-12,255.0,255.3,254.57,254.92,384552.0,0.0,1.0,255.0,255.3,254.57,254.92,384552.0
2015-05-11,254.96,255.5,254.65,254.91,531255.0,0.0,1.0,254.96,255.5,254.65,254.91,531255.0
2015-05-08,255.16,255.95,254.45,255.0,329280.0,0.0,1.0,255.16,255.95,254.45,255.0,329280.0
2015-05-07,254.8,255.83,254.76,254.9,565143.0,0.0,1.0,254.8,255.83,254.76,254.9,565143.0
2015-05-06,254.4,255.89,253.67,255.19,500086.0,0.0,1.0,254.4,255.89,253.67,255.19,500086.0
2015-05-05,254.61,254.95,253.54,253.71,820250.0,0.0,1.0,254.61,254.95,253.54,253.71,820250.0
2015-05-04,255.79,256.045,254.73,254.75,598701.0,0.0,1.0,255.79,256.045,254.73,254.75,598701.0
2015-05-01,256.29,256.6098,254.0,254.51,742678.0,0.0,1.0,256.29,256.6098,254.0,254.51,742678.0
2015-04-30,256.32,256.45,254.75,256.2,846092.0,0.0,1.0,256.32,256.45,254.75,256.2,846092.0
2015-04-29,256.8,256.99,255.41,255.46,995258.0,0.0,1.0,256.8,256.99,255.41,255.46,995258.0
2015-04-28,256.63,257.83,256.5,256.99,424143.0,0.0,1.0,256.63,257.83,256.5,256.99,424143.0
2015-04-27,256.99,257.49,256.3,256.82,618116.0,0.0,1.0,256.99,257.49,256.3,256.82,618116.0
2015-04-24,257.5,257.67,256.35,256.59,613134.0,0.0,1.0,257.5,257.67,256.35,256.59,613134.0
2015-04-23,257.67,257.75,256.85,257.1,941524.0,0.0,1.0,257.67,257.75,256.85,257.1,941524.0
2015-04-22,257.75,258.25,256.76,256.985,474722.0,0.0,1.0,257.75,258.25,256.76,256.985,474722.0
2015-04-21,256.64,257.75,256.0,257.75,237574.0,0.0,1.0,256.64,257.75,256.0,257.75,237574.0
2015-04-20,258.35,258.35,256.3,256.57,723559.0,0.0,1.0,258.35,258.35,256.3,256.57,723559.0
2015-04-17,257.95,258.61,256.91,257.45,3054858.0,0.0,1.0,257.95,258.61,256.91,257.45,3054858.0
2015-04-16,258.05,260.47,257.5,258.02,1692979.0,0.0,1.0,258.05,260.47,257.5,258.02,1692979.0
2015-04-15,256.81,259.67,256.61,258.85,868157.0,0.0,1.0,256.81,259.67,256.61,258.85,868157.0
2015-04-14,257.57,257.75,256.5,256.71,1457715.0,0.0,1.0,257.57,257.75,256.5,256.71,1457715.0
2015-04-13,258.0,258.5,257.5,257.51,859808.0,0.0,1.0,258.0,258.5,257.5,257.51,859808.0
2015-04-10,257.46,258.7443,257.32,258.35,834401.0,0.0,1.0,257.46,258.7443,257.32,258.35,834401.0
2015-04-09,256.89,257.83,256.62,257.78,519380.0,0.0,1.0,256.89,257.83,256.62,257.78,519380.0
2015-04-08,256.89,257.73,256.71,257.475,471297.0,0.0,1.0,256.89,257.73,256.71,257.475,471297.0
