Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,35.05,35.25,34.75,34.95,339850.0,0.0,1.0,35.05,35.25,34.75,34.95,339850.0
2016-11-16,34.8,35.025,34.3,34.9,261043.0,0.0,1.0,34.8,35.025,34.3,34.9,261043.0
2016-11-15,34.4,35.0,33.95,34.8,469958.0,0.0,1.0,34.4,35.0,33.95,34.8,469958.0
2016-11-14,33.65,34.9,33.45,34.5,907392.0,0.0,1.0,33.65,34.9,33.45,34.5,907392.0
2016-11-11,33.05,35.65,32.65,34.725,864493.0,0.0,1.0,33.05,35.65,32.65,34.725,864493.0
2016-11-10,33.5,33.6,32.55,32.95,365634.0,0.0,1.0,33.5,33.6,32.55,32.95,365634.0
2016-11-09,32.0,33.25,30.9827,33.2,327126.0,0.0,1.0,32.0,33.25,30.9827,33.2,327126.0
2016-11-08,32.65,32.85,31.75,32.6,338226.0,0.0,1.0,32.65,32.85,31.75,32.6,338226.0
2016-11-07,32.9,33.3,32.75,32.85,448578.0,0.0,1.0,32.9,33.3,32.75,32.85,448578.0
2016-11-04,32.6,33.0,32.4,32.75,560303.0,0.0,1.0,32.6,33.0,32.4,32.75,560303.0
2016-11-03,31.2,34.125,30.05,33.25,856183.0,0.0,1.0,31.2,34.125,30.05,33.25,856183.0
2016-11-02,30.1,30.1,29.1,29.45,398607.0,0.0,1.0,30.1,30.1,29.1,29.45,398607.0
2016-11-01,31.0,31.05,29.8,30.2,474514.0,0.0,1.0,31.0,31.05,29.8,30.2,474514.0
2016-10-31,30.7,31.1,30.4,30.9,222934.0,0.0,1.0,30.7,31.1,30.4,30.9,222934.0
2016-10-28,30.2,30.85,30.1,30.6,149898.0,0.0,1.0,30.2,30.85,30.1,30.6,149898.0
2016-10-27,30.55,30.7,30.05,30.2,328451.0,0.0,1.0,30.55,30.7,30.05,30.2,328451.0
2016-10-26,30.8,31.0,30.3,30.35,266526.0,0.0,1.0,30.8,31.0,30.3,30.35,266526.0
2016-10-25,31.05,31.1,30.5,30.75,290635.0,0.0,1.0,31.05,31.1,30.5,30.75,290635.0
2016-10-24,31.35,31.55,30.95,31.1,175432.0,0.0,1.0,31.35,31.55,30.95,31.1,175432.0
2016-10-21,31.0,31.65,30.855,31.05,465223.0,0.0,1.0,31.0,31.65,30.855,31.05,465223.0
2016-10-20,32.35,32.5,30.775,30.95,631628.0,0.0,1.0,32.35,32.5,30.775,30.95,631628.0
2016-10-19,31.75,33.1,30.65,32.35,2596071.0,0.0,1.0,31.75,33.1,30.65,32.35,2596071.0
2016-10-18,29.75,29.95,29.45,29.9,234223.0,0.0,1.0,29.75,29.95,29.45,29.9,234223.0
2016-10-17,29.2,29.65,29.1,29.35,190422.0,0.0,1.0,29.2,29.65,29.1,29.35,190422.0
2016-10-14,28.83,29.31,28.8,29.24,236260.0,0.0,1.0,28.83,29.31,28.8,29.24,236260.0
2016-10-13,28.92,29.38,28.43,28.76,206697.0,0.0,1.0,28.92,29.38,28.43,28.76,206697.0
2016-10-12,29.12,29.32,28.73,29.13,130644.0,0.0,1.0,29.12,29.32,28.73,29.13,130644.0
2016-10-11,29.41,29.49,28.98,29.13,290179.0,0.0,1.0,29.41,29.49,28.98,29.13,290179.0
2016-10-10,29.33,29.71,29.2,29.42,118389.0,0.0,1.0,29.33,29.71,29.2,29.42,118389.0
2016-10-07,29.35,29.4,28.93,29.18,199333.0,0.0,1.0,29.35,29.4,28.93,29.18,199333.0
2016-10-06,29.49,29.57,29.21,29.38,250222.0,0.0,1.0,29.49,29.57,29.21,29.38,250222.0
2016-10-05,29.3,29.53,29.23,29.5,193460.0,0.0,1.0,29.3,29.53,29.23,29.5,193460.0
2016-10-04,29.38,29.49,29.14,29.22,160176.0,0.0,1.0,29.38,29.49,29.14,29.22,160176.0
2016-10-03,29.45,29.545,29.19,29.35,270310.0,0.0,1.0,29.45,29.545,29.19,29.35,270310.0
2016-09-30,29.69,29.69,29.27,29.49,291635.0,0.0,1.0,29.69,29.69,29.27,29.49,291635.0
2016-09-29,29.51,29.62,29.285,29.49,373618.0,0.03,1.0,29.51,29.62,29.285,29.49,373618.0
2016-09-28,29.39,29.66,29.255,29.61,260002.0,0.0,1.0,29.360132113821,29.629857723577,29.225269308943,29.579908536585,260002.0
2016-09-27,29.01,29.47,28.99,29.38,477412.0,0.0,1.0,28.980518292683,29.440050813008,28.960538617886,29.350142276423,477412.0
2016-09-26,29.2,29.44,28.9,29.06,288478.0,0.0,1.0,29.170325203252,29.410081300813,28.870630081301,29.030467479675,288478.0
2016-09-23,29.57,29.58,29.27,29.27,251402.0,0.0,1.0,29.539949186992,29.54993902439,29.240254065041,29.240254065041,251402.0
2016-09-22,28.96,29.5,27.2001,29.49,420038.0,0.0,1.0,28.930569105691,29.470020325203,27.172457621951,29.460030487805,420038.0
2016-09-21,28.05,28.9,27.92,28.85,378250.0,0.0,1.0,28.021493902439,28.870630081301,27.89162601626,28.820680894309,378250.0
2016-09-20,28.15,28.61,27.87,27.93,402979.0,0.0,1.0,28.121392276423,28.580924796748,27.841676829268,27.901615853659,402979.0
2016-09-19,28.14,28.14,27.57,28.0,361977.0,0.0,1.0,28.111402439024,28.111402439024,27.541981707317,27.971544715447,361977.0
2016-09-16,27.91,28.05,27.5452,27.99,596647.0,0.0,1.0,27.881636178862,28.021493902439,27.517206910569,27.961554878049,596647.0
2016-09-15,27.29,27.91,26.621,27.87,452805.0,0.0,1.0,27.262266260163,27.881636178862,26.593946138211,27.841676829268,452805.0
2016-09-14,26.86,27.65,26.78,27.42,431346.0,0.0,1.0,26.832703252033,27.621900406504,26.752784552846,27.392134146341,431346.0
2016-09-13,27.0,27.065,26.39,26.92,361862.0,0.0,1.0,26.97256097561,27.037494918699,26.363180894309,26.892642276423,361862.0
2016-09-12,26.07,27.24,25.91,27.24,475831.0,0.0,1.0,26.043506097561,27.212317073171,25.883668699187,27.212317073171,475831.0
2016-09-09,26.48,26.602,26.24,26.26,245708.0,0.0,1.0,26.453089430894,26.574965447154,26.213333333333,26.23331300813,245708.0
2016-09-08,26.62,26.77,26.41,26.72,142132.0,0.0,1.0,26.592947154472,26.742794715447,26.383160569106,26.692845528455,142132.0
2016-09-07,26.21,26.73,26.21,26.7,270449.0,0.0,1.0,26.183363821138,26.702835365854,26.183363821138,26.672865853659,270449.0
2016-09-06,26.25,26.31,26.08,26.29,117867.0,0.0,1.0,26.223323170732,26.283262195122,26.053495934959,26.263282520325,117867.0
2016-09-02,25.98,26.26,25.75,26.26,125038.0,0.0,1.0,25.953597560976,26.23331300813,25.723831300813,26.23331300813,125038.0
2016-09-01,25.8,25.86,25.55,25.85,218207.0,0.0,1.0,25.773780487805,25.833719512195,25.524034552846,25.823729674797,218207.0
2016-08-31,25.84,25.99,25.62,25.75,131868.0,0.0,1.0,25.813739837398,25.963587398374,25.593963414634,25.723831300813,131868.0
2016-08-30,25.87,26.02,25.78,25.86,93509.0,0.0,1.0,25.843709349593,25.993556910569,25.753800813008,25.833719512195,93509.0
2016-08-29,25.95,26.08,25.8,25.8,92608.0,0.0,1.0,25.92362804878,26.053495934959,25.773780487805,25.773780487805,92608.0
2016-08-26,25.79,26.14,25.73,25.94,202381.0,0.0,1.0,25.763790650407,26.11343495935,25.703851626016,25.913638211382,202381.0
2016-08-25,25.75,25.81,25.6,25.75,121177.0,0.0,1.0,25.723831300813,25.783770325203,25.573983739837,25.723831300813,121177.0
2016-08-24,25.78,25.88,25.61,25.7,116320.0,0.0,1.0,25.753800813008,25.853699186992,25.583973577236,25.673882113821,116320.0
2016-08-23,25.73,25.98,25.72,25.8,184890.0,0.0,1.0,25.703851626016,25.953597560976,25.693861788618,25.773780487805,184890.0
2016-08-22,25.65,25.65,25.48,25.58,184058.0,0.0,1.0,25.623932926829,25.623932926829,25.454105691057,25.554004065041,184058.0
2016-08-19,25.53,25.76,25.45,25.63,229017.0,0.0,1.0,25.504054878049,25.733821138211,25.424136178862,25.603953252033,229017.0
2016-08-18,25.28,25.58,25.2,25.54,215461.0,0.0,1.0,25.254308943089,25.554004065041,25.174390243902,25.514044715447,215461.0
