Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,13.77,13.99,13.77,13.84,734628.0,0.0,1.0,13.77,13.99,13.77,13.84,734628.0
2016-11-16,13.67,13.81,13.53,13.76,697804.0,0.0,1.0,13.67,13.81,13.53,13.76,697804.0
2016-11-15,13.44,13.78,13.34,13.67,882715.0,0.0,1.0,13.44,13.78,13.34,13.67,882715.0
2016-11-14,13.52,13.71,12.96,13.46,1011707.0,0.0,1.0,13.52,13.71,12.96,13.46,1011707.0
2016-11-11,13.05,13.46,12.92,13.4,1174605.0,0.0,1.0,13.05,13.46,12.92,13.4,1174605.0
2016-11-10,12.81,13.11,12.77,12.99,1241396.0,0.0,1.0,12.81,13.11,12.77,12.99,1241396.0
2016-11-09,12.2,12.72,12.2,12.68,1125421.0,0.0,1.0,12.2,12.72,12.2,12.68,1125421.0
2016-11-08,12.19,12.43,12.1,12.35,1029334.0,0.0,1.0,12.19,12.43,12.1,12.35,1029334.0
2016-11-07,12.35,12.58,12.18,12.23,1538861.0,0.0,1.0,12.35,12.58,12.18,12.23,1538861.0
2016-11-04,12.05,12.23,12.03,12.12,879531.0,0.0,1.0,12.05,12.23,12.03,12.12,879531.0
2016-11-03,12.22,12.33,11.93,11.98,1083297.0,0.0,1.0,12.22,12.33,11.93,11.98,1083297.0
2016-11-02,12.89,12.89,12.13,12.23,3466564.0,0.0,1.0,12.89,12.89,12.13,12.23,3466564.0
2016-11-01,12.98,13.02,12.78,12.86,1295885.0,0.0,1.0,12.98,13.02,12.78,12.86,1295885.0
2016-10-31,13.05,13.05,12.83,12.93,1361704.0,0.0,1.0,13.05,13.05,12.83,12.93,1361704.0
2016-10-28,12.94,13.14,12.815,13.05,1290773.0,0.0,1.0,12.94,13.14,12.815,13.05,1290773.0
2016-10-27,13.65,13.7595,12.78,13.03,1575399.0,0.0,1.0,13.65,13.7595,12.78,13.03,1575399.0
2016-10-26,13.28,13.38,13.185,13.2,823843.0,0.0,1.0,13.28,13.38,13.185,13.2,823843.0
2016-10-25,13.55,13.55,13.21,13.39,1672480.0,0.0,1.0,13.55,13.55,13.21,13.39,1672480.0
2016-10-24,13.46,13.63,13.29,13.52,994067.0,0.0,1.0,13.46,13.63,13.29,13.52,994067.0
2016-10-21,13.06,13.58,13.06,13.35,1156531.0,0.0,1.0,13.06,13.58,13.06,13.35,1156531.0
2016-10-20,13.14,13.17,12.99,13.15,818211.0,0.0,1.0,13.14,13.17,12.99,13.15,818211.0
2016-10-19,13.26,13.44,13.12,13.2,889301.0,0.0,1.0,13.26,13.44,13.12,13.2,889301.0
2016-10-18,13.71,13.79,13.25,13.27,599462.0,0.0,1.0,13.71,13.79,13.25,13.27,599462.0
2016-10-17,13.51,13.67,13.44,13.56,993483.0,0.0,1.0,13.51,13.67,13.44,13.56,993483.0
2016-10-14,13.85,13.89,13.54,13.54,656857.0,0.0,1.0,13.85,13.89,13.54,13.54,656857.0
2016-10-13,14.14,14.14,13.71,13.79,1230776.0,0.0,1.0,14.14,14.14,13.71,13.79,1230776.0
2016-10-12,14.46,14.55,14.23,14.23,1040129.0,0.0,1.0,14.46,14.55,14.23,14.23,1040129.0
2016-10-11,14.49,14.59,14.29,14.44,2008605.0,0.0,1.0,14.49,14.59,14.29,14.44,2008605.0
2016-10-10,14.39,14.66,14.33,14.5,1415055.0,0.0,1.0,14.39,14.66,14.33,14.5,1415055.0
2016-10-07,14.05,14.36,14.02,14.35,1453754.0,0.0,1.0,14.05,14.36,14.02,14.35,1453754.0
2016-10-06,13.76,14.13,13.76,13.99,1273445.0,0.0,1.0,13.76,14.13,13.76,13.99,1273445.0
2016-10-05,13.93,14.04,13.64,13.74,1454874.0,0.0,1.0,13.93,14.04,13.64,13.74,1454874.0
2016-10-04,13.12,13.825,13.04,13.8,2863146.0,0.0,1.0,13.12,13.825,13.04,13.8,2863146.0
2016-10-03,13.59,13.6854,13.095,13.12,749127.0,0.0,1.0,13.59,13.6854,13.095,13.12,749127.0
2016-09-30,13.64,13.68,13.49,13.57,1559279.0,0.0,1.0,13.64,13.68,13.49,13.57,1559279.0
2016-09-29,13.55,13.68,13.5,13.63,1791443.0,0.0,1.0,13.55,13.68,13.5,13.63,1791443.0
2016-09-28,13.19,13.68,13.13,13.59,2080131.0,0.0,1.0,13.19,13.68,13.13,13.59,2080131.0
2016-09-27,13.18,13.295,13.08,13.18,748476.0,0.0,1.0,13.18,13.295,13.08,13.18,748476.0
2016-09-26,13.23,13.3,13.12,13.17,581297.0,0.0,1.0,13.23,13.3,13.12,13.17,581297.0
2016-09-23,13.31,13.36,13.18,13.3,491811.0,0.0,1.0,13.31,13.36,13.18,13.3,491811.0
2016-09-22,12.99,13.32,12.88,13.29,718000.0,0.0,1.0,12.99,13.32,12.88,13.29,718000.0
2016-09-21,12.72,12.89,12.5,12.86,2921496.0,0.0,1.0,12.72,12.89,12.5,12.86,2921496.0
2016-09-20,13.03,13.41,12.7,12.72,1174961.0,0.0,1.0,13.03,13.41,12.7,12.72,1174961.0
2016-09-19,13.52,13.58,12.97,13.01,1416454.0,0.0,1.0,13.52,13.58,12.97,13.01,1416454.0
2016-09-16,13.37,13.55,13.11,13.35,1754407.0,0.0,1.0,13.37,13.55,13.11,13.35,1754407.0
2016-09-15,13.15,13.6,13.13,13.41,2540988.0,0.0,1.0,13.15,13.6,13.13,13.41,2540988.0
2016-09-14,13.52,13.59,12.81,13.14,8602912.0,0.0,1.0,13.52,13.59,12.81,13.14,8602912.0
2016-09-13,13.67,13.765,13.46,13.56,1018846.0,0.0,1.0,13.67,13.765,13.46,13.56,1018846.0
2016-09-12,13.33,13.83,13.33,13.82,1111101.0,0.0,1.0,13.33,13.83,13.33,13.82,1111101.0
2016-09-09,14.06,14.09,13.45,13.47,1453838.0,0.0,1.0,14.06,14.09,13.45,13.47,1453838.0
2016-09-08,14.28,14.6,14.1,14.11,703263.0,0.0,1.0,14.28,14.6,14.1,14.11,703263.0
2016-09-07,14.14,14.28,14.07,14.25,681755.0,0.0,1.0,14.14,14.28,14.07,14.25,681755.0
2016-09-06,14.19,14.2275,14.01,14.14,365344.0,0.0,1.0,14.19,14.2275,14.01,14.14,365344.0
2016-09-02,14.16,14.25,14.05,14.12,545363.0,0.0,1.0,14.16,14.25,14.05,14.12,545363.0
2016-09-01,14.25,14.38,14.06,14.14,526116.0,0.0,1.0,14.25,14.38,14.06,14.14,526116.0
2016-08-31,14.16,14.275,14.08,14.18,637621.0,0.0,1.0,14.16,14.275,14.08,14.18,637621.0
2016-08-30,14.35,14.41,14.17,14.19,599472.0,0.0,1.0,14.35,14.41,14.17,14.19,599472.0
2016-08-29,14.45,14.49,14.29,14.36,616304.0,0.0,1.0,14.45,14.49,14.29,14.36,616304.0
2016-08-26,14.46,14.64,14.21,14.41,930961.0,0.0,1.0,14.46,14.64,14.21,14.41,930961.0
2016-08-25,14.57,14.63,14.37,14.46,487483.0,0.0,1.0,14.57,14.63,14.37,14.46,487483.0
2016-08-24,14.88,15.0,14.595,14.63,790974.0,0.0,1.0,14.88,15.0,14.595,14.63,790974.0
2016-08-23,14.93,15.01,14.88,14.91,669191.0,0.0,1.0,14.93,15.01,14.88,14.91,669191.0
2016-08-22,14.82,15.01,14.75,14.91,1063930.0,0.0,1.0,14.82,15.01,14.75,14.91,1063930.0
2016-08-19,14.84,14.87,14.6977,14.83,772135.0,0.0,1.0,14.84,14.87,14.6977,14.83,772135.0
2016-08-18,14.57,14.9,14.55,14.87,970833.0,0.0,1.0,14.57,14.9,14.55,14.87,970833.0
2016-08-17,14.54,14.67,14.3,14.63,955998.0,0.0,1.0,14.54,14.67,14.3,14.63,955998.0
2016-08-16,14.65,14.75,14.55,14.56,531419.0,0.0,1.0,14.65,14.75,14.55,14.56,531419.0
2016-08-15,14.68,14.82,14.61,14.71,621426.0,0.0,1.0,14.68,14.82,14.61,14.71,621426.0
2016-08-12,14.74,14.76,14.52,14.62,688862.0,0.0,1.0,14.74,14.76,14.52,14.62,688862.0
2016-08-11,14.63,14.9099,14.57,14.76,916398.0,0.0,1.0,14.63,14.9099,14.57,14.76,916398.0
2016-08-10,14.39,14.77,14.28,14.64,1548564.0,0.0,1.0,14.39,14.77,14.28,14.64,1548564.0
2016-08-09,14.8,14.81,14.32,14.42,1220957.0,0.0,1.0,14.8,14.81,14.32,14.42,1220957.0
2016-08-08,14.9,15.0,14.74,14.81,1437119.0,0.0,1.0,14.9,15.0,14.74,14.81,1437119.0
2016-08-05,14.37,14.89,14.16,14.85,1251073.0,0.0,1.0,14.37,14.89,14.16,14.85,1251073.0
2016-08-04,14.77,14.915,14.31,14.34,991320.0,0.0,1.0,14.77,14.915,14.31,14.34,991320.0
2016-08-03,14.63,14.91,14.55,14.79,552010.0,0.0,1.0,14.63,14.91,14.55,14.79,552010.0
2016-08-02,14.94,14.96,14.6,14.71,1137119.0,0.0,1.0,14.94,14.96,14.6,14.71,1137119.0
2016-08-01,15.0,15.07,14.82,14.94,977286.0,0.0,1.0,15.0,15.07,14.82,14.94,977286.0
2016-07-29,15.06,15.17,14.97,15.02,2144478.0,0.0,1.0,15.06,15.17,14.97,15.02,2144478.0
2016-07-28,14.86,15.149,14.37,15.07,3651875.0,0.0,1.0,14.86,15.149,14.37,15.07,3651875.0
2016-07-27,14.38,14.53,14.22,14.29,1288723.0,0.0,1.0,14.38,14.53,14.22,14.29,1288723.0
2016-07-26,14.39,14.5,14.22,14.39,1022204.0,0.0,1.0,14.39,14.5,14.22,14.39,1022204.0
2016-07-25,13.92,14.5,13.89,14.33,2105893.0,0.0,1.0,13.92,14.5,13.89,14.33,2105893.0
2016-07-22,13.34,13.93,13.25,13.92,1458389.0,0.0,1.0,13.34,13.93,13.25,13.92,1458389.0
2016-07-21,13.43,13.56,13.34,13.39,1171851.0,0.0,1.0,13.43,13.56,13.34,13.39,1171851.0
2016-07-20,13.58,13.58,13.29,13.41,1472034.0,0.0,1.0,13.58,13.58,13.29,13.41,1472034.0
2016-07-19,13.72,13.82,13.46,13.49,775092.0,0.0,1.0,13.72,13.82,13.46,13.49,775092.0
2016-07-18,14.05,14.15,13.7,13.8,955619.0,0.0,1.0,14.05,14.15,13.7,13.8,955619.0
2016-07-15,14.17,14.17,13.94,14.09,989653.0,0.0,1.0,14.17,14.17,13.94,14.09,989653.0
2016-07-14,14.07,14.18,13.9601,14.09,1173518.0,0.0,1.0,14.07,14.18,13.9601,14.09,1173518.0
2016-07-13,13.9,14.02,13.8,13.94,701116.0,0.0,1.0,13.9,14.02,13.8,13.94,701116.0
2016-07-12,13.89,13.995,13.82,13.95,992213.0,0.0,1.0,13.89,13.995,13.82,13.95,992213.0
2016-07-11,13.83,13.85,13.7311,13.8,746140.0,0.0,1.0,13.83,13.85,13.7311,13.8,746140.0
2016-07-08,13.82,13.9,13.76,13.77,995354.0,0.0,1.0,13.82,13.9,13.76,13.77,995354.0
2016-07-07,13.82,13.9,13.56,13.72,1524940.0,0.0,1.0,13.82,13.9,13.56,13.72,1524940.0
2016-07-06,13.69,13.9,13.54,13.83,522590.0,0.0,1.0,13.69,13.9,13.54,13.83,522590.0
2016-07-05,13.99,13.99,13.76,13.8,1056245.0,0.0,1.0,13.99,13.99,13.76,13.8,1056245.0
2016-07-01,14.01,14.115,13.81,14.0,1781496.0,0.0,1.0,14.01,14.115,13.81,14.0,1781496.0
2016-06-30,14.02,14.08,13.79,13.93,1532189.0,0.0,1.0,14.02,14.08,13.79,13.93,1532189.0
2016-06-29,13.71,13.82,13.61,13.74,2211687.0,0.0,1.0,13.71,13.82,13.61,13.74,2211687.0
2016-06-28,13.79,14.08,13.45,13.59,1239873.0,0.0,1.0,13.79,14.08,13.45,13.59,1239873.0
2016-06-27,13.84,13.92,13.62,13.69,1246925.0,0.0,1.0,13.84,13.92,13.62,13.69,1246925.0
2016-06-24,13.76,14.065,13.71,13.95,2729864.0,0.0,1.0,13.76,14.065,13.71,13.95,2729864.0
2016-06-23,14.61,14.86,14.21,14.24,2402533.0,0.0,1.0,14.61,14.86,14.21,14.24,2402533.0
2016-06-22,14.85,14.98,14.42,14.42,836515.0,0.0,1.0,14.85,14.98,14.42,14.42,836515.0
2016-06-21,14.73,14.88,14.29,14.82,707280.0,0.0,1.0,14.73,14.88,14.29,14.82,707280.0
2016-06-20,14.78,14.88,14.67,14.68,444256.0,0.0,1.0,14.78,14.88,14.67,14.68,444256.0
2016-06-17,14.56,14.82,14.56,14.59,876895.0,0.0,1.0,14.56,14.82,14.56,14.59,876895.0
2016-06-16,14.73,14.87,14.455,14.59,636961.0,0.0,1.0,14.73,14.87,14.455,14.59,636961.0
2016-06-15,14.66,15.009,14.64,14.84,713148.0,0.0,1.0,14.66,15.009,14.64,14.84,713148.0
2016-06-14,14.26,14.71,14.245,14.64,1214096.0,0.0,1.0,14.26,14.71,14.245,14.64,1214096.0
2016-06-13,14.67,14.89,14.25,14.26,706953.0,0.0,1.0,14.67,14.89,14.25,14.26,706953.0
2016-06-10,15.02,15.185,14.74,14.74,580080.0,0.0,1.0,15.02,15.185,14.74,14.74,580080.0
2016-06-09,15.18,15.26,15.005,15.19,961302.0,0.0,1.0,15.18,15.26,15.005,15.19,961302.0
2016-06-08,15.07,15.355,14.88,15.24,1328317.0,0.0,1.0,15.07,15.355,14.88,15.24,1328317.0
2016-06-07,15.46,15.48,15.02,15.05,1359629.0,0.0,1.0,15.46,15.48,15.02,15.05,1359629.0
2016-06-06,15.44,15.945,15.26,15.48,1211709.0,0.0,1.0,15.44,15.945,15.26,15.48,1211709.0
2016-06-03,15.72,15.825,15.33,15.45,455126.0,0.0,1.0,15.72,15.825,15.33,15.45,455126.0
2016-06-02,16.03,16.05,15.69,15.75,1170319.0,0.0,1.0,16.03,16.05,15.69,15.75,1170319.0
2016-06-01,15.63,15.89,15.63,15.75,2084688.0,0.0,1.0,15.63,15.89,15.63,15.75,2084688.0
2016-05-31,15.15,15.79,15.125,15.67,1524882.0,0.0,1.0,15.15,15.79,15.125,15.67,1524882.0
2016-05-27,14.89,15.25,14.67,15.14,1253949.0,0.0,1.0,14.89,15.25,14.67,15.14,1253949.0
2016-05-26,14.95,15.025,14.63,14.82,433869.0,0.0,1.0,14.95,15.025,14.63,14.82,433869.0
2016-05-25,14.89,15.01,14.75,14.96,999948.0,0.0,1.0,14.89,15.01,14.75,14.96,999948.0
2016-05-24,14.61,14.91,14.56,14.86,1216413.0,0.0,1.0,14.61,14.91,14.56,14.86,1216413.0
2016-05-23,14.52,14.66,14.4553,14.54,769095.0,0.0,1.0,14.52,14.66,14.4553,14.54,769095.0
2016-05-20,14.66,14.842,14.375,14.55,772446.0,0.0,1.0,14.66,14.842,14.375,14.55,772446.0
2016-05-19,14.82,14.88,14.35,14.55,1181390.0,0.0,1.0,14.82,14.88,14.35,14.55,1181390.0
2016-05-18,14.98,15.1,14.71,14.9,858881.0,0.0,1.0,14.98,15.1,14.71,14.9,858881.0
2016-05-17,15.37,15.38,15.01,15.05,1088712.0,0.0,1.0,15.37,15.38,15.01,15.05,1088712.0
2016-05-16,15.58,15.64,15.39,15.39,495218.0,0.0,1.0,15.58,15.64,15.39,15.39,495218.0
2016-05-13,15.68,15.77,15.48,15.53,405381.0,0.0,1.0,15.68,15.77,15.48,15.53,405381.0
2016-05-12,15.99,16.06,15.59,15.73,604119.0,0.0,1.0,15.99,16.06,15.59,15.73,604119.0
2016-05-11,16.38,16.51,15.7311,15.92,1337137.0,0.0,1.0,16.38,16.51,15.7311,15.92,1337137.0
2016-05-10,16.08,16.65,16.03,16.49,770738.0,0.0,1.0,16.08,16.65,16.03,16.49,770738.0
2016-05-09,15.88,16.26,15.83,16.1,1019064.0,0.0,1.0,15.88,16.26,15.83,16.1,1019064.0
2016-05-06,15.9,16.25,15.75,15.84,709525.0,0.0,1.0,15.9,16.25,15.75,15.84,709525.0
2016-05-05,16.0,16.175,15.91,15.96,728617.0,0.0,1.0,16.0,16.175,15.91,15.96,728617.0
2016-05-04,16.03,16.19,15.8814,15.93,766858.0,0.0,1.0,16.03,16.19,15.8814,15.93,766858.0
2016-05-03,16.3,16.408,16.01,16.18,872890.0,0.0,1.0,16.3,16.408,16.01,16.18,872890.0
2016-05-02,16.15,16.47,16.14,16.45,826792.0,0.0,1.0,16.15,16.47,16.14,16.45,826792.0
2016-04-29,16.33,16.52,15.88,16.13,1111620.0,0.0,1.0,16.33,16.52,15.88,16.13,1111620.0
2016-04-28,16.6,17.23,15.932,16.29,1764122.0,0.0,1.0,16.6,17.23,15.932,16.29,1764122.0
2016-04-27,16.99,17.08,16.43,16.51,1374304.0,0.0,1.0,16.99,17.08,16.43,16.51,1374304.0
2016-04-26,16.89,17.09,16.71,17.09,578130.0,0.0,1.0,16.89,17.09,16.71,17.09,578130.0
2016-04-25,16.96,17.02,16.82,16.9,754746.0,0.0,1.0,16.96,17.02,16.82,16.9,754746.0
2016-04-22,17.06,17.08,16.78,16.96,486393.0,0.0,1.0,17.06,17.08,16.78,16.96,486393.0
2016-04-21,17.13,17.31,16.925,17.03,772668.0,0.0,1.0,17.13,17.31,16.925,17.03,772668.0
2016-04-20,17.32,17.4,17.04,17.29,509978.0,0.0,1.0,17.32,17.4,17.04,17.29,509978.0
2016-04-19,17.27,17.38,17.15,17.32,538880.0,0.0,1.0,17.27,17.38,17.15,17.32,538880.0
2016-04-18,17.2,17.25,17.03,17.21,449782.0,0.0,1.0,17.2,17.25,17.03,17.21,449782.0
