Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,48.91,49.84,48.83,49.8,1160294.0,0.0,1.0,48.91,49.84,48.83,49.8,1160294.0
2016-11-16,48.51,49.24,48.35,49.05,1071668.0,0.0,1.0,48.51,49.24,48.35,49.05,1071668.0
2016-11-15,47.83,48.82,47.66,48.52,2126719.0,0.0,1.0,47.83,48.82,47.66,48.52,2126719.0
2016-11-14,48.05,48.75,47.18,47.24,2512132.0,0.0,1.0,48.05,48.75,47.18,47.24,2512132.0
2016-11-11,46.52,47.97,46.36,47.78,2048792.0,0.0,1.0,46.52,47.97,46.36,47.78,2048792.0
2016-11-10,51.63,51.72,46.48,46.62,4453019.0,0.0,1.0,51.63,51.72,46.48,46.62,4453019.0
2016-11-09,51.94,52.17,51.36,51.63,1214509.0,0.0,1.0,51.94,52.17,51.36,51.63,1214509.0
2016-11-08,52.23,52.79,52.07,52.64,1192578.0,0.0,1.0,52.23,52.79,52.07,52.64,1192578.0
2016-11-07,51.53,52.44,51.35,52.24,911906.0,0.0,1.0,51.53,52.44,51.35,52.24,911906.0
2016-11-04,51.12,51.52,50.94,51.14,1312008.0,0.0,1.0,51.12,51.52,50.94,51.14,1312008.0
2016-11-03,51.21,51.4,50.86,51.01,1440203.0,0.0,1.0,51.21,51.4,50.86,51.01,1440203.0
2016-11-02,51.49,51.64,51.26,51.32,876773.0,0.0,1.0,51.49,51.64,51.26,51.32,876773.0
2016-11-01,51.33,51.61,51.33,51.5,1091817.0,0.0,1.0,51.33,51.61,51.33,51.5,1091817.0
2016-10-31,51.51,51.59,51.21,51.42,547768.0,0.0,1.0,51.51,51.59,51.21,51.42,547768.0
2016-10-28,50.88,51.55,50.8,51.37,948222.0,0.0,1.0,50.88,51.55,50.8,51.37,948222.0
2016-10-27,50.37,51.2,49.76,50.63,1744391.0,0.0,1.0,50.37,51.2,49.76,50.63,1744391.0
2016-10-26,50.89,51.17,50.37,50.41,1583043.0,0.0,1.0,50.89,51.17,50.37,50.41,1583043.0
2016-10-25,51.27,51.56,50.82,51.08,1298194.0,0.0,1.0,51.27,51.56,50.82,51.08,1298194.0
2016-10-24,51.28,51.65,50.95,51.01,797435.0,0.0,1.0,51.28,51.65,50.95,51.01,797435.0
2016-10-21,51.0,51.39,50.67,51.23,1005791.0,0.0,1.0,51.0,51.39,50.67,51.23,1005791.0
