Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,1.26,1.3,1.26,1.29,72598.0,0.0,1.0,1.26,1.3,1.26,1.29,72598.0
2016-11-16,1.244,1.3,1.22,1.235,98611.0,0.0,1.0,1.244,1.3,1.22,1.235,98611.0
2016-11-15,1.15,1.29,1.15,1.25,78964.0,0.0,1.0,1.15,1.29,1.15,1.25,78964.0
2016-11-14,1.12,1.26,1.12,1.13,67541.0,0.0,1.0,1.12,1.26,1.12,1.13,67541.0
2016-11-11,1.24,1.275,1.11,1.11,31602.0,0.0,1.0,1.24,1.275,1.11,1.11,31602.0
2016-11-10,1.28,1.28,1.21,1.25,87062.0,0.0,1.0,1.28,1.28,1.21,1.25,87062.0
2016-11-09,1.2,1.2372,1.11,1.15,123333.0,0.0,1.0,1.2,1.2372,1.11,1.15,123333.0
2016-11-08,1.16,1.2319,1.1,1.1801,43073.0,0.0,1.0,1.16,1.2319,1.1,1.1801,43073.0
2016-11-07,1.11,1.24,1.11,1.18,13366.0,0.0,1.0,1.11,1.24,1.11,1.18,13366.0
2016-11-04,1.1283,1.2,1.1,1.12,39286.0,0.0,1.0,1.1283,1.2,1.1,1.12,39286.0
2016-11-03,1.18,1.22,1.08,1.08,32903.0,0.0,1.0,1.18,1.22,1.08,1.08,32903.0
2016-11-02,1.2,1.3,1.15,1.17,73478.0,0.0,1.0,1.2,1.3,1.15,1.17,73478.0
2016-11-01,1.2947,1.36,1.22,1.2408,27148.0,0.0,1.0,1.2947,1.36,1.22,1.2408,27148.0
2016-10-31,1.3,1.34,1.28,1.32,45489.0,0.0,1.0,1.3,1.34,1.28,1.32,45489.0
2016-10-28,1.2223,1.34,1.2223,1.27,37515.0,0.0,1.0,1.2223,1.34,1.2223,1.27,37515.0
2016-10-27,1.3,1.31,1.28,1.3,16345.0,0.0,1.0,1.3,1.31,1.28,1.3,16345.0
2016-10-26,1.28,1.33,1.23,1.33,91499.0,0.0,1.0,1.28,1.33,1.23,1.33,91499.0
2016-10-25,1.36,1.398,1.27,1.29,11017.0,0.0,1.0,1.36,1.398,1.27,1.29,11017.0
2016-10-24,1.44,1.49,1.35,1.35,211218.0,0.0,1.0,1.44,1.49,1.35,1.35,211218.0
2016-10-21,1.34,1.45,1.34,1.42,71981.0,0.0,1.0,1.34,1.45,1.34,1.42,71981.0
2016-10-20,1.33,1.35,1.318,1.34,26270.0,0.0,1.0,1.33,1.35,1.318,1.34,26270.0
2016-10-19,1.35,1.35,1.25,1.33,18393.0,0.0,1.0,1.35,1.35,1.25,1.33,18393.0
2016-10-18,1.32,1.35,1.28,1.2982,46538.0,0.0,1.0,1.32,1.35,1.28,1.2982,46538.0
2016-10-17,1.27,1.32,1.23,1.3,98548.0,0.0,1.0,1.27,1.32,1.23,1.3,98548.0
2016-10-14,1.22,1.29,1.22,1.29,41430.0,0.0,1.0,1.22,1.29,1.22,1.29,41430.0
2016-10-13,1.28,1.28,1.21,1.21,16160.0,0.0,1.0,1.28,1.28,1.21,1.21,16160.0
2016-10-12,1.2501,1.29,1.24,1.29,18570.0,0.0,1.0,1.2501,1.29,1.24,1.29,18570.0
2016-10-11,1.25,1.3,1.24,1.26,27116.0,0.0,1.0,1.25,1.3,1.24,1.26,27116.0
2016-10-10,1.25,1.3,1.25,1.28,45258.0,0.0,1.0,1.25,1.3,1.25,1.28,45258.0
2016-10-07,1.23,1.27,1.22,1.22,20375.0,0.0,1.0,1.23,1.27,1.22,1.22,20375.0
2016-10-06,1.2,1.25,1.1801,1.2301,50454.0,0.0,1.0,1.2,1.25,1.1801,1.2301,50454.0
2016-10-05,1.2128,1.25,1.2101,1.24,20766.0,0.0,1.0,1.2128,1.25,1.2101,1.24,20766.0
2016-10-04,1.2799,1.2799,1.19,1.2,34491.0,0.0,1.0,1.2799,1.2799,1.19,1.2,34491.0
2016-10-03,1.21,1.26,1.21,1.25,52036.0,0.0,1.0,1.21,1.26,1.21,1.25,52036.0
2016-09-30,1.24,1.26,1.23,1.24,10700.0,0.0,1.0,1.24,1.26,1.23,1.24,10700.0
2016-09-29,1.2,1.27,1.19,1.2101,34770.0,0.0,1.0,1.2,1.27,1.19,1.2101,34770.0
2016-09-28,1.22,1.265,1.19,1.19,14293.0,0.0,1.0,1.22,1.265,1.19,1.19,14293.0
2016-09-27,1.23,1.23,1.19,1.23,9436.0,0.0,1.0,1.23,1.23,1.19,1.23,9436.0
2016-09-26,1.24,1.26,1.18,1.2,20598.0,0.0,1.0,1.24,1.26,1.18,1.2,20598.0
2016-09-23,1.23,1.27,1.23,1.24,10720.0,0.0,1.0,1.23,1.27,1.23,1.24,10720.0
2016-09-22,1.23,1.28,1.18,1.23,58316.0,0.0,1.0,1.23,1.28,1.18,1.23,58316.0
2016-09-21,1.2,1.24,1.15,1.2,92380.0,0.0,1.0,1.2,1.24,1.15,1.2,92380.0
2016-09-20,1.2,1.2,1.1399,1.19,58444.0,0.0,1.0,1.2,1.2,1.1399,1.19,58444.0
2016-09-19,1.21,1.27,1.21,1.21,9064.0,0.0,1.0,1.21,1.27,1.21,1.21,9064.0
2016-09-16,1.25,1.32,1.19,1.2,46114.0,0.0,1.0,1.25,1.32,1.19,1.2,46114.0
2016-09-15,1.16,1.249,1.11,1.21,29532.0,0.0,1.0,1.16,1.249,1.11,1.21,29532.0
2016-09-14,1.19,1.26,1.19,1.22,31090.0,0.0,1.0,1.19,1.26,1.19,1.22,31090.0
2016-09-13,1.16,1.21,1.16,1.2,60277.0,0.0,1.0,1.16,1.21,1.16,1.2,60277.0
2016-09-12,1.16,1.23,1.16,1.19,35410.0,0.0,1.0,1.16,1.23,1.16,1.19,35410.0
2016-09-09,1.16,1.23,1.15,1.15,19274.0,0.0,1.0,1.16,1.23,1.15,1.15,19274.0
2016-09-08,1.18,1.2,1.18,1.19,39530.0,0.0,1.0,1.18,1.2,1.18,1.19,39530.0
2016-09-07,1.175,1.2,1.175,1.18,38849.0,0.0,1.0,1.175,1.2,1.175,1.18,38849.0
2016-09-06,1.1799,1.2,1.16,1.18,26901.0,0.0,1.0,1.1799,1.2,1.16,1.18,26901.0
2016-09-02,1.2352,1.2352,1.17,1.17,39505.0,0.0,1.0,1.2352,1.2352,1.17,1.17,39505.0
2016-09-01,1.2,1.25,1.17,1.19,69886.0,0.0,1.0,1.2,1.25,1.17,1.19,69886.0
2016-08-31,1.25,1.28,1.15,1.16,106019.0,0.0,1.0,1.25,1.28,1.15,1.16,106019.0
2016-08-30,1.27,1.27,1.22,1.22,14387.0,0.0,1.0,1.27,1.27,1.22,1.22,14387.0
2016-08-29,1.23,1.29,1.2112,1.29,46634.0,0.0,1.0,1.23,1.29,1.2112,1.29,46634.0
2016-08-26,1.2,1.25,1.2,1.24,21101.0,0.0,1.0,1.2,1.25,1.2,1.24,21101.0
2016-08-25,1.26,1.31,1.19,1.19,23058.0,0.0,1.0,1.26,1.31,1.19,1.19,23058.0
2016-08-24,1.3,1.35,1.21,1.27,95986.0,0.0,1.0,1.3,1.35,1.21,1.27,95986.0
2016-08-23,1.25,1.32,1.23,1.25,36280.0,0.0,1.0,1.25,1.32,1.23,1.25,36280.0
2016-08-22,1.25,1.29,1.17,1.26,89218.0,0.0,1.0,1.25,1.29,1.17,1.26,89218.0
2016-08-19,1.245,1.27,1.2,1.26,17867.0,0.0,1.0,1.245,1.27,1.2,1.26,17867.0
2016-08-18,1.27,1.34,1.25,1.25,64119.0,0.0,1.0,1.27,1.34,1.25,1.25,64119.0
2016-08-17,1.27,1.34,1.248,1.29,58853.0,0.0,1.0,1.27,1.34,1.248,1.29,58853.0
2016-08-16,1.27,1.32,1.26,1.27,73085.0,0.0,1.0,1.27,1.32,1.26,1.27,73085.0
2016-08-15,1.22,1.33,1.2,1.32,168417.0,0.0,1.0,1.22,1.33,1.2,1.32,168417.0
2016-08-12,1.235,1.25,1.21,1.22,15948.0,0.0,1.0,1.235,1.25,1.21,1.22,15948.0
2016-08-11,1.18,1.3,1.17,1.23,53779.0,0.0,1.0,1.18,1.3,1.17,1.23,53779.0
2016-08-10,1.2,1.24,1.14,1.2,54885.0,0.0,1.0,1.2,1.24,1.14,1.2,54885.0
2016-08-09,1.23,1.27,1.18,1.22,36001.0,0.0,1.0,1.23,1.27,1.18,1.22,36001.0
2016-08-08,1.17,1.29,1.17,1.25,57172.0,0.0,1.0,1.17,1.29,1.17,1.25,57172.0
2016-08-05,1.22,1.27,1.17,1.18,76112.0,0.0,1.0,1.22,1.27,1.17,1.18,76112.0
2016-08-04,1.2,1.25,1.16,1.2,23706.0,0.0,1.0,1.2,1.25,1.16,1.2,23706.0
2016-08-03,1.1571,1.23,1.1571,1.2099,54124.0,0.0,1.0,1.1571,1.23,1.1571,1.2099,54124.0
2016-08-02,1.18,1.19,1.15,1.1596,48408.0,0.0,1.0,1.18,1.19,1.15,1.1596,48408.0
2016-08-01,1.18,1.18,1.14,1.15,64276.0,0.0,1.0,1.18,1.18,1.14,1.15,64276.0
2016-07-29,1.19,1.21,1.16,1.18,56031.0,0.0,1.0,1.19,1.21,1.16,1.18,56031.0
2016-07-28,1.24,1.24,1.2,1.2,24875.0,0.0,1.0,1.24,1.24,1.2,1.2,24875.0
2016-07-27,1.2499,1.3,1.23,1.23,42933.0,0.0,1.0,1.2499,1.3,1.23,1.23,42933.0
2016-07-26,1.23,1.2799,1.21,1.23,42053.0,0.0,1.0,1.23,1.2799,1.21,1.23,42053.0
2016-07-25,1.19,1.34,1.18,1.22,75825.0,0.0,1.0,1.19,1.34,1.18,1.22,75825.0
2016-07-22,1.171,1.231,1.171,1.19,61571.0,0.0,1.0,1.171,1.231,1.171,1.19,61571.0
2016-07-21,1.1632,1.182,1.1632,1.18,17363.0,0.0,1.0,1.1632,1.182,1.1632,1.18,17363.0
2016-07-20,1.17,1.3299,1.14,1.19,205925.0,0.0,1.0,1.17,1.3299,1.14,1.19,205925.0
2016-07-19,1.12,1.21,1.1166,1.17,125092.0,0.0,1.0,1.12,1.21,1.1166,1.17,125092.0
2016-07-18,1.13,1.14,1.1201,1.14,11207.0,0.0,1.0,1.13,1.14,1.1201,1.14,11207.0
2016-07-15,1.1127,1.1403,1.11,1.13,30753.0,0.0,1.0,1.1127,1.1403,1.11,1.13,30753.0
2016-07-14,1.14,1.14,1.11,1.12,31619.0,0.0,1.0,1.14,1.14,1.11,1.12,31619.0
2016-07-13,1.1,1.1499,1.1,1.11,58554.0,0.0,1.0,1.1,1.1499,1.1,1.11,58554.0
2016-07-12,1.14,1.18,1.1,1.12,67836.0,0.0,1.0,1.14,1.18,1.1,1.12,67836.0
2016-07-11,1.18,1.18,1.08,1.12,24904.0,0.0,1.0,1.18,1.18,1.08,1.12,24904.0
2016-07-08,1.2,1.2,1.17,1.18,25478.0,0.0,1.0,1.2,1.2,1.17,1.18,25478.0
2016-07-07,1.155,1.2,1.15,1.16,35586.0,0.0,1.0,1.155,1.2,1.15,1.16,35586.0
2016-07-06,1.15,1.17,1.12,1.17,22187.0,0.0,1.0,1.15,1.17,1.12,1.17,22187.0
2016-07-05,1.12,1.18,1.1,1.15,43051.0,0.0,1.0,1.12,1.18,1.1,1.15,43051.0
2016-07-01,1.14,1.16,1.0996,1.1442,82237.0,0.0,1.0,1.14,1.16,1.0996,1.1442,82237.0
2016-06-30,1.13,1.23,1.11,1.11,297577.0,0.0,1.0,1.13,1.23,1.11,1.11,297577.0
2016-06-29,1.08,1.12,1.08,1.11,71722.0,0.0,1.0,1.08,1.12,1.08,1.11,71722.0
2016-06-28,1.08,1.08,1.06,1.08,33912.0,0.0,1.0,1.08,1.08,1.06,1.08,33912.0
2016-06-27,1.08,1.08,1.01,1.05,29517.0,0.0,1.0,1.08,1.08,1.01,1.05,29517.0
2016-06-24,1.0,1.05,0.98,1.05,40010.0,0.0,1.0,1.0,1.05,0.98,1.05,40010.0
2016-06-23,1.01,1.03,1.0,1.02,46344.0,0.0,1.0,1.01,1.03,1.0,1.02,46344.0
2016-06-22,1.0199,1.03,0.98,1.01,27460.0,0.0,1.0,1.0199,1.03,0.98,1.01,27460.0
2016-06-21,1.02,1.02,0.99,1.02,3126.0,0.0,1.0,1.02,1.02,0.99,1.02,3126.0
2016-06-20,1.03,1.03,1.01,1.02,48376.0,0.0,1.0,1.03,1.03,1.01,1.02,48376.0
2016-06-17,1.0,1.0705,1.0,1.04,191975.0,0.0,1.0,1.0,1.0705,1.0,1.04,191975.0
2016-06-16,1.01,1.01,1.0,1.0,26656.0,0.0,1.0,1.01,1.01,1.0,1.0,26656.0
2016-06-15,0.99,1.0301,0.9702,1.0301,39191.0,0.0,1.0,0.99,1.0301,0.9702,1.0301,39191.0
2016-06-14,0.99,1.0,0.95,0.99,95468.0,0.0,1.0,0.99,1.0,0.95,0.99,95468.0
2016-06-13,1.05,1.11,0.99,1.11,99104.0,0.0,1.0,1.05,1.11,0.99,1.11,99104.0
2016-06-10,1.01,1.0426,1.0,1.0426,105164.0,0.0,1.0,1.01,1.0426,1.0,1.0426,105164.0
2016-06-09,1.0,1.04,0.986,1.02,51888.0,0.0,1.0,1.0,1.04,0.986,1.02,51888.0
2016-06-08,1.04,1.04,0.9766,1.03,179159.0,0.0,1.0,1.04,1.04,0.9766,1.03,179159.0
2016-06-07,1.06,1.0701,1.03,1.06,38236.0,0.0,1.0,1.06,1.0701,1.03,1.06,38236.0
2016-06-06,1.09,1.09,1.06,1.0601,23228.0,0.0,1.0,1.09,1.09,1.06,1.0601,23228.0
2016-06-03,1.0675,1.1,1.06,1.09,34523.0,0.0,1.0,1.0675,1.1,1.06,1.09,34523.0
2016-06-02,1.08,1.08,1.04,1.05,55385.0,0.0,1.0,1.08,1.08,1.04,1.05,55385.0
2016-06-01,1.1,1.1152,1.07,1.09,16167.0,0.0,1.0,1.1,1.1152,1.07,1.09,16167.0
2016-05-31,1.08,1.13,1.08,1.09,22401.0,0.0,1.0,1.08,1.13,1.08,1.09,22401.0
2016-05-27,1.06,1.12,1.04,1.08,92278.0,0.0,1.0,1.06,1.12,1.04,1.08,92278.0
2016-05-26,1.02,1.02,1.0,1.02,1277.0,0.0,1.0,1.02,1.02,1.0,1.02,1277.0
2016-05-25,1.0,1.02,0.956,1.01,62786.0,0.0,1.0,1.0,1.02,0.956,1.01,62786.0
2016-05-24,0.9999,1.0,0.9601,1.0,45431.0,0.0,1.0,0.9999,1.0,0.9601,1.0,45431.0
2016-05-23,0.97,1.0,0.955,0.995,8847.0,0.0,1.0,0.97,1.0,0.955,0.995,8847.0
2016-05-20,0.97,1.0,0.97,0.97,40379.0,0.0,1.0,0.97,1.0,0.97,0.97,40379.0
2016-05-19,0.953,1.03,0.953,0.965,100064.0,0.0,1.0,0.953,1.03,0.953,0.965,100064.0
2016-05-18,0.916,1.05,0.916,0.94,150691.0,0.0,1.0,0.916,1.05,0.916,0.94,150691.0
2016-05-17,0.905,0.95,0.905,0.92,168216.0,0.0,1.0,0.905,0.95,0.905,0.92,168216.0
2016-05-16,0.902,0.92,0.901,0.9011,20873.0,0.0,1.0,0.902,0.92,0.901,0.9011,20873.0
2016-05-13,0.91,0.94,0.91,0.91,19252.0,0.0,1.0,0.91,0.94,0.91,0.91,19252.0
2016-05-12,0.911,0.94,0.911,0.911,20252.0,0.0,1.0,0.911,0.94,0.911,0.911,20252.0
2016-05-11,0.9,0.92,0.852,0.92,112888.0,0.0,1.0,0.9,0.92,0.852,0.92,112888.0
2016-05-10,0.902,0.902,0.86,0.8639,34315.0,0.0,1.0,0.902,0.902,0.86,0.8639,34315.0
2016-05-09,0.891,0.891,0.86,0.86,34209.0,0.0,1.0,0.891,0.891,0.86,0.86,34209.0
2016-05-06,0.89,0.9,0.89,0.8984,16056.0,0.0,1.0,0.89,0.9,0.89,0.8984,16056.0
2016-05-05,0.87,0.9199,0.87,0.9,5017.0,0.0,1.0,0.87,0.9199,0.87,0.9,5017.0
2016-05-04,0.91,0.94,0.86,0.87,21436.0,0.0,1.0,0.91,0.94,0.86,0.87,21436.0
2016-05-03,0.9,0.94,0.8751,0.905,10361.0,0.0,1.0,0.9,0.94,0.8751,0.905,10361.0
2016-05-02,0.93,0.93,0.88,0.88,12502.0,0.0,1.0,0.93,0.93,0.88,0.88,12502.0
2016-04-29,0.882,0.9381,0.88,0.91,150071.0,0.0,1.0,0.882,0.9381,0.88,0.91,150071.0
2016-04-28,0.87,0.94,0.866,0.885,17786.0,0.0,1.0,0.87,0.94,0.866,0.885,17786.0
2016-04-27,0.9,0.95,0.85,0.89,32252.0,0.0,1.0,0.9,0.95,0.85,0.89,32252.0
2016-04-26,0.9399,0.94,0.91,0.91,19424.0,0.0,1.0,0.9399,0.94,0.91,0.91,19424.0
2016-04-25,0.93,0.94,0.9,0.9299,4559.0,0.0,1.0,0.93,0.94,0.9,0.9299,4559.0
2016-04-22,0.86,0.94,0.8599,0.891,56630.0,0.0,1.0,0.86,0.94,0.8599,0.891,56630.0
2016-04-21,0.8652,0.8665,0.8501,0.86,49057.0,0.0,1.0,0.8652,0.8665,0.8501,0.86,49057.0
2016-04-20,0.8989,0.9,0.8651,0.8651,72003.0,0.0,1.0,0.8989,0.9,0.8651,0.8651,72003.0
2016-04-19,0.9038,0.918,0.86,0.88,80636.0,0.0,1.0,0.9038,0.918,0.86,0.88,80636.0
2016-04-18,0.85,0.919,0.85,0.881,23453.0,0.0,1.0,0.85,0.919,0.85,0.881,23453.0
2016-04-15,0.9,0.94,0.8702,0.8702,55995.0,0.0,1.0,0.9,0.94,0.8702,0.8702,55995.0
2016-04-14,0.925,0.925,0.89,0.89,45652.0,0.0,1.0,0.925,0.925,0.89,0.89,45652.0
2016-04-13,0.9018,0.94,0.9,0.9,19141.0,0.0,1.0,0.9018,0.94,0.9,0.9,19141.0
2016-04-12,0.89,0.93,0.88,0.9,27499.0,0.0,1.0,0.89,0.93,0.88,0.9,27499.0
2016-04-11,0.92,0.95,0.8801,0.9055,22290.0,0.0,1.0,0.92,0.95,0.8801,0.9055,22290.0
2016-04-08,0.9385,0.95,0.91,0.9189,59291.0,0.0,1.0,0.9385,0.95,0.91,0.9189,59291.0
2016-04-07,0.92,0.95,0.9,0.9,31648.0,0.0,1.0,0.92,0.95,0.9,0.9,31648.0
2016-04-06,0.97,0.97,0.92,0.92,20051.0,0.0,1.0,0.97,0.97,0.92,0.92,20051.0
2016-04-05,0.92,0.97,0.92,0.95,73019.0,0.0,1.0,0.92,0.97,0.92,0.95,73019.0
2016-04-04,0.98,0.9899,0.91,0.91,19027.0,0.0,1.0,0.98,0.9899,0.91,0.91,19027.0
2016-04-01,0.98,1.01,0.98,0.98,18204.0,0.0,1.0,0.98,1.01,0.98,0.98,18204.0
2016-03-31,1.02,1.03,0.97,0.97,16844.0,0.0,1.0,1.02,1.03,0.97,0.97,16844.0
2016-03-30,0.98,1.04,0.98,0.98,96587.0,0.0,1.0,0.98,1.04,0.98,0.98,96587.0
2016-03-29,1.04,1.08,1.0,1.0,120649.0,0.0,1.0,1.04,1.08,1.0,1.0,120649.0
2016-03-28,1.05,1.1,1.01,1.04,26898.0,0.0,1.0,1.05,1.1,1.01,1.04,26898.0
2016-03-24,1.02,1.06,1.0,1.05,29007.0,0.0,1.0,1.02,1.06,1.0,1.05,29007.0
2016-03-23,1.1,1.11,1.02,1.05,92857.0,0.0,1.0,1.1,1.11,1.02,1.05,92857.0
2016-03-22,1.05,1.09,1.0401,1.08,63970.0,0.0,1.0,1.05,1.09,1.0401,1.08,63970.0
2016-03-21,1.08,1.11,1.06,1.06,24531.0,0.0,1.0,1.08,1.11,1.06,1.06,24531.0
2016-03-18,1.08,1.12,1.08,1.08,48679.0,0.0,1.0,1.08,1.12,1.08,1.08,48679.0
2016-03-17,1.13,1.13,1.07,1.09,63824.0,0.0,1.0,1.13,1.13,1.07,1.09,63824.0
2016-03-16,1.06,1.15,1.05,1.12,94450.0,0.0,1.0,1.06,1.15,1.05,1.12,94450.0
2016-03-15,1.08,1.08,1.04,1.06,81448.0,0.0,1.0,1.08,1.08,1.04,1.06,81448.0
2016-03-14,1.05,1.08,1.02,1.08,61866.0,0.0,1.0,1.05,1.08,1.02,1.08,61866.0
2016-03-11,1.04,1.06,1.012,1.06,110604.0,0.0,1.0,1.04,1.06,1.012,1.06,110604.0
2016-03-10,1.0,1.04,0.9302,1.02,75566.0,0.0,1.0,1.0,1.04,0.9302,1.02,75566.0
2016-03-09,1.07,1.07,0.9742,0.985,375169.0,0.0,1.0,1.07,1.07,0.9742,0.985,375169.0
