Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-01-30,69.99,70.01,69.95,69.95,10262405.0,0.0,1.0,69.99,70.01,69.95,69.95,10262405.0
2015-01-29,69.98,69.98,69.96,69.96,915516.0,0.0,1.0,69.98,69.98,69.96,69.96,915516.0
2015-01-28,69.98,69.98,69.95,69.95,975347.0,0.0,1.0,69.98,69.98,69.95,69.95,975347.0
2015-01-27,69.95,69.98,69.95,69.96,644270.0,0.0,1.0,69.95,69.98,69.95,69.96,644270.0
2015-01-26,69.95,69.95,69.94,69.95,632629.0,0.0,1.0,69.95,69.95,69.94,69.95,632629.0
2015-01-23,69.94,69.96,69.94,69.95,1113661.0,0.0,1.0,69.94,69.96,69.94,69.95,1113661.0
2015-01-22,69.85,69.93,69.8,69.93,528505.0,0.0,1.0,69.85,69.93,69.8,69.93,528505.0
2015-01-21,69.76,69.83,69.74,69.83,632151.0,0.0,1.0,69.76,69.83,69.74,69.83,632151.0
2015-01-20,69.78,69.85,69.74,69.77,471210.0,0.0,1.0,69.78,69.85,69.74,69.77,471210.0
2015-01-15,69.78,69.83,69.72,69.73,788957.0,0.0,1.0,69.78,69.83,69.72,69.73,788957.0
2015-01-14,69.68,69.745,69.645,69.74,854872.0,0.0,1.0,69.68,69.745,69.645,69.74,854872.0
2015-01-12,69.76,69.8,69.7,69.73,670174.0,0.0,1.0,69.76,69.8,69.7,69.73,670174.0
2015-01-08,69.78,69.84,69.75,69.79,777861.0,0.0,1.0,69.78,69.84,69.75,69.79,777861.0
2015-01-07,69.7,69.79,69.67,69.79,439738.0,0.0,1.0,69.7,69.79,69.67,69.79,439738.0
2015-01-06,69.7,69.74,69.66,69.67,756045.0,0.0,1.0,69.7,69.74,69.66,69.67,756045.0
2015-01-05,69.67,69.71,69.66,69.68,580148.0,0.0,1.0,69.67,69.71,69.66,69.68,580148.0
2015-01-02,69.78,69.79,69.65,69.68,541970.0,0.0,1.0,69.78,69.79,69.65,69.68,541970.0
2014-12-31,69.7,69.71,69.65,69.65,560892.0,0.0,1.0,69.7,69.71,69.65,69.65,560892.0
2014-12-30,69.64,69.72,69.62,69.64,293861.0,0.0,1.0,69.64,69.72,69.62,69.64,293861.0
2014-12-29,69.68,69.725,69.625,69.66,587755.0,0.0,1.0,69.68,69.725,69.625,69.66,587755.0
2014-12-26,69.65,69.68,69.64,69.67,126061.0,0.0,1.0,69.65,69.68,69.64,69.67,126061.0
2014-12-24,69.67,69.87,69.6,69.62,203185.0,0.0,1.0,69.67,69.87,69.6,69.62,203185.0
2014-12-23,69.6,69.68,69.59,69.65,308999.0,0.0,1.0,69.6,69.68,69.59,69.65,308999.0
2014-12-22,69.54,69.63,69.51,69.55,422121.0,0.0,1.0,69.54,69.63,69.51,69.55,422121.0
2014-12-19,69.56,69.61,69.48,69.5,1150343.0,0.0,1.0,69.56,69.61,69.48,69.5,1150343.0
2014-12-18,69.61,69.63,69.46,69.51,706458.0,0.0,1.0,69.61,69.63,69.46,69.51,706458.0
2014-12-17,69.5,69.6,69.37,69.57,1108010.0,0.0,1.0,69.5,69.6,69.37,69.57,1108010.0
2014-12-16,69.31,69.49,69.28,69.32,984458.0,0.0,1.0,69.31,69.49,69.28,69.32,984458.0
2014-12-15,69.62,69.64,69.24,69.33,1214219.0,0.0,1.0,69.62,69.64,69.24,69.33,1214219.0
2014-12-12,69.7,69.74,69.63,69.65,1113383.0,0.0,1.0,69.7,69.74,69.63,69.65,1113383.0
2014-12-11,69.79,69.81,69.68,69.73,471843.0,0.0,1.0,69.79,69.81,69.68,69.73,471843.0
2014-12-10,69.75,69.8,69.7,69.71,730231.0,0.0,1.0,69.75,69.8,69.7,69.71,730231.0
2014-12-09,69.68,69.82,69.59,69.81,718202.0,0.0,1.0,69.68,69.82,69.59,69.81,718202.0
2014-12-08,69.8,69.82,69.7,69.74,524914.0,0.0,1.0,69.8,69.82,69.7,69.74,524914.0
2014-12-05,69.85,69.89,69.73,69.78,1153995.0,0.0,1.0,69.85,69.89,69.73,69.78,1153995.0
2014-12-04,69.73,69.76,69.7,69.73,471928.0,0.0,1.0,69.73,69.76,69.7,69.73,471928.0
2014-12-02,69.79,69.85,69.7,69.75,370747.0,0.0,1.0,69.79,69.85,69.7,69.75,370747.0
2014-12-01,69.71,69.76,69.69,69.69,580442.0,0.0,1.0,69.71,69.76,69.69,69.69,580442.0
