Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-08-31,19.26,19.26,19.21,19.25,17462.0,0.0,1.0,19.26,19.26,19.21,19.25,17462.0
2015-08-28,19.21,19.26,19.21,19.25,11084.0,0.0,1.0,19.21,19.26,19.21,19.25,11084.0
2015-08-27,19.29,19.29,19.21,19.26,15775.0,0.0,1.0,19.29,19.29,19.21,19.26,15775.0
2015-08-26,19.36,19.36,19.19,19.26,13632.0,0.0,1.0,19.36,19.36,19.19,19.26,13632.0
2015-08-25,19.4,19.4,19.2,19.2,9063.0,0.0,1.0,19.4,19.4,19.2,19.2,9063.0
2015-08-24,19.2,19.49,19.2,19.21,9580.0,0.0,1.0,19.2,19.49,19.2,19.21,9580.0
2015-08-21,19.2,19.35,19.2,19.25,6112.0,0.0,1.0,19.2,19.35,19.2,19.25,6112.0
2015-08-20,19.15,19.43,19.15,19.27,6616.0,0.0,1.0,19.15,19.43,19.15,19.27,6616.0
2015-08-19,19.91,19.91,19.2,19.22,22203.0,0.0,1.0,19.91,19.91,19.2,19.22,22203.0
2015-08-18,20.06,20.07,19.74,19.97,11549.0,0.0,1.0,20.06,20.07,19.74,19.97,11549.0
2015-08-17,20.02,20.23,19.795,20.23,5638.0,0.0,1.0,20.02,20.23,19.795,20.23,5638.0
2015-08-14,19.63,20.31,19.63,20.0,6271.0,0.0,1.0,19.63,20.31,19.63,20.0,6271.0
2015-08-13,19.44,19.96,19.44,19.8,9873.0,0.0,1.0,19.44,19.96,19.44,19.8,9873.0
2015-08-12,19.67,19.7,19.25,19.43,31524.0,0.0,1.0,19.67,19.7,19.25,19.43,31524.0
2015-08-11,19.63,19.93,19.5,19.72,33801.0,0.0,1.0,19.63,19.93,19.5,19.72,33801.0
2015-08-10,19.9,20.0,19.8,19.98,49508.0,0.0,1.0,19.9,20.0,19.8,19.98,49508.0
2015-08-07,19.93,20.03,19.63,19.73,13867.0,0.0,1.0,19.93,20.03,19.63,19.73,13867.0
2015-08-06,20.11,20.25,19.923,19.95,7575.0,0.0,1.0,20.11,20.25,19.923,19.95,7575.0
2015-08-05,20.0,20.44,19.97,20.23,31511.0,0.0,1.0,20.0,20.44,19.97,20.23,31511.0
2015-08-04,19.9801,20.16,19.98,19.99,10668.0,0.0,1.0,19.9801,20.16,19.98,19.99,10668.0
2015-08-03,20.0,20.07,19.7,19.9,24734.0,0.0,1.0,20.0,20.07,19.7,19.9,24734.0
2015-07-31,19.83,20.04,19.65,19.79,19349.0,0.0,1.0,19.83,20.04,19.65,19.79,19349.0
2015-07-30,19.72,19.94,19.71,19.83,58314.0,0.08,1.0,19.72,19.94,19.71,19.83,58314.0
2015-07-29,19.75,19.85,19.7,19.78,29533.0,0.0,1.0,19.670642893019,19.770241084882,19.620843797087,19.700522350578,29533.0
2015-07-28,19.8,19.91,19.8,19.83,13459.0,0.0,1.0,19.72044198895,19.83,19.72044198895,19.750321446509,13459.0
2015-07-27,20.01,20.0163,19.7901,19.85,23443.0,0.0,1.0,19.929598191863,19.935872877951,19.710581767956,19.770241084882,23443.0
2015-07-24,19.65,20.28,19.65,20.05,44743.0,0.0,1.0,19.571044701155,20.198513309895,19.571044701155,19.969437468609,44743.0
2015-07-23,20.78,20.78,20.12,20.18,12999.0,0.0,1.0,20.696504269211,20.696504269211,20.039156202913,20.098915118031,12999.0
2015-07-22,20.5,20.7966,20.29,20.66,33564.0,0.0,1.0,20.417629331994,20.713037569061,20.208473129081,20.576986438975,33564.0
2015-07-21,20.485,20.6,20.4,20.43,17510.0,0.0,1.0,20.402689603214,20.517227523857,20.318031140131,20.34791059769,17510.0
2015-07-20,20.31,20.39,20.14,20.38,21831.0,0.0,1.0,20.228392767454,20.308071320944,20.059075841286,20.298111501758,21831.0
2015-07-17,20.24,20.31,20.16,20.23,11112.0,0.0,1.0,20.158674033149,20.228392767454,20.078995479658,20.148714213963,11112.0
2015-07-16,20.5,20.5,20.5,20.3,22185.0,0.0,1.0,20.417629331994,20.417629331994,20.417629331994,20.218432948267,22185.0
2015-07-15,20.245,20.25,20.15,20.21,8347.0,0.0,1.0,20.163653942742,20.168633852336,20.069035660472,20.12879457559,8347.0
2015-07-14,20.15,20.15,19.97,20.14,17677.0,0.0,1.0,20.069035660472,20.069035660472,19.889758915118,20.059075841286,17677.0
