Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,7.56,7.64,7.56,7.64,207891.0,0.0,1.0,7.56,7.64,7.56,7.64,207891.0
2016-11-16,7.55,7.58,7.48,7.56,176185.0,0.0,1.0,7.55,7.58,7.48,7.56,176185.0
2016-11-15,7.55,7.57,7.45,7.53,291903.0,0.0,1.0,7.55,7.57,7.45,7.53,291903.0
2016-11-14,7.74,7.78,7.48,7.5,277451.0,0.0,1.0,7.74,7.78,7.48,7.5,277451.0
2016-11-11,7.64,7.75,7.62,7.71,208444.0,0.0,1.0,7.64,7.75,7.62,7.71,208444.0
2016-11-10,7.52,7.74,7.5,7.65,340490.0,0.0,1.0,7.52,7.74,7.5,7.65,340490.0
2016-11-09,7.1,7.53,7.1,7.44,292335.0,0.0,1.0,7.1,7.53,7.1,7.44,292335.0
2016-11-08,7.26,7.33,7.2,7.27,219697.0,0.0,1.0,7.26,7.33,7.2,7.27,219697.0
2016-11-07,7.18,7.33,7.17,7.32,336254.0,0.0,1.0,7.18,7.33,7.17,7.32,336254.0
2016-11-04,7.2,7.24,7.12,7.16,330643.0,0.0,1.0,7.2,7.24,7.12,7.16,330643.0
2016-11-03,7.21,7.29,7.17,7.22,295757.0,0.0,1.0,7.21,7.29,7.17,7.22,295757.0
2016-11-02,7.38,7.4,7.18,7.23,486661.0,0.0,1.0,7.38,7.4,7.18,7.23,486661.0
2016-11-01,7.54,7.57,7.39,7.43,388892.0,0.0,1.0,7.54,7.57,7.39,7.43,388892.0
2016-10-31,7.5,7.57,7.42,7.53,282848.0,0.0,1.0,7.5,7.57,7.42,7.53,282848.0
2016-10-28,7.51,7.6,7.43,7.5,571527.0,0.0,1.0,7.51,7.6,7.43,7.5,571527.0
2016-10-27,7.57,7.62,7.5,7.51,180971.0,0.0,1.0,7.57,7.62,7.5,7.51,180971.0
2016-10-26,7.6,7.6376,7.53,7.56,188143.0,0.0,1.0,7.6,7.6376,7.53,7.56,188143.0
2016-10-25,7.62,7.67,7.6055,7.64,219390.0,0.0,1.0,7.62,7.67,7.6055,7.64,219390.0
2016-10-24,7.66,7.6895,7.6,7.65,230827.0,0.0,1.0,7.66,7.6895,7.6,7.65,230827.0
2016-10-21,7.57,7.65,7.5584,7.65,165158.0,0.0,1.0,7.57,7.65,7.5584,7.65,165158.0
2016-10-20,7.53,7.59,7.5,7.56,207280.0,0.0,1.0,7.53,7.59,7.5,7.56,207280.0
2016-10-19,7.55,7.58,7.53,7.55,195714.0,0.0,1.0,7.55,7.58,7.53,7.55,195714.0
2016-10-18,7.56,7.58,7.46,7.51,156184.0,0.0,1.0,7.56,7.58,7.46,7.51,156184.0
2016-10-17,7.56,7.58,7.47,7.51,309352.0,0.0,1.0,7.56,7.58,7.47,7.51,309352.0
2016-10-14,7.55,7.58,7.485,7.57,156292.0,0.0,1.0,7.55,7.58,7.485,7.57,156292.0
