Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-05-06,18.74,18.76,18.74,18.76,352896.0,0.0,1.0,18.74,18.76,18.74,18.76,352896.0
2016-05-05,18.74,18.76,18.73,18.74,219095.0,0.0,1.0,18.74,18.76,18.73,18.74,219095.0
2016-05-04,18.75,18.75,18.735,18.74,148112.0,0.0,1.0,18.75,18.75,18.735,18.74,148112.0
2016-05-03,18.73,18.75,18.73,18.75,114716.0,0.0,1.0,18.73,18.75,18.73,18.75,114716.0
2016-05-02,18.73,18.75,18.72,18.75,328700.0,0.0,1.0,18.73,18.75,18.72,18.75,328700.0
2016-04-29,18.73,18.74,18.72,18.72,262852.0,0.0,1.0,18.73,18.74,18.72,18.72,262852.0
2016-04-28,18.75,18.76,18.72,18.74,339727.0,0.0,1.0,18.75,18.76,18.72,18.74,339727.0
2016-04-27,18.76,18.78,18.74,18.76,234033.0,0.0,1.0,18.76,18.78,18.74,18.76,234033.0
2016-04-26,18.74,18.78,18.73,18.75,424612.0,0.0,1.0,18.74,18.78,18.73,18.75,424612.0
2016-04-25,18.76,18.77,18.74,18.75,339384.0,0.0,1.0,18.76,18.77,18.74,18.75,339384.0
2016-04-22,18.75,18.77,18.74,18.77,280359.0,0.0,1.0,18.75,18.77,18.74,18.77,280359.0
2016-04-21,18.74,18.76,18.73,18.75,188325.0,0.0,1.0,18.74,18.76,18.73,18.75,188325.0
2016-04-20,18.72,18.74,18.7,18.72,286368.0,0.0,1.0,18.72,18.74,18.7,18.72,286368.0
2016-04-19,18.72,18.75,18.71,18.73,310088.0,0.0,1.0,18.72,18.75,18.71,18.73,310088.0
2016-04-18,18.7,18.73,18.7,18.71,102897.0,0.0,1.0,18.7,18.73,18.7,18.71,102897.0
2016-04-15,18.72,18.73,18.7,18.72,235751.0,0.0,1.0,18.72,18.73,18.7,18.72,235751.0
2016-04-14,18.71,18.73,18.69,18.73,391293.0,0.0,1.0,18.71,18.73,18.69,18.73,391293.0
2016-04-13,18.71,18.75,18.68,18.695,375136.0,0.0,1.0,18.71,18.75,18.68,18.695,375136.0
2016-04-12,18.71,18.74,18.71,18.71,308809.0,0.0,1.0,18.71,18.74,18.71,18.71,308809.0
2016-04-11,18.73,18.74,18.71,18.71,280916.0,0.0,1.0,18.73,18.74,18.71,18.71,280916.0
2016-04-08,18.67,18.75,18.67,18.72,264532.0,0.0,1.0,18.67,18.75,18.67,18.72,264532.0
2016-04-07,18.66,18.69,18.53,18.66,242144.0,0.0,1.0,18.66,18.69,18.53,18.66,242144.0
2016-04-06,18.69,18.69,18.66,18.66,287401.0,0.0,1.0,18.69,18.69,18.66,18.66,287401.0
2016-04-05,18.68,18.69,18.66,18.67,279785.0,0.0,1.0,18.68,18.69,18.66,18.67,279785.0
2016-04-04,18.69,18.73,18.67,18.67,352435.0,0.0,1.0,18.69,18.73,18.67,18.67,352435.0
2016-04-01,18.69,18.715,18.67,18.7,768118.0,0.0,1.0,18.69,18.715,18.67,18.7,768118.0
2016-03-31,18.65,18.705,18.65,18.69,624480.0,0.0,1.0,18.65,18.705,18.65,18.69,624480.0
2016-03-30,18.67,18.69,18.625,18.64,625974.0,0.0,1.0,18.67,18.69,18.625,18.64,625974.0
2016-03-29,18.59,18.69,18.59,18.69,379677.0,0.0,1.0,18.59,18.69,18.59,18.69,379677.0
2016-03-28,18.61,18.62,18.58,18.59,216799.0,0.0,1.0,18.61,18.62,18.58,18.59,216799.0
2016-03-24,18.58,18.65,18.56,18.61,365921.0,0.0,1.0,18.58,18.65,18.56,18.61,365921.0
2016-03-23,18.59,18.62,18.57,18.6,623964.0,0.0,1.0,18.59,18.62,18.57,18.6,623964.0
2016-03-22,18.61,18.64,18.56,18.57,317591.0,0.0,1.0,18.61,18.64,18.56,18.57,317591.0
2016-03-21,18.62,18.65,18.58,18.61,464985.0,0.0,1.0,18.62,18.65,18.58,18.61,464985.0
2016-03-18,18.6,18.64,18.5599,18.61,637304.0,0.0,1.0,18.6,18.64,18.5599,18.61,637304.0
2016-03-17,18.68,18.69,18.58,18.6,481762.0,0.0,1.0,18.68,18.69,18.58,18.6,481762.0
2016-03-16,18.61,18.69,18.61,18.69,275935.0,0.0,1.0,18.61,18.69,18.61,18.69,275935.0
2016-03-15,18.55,18.66,18.55,18.65,629164.0,0.0,1.0,18.55,18.66,18.55,18.65,629164.0
2016-03-14,18.6,18.63,18.58,18.58,238774.0,0.0,1.0,18.6,18.63,18.58,18.58,238774.0
2016-03-11,18.62,18.62,18.58,18.62,571462.0,0.0,1.0,18.62,18.62,18.58,18.62,571462.0
2016-03-10,18.59,18.62,18.55,18.61,481037.0,0.0,1.0,18.59,18.62,18.55,18.61,481037.0
2016-03-09,18.58,18.61,18.52,18.6,476765.0,0.0,1.0,18.58,18.61,18.52,18.6,476765.0
2016-03-08,18.67,18.67,18.52,18.54,890239.0,0.0,1.0,18.67,18.67,18.52,18.54,890239.0
2016-03-07,18.63,18.64,18.61,18.61,568548.0,0.0,1.0,18.63,18.64,18.61,18.61,568548.0
2016-03-04,18.64,18.67,18.61,18.63,874151.0,0.0,1.0,18.64,18.67,18.61,18.63,874151.0
2016-03-03,18.63,18.7,18.62,18.62,1340209.0,0.0,1.0,18.63,18.7,18.62,18.62,1340209.0
2016-03-02,18.62,18.64,18.61,18.62,902733.0,0.0,1.0,18.62,18.64,18.61,18.62,902733.0
2016-03-01,18.61,18.635,18.58,18.61,839765.0,0.0,1.0,18.61,18.635,18.58,18.61,839765.0
2016-02-29,18.55,18.64,18.53,18.6,1120490.0,0.0,1.0,18.55,18.64,18.53,18.6,1120490.0
2016-02-26,18.55,18.59,18.52,18.55,1659046.0,0.0,1.0,18.55,18.59,18.52,18.55,1659046.0
