Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,19.39,19.52,17.94,18.61,3282642.0,0.0,1.0,19.39,19.52,17.94,18.61,3282642.0
2016-11-16,19.35,19.69,19.31,19.64,1446147.0,0.0,1.0,19.35,19.69,19.31,19.64,1446147.0
2016-11-15,19.55,19.78,19.34,19.36,3343927.0,0.0,1.0,19.55,19.78,19.34,19.36,3343927.0
2016-11-14,18.79,19.565,18.78,19.46,1407072.0,0.0,1.0,18.79,19.565,18.78,19.46,1407072.0
2016-11-11,18.81,18.95,18.28,18.7775,2931003.0,0.0,1.0,18.81,18.95,18.28,18.7775,2931003.0
2016-11-10,19.59,19.62,18.767,18.85,2050369.0,0.0,1.0,19.59,19.62,18.767,18.85,2050369.0
2016-11-09,19.75,20.01,18.67,19.64,2206121.0,0.0,1.0,19.75,20.01,18.67,19.64,2206121.0
2016-11-08,19.49,20.305,19.45,20.16,1454062.0,0.0,1.0,19.49,20.305,19.45,20.16,1454062.0
2016-11-07,19.4,19.77,19.15,19.6,1804157.0,0.0,1.0,19.4,19.77,19.15,19.6,1804157.0
2016-11-04,21.01,21.235,19.3,19.31,4343657.0,0.0,1.0,21.01,21.235,19.3,19.31,4343657.0
2016-11-03,21.03,21.09,20.87,21.02,1346312.0,0.0,1.0,21.03,21.09,20.87,21.02,1346312.0
2016-11-02,21.71,21.72,20.88,21.08,2896188.0,0.0,1.0,21.71,21.72,20.88,21.08,2896188.0
2016-11-01,21.8,22.21,21.61,21.79,1737328.0,0.0,1.0,21.8,22.21,21.61,21.79,1737328.0
2016-10-31,21.58,21.86,21.44,21.84,1139716.0,0.0,1.0,21.58,21.86,21.44,21.84,1139716.0
2016-10-28,21.02,21.795,21.02,21.64,1349542.0,0.0,1.0,21.02,21.795,21.02,21.64,1349542.0
2016-10-27,19.75,21.42,19.5,21.06,1920768.0,0.0,1.0,19.75,21.42,19.5,21.06,1920768.0
2016-10-26,20.87,20.95,20.655,20.67,1329380.0,0.0,1.0,20.87,20.95,20.655,20.67,1329380.0
2016-10-25,20.99,21.035,20.8,20.91,1274368.0,0.0,1.0,20.99,21.035,20.8,20.91,1274368.0
2016-10-24,20.78,21.08,20.66,20.96,1398880.0,0.0,1.0,20.78,21.08,20.66,20.96,1398880.0
2016-10-21,20.14,20.885,20.07,20.62,1979195.0,0.0,1.0,20.14,20.885,20.07,20.62,1979195.0
2016-10-20,20.87,20.93,20.17,20.19,1809737.0,0.0,1.0,20.87,20.93,20.17,20.19,1809737.0
2016-10-19,20.83,20.995,20.75,20.91,891883.0,0.0,1.0,20.83,20.995,20.75,20.91,891883.0
2016-10-18,21.1,21.1,20.85,20.93,599462.0,0.0,1.0,21.1,21.1,20.85,20.93,599462.0
2016-10-17,20.73,21.04,20.73,20.9,661001.0,0.0,1.0,20.73,21.04,20.73,20.9,661001.0
2016-10-14,20.84,21.089,20.65,20.72,668557.0,0.0,1.0,20.84,21.089,20.65,20.72,668557.0
2016-10-13,20.84,21.055,20.72,20.93,860374.0,0.0,1.0,20.84,21.055,20.72,20.93,860374.0
2016-10-12,20.89,21.02,20.57,20.92,1068805.0,0.0,1.0,20.89,21.02,20.57,20.92,1068805.0
2016-10-11,20.91,21.435,20.88,21.01,1236555.0,0.0,1.0,20.91,21.435,20.88,21.01,1236555.0
2016-10-10,20.27,21.01,20.12,20.88,1284579.0,0.0,1.0,20.27,21.01,20.12,20.88,1284579.0
2016-10-07,20.79,20.79,19.82,20.16,2770742.0,0.0,1.0,20.79,20.79,19.82,20.16,2770742.0
2016-10-06,20.87,21.15,20.7801,21.11,725330.0,0.0,1.0,20.87,21.15,20.7801,21.11,725330.0
2016-10-05,20.45,20.93,20.45,20.84,3798799.0,0.0,1.0,20.45,20.93,20.45,20.84,3798799.0
2016-10-04,21.35,21.35,20.38,20.44,1809041.0,0.0,1.0,21.35,21.35,20.38,20.44,1809041.0
2016-10-03,21.02,21.41,20.97,21.4,1142311.0,0.0,1.0,21.02,21.41,20.97,21.4,1142311.0
2016-09-30,21.11,21.27,20.96,21.12,912879.0,0.0,1.0,21.11,21.27,20.96,21.12,912879.0
2016-09-29,20.9,21.06,20.81,20.93,1031681.0,0.0,1.0,20.9,21.06,20.81,20.93,1031681.0
2016-09-28,20.84,21.095,20.8,21.01,1102084.0,0.0,1.0,20.84,21.095,20.8,21.01,1102084.0
2016-09-27,20.94,21.15,20.83,20.9,1092747.0,0.0,1.0,20.94,21.15,20.83,20.9,1092747.0
2016-09-26,20.96,21.22,20.89,20.9,736694.0,0.0,1.0,20.96,21.22,20.89,20.9,736694.0
2016-09-23,21.2,21.28,20.955,20.96,773112.0,0.0,1.0,21.2,21.28,20.955,20.96,773112.0
2016-09-22,21.22,21.41,21.07,21.2,706708.0,0.0,1.0,21.22,21.41,21.07,21.2,706708.0
2016-09-21,21.24,21.24,20.91,21.16,1069603.0,0.0,1.0,21.24,21.24,20.91,21.16,1069603.0
2016-09-20,21.38,21.54,21.19,21.19,1099725.0,0.0,1.0,21.38,21.54,21.19,21.19,1099725.0
2016-09-19,20.8,21.4,20.79,21.33,1747101.0,0.0,1.0,20.8,21.4,20.79,21.33,1747101.0
2016-09-16,20.87,20.95,20.53,20.8,1624065.0,0.0,1.0,20.87,20.95,20.53,20.8,1624065.0
2016-09-15,20.86,21.15,20.7,21.06,1097319.0,0.0,1.0,20.86,21.15,20.7,21.06,1097319.0
2016-09-14,21.1,21.41,20.9,20.96,1353453.0,0.0,1.0,21.1,21.41,20.9,20.96,1353453.0
2016-09-13,21.43,21.615,21.04,21.04,1475789.0,0.0,1.0,21.43,21.615,21.04,21.04,1475789.0
2016-09-12,21.24,21.64,21.15,21.49,1867668.0,0.0,1.0,21.24,21.64,21.15,21.49,1867668.0
2016-09-09,22.6,22.76,21.36,21.39,1907324.0,0.0,1.0,22.6,22.76,21.36,21.39,1907324.0
2016-09-08,22.94,22.97,22.62,22.76,1072489.0,0.0,1.0,22.94,22.97,22.62,22.76,1072489.0
2016-09-07,22.8,22.96,22.59,22.93,686025.0,0.0,1.0,22.8,22.96,22.59,22.93,686025.0
2016-09-06,23.64,23.72,22.62,22.87,1268433.0,0.0,1.0,23.64,23.72,22.62,22.87,1268433.0
2016-09-02,23.0,23.67,22.93,23.54,812501.0,0.0,1.0,23.0,23.67,22.93,23.54,812501.0
2016-09-01,23.01,23.196,22.82,22.98,730667.0,0.0,1.0,23.01,23.196,22.82,22.98,730667.0
2016-08-31,23.15,23.33,22.67,23.08,736680.0,0.0,1.0,23.15,23.33,22.67,23.08,736680.0
2016-08-30,22.95,23.13,22.733,23.11,1222961.0,0.0,1.0,22.95,23.13,22.733,23.11,1222961.0
2016-08-29,22.95,23.08,22.73,22.99,771829.0,0.0,1.0,22.95,23.08,22.73,22.99,771829.0
2016-08-26,23.51,23.85,22.81,22.84,1439471.0,0.0,1.0,23.51,23.85,22.81,22.84,1439471.0
2016-08-25,23.23,23.76,23.22,23.56,890862.0,0.0,1.0,23.23,23.76,23.22,23.56,890862.0
2016-08-24,23.59,23.78,23.16,23.21,1122673.0,0.0,1.0,23.59,23.78,23.16,23.21,1122673.0
2016-08-23,23.88,23.95,23.47,23.48,1111348.0,0.0,1.0,23.88,23.95,23.47,23.48,1111348.0
2016-08-22,23.61,23.98,23.55,23.88,1008064.0,0.0,1.0,23.61,23.98,23.55,23.88,1008064.0
2016-08-19,23.52,23.65,23.36,23.55,912039.0,0.0,1.0,23.52,23.65,23.36,23.55,912039.0
2016-08-18,23.0,23.52,22.9922,23.48,1453947.0,0.0,1.0,23.0,23.52,22.9922,23.48,1453947.0
2016-08-17,22.46,23.26,22.46,23.13,1543425.0,0.0,1.0,22.46,23.26,22.46,23.13,1543425.0
2016-08-16,22.65,22.79,22.49,22.51,1390684.0,0.0,1.0,22.65,22.79,22.49,22.51,1390684.0
2016-08-15,22.63,22.88,22.56,22.69,662091.0,0.0,1.0,22.63,22.88,22.56,22.69,662091.0
2016-08-12,22.79,22.97,22.705,22.74,1011238.0,0.0,1.0,22.79,22.97,22.705,22.74,1011238.0
2016-08-11,23.03,23.23,22.79,22.8,1099627.0,0.0,1.0,23.03,23.23,22.79,22.8,1099627.0
2016-08-10,23.18,23.34,22.9,22.92,1055043.0,0.0,1.0,23.18,23.34,22.9,22.92,1055043.0
2016-08-09,23.05,23.24,23.05,23.17,875105.0,0.0,1.0,23.05,23.24,23.05,23.17,875105.0
2016-08-08,23.11,23.31,22.96,23.11,842122.0,0.0,1.0,23.11,23.31,22.96,23.11,842122.0
2016-08-05,23.32,23.46,22.97,23.0,811071.0,0.0,1.0,23.32,23.46,22.97,23.0,811071.0
2016-08-04,23.23,23.44,23.18,23.3,805930.0,0.0,1.0,23.23,23.44,23.18,23.3,805930.0
2016-08-03,22.87,23.21,22.77,23.15,1608654.0,0.0,1.0,22.87,23.21,22.77,23.15,1608654.0
2016-08-02,23.24,23.4,22.75,22.87,1698743.0,0.0,1.0,23.24,23.4,22.75,22.87,1698743.0
2016-08-01,23.35,23.65,23.04,23.24,1904956.0,0.0,1.0,23.35,23.65,23.04,23.24,1904956.0
2016-07-29,23.8,23.81,23.19,23.25,1500456.0,0.0,1.0,23.8,23.81,23.19,23.25,1500456.0
2016-07-28,24.15,24.25,23.15,23.74,2109602.0,0.0,1.0,24.15,24.25,23.15,23.74,2109602.0
2016-07-27,25.08,25.19,24.18,24.32,1252132.0,0.0,1.0,25.08,25.19,24.18,24.32,1252132.0
2016-07-26,25.61,25.85,25.17,25.18,888180.0,0.0,1.0,25.61,25.85,25.17,25.18,888180.0
2016-07-25,25.09,25.5299,25.09,25.49,763925.0,0.0,1.0,25.09,25.5299,25.09,25.49,763925.0
2016-07-22,25.32,25.4,25.1,25.19,865896.0,0.0,1.0,25.32,25.4,25.1,25.19,865896.0
2016-07-21,25.16,25.28,25.06,25.2,489575.0,0.0,1.0,25.16,25.28,25.06,25.2,489575.0
2016-07-20,25.07,25.27,24.87,25.11,602275.0,0.0,1.0,25.07,25.27,24.87,25.11,602275.0
2016-07-19,25.23,25.23,24.72,25.09,1024487.0,0.0,1.0,25.23,25.23,24.72,25.09,1024487.0
2016-07-18,25.06,25.5689,24.9,24.93,733592.0,0.0,1.0,25.06,25.5689,24.9,24.93,733592.0
2016-07-15,25.2,25.61,25.04,25.17,1060444.0,0.0,1.0,25.2,25.61,25.04,25.17,1060444.0
2016-07-14,25.19,25.71,25.09,25.31,2325705.0,0.0,1.0,25.19,25.71,25.09,25.31,2325705.0
2016-07-13,25.38,25.4,24.82,25.15,955075.0,0.0,1.0,25.38,25.4,24.82,25.15,955075.0
2016-07-12,25.6,25.72,25.37,25.4,1421093.0,0.0,1.0,25.6,25.72,25.37,25.4,1421093.0
2016-07-11,25.83,25.855,25.46,25.48,972837.0,0.0,1.0,25.83,25.855,25.46,25.48,972837.0
2016-07-08,25.88,26.0,25.72,25.79,1180979.0,0.0,1.0,25.88,26.0,25.72,25.79,1180979.0
2016-07-07,25.44,25.98,25.4,25.82,1331505.0,0.0,1.0,25.44,25.98,25.4,25.82,1331505.0
2016-07-06,24.55,25.45,24.47,25.33,2513885.0,0.0,1.0,24.55,25.45,24.47,25.33,2513885.0
2016-07-05,24.72,24.88,24.47,24.48,2133979.0,0.0,1.0,24.72,24.88,24.47,24.48,2133979.0
2016-07-01,25.59,25.74,24.885,24.94,1177998.0,0.0,1.0,25.59,25.74,24.885,24.94,1177998.0
2016-06-30,24.07,25.57,23.98,25.48,2137415.0,0.0,1.0,24.07,25.57,23.98,25.48,2137415.0
2016-06-29,24.46,24.59,23.88,23.92,1446045.0,0.0,1.0,24.46,24.59,23.88,23.92,1446045.0
2016-06-28,24.4,24.52,24.09,24.22,987607.0,0.0,1.0,24.4,24.52,24.09,24.22,987607.0
2016-06-27,24.24,24.645,24.2,24.32,1276682.0,0.0,1.0,24.24,24.645,24.2,24.32,1276682.0
2016-06-24,24.61,25.3,24.4,25.1,1282829.0,0.0,1.0,24.61,25.3,24.4,25.1,1282829.0
