Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,88.85,89.55,88.0,88.35,147784.0,0.0,1.0,88.85,89.55,88.0,88.35,147784.0
2016-11-16,88.5,89.7,87.95,89.2,115803.0,0.0,1.0,88.5,89.7,87.95,89.2,115803.0
2016-11-15,88.55,88.65,87.3,88.35,131306.0,0.0,1.0,88.55,88.65,87.3,88.35,131306.0
2016-11-14,90.95,92.1,88.375,88.85,241903.0,0.0,1.0,90.95,92.1,88.375,88.85,241903.0
2016-11-11,91.0,91.9,89.45,90.35,225528.0,0.0,1.0,91.0,91.9,89.45,90.35,225528.0
2016-11-10,93.0,94.4,90.2,90.85,325560.0,0.0,1.0,93.0,94.4,90.2,90.85,325560.0
2016-11-09,89.1,92.45,88.455,92.4,141608.0,0.0,1.0,89.1,92.45,88.455,92.4,141608.0
2016-11-08,88.7,91.15,88.7,90.45,183883.0,0.0,1.0,88.7,91.15,88.7,90.45,183883.0
2016-11-07,88.1,90.5651,86.8,89.2,165228.0,0.0,1.0,88.1,90.5651,86.8,89.2,165228.0
2016-11-04,86.55,88.45,85.85,86.75,120437.0,0.0,1.0,86.55,88.45,85.85,86.75,120437.0
2016-11-03,86.15,86.95,85.65,86.1,152781.0,0.0,1.0,86.15,86.95,85.65,86.1,152781.0
2016-11-02,88.0,88.55,85.75,86.0,139912.0,0.0,1.0,88.0,88.55,85.75,86.0,139912.0
2016-11-01,91.0,91.0,87.8,87.85,266157.0,0.0,1.0,91.0,91.0,87.8,87.85,266157.0
2016-10-31,89.8,92.75,89.25,90.95,224706.0,0.0,1.0,89.8,92.75,89.25,90.95,224706.0
2016-10-28,89.0,94.0,85.8058,89.1,424205.0,0.0,1.0,89.0,94.0,85.8058,89.1,424205.0
2016-10-27,86.55,87.3,86.0,86.1,84514.0,0.0,1.0,86.55,87.3,86.0,86.1,84514.0
2016-10-26,86.6,86.9,85.95,86.15,72300.0,0.0,1.0,86.6,86.9,85.95,86.15,72300.0
2016-10-25,86.9,87.05,86.4,86.85,46697.0,0.0,1.0,86.9,87.05,86.4,86.85,46697.0
2016-10-24,86.4,87.8372,86.25,87.3,51179.0,0.0,1.0,86.4,87.8372,86.25,87.3,51179.0
2016-10-21,86.1,86.9,85.65,86.25,88533.0,0.0,1.0,86.1,86.9,85.65,86.25,88533.0
2016-10-20,86.35,86.95,85.5,86.8,79902.0,0.0,1.0,86.35,86.95,85.5,86.8,79902.0
2016-10-19,86.35,86.7,85.25,86.6,63618.0,0.0,1.0,86.35,86.7,85.25,86.6,63618.0
2016-10-18,86.6,87.05,85.3,85.9,89347.0,0.0,1.0,86.6,87.05,85.3,85.9,89347.0
2016-10-17,86.0,86.3,85.45,85.85,66666.0,0.0,1.0,86.0,86.3,85.45,85.85,66666.0
2016-10-14,85.16,86.82,84.66,86.02,146040.0,0.0,1.0,85.16,86.82,84.66,86.02,146040.0
2016-10-13,84.97,85.86,83.71,85.26,93873.0,0.0,1.0,84.97,85.86,83.71,85.26,93873.0
2016-10-12,85.25,86.32,84.92,85.61,119288.0,0.0,1.0,85.25,86.32,84.92,85.61,119288.0
2016-10-11,85.62,85.73,84.97,85.47,113524.0,0.0,1.0,85.62,85.73,84.97,85.47,113524.0
2016-10-10,86.25,87.35,85.525,85.99,123204.0,0.0,1.0,86.25,87.35,85.525,85.99,123204.0
2016-10-07,83.55,86.21,83.4025,85.95,174456.0,0.0,1.0,83.55,86.21,83.4025,85.95,174456.0
2016-10-06,83.4,83.72,82.2,83.18,101051.0,0.0,1.0,83.4,83.72,82.2,83.18,101051.0
2016-10-05,81.97,83.88,81.14,83.74,118612.0,0.0,1.0,81.97,83.88,81.14,83.74,118612.0
2016-10-04,82.0,82.79,81.59,81.97,69147.0,0.0,1.0,82.0,82.79,81.59,81.97,69147.0
2016-10-03,83.67,83.67,81.29,82.0,90059.0,0.0,1.0,83.67,83.67,81.29,82.0,90059.0
2016-09-30,81.73,84.14,81.58,83.76,133936.0,0.0,1.0,81.73,84.14,81.58,83.76,133936.0
2016-09-29,82.41,82.43,80.98,81.1,87922.0,0.0,1.0,82.41,82.43,80.98,81.1,87922.0
2016-09-28,82.69,84.39,80.935,82.17,150071.0,0.0,1.0,82.69,84.39,80.935,82.17,150071.0
2016-09-27,81.31,83.33,81.105,82.34,112083.0,0.0,1.0,81.31,83.33,81.105,82.34,112083.0
2016-09-26,80.6,81.89,80.09,81.09,153127.0,0.0,1.0,80.6,81.89,80.09,81.09,153127.0
2016-09-23,82.15,82.57,81.19,81.26,107686.0,0.0,1.0,82.15,82.57,81.19,81.26,107686.0
2016-09-22,83.18,83.39,82.02,82.23,153089.0,0.0,1.0,83.18,83.39,82.02,82.23,153089.0
2016-09-21,82.48,83.05,81.17,82.7,109139.0,0.0,1.0,82.48,83.05,81.17,82.7,109139.0
2016-09-20,83.14,83.36,81.865,82.11,106361.0,0.0,1.0,83.14,83.36,81.865,82.11,106361.0
2016-09-19,82.36,83.81,82.0701,82.56,96433.0,0.0,1.0,82.36,83.81,82.0701,82.56,96433.0
2016-09-16,82.34,82.85,81.49,82.46,185318.0,0.0,1.0,82.34,82.85,81.49,82.46,185318.0
2016-09-15,80.36,82.04,80.36,82.02,95868.0,0.0,1.0,80.36,82.04,80.36,82.02,95868.0
2016-09-14,80.72,81.32,80.15,80.46,79904.0,0.0,1.0,80.72,81.32,80.15,80.46,79904.0
2016-09-13,79.94,80.8,79.32,80.4,126944.0,0.0,1.0,79.94,80.8,79.32,80.4,126944.0
2016-09-12,79.84,80.69,79.0001,80.37,194384.0,0.0,1.0,79.84,80.69,79.0001,80.37,194384.0
2016-09-09,84.62,84.62,80.27,80.35,274684.0,0.0,1.0,84.62,84.62,80.27,80.35,274684.0
2016-09-08,85.24,85.47,84.14,85.12,103106.0,0.0,1.0,85.24,85.47,84.14,85.12,103106.0
2016-09-07,82.7,85.18,82.0201,84.96,172943.0,0.0,1.0,82.7,85.18,82.0201,84.96,172943.0
2016-09-06,84.12,84.205,82.32,82.88,81076.0,0.0,1.0,84.12,84.205,82.32,82.88,81076.0
2016-09-02,82.11,83.6204,82.11,83.57,81360.0,0.0,1.0,82.11,83.6204,82.11,83.57,81360.0
2016-09-01,83.14,83.4,81.84,82.42,124738.0,0.0,1.0,83.14,83.4,81.84,82.42,124738.0
2016-08-31,83.94,84.29,83.14,83.53,78048.0,0.0,1.0,83.94,84.29,83.14,83.53,78048.0
2016-08-30,83.53,84.02,82.76,83.78,59821.0,0.0,1.0,83.53,84.02,82.76,83.78,59821.0
2016-08-29,83.69,84.64,83.56,83.73,56249.0,0.0,1.0,83.69,84.64,83.56,83.73,56249.0
2016-08-26,84.96,85.23,83.53,83.91,90089.0,0.0,1.0,84.96,85.23,83.53,83.91,90089.0
2016-08-25,84.46,85.37,84.18,84.76,90275.0,0.0,1.0,84.46,85.37,84.18,84.76,90275.0
2016-08-24,84.67,85.24,84.18,84.82,56277.0,0.0,1.0,84.67,85.24,84.18,84.82,56277.0
2016-08-23,84.52,85.31,84.38,84.88,91271.0,0.0,1.0,84.52,85.31,84.38,84.88,91271.0
2016-08-22,84.99,84.99,83.72,84.49,115473.0,0.0,1.0,84.99,84.99,83.72,84.49,115473.0
2016-08-19,84.19,85.44,83.89,85.42,127763.0,0.0,1.0,84.19,85.44,83.89,85.42,127763.0
2016-08-18,83.2,84.49,82.82,84.49,86398.0,0.0,1.0,83.2,84.49,82.82,84.49,86398.0
2016-08-17,82.34,83.5,81.17,82.79,142452.0,0.0,1.0,82.34,83.5,81.17,82.79,142452.0
2016-08-16,83.5,83.5,81.96,82.65,82667.0,0.0,1.0,83.5,83.5,81.96,82.65,82667.0
2016-08-15,84.03,84.7499,81.83,82.97,125804.0,0.0,1.0,84.03,84.7499,81.83,82.97,125804.0
2016-08-12,82.2,84.6495,81.99,84.12,247026.0,0.0,1.0,82.2,84.6495,81.99,84.12,247026.0
2016-08-11,80.16,82.38,80.16,82.0,145735.0,0.35,1.0,80.16,82.38,80.16,82.0,145735.0
2016-08-10,79.99,80.79,79.92,80.52,114651.0,0.0,1.0,79.650030358227,80.446630236794,79.580327868852,80.177777777778,114651.0
2016-08-09,78.9,79.66,78.48,79.59,116896.0,0.0,1.0,78.564663023679,79.321432908318,78.146448087432,79.251730418944,116896.0
2016-08-08,78.57,79.22,78.325,78.67,72846.0,0.0,1.0,78.23606557377,78.883302975106,77.992106860959,78.335640558591,72846.0
2016-08-05,77.82,79.63,77.5,78.49,186438.0,0.0,1.0,77.489253187614,79.291560412872,77.170613236187,78.156405585914,186438.0
2016-08-04,77.19,77.71,76.94,77.28,91389.0,0.0,1.0,76.861930783242,77.379720704311,76.61299332119,76.951548269581,91389.0
2016-08-03,76.32,79.5872,75.8,77.02,65628.0,0.0,1.0,75.995628415301,79.248942319369,75.477838494232,76.692653309047,65628.0
2016-08-02,78.92,78.99,76.0,76.0,107827.0,0.0,1.0,78.584578020644,78.654280510018,75.676988463874,75.676988463874,107827.0
2016-08-01,78.0,79.0,77.65,78.73,123162.0,0.0,1.0,77.668488160291,78.6642380085,77.319975713418,78.395385549484,123162.0
2016-07-29,78.22,79.06,77.53,77.88,98681.0,0.0,1.0,77.887553126897,78.723982999393,77.200485731633,77.548998178506,98681.0
2016-07-28,78.9,79.44,77.68,78.07,94659.0,0.0,1.0,78.564663023679,79.102367941712,77.349848208865,77.738190649666,94659.0
2016-07-27,79.54,79.54,78.05,78.74,104052.0,0.0,1.0,79.201942926533,79.201942926533,77.718275652702,78.405343047966,104052.0
2016-07-26,78.88,79.99,78.88,79.39,105594.0,0.0,1.0,78.544748026715,79.650030358227,78.544748026715,79.052580449302,105594.0
2016-07-25,79.06,79.89,78.33,78.59,97173.0,0.0,1.0,78.723982999393,79.550455373406,77.9970856102,78.255980570735,97173.0
2016-07-22,79.81,79.87,78.98,79.01,129608.0,0.0,1.0,79.470795385549,79.530540376442,78.644323011536,78.674195506982,129608.0
2016-07-21,80.49,81.085,79.81,79.92,67705.0,0.0,1.0,80.147905282332,80.740376442016,79.470795385549,79.580327868852,67705.0
2016-07-20,81.1,81.25,80.48,80.82,133065.0,0.0,1.0,80.755312689739,80.90467516697,80.137947783849,80.47650273224,133065.0
2016-07-19,81.15,81.68,80.29,80.94,218283.0,0.0,1.0,80.805100182149,81.3328476017,79.94875531269,80.595992714026,218283.0
2016-07-18,79.76,80.9,79.27,80.82,294640.0,0.0,1.0,79.421007893139,80.556162720097,78.933090467517,80.47650273224,294640.0
2016-07-15,81.09,81.11,79.64,79.67,125651.0,0.0,1.0,80.745355191257,80.765270188221,79.301517911354,79.3313904068,125651.0
2016-07-14,81.3,81.69,80.55,80.66,145491.0,0.0,1.0,80.954462659381,81.342805100182,80.207650273224,80.317182756527,145491.0
2016-07-13,83.33,83.64,80.71,80.74,289711.0,0.0,1.0,82.975834851245,83.284517304189,80.366970248937,80.396842744384,289711.0
2016-07-12,84.98,85.71,83.62,83.66,149788.0,0.0,1.0,84.618822100789,85.345719489982,83.264602307225,83.304432301154,149788.0
2016-07-11,83.37,85.41,82.64,85.14,208544.0,0.0,1.0,83.015664845173,85.046994535519,82.288767455981,84.778142076503,208544.0
2016-07-08,84.25,88.39,81.64,83.39,529085.0,0.0,1.0,83.891924711597,88.014329083182,81.293017607772,83.035579842137,529085.0
2016-07-07,94.64,94.73,89.33,91.55,208444.0,0.0,1.0,94.237765634487,94.327383120826,88.950333940498,91.160898603522,208444.0
2016-07-06,92.5,94.59,92.38,94.28,153507.0,0.0,1.0,92.10686095932,94.187978142077,91.987370977535,93.879295689132,153507.0
2016-07-05,93.65,94.21,92.185,92.93,53694.0,0.0,1.0,93.25197328476,93.809593199757,91.793199757134,92.53503339405,53694.0
2016-07-01,93.42,94.86,93.1732,93.67,90958.0,0.0,1.0,93.022950819672,94.456830601093,92.777199757134,93.271888281724,90958.0
2016-06-30,90.41,93.61,89.65,93.57,156301.0,0.0,1.0,90.025743776563,93.212143290832,89.268973891925,93.172313296903,156301.0
2016-06-29,89.87,90.78,89.51,90.06,119217.0,0.0,1.0,89.488038858531,90.394171220401,89.129568913175,89.67723132969,119217.0
2016-06-28,90.99,91.94,89.04,89.24,109449.0,0.0,1.0,90.603278688525,91.549241044323,88.661566484517,88.860716454159,109449.0
2016-06-27,88.84,90.33,87.58,90.19,109576.0,0.0,1.0,88.462416514876,89.946083788707,87.207771706132,89.806678809958,109576.0
2016-06-24,89.43,91.42,88.46,89.52,189543.0,0.0,1.0,89.049908925319,91.031451123254,88.084031572556,89.139526411658,189543.0
2016-06-23,91.21,93.28,90.02,91.99,107190.0,0.0,1.0,90.822343655131,92.883545840923,89.637401335762,91.599028536733,107190.0
2016-06-22,91.34,91.88,90.68,90.78,44933.0,0.0,1.0,90.951791135398,91.48949605343,90.29459623558,90.394171220401,44933.0
2016-06-21,91.37,91.95,90.32,91.12,61239.0,0.0,1.0,90.981663630844,91.559198542805,89.936126290225,90.732726168792,61239.0
2016-06-20,90.84,92.58,90.72,91.3,96834.0,0.0,1.0,90.453916211293,92.186520947177,90.334426229508,90.911961141469,96834.0
2016-06-17,90.63,90.845,89.8,90.22,176478.0,0.0,1.0,90.244808743169,90.458894960534,89.418336369156,89.836551305404,176478.0
2016-06-16,89.23,90.34,88.19,90.22,135936.0,0.0,1.0,88.850758955677,89.956041287189,87.81517911354,89.836551305404,135936.0
2016-06-15,88.33,89.78,87.475,89.34,108210.0,0.0,1.0,87.954584092289,89.398421372192,87.10321797207,88.96029143898,108210.0
2016-06-14,86.88,88.28,85.6,88.08,107574.0,0.0,1.0,86.510746812386,87.904796599879,85.236187006679,87.705646630237,107574.0
2016-06-13,88.28,88.915,86.45,86.78,77752.0,0.0,1.0,87.904796599879,88.537097753491,86.082574377656,86.411171827565,77752.0
2016-06-10,88.05,89.165,87.51,88.35,112294.0,0.0,1.0,87.675774134791,88.786035215543,87.138069216758,87.974499089253,112294.0
2016-06-09,90.96,90.96,88.072,88.47,140097.0,0.0,1.0,90.573406193078,90.573406193078,87.697680631451,88.093989071038,140097.0
2016-06-08,88.41,90.72,88.41,90.6,124964.0,0.0,1.0,88.034244080146,90.334426229508,88.034244080146,90.214936247723,124964.0
2016-06-07,89.05,90.2,88.1,88.5,120683.0,0.0,1.0,88.671523982999,89.81663630844,87.725561627201,88.123861566485,120683.0
2016-06-06,89.42,90.87,88.147,89.42,96415.0,0.0,1.0,89.039951426837,90.48378870674,87.772361870067,89.039951426837,96415.0
2016-06-03,89.21,90.37,88.26,90.18,104286.0,0.0,1.0,88.830843958713,89.985913782635,87.884881602914,89.796721311475,104286.0
2016-06-02,88.12,89.16,87.9,89.15,127636.0,0.0,1.0,87.745476624165,88.781056466302,87.526411657559,88.77109896782,127636.0
2016-06-01,88.65,89.68,88.13,88.66,121379.0,0.0,1.0,88.273224043716,89.298846387371,87.755434122647,88.283181542198,121379.0
2016-05-31,88.49,89.54,87.02,88.59,117139.0,0.0,1.0,88.113904068002,89.159441408622,86.650151791135,88.213479052823,117139.0
2016-05-27,87.78,88.97,87.58,88.25,125224.0,0.0,1.0,87.406921675774,88.591863995143,87.207771706132,87.874924104432,125224.0
2016-05-26,88.37,89.84,87.71,87.81,158407.0,0.0,1.0,87.994414086217,89.458166363084,87.3372191864,87.43679417122,158407.0
2016-05-25,88.81,89.54,87.24,88.38,126964.0,0.0,1.0,88.432544019429,89.159441408622,86.869216757741,88.004371584699,126964.0
2016-05-24,86.47,89.17,85.3201,88.95,113303.0,0.0,1.0,86.102489374621,88.791013964784,84.957476624165,88.571948998179,113303.0
2016-05-23,86.95,87.68,81.145,86.29,82828.0,0.0,1.0,86.580449301761,87.307346690953,80.800121432908,85.923254401943,82828.0
