Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-03-04,76.45,76.69,76.25,76.35,227452.0,0.0,1.0,76.45,76.69,76.25,76.35,227452.0
2015-03-03,76.45,76.69,76.25,76.35,227452.0,0.0,1.0,76.45,76.69,76.25,76.35,227452.0
2015-03-02,76.45,76.66,76.1,76.52,1779851.0,0.0,1.0,76.45,76.66,76.1,76.52,1779851.0
2015-02-27,76.6,76.69,76.25,76.35,227552.0,0.0,1.0,76.6,76.69,76.25,76.35,227552.0
2015-02-26,76.1,76.67,76.1,76.6,105024.0,0.0,1.0,76.1,76.67,76.1,76.6,105024.0
2015-02-25,76.18,76.47,75.11,76.31,179229.0,0.0,1.0,76.18,76.47,75.11,76.31,179229.0
2015-02-24,76.04,76.543,76.04,76.4,356576.0,0.0,1.0,76.04,76.543,76.04,76.4,356576.0
2015-02-23,76.17,76.29,75.86,76.12,196975.0,0.0,1.0,76.17,76.29,75.86,76.12,196975.0
2015-02-20,76.34,76.39,75.71,76.15,162517.0,0.0,1.0,76.34,76.39,75.71,76.15,162517.0
2015-02-19,76.46,76.72,76.09,76.2,114257.0,0.0,1.0,76.46,76.72,76.09,76.2,114257.0
2015-02-18,76.45,76.58,76.17,76.47,209578.0,0.0,1.0,76.45,76.58,76.17,76.47,209578.0
2015-02-17,76.57,76.74,76.345,76.57,221134.0,0.0,1.0,76.57,76.74,76.345,76.57,221134.0
2015-02-13,76.62,76.79,76.41,76.57,212832.0,0.0,1.0,76.62,76.79,76.41,76.57,212832.0
2015-02-12,76.35,76.77,76.32,76.7,196955.0,0.0,1.0,76.35,76.77,76.32,76.7,196955.0
2015-02-11,76.17,76.39,76.04,76.21,138847.0,0.0,1.0,76.17,76.39,76.04,76.21,138847.0
2015-02-10,76.38,76.4,76.1101,76.25,229475.0,0.0,1.0,76.38,76.4,76.1101,76.25,229475.0
2015-02-09,76.57,76.57,75.9,76.2,279384.0,0.0,1.0,76.57,76.57,75.9,76.2,279384.0
2015-02-06,76.14,76.66,76.08,76.19,169504.0,0.0,1.0,76.14,76.66,76.08,76.19,169504.0
2015-02-05,75.75,76.5,75.67,76.29,144859.0,0.0,1.0,75.75,76.5,75.67,76.29,144859.0
2015-02-04,74.7,76.05,74.19,75.86,377890.0,0.0,1.0,74.7,76.05,74.19,75.86,377890.0
2015-02-03,74.67,75.07,74.27,74.87,202237.0,0.0,1.0,74.67,75.07,74.27,74.87,202237.0
2015-02-02,73.87,74.46,73.645,74.37,108532.0,0.0,1.0,73.87,74.46,73.645,74.37,108532.0
2015-01-30,74.16,74.29,73.79,73.83,170104.0,0.0,1.0,74.16,74.29,73.79,73.83,170104.0
2015-01-29,73.82,74.5,73.69,74.48,310306.0,0.0,1.0,73.82,74.5,73.69,74.48,310306.0
2015-01-28,74.58,74.72,74.08,74.17,132272.0,0.0,1.0,74.58,74.72,74.08,74.17,132272.0
2015-01-26,74.05,74.32,73.52,74.21,315105.0,0.0,1.0,74.05,74.32,73.52,74.21,315105.0
2015-01-23,74.5,74.7,73.95,74.0,106286.0,0.0,1.0,74.5,74.7,73.95,74.0,106286.0
2015-01-22,73.97,74.61,73.79,74.52,247554.0,0.0,1.0,73.97,74.61,73.79,74.52,247554.0
2015-01-21,73.65,74.07,73.6,73.92,198551.0,0.0,1.0,73.65,74.07,73.6,73.92,198551.0
2015-01-20,74.005,74.21,73.535,73.83,174862.0,0.0,1.0,74.005,74.21,73.535,73.83,174862.0
2015-01-15,72.77,73.35,72.66,73.09,260013.0,0.0,1.0,72.77,73.35,72.66,73.09,260013.0
2015-01-14,73.28,73.6,72.46,72.92,424887.0,0.0,1.0,73.28,73.6,72.46,72.92,424887.0
2015-01-12,73.38,73.71,72.79,73.0,323543.0,0.0,1.0,73.38,73.71,72.79,73.0,323543.0
2015-01-08,73.67,74.3,73.51,74.01,212680.0,0.0,1.0,73.67,74.3,73.51,74.01,212680.0
2015-01-07,73.32,73.39,72.84,73.28,346337.0,0.0,1.0,73.32,73.39,72.84,73.28,346337.0
2015-01-06,73.14,73.47,72.75,72.88,784910.0,0.0,1.0,73.14,73.47,72.75,72.88,784910.0
2015-01-05,73.11,73.38,72.91,73.09,630749.0,0.0,1.0,73.11,73.38,72.91,73.09,630749.0
2015-01-02,73.39,73.58,72.84,73.41,181246.0,0.0,1.0,73.39,73.58,72.84,73.41,181246.0
2014-12-31,73.69,74.17,73.34,73.42,144429.0,0.0,1.0,73.69,74.17,73.34,73.42,144429.0
2014-12-30,73.53,73.87,73.48,73.78,352521.0,0.0,1.0,73.53,73.87,73.48,73.78,352521.0
2014-12-29,73.7,74.0,73.54,73.63,275353.0,0.0,1.0,73.7,74.0,73.54,73.63,275353.0
2014-12-26,73.83,74.08,73.64,73.7,100963.0,0.0,1.0,73.83,74.08,73.64,73.7,100963.0
2014-12-24,73.65,73.88,73.59,73.65,55344.0,0.0,1.0,73.65,73.88,73.59,73.65,55344.0
2014-12-23,73.57,73.98,73.39,73.68,113845.0,0.0,1.0,73.57,73.98,73.39,73.68,113845.0
2014-12-22,73.46,73.74,73.25,73.34,121254.0,0.0,1.0,73.46,73.74,73.25,73.34,121254.0
2014-12-19,73.34,73.67,73.0,73.36,390946.0,0.0,1.0,73.34,73.67,73.0,73.36,390946.0
2014-12-18,73.165,73.36,72.86,73.23,174077.0,0.0,1.0,73.165,73.36,72.86,73.23,174077.0
2014-12-17,72.77,73.16,72.45,72.97,384547.0,0.0,1.0,72.77,73.16,72.45,72.97,384547.0
2014-12-16,72.75,73.12,72.59,72.65,252590.0,0.0,1.0,72.75,73.12,72.59,72.65,252590.0
2014-12-15,73.26,73.48,72.51,72.85,317243.0,0.0,1.0,73.26,73.48,72.51,72.85,317243.0
2014-12-12,73.51,73.51,72.89,73.13,261538.0,0.0,1.0,73.51,73.51,72.89,73.13,261538.0
2014-12-11,73.86,74.07,73.25,73.37,151910.0,0.0,1.0,73.86,74.07,73.25,73.37,151910.0
2014-12-10,73.88,74.12,73.13,73.28,248357.0,0.0,1.0,73.88,74.12,73.13,73.28,248357.0
2014-12-09,73.78,74.06,73.57,73.78,153609.0,0.0,1.0,73.78,74.06,73.57,73.78,153609.0
2014-12-08,73.98,74.36,73.76,74.06,138169.0,0.0,1.0,73.98,74.36,73.76,74.06,138169.0
2014-12-05,74.2,74.2,73.72,73.98,166737.0,0.0,1.0,74.2,74.2,73.72,73.98,166737.0
2014-12-04,74.27,74.38,73.85,73.97,226476.0,0.0,1.0,74.27,74.38,73.85,73.97,226476.0
2014-12-02,73.65,73.99,73.34,73.83,564622.0,0.0,1.0,73.65,73.99,73.34,73.83,564622.0
2014-12-01,74.02,74.17,73.46,73.49,664306.0,0.0,1.0,74.02,74.17,73.46,73.49,664306.0
2014-11-28,74.88,75.5,74.17,74.17,167695.0,0.0,1.0,74.88,75.5,74.17,74.17,167695.0
2014-11-26,74.29,75.0,74.1,75.0,365701.0,0.08,1.0,74.29,75.0,74.1,75.0,365701.0
2014-11-25,74.48,74.63,73.68,74.25,667153.0,0.0,1.0,74.400639318061,74.550479488546,73.601491742142,74.170884389984,667153.0
2014-11-24,72.54,74.499,72.35,74.19,4341151.0,0.0,1.0,72.462706446457,74.419619072989,72.272908897176,74.11094832179,4341151.0
2014-11-21,61.88,61.88,61.09,61.27,101817.0,0.0,1.0,61.814064997336,61.814064997336,61.024906766116,61.204714970698,101817.0
2014-11-20,60.08,61.4,60.08,61.26,62197.0,0.0,1.0,60.015982951518,61.334576451785,60.015982951518,61.194725625999,62197.0
2014-11-19,60.26,60.7,59.86,60.65,89081.0,0.0,1.0,60.1957911561,60.635322322856,59.796217368141,60.585375599361,89081.0
2014-11-18,61.27,61.43,60.56,60.63,150277.0,0.0,1.0,61.204714970698,61.364544485882,60.49547149707,60.565396909963,150277.0
2014-11-17,60.89,61.25,60.5,60.9,154703.0,0.0,1.0,60.825119872136,61.1847362813,60.435535428876,60.835109216835,154703.0
2014-11-14,61.45,61.63,60.83,61.17,136519.0,0.0,1.0,61.38452317528,61.564331379861,60.765183803942,61.104821523708,136519.0
2014-11-13,62.15,62.15,61.34,61.58,76341.0,0.0,1.0,62.083777304209,62.083777304209,61.274640383591,61.514384656367,76341.0
2014-11-12,61.78,62.04,61.69,62.01,83466.0,0.0,1.0,61.714171550346,61.97389451252,61.624267448055,61.943926478423,83466.0
2014-11-11,62.43,62.43,61.916,62.08,80681.0,0.0,1.0,62.363478955781,62.363478955781,61.850026638253,62.013851891316,80681.0
2014-11-10,62.82,62.82,62.13,62.53,77909.0,0.0,1.0,62.753063399041,62.753063399041,62.063798614811,62.46337240277,77909.0
2014-11-07,62.2,62.96,62.16,62.93,50835.0,0.0,1.0,62.133724027704,62.892914224827,62.093766648908,62.86294619073,50835.0
2014-11-06,62.67,62.88,62.49,62.72,66988.0,0.0,1.0,62.603223228556,62.812999467235,62.423415023974,62.653169952051,66988.0
2014-11-04,62.08,62.74,62.13,62.22,124849.0,0.0,1.0,62.013851891316,62.673148641449,62.063798614811,62.153702717102,124849.0
2014-11-03,62.5,63.06,62.15,62.43,83425.0,0.0,1.0,62.433404368673,62.992807671817,62.083777304209,62.363478955781,83425.0
2014-10-31,62.75,62.87,62.13,62.63,401941.0,0.0,1.0,62.683137986148,62.803010122536,62.063798614811,62.56326584976,401941.0
