Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,117.46,117.81,116.02,116.29,1035250.0,0.0,1.0,117.46,117.81,116.02,116.29,1035250.0
2016-11-16,117.16,117.39,116.59,117.15,604502.0,0.0,1.0,117.16,117.39,116.59,117.15,604502.0
2016-11-15,116.52,117.13,115.9,117.08,1075582.0,0.0,1.0,116.52,117.13,115.9,117.08,1075582.0
2016-11-14,118.42,118.68,115.68,116.79,1611914.0,0.0,1.0,118.42,118.68,115.68,116.79,1611914.0
2016-11-11,119.75,120.33,117.03,117.82,1282917.0,0.0,1.0,119.75,120.33,117.03,117.82,1282917.0
2016-11-10,118.89,121.66,118.89,120.23,1554095.0,0.0,1.0,118.89,121.66,118.89,120.23,1554095.0
2016-11-09,115.66,119.38,115.32,118.68,1795895.0,0.0,1.0,115.66,119.38,115.32,118.68,1795895.0
2016-11-08,117.48,118.41,116.75,117.85,763851.0,0.0,1.0,117.48,118.41,116.75,117.85,763851.0
2016-11-07,115.96,117.5,115.645,117.48,1367546.0,0.0,1.0,115.96,117.5,115.645,117.48,1367546.0
2016-11-04,115.18,115.4,114.43,114.5,855426.0,0.0,1.0,115.18,115.4,114.43,114.5,855426.0
2016-11-03,115.22,115.6,114.66,114.84,759287.0,0.0,1.0,115.22,115.6,114.66,114.84,759287.0
2016-11-02,115.75,116.07,114.62,115.0,957171.0,0.0,1.0,115.75,116.07,114.62,115.0,957171.0
2016-11-01,117.16,117.46,115.08,115.98,866158.0,0.0,1.0,117.16,117.46,115.08,115.98,866158.0
2016-10-31,117.86,118.105,116.8,117.06,1257080.0,0.0,1.0,117.86,118.105,116.8,117.06,1257080.0
2016-10-28,116.73,118.24,116.45,117.44,1120875.0,0.0,1.0,116.73,118.24,116.45,117.44,1120875.0
2016-10-27,118.24,118.24,114.7,116.56,2052761.0,0.0,1.0,118.24,118.24,114.7,116.56,2052761.0
2016-10-26,118.09,118.95,117.55,118.57,915899.0,0.0,1.0,118.09,118.95,117.55,118.57,915899.0
2016-10-25,119.5,119.5,118.33,118.53,599041.0,0.0,1.0,119.5,119.5,118.33,118.53,599041.0
2016-10-24,120.07,120.755,119.31,119.56,615401.0,0.0,1.0,120.07,120.755,119.31,119.56,615401.0
2016-10-21,118.9,120.14,118.1,119.88,683423.0,0.0,1.0,118.9,120.14,118.1,119.88,683423.0
2016-10-20,119.25,120.05,118.8,119.77,671568.0,0.0,1.0,119.25,120.05,118.8,119.77,671568.0
2016-10-19,118.74,120.01,118.21,119.88,849782.0,0.0,1.0,118.74,120.01,118.21,119.88,849782.0
2016-10-18,118.39,118.85,117.77,118.49,723190.0,0.0,1.0,118.39,118.85,117.77,118.49,723190.0
2016-10-17,116.94,117.34,116.73,117.08,636758.0,0.0,1.0,116.94,117.34,116.73,117.08,636758.0
2016-10-14,117.81,117.995,117.18,117.18,462189.0,0.0,1.0,117.81,117.995,117.18,117.18,462189.0
2016-10-13,116.29,117.31,114.83,117.1,669504.0,0.0,1.0,116.29,117.31,114.83,117.1,669504.0
2016-10-12,116.99,117.69,116.78,117.31,636670.0,0.0,1.0,116.99,117.69,116.78,117.31,636670.0
2016-10-11,118.36,118.42,116.33,117.13,1094364.0,0.0,1.0,118.36,118.42,116.33,117.13,1094364.0
2016-10-10,120.07,120.07,118.71,118.77,733719.0,0.0,1.0,120.07,120.07,118.71,118.77,733719.0
2016-10-07,121.16,121.16,118.32,118.85,1126071.0,0.0,1.0,121.16,121.16,118.32,118.85,1126071.0
2016-10-06,120.1,121.02,119.94,120.85,913190.0,0.0,1.0,120.1,121.02,119.94,120.85,913190.0
2016-10-05,121.1,121.3197,120.1,120.36,918071.0,0.0,1.0,121.1,121.3197,120.1,120.36,918071.0
2016-10-04,121.3,122.0,120.19,120.36,1343420.0,0.0,1.0,121.3,122.0,120.19,120.36,1343420.0
2016-10-03,120.36,121.57,119.83,121.24,1704883.0,0.0,1.0,120.36,121.57,119.83,121.24,1704883.0
2016-09-30,119.52,121.17,118.99,120.83,1662110.0,0.0,1.0,119.52,121.17,118.99,120.83,1662110.0
2016-09-29,118.59,119.84,118.41,118.86,1645917.0,0.0,1.0,118.59,119.84,118.41,118.86,1645917.0
2016-09-28,118.55,119.5,117.73,118.35,2086261.0,0.0,1.0,118.55,119.5,117.73,118.35,2086261.0
2016-09-27,116.43,117.33,116.35,117.0,964508.0,0.0,1.0,116.43,117.33,116.35,117.0,964508.0
