Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,25.2,25.35,25.05,25.05,24359.0,0.0,1.0,25.2,25.35,25.05,25.05,24359.0
2016-11-16,24.85,25.15,24.85,25.1,19360.0,0.0,1.0,24.85,25.15,24.85,25.1,19360.0
2016-11-15,24.85,25.05,24.7,25.0,11551.0,0.0,1.0,24.85,25.05,24.7,25.0,11551.0
2016-11-14,24.9,24.9499,24.5,24.8,43541.0,0.0,1.0,24.9,24.9499,24.5,24.8,43541.0
2016-11-11,24.25,24.9,23.6,24.7,42318.0,0.0,1.0,24.25,24.9,23.6,24.7,42318.0
2016-11-10,24.15,24.2999,23.65,24.1,29530.0,0.0,1.0,24.15,24.2999,23.65,24.1,29530.0
2016-11-09,23.2,24.05,23.15,23.95,33862.0,0.0,1.0,23.2,24.05,23.15,23.95,33862.0
2016-11-08,23.35,23.7,23.35,23.45,19082.0,0.0,1.0,23.35,23.7,23.35,23.45,19082.0
2016-11-07,23.5,23.6,23.4,23.55,22776.0,0.0,1.0,23.5,23.6,23.4,23.55,22776.0
2016-11-04,23.15,23.45,23.1,23.25,27210.0,0.0,1.0,23.15,23.45,23.1,23.25,27210.0
2016-11-03,23.15,23.4,23.125,23.15,23703.0,0.0,1.0,23.15,23.4,23.125,23.15,23703.0
2016-11-02,23.55,23.8,23.06,23.3,29170.0,0.0,1.0,23.55,23.8,23.06,23.3,29170.0
2016-11-01,24.0,24.15,23.55,23.55,34899.0,0.0,1.0,24.0,24.15,23.55,23.55,34899.0
2016-10-31,24.75,24.75,23.3,24.05,52399.0,0.0,1.0,24.75,24.75,23.3,24.05,52399.0
2016-10-28,24.1,24.1,23.1,23.45,23185.0,0.0,1.0,24.1,24.1,23.1,23.45,23185.0
2016-10-27,21.8,23.4,21.8,23.2,34459.0,0.0,1.0,21.8,23.4,21.8,23.2,34459.0
2016-10-26,24.2,24.2001,23.6,23.6,20832.0,0.0,1.0,24.2,24.2001,23.6,23.6,20832.0
2016-10-25,24.25,24.7499,23.8,24.2,39250.0,0.0,1.0,24.25,24.7499,23.8,24.2,39250.0
2016-10-24,23.55,24.5,23.5,24.15,38944.0,0.0,1.0,23.55,24.5,23.5,24.15,38944.0
2016-10-21,23.25,23.65,23.1,23.55,20680.0,0.0,1.0,23.25,23.65,23.1,23.55,20680.0
2016-10-20,23.35,23.65,22.825,23.5,28023.0,0.0,1.0,23.35,23.65,22.825,23.5,28023.0
2016-10-19,23.2,23.55,23.2,23.4,22137.0,0.0,1.0,23.2,23.55,23.2,23.4,22137.0
2016-10-18,23.3,23.5,22.9,23.15,11162.0,0.0,1.0,23.3,23.5,22.9,23.15,11162.0
2016-10-17,22.95,23.2,22.45,23.15,18548.0,0.0,1.0,22.95,23.2,22.45,23.15,18548.0
2016-10-14,22.75,23.15,22.75,23.08,20727.0,0.0,1.0,22.75,23.15,22.75,23.08,20727.0
2016-10-13,23.1,23.1,22.8473,22.99,35884.0,0.0,1.0,23.1,23.1,22.8473,22.99,35884.0
2016-10-12,23.31,23.31,22.6901,23.11,32344.0,0.0,1.0,23.31,23.31,22.6901,23.11,32344.0
2016-10-11,23.25,23.25,22.905,23.11,37814.0,0.0,1.0,23.25,23.25,22.905,23.11,37814.0
2016-10-10,22.87,23.37,22.8,23.27,19433.0,0.0,1.0,22.87,23.37,22.8,23.27,19433.0
2016-10-07,22.75,23.01,22.515,22.91,121375.0,0.0,1.0,22.75,23.01,22.515,22.91,121375.0
2016-10-06,23.03,23.1,22.65,22.76,35854.0,0.0,1.0,23.03,23.1,22.65,22.76,35854.0
2016-10-05,22.67,23.26,22.65,23.03,48133.0,0.0,1.0,22.67,23.26,22.65,23.03,48133.0
2016-10-04,22.42,22.88,22.215,22.6,35969.0,0.0,1.0,22.42,22.88,22.215,22.6,35969.0
2016-10-03,22.2004,22.64,22.19,22.35,16433.0,0.0,1.0,22.2004,22.64,22.19,22.35,16433.0
2016-09-30,22.23,22.56,22.22,22.38,33386.0,0.0,1.0,22.23,22.56,22.22,22.38,33386.0
2016-09-29,22.21,22.39,22.08,22.27,29308.0,0.0,1.0,22.21,22.39,22.08,22.27,29308.0
2016-09-28,22.57,22.66,22.02,22.37,65020.0,0.0,1.0,22.57,22.66,22.02,22.37,65020.0
2016-09-27,22.38,22.73,22.23,22.61,27369.0,0.0,1.0,22.38,22.73,22.23,22.61,27369.0
2016-09-26,22.36,22.44,22.06,22.32,25290.0,0.072,1.0,22.36,22.44,22.06,22.32,25290.0
2016-09-23,22.46,22.6,22.43,22.55,25764.0,0.0,1.0,22.387781350482,22.527331189711,22.357877813505,22.477491961415,25764.0
2016-09-22,22.24,22.7,22.09,22.62,55384.0,0.0,1.0,22.168488745981,22.627009646302,22.018971061093,22.547266881029,55384.0
2016-09-21,21.53,22.34,21.53,22.27,53380.0,0.0,1.0,21.46077170418,22.268167202572,21.46077170418,22.198392282958,53380.0
2016-09-20,21.45,21.64,21.38,21.59,49508.0,0.0,1.0,21.381028938907,21.570418006431,21.311254019293,21.520578778135,49508.0
2016-09-19,21.1,21.51,21.085,21.45,80964.0,0.0,1.0,21.032154340836,21.440836012862,21.017202572347,21.381028938907,80964.0
2016-09-16,21.23,21.485,20.97,21.04,40458.0,0.0,1.0,21.161736334405,21.415916398714,20.902572347267,20.972347266881,40458.0
2016-09-15,20.9,22.0,20.88,21.17,63433.0,0.0,1.0,20.832797427653,21.929260450161,20.812861736334,21.10192926045,63433.0
2016-09-14,21.295,21.3799,20.81,21.07,125290.0,0.0,1.0,21.22652733119,21.311154340836,20.74308681672,21.002250803859,125290.0
2016-09-13,21.76,21.8899,21.31,21.45,33074.0,0.0,1.0,21.690032154341,21.819514469453,21.241479099678,21.381028938907,33074.0
2016-09-12,21.72,21.97,21.62,21.94,16917.0,0.0,1.0,21.650160771704,21.899356913183,21.550482315113,21.869453376206,16917.0
2016-09-09,22.08,22.18,21.75,21.78,22689.0,0.0,1.0,22.009003215434,22.108681672026,21.680064308682,21.709967845659,22689.0
2016-09-08,22.57,22.57,22.155,22.42,26268.0,0.0,1.0,22.497427652733,22.497427652733,22.083762057878,22.347909967846,26268.0
2016-09-07,22.63,22.745,22.14,22.66,31355.0,0.0,1.0,22.557234726688,22.671864951768,22.068810289389,22.587138263666,31355.0
2016-09-06,22.93,22.95,22.54,22.7,33333.0,0.0,1.0,22.856270096463,22.876205787781,22.467524115756,22.627009646302,33333.0
2016-09-02,22.86,23.1,22.86,23.0,19769.0,0.0,1.0,22.786495176849,23.025723472669,22.786495176849,22.926045016077,19769.0
2016-09-01,23.05,23.21,22.68,22.93,32658.0,0.0,1.0,22.975884244373,23.13536977492,22.607073954984,22.856270096463,32658.0
2016-08-31,23.0,23.22,22.24,23.17,45086.0,0.0,1.0,22.926045016077,23.145337620579,22.168488745981,23.095498392283,45086.0
2016-08-30,22.94,23.19,22.75,23.08,108281.0,0.0,1.0,22.866237942122,23.115434083601,22.676848874598,23.00578778135,108281.0
2016-08-29,22.25,23.09,22.25,23.02,81208.0,0.0,1.0,22.17845659164,23.01575562701,22.17845659164,22.945980707395,81208.0
2016-08-26,21.21,23.25,21.21,22.3,74585.0,0.0,1.0,21.141800643087,23.175241157556,21.141800643087,22.228295819936,74585.0
2016-08-25,20.11,20.88,20.11,20.6,42399.0,0.0,1.0,20.045337620579,20.812861736334,20.045337620579,20.533762057878,42399.0
2016-08-24,20.19,20.55,20.09,20.5,45954.0,0.0,1.0,20.125080385852,20.483922829582,20.02540192926,20.434083601286,45954.0
2016-08-23,20.02,20.22,19.95,20.11,21971.0,0.0,1.0,19.955627009646,20.15498392283,19.885852090032,20.045337620579,21971.0
2016-08-22,19.74,19.98,19.6,19.91,65471.0,0.0,1.0,19.67652733119,19.91575562701,19.536977491961,19.845980707395,65471.0
2016-08-19,19.58,19.86,19.57,19.7,35724.0,0.0,1.0,19.517041800643,19.7961414791,19.507073954984,19.636655948553,35724.0
2016-08-18,19.75,19.75,19.5,19.56,16507.0,0.0,1.0,19.686495176849,19.686495176849,19.43729903537,19.497106109325,16507.0
2016-08-17,19.66,19.83,19.66,19.77,8521.0,0.0,1.0,19.596784565916,19.766237942122,19.596784565916,19.706430868167,8521.0
2016-08-16,19.65,19.9,19.63,19.82,24762.0,0.0,1.0,19.586816720257,19.836012861736,19.566881028939,19.756270096463,24762.0
2016-08-15,19.3101,19.8,19.3101,19.62,20937.0,0.0,1.0,19.248009646302,19.736334405145,19.248009646302,19.55691318328,20937.0
2016-08-12,19.44,19.47,19.26,19.44,31641.0,0.0,1.0,19.377491961415,19.407395498392,19.19807073955,19.377491961415,31641.0
2016-08-11,19.44,19.53,19.29,19.32,61106.0,0.0,1.0,19.377491961415,19.467202572347,19.227974276527,19.257877813505,61106.0
2016-08-10,19.77,19.78,19.2901,19.43,27042.0,0.0,1.0,19.706430868167,19.716398713826,19.228073954984,19.367524115756,27042.0
2016-08-09,19.62,19.86,19.62,19.71,24169.0,0.0,1.0,19.55691318328,19.7961414791,19.55691318328,19.646623794212,24169.0
2016-08-08,19.64,19.89,19.64,19.7,13343.0,0.0,1.0,19.576848874598,19.826045016077,19.576848874598,19.636655948553,13343.0
2016-08-05,19.65,19.86,19.6,19.71,23528.0,0.0,1.0,19.586816720257,19.7961414791,19.536977491961,19.646623794212,23528.0
2016-08-04,19.4,19.65,19.24,19.51,18375.0,0.0,1.0,19.337620578778,19.586816720257,19.178135048232,19.447266881029,18375.0
2016-08-03,19.22,19.55,19.22,19.41,27026.0,0.0,1.0,19.158199356913,19.487138263666,19.158199356913,19.347588424437,27026.0
2016-08-02,19.21,19.5,19.1,19.28,22742.0,0.0,1.0,19.148231511254,19.43729903537,19.038585209003,19.218006430868,22742.0
2016-08-01,18.99,19.33,18.88,19.26,45816.0,0.0,1.0,18.928938906752,19.267845659164,18.819292604502,19.19807073955,45816.0
2016-07-29,19.2,19.25,18.92,18.92,44767.0,0.0,1.0,19.138263665595,19.188102893891,18.859163987138,18.859163987138,44767.0
2016-07-28,19.19,19.29,19.1301,19.15,18119.0,0.0,1.0,19.128295819936,19.227974276527,19.068588424437,19.088424437299,18119.0
2016-07-27,19.3,19.33,19.11,19.26,22061.0,0.0,1.0,19.237942122186,19.267845659164,19.048553054662,19.19807073955,22061.0
2016-07-26,19.27,19.3,19.07,19.24,14721.0,0.0,1.0,19.208038585209,19.237942122186,19.008681672026,19.178135048232,14721.0
2016-07-25,19.43,19.43,19.22,19.28,11004.0,0.0,1.0,19.367524115756,19.367524115756,19.158199356913,19.218006430868,11004.0
2016-07-22,19.32,19.56,19.32,19.44,8604.0,0.0,1.0,19.257877813505,19.497106109325,19.257877813505,19.377491961415,8604.0
