Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,36.15,36.85,35.95,36.2,293413.0,0.0,1.0,36.15,36.85,35.95,36.2,293413.0
2016-11-16,36.25,36.4,35.9461,36.1,191775.0,0.0,1.0,36.25,36.4,35.9461,36.1,191775.0
2016-11-15,36.55,36.95,35.85,36.3,136322.0,0.0,1.0,36.55,36.95,35.85,36.3,136322.0
2016-11-14,36.35,37.0,35.9,36.35,333853.0,0.0,1.0,36.35,37.0,35.9,36.35,333853.0
2016-11-11,35.3,36.275,34.85,36.1,613510.0,0.0,1.0,35.3,36.275,34.85,36.1,613510.0
2016-11-10,35.75,36.9,35.07,35.3,337247.0,0.0,1.0,35.75,36.9,35.07,35.3,337247.0
2016-11-09,34.4,35.9,34.0,35.7,443728.0,0.0,1.0,34.4,35.9,34.0,35.7,443728.0
2016-11-08,35.0,35.95,34.9,35.35,274410.0,0.0,1.0,35.0,35.95,34.9,35.35,274410.0
2016-11-07,34.9,35.75,34.6,35.1,482001.0,0.0,1.0,34.9,35.75,34.6,35.1,482001.0
2016-11-04,37.5,37.8,34.05,34.3,1070239.0,0.0,1.0,37.5,37.8,34.05,34.3,1070239.0
2016-11-03,36.1,36.65,35.05,36.05,319457.0,0.0,1.0,36.1,36.65,35.05,36.05,319457.0
2016-11-02,36.7,36.85,35.95,36.05,271996.0,0.0,1.0,36.7,36.85,35.95,36.05,271996.0
2016-11-01,37.3,37.75,36.55,37.0,196642.0,0.0,1.0,37.3,37.75,36.55,37.0,196642.0
2016-10-31,36.9,37.3,36.5,37.25,292876.0,0.0,1.0,36.9,37.3,36.5,37.25,292876.0
2016-10-28,36.0,37.2,35.65,36.9,132357.0,0.0,1.0,36.0,37.2,35.65,36.9,132357.0
2016-10-27,37.25,37.4,36.15,36.2,123692.0,0.0,1.0,37.25,37.4,36.15,36.2,123692.0
2016-10-26,37.1,37.75,36.8,36.95,143284.0,0.0,1.0,37.1,37.75,36.8,36.95,143284.0
2016-10-25,37.9,37.9,36.8,37.15,141966.0,0.0,1.0,37.9,37.9,36.8,37.15,141966.0
2016-10-24,37.75,38.425,37.75,38.0,159212.0,0.0,1.0,37.75,38.425,37.75,38.0,159212.0
2016-10-21,37.15,37.75,36.8,37.4,128178.0,0.0,1.0,37.15,37.75,36.8,37.4,128178.0
2016-10-20,37.4,37.7,36.6578,37.2,196812.0,0.0,1.0,37.4,37.7,36.6578,37.2,196812.0
2016-10-19,37.8,38.2,37.4,37.5,122567.0,0.0,1.0,37.8,38.2,37.4,37.5,122567.0
2016-10-18,38.4,38.55,37.9,37.95,144524.0,0.0,1.0,38.4,38.55,37.9,37.95,144524.0
2016-10-17,38.9,39.0,38.1,38.15,348874.0,0.0,1.0,38.9,39.0,38.1,38.15,348874.0
2016-10-14,37.5,38.35,37.3,37.65,239775.0,0.0,1.0,37.5,38.35,37.3,37.65,239775.0
2016-10-13,37.9,37.9,36.925,37.45,142415.0,0.0,1.0,37.9,37.9,36.925,37.45,142415.0
2016-10-12,38.3,38.45,37.3584,38.05,306543.0,0.0,1.0,38.3,38.45,37.3584,38.05,306543.0
2016-10-11,38.5,38.7,38.05,38.55,248181.0,0.0,1.0,38.5,38.7,38.05,38.55,248181.0
2016-10-10,38.9,39.2272,38.55,38.6,148731.0,0.0,1.0,38.9,39.2272,38.55,38.6,148731.0
2016-10-07,38.57,39.21,38.0,38.56,473231.0,0.0,1.0,38.57,39.21,38.0,38.56,473231.0
2016-10-06,39.09,39.33,38.34,38.57,922265.0,0.0,1.0,39.09,39.33,38.34,38.57,922265.0
2016-10-05,38.85,39.67,38.49,38.98,892151.0,0.0,1.0,38.85,39.67,38.49,38.98,892151.0
2016-10-04,38.3,38.85,38.11,38.79,266651.0,0.0,1.0,38.3,38.85,38.11,38.79,266651.0
2016-10-03,38.13,38.29,37.58,38.16,388474.0,0.0,1.0,38.13,38.29,37.58,38.16,388474.0
