Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,53.66,54.06,53.61,53.75,5623295.0,0.0,1.0,53.66,54.06,53.61,53.75,5623295.0
2016-11-16,53.56,53.92,53.45,53.79,4119580.0,0.0,1.0,53.56,53.92,53.45,53.79,4119580.0
2016-11-15,53.21,53.88,53.17,53.67,9410344.0,0.0,1.0,53.21,53.88,53.17,53.67,9410344.0
2016-11-14,53.5,53.62,52.88,53.05,11207757.0,0.0,1.0,53.5,53.62,52.88,53.05,11207757.0
2016-11-11,53.2,53.66,53.1,53.57,6321631.0,0.0,1.0,53.2,53.66,53.1,53.57,6321631.0
2016-11-10,53.5,53.5,52.39,52.67,17674355.0,0.0,1.0,53.5,53.5,52.39,52.67,17674355.0
2016-11-09,54.5,54.8,54.25,54.53,8702367.0,0.0,1.0,54.5,54.8,54.25,54.53,8702367.0
2016-11-08,54.82,55.42,54.65,55.41,4109385.0,0.0,1.0,54.82,55.42,54.65,55.41,4109385.0
2016-11-07,54.71,55.04,54.61,55.04,5167870.0,0.0,1.0,54.71,55.04,54.61,55.04,5167870.0
2016-11-04,54.71,54.85,54.41,54.46,4432427.0,0.0,1.0,54.71,54.85,54.41,54.46,4432427.0
2016-11-03,54.77,55.07,54.72,54.84,4672541.0,0.0,1.0,54.77,55.07,54.72,54.84,4672541.0
2016-11-02,54.59,54.84,54.38,54.43,7244864.0,0.0,1.0,54.59,54.84,54.38,54.43,7244864.0
2016-11-01,55.02,55.148,54.46,54.47,8606235.0,0.0,1.0,55.02,55.148,54.46,54.47,8606235.0
2016-10-31,54.85,55.15,54.73,55.08,6527153.0,0.0,1.0,54.85,55.15,54.73,55.08,6527153.0
2016-10-28,54.28,55.06,54.26,54.73,7738727.0,0.0,1.0,54.28,55.06,54.26,54.73,7738727.0
2016-10-27,54.4,54.71,54.07,54.26,9901705.0,0.0,1.0,54.4,54.71,54.07,54.26,9901705.0
2016-10-26,54.74,54.86,53.96,54.17,11009708.0,0.0,1.0,54.74,54.86,53.96,54.17,11009708.0
2016-10-25,55.25,55.59,54.9,54.96,13788073.0,0.0,1.0,55.25,55.59,54.9,54.96,13788073.0
2016-10-24,54.03,55.4,53.92,55.1,16298503.0,0.0,1.0,54.03,55.4,53.92,55.1,16298503.0
2016-10-21,56.65,56.65,53.13,53.78,90958171.0,0.0,1.0,56.65,56.65,53.13,53.78,90958171.0
2016-10-20,47.09,47.27,46.09,47.17,9295150.0,0.0,1.0,47.09,47.27,46.09,47.17,9295150.0
2016-10-19,44.9,46.41,43.38,46.29,13827559.0,0.0,1.0,44.9,46.41,43.38,46.29,13827559.0
2016-10-18,47.9,47.9,47.14,47.27,5867409.0,0.0,1.0,47.9,47.9,47.14,47.27,5867409.0
2016-10-17,47.13,47.985,47.13,47.25,5428030.0,0.0,1.0,47.13,47.985,47.13,47.25,5428030.0
2016-10-14,47.35,47.48,47.175,47.27,6034997.0,0.0,1.0,47.35,47.48,47.175,47.27,6034997.0
2016-10-13,47.08,47.95,46.56,47.44,8243353.0,0.0,1.0,47.08,47.95,46.56,47.44,8243353.0
2016-10-12,46.52,47.13,46.31,47.08,5426353.0,0.0,1.0,46.52,47.13,46.31,47.08,5426353.0
2016-10-11,46.73,46.95,46.27,46.39,4334659.0,0.0,1.0,46.73,46.95,46.27,46.39,4334659.0
2016-10-10,46.8,47.01,46.51,46.67,2553815.0,0.0,1.0,46.8,47.01,46.51,46.67,2553815.0
2016-10-07,46.77,47.12,46.54,46.64,4683696.0,0.0,1.0,46.77,47.12,46.54,46.64,4683696.0
2016-10-06,46.04,46.82,45.81,46.61,3207010.0,0.0,1.0,46.04,46.82,45.81,46.61,3207010.0
2016-10-05,46.84,46.89,46.06,46.3,5107533.0,0.0,1.0,46.84,46.89,46.06,46.3,5107533.0
2016-10-04,47.07,47.1,46.38,46.8,6326576.0,0.0,1.0,47.07,47.1,46.38,46.8,6326576.0
2016-10-03,47.33,47.36,46.755,46.93,3372460.0,0.0,1.0,47.33,47.36,46.755,46.93,3372460.0
2016-09-30,47.37,47.49,47.03,47.15,4607964.0,0.0,1.0,47.37,47.49,47.03,47.15,4607964.0
2016-09-29,47.88,47.88,47.11,47.13,3478019.0,0.0,1.0,47.88,47.88,47.11,47.13,3478019.0
2016-09-28,48.12,48.2,47.75,47.86,3133923.0,0.0,1.0,48.12,48.2,47.75,47.86,3133923.0
2016-09-27,47.98,47.9989,47.615,47.89,3935353.0,0.0,1.0,47.98,47.9989,47.615,47.89,3935353.0
