Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,6.35,6.4,6.25,6.3,127715.0,0.0,1.0,6.35,6.4,6.25,6.3,127715.0
2016-11-16,6.4,6.45,6.2,6.35,169301.0,0.0,1.0,6.4,6.45,6.2,6.35,169301.0
2016-11-15,6.5,6.5,6.2,6.375,308528.0,0.0,1.0,6.5,6.5,6.2,6.375,308528.0
2016-11-14,6.95,6.95,6.55,6.6,208409.0,0.0,1.0,6.95,6.95,6.55,6.6,208409.0
2016-11-11,6.7,6.85,6.4,6.8,215484.0,0.0,1.0,6.7,6.85,6.4,6.8,215484.0
2016-11-10,6.45,6.75,6.45,6.625,158346.0,0.0,1.0,6.45,6.75,6.45,6.625,158346.0
2016-11-09,5.6657,6.5,5.35,6.4,309036.0,0.0,1.0,5.6657,6.5,5.35,6.4,309036.0
2016-11-08,6.75,6.85,6.65,6.8,101653.0,0.0,1.0,6.75,6.85,6.65,6.8,101653.0
2016-11-07,7.0,7.1,6.625,6.7,86655.0,0.0,1.0,7.0,7.1,6.625,6.7,86655.0
2016-11-04,6.8,6.95,6.705,6.8,122499.0,0.0,1.0,6.8,6.95,6.705,6.8,122499.0
2016-11-03,6.85,6.95,6.675,6.75,84465.0,0.0,1.0,6.85,6.95,6.675,6.75,84465.0
2016-11-02,6.85,7.05,6.75,6.8,85968.0,0.0,1.0,6.85,7.05,6.75,6.8,85968.0
2016-11-01,6.9,7.05,6.7,6.8,90854.0,0.0,1.0,6.9,7.05,6.7,6.8,90854.0
2016-10-31,6.8,7.0,6.355,6.95,117258.0,0.0,1.0,6.8,7.0,6.355,6.95,117258.0
2016-10-28,6.95,7.2,6.75,6.85,125078.0,0.0,1.0,6.95,7.2,6.75,6.85,125078.0
2016-10-27,7.15,7.25,6.75,7.0,222116.0,0.0,1.0,7.15,7.25,6.75,7.0,222116.0
2016-10-26,7.45,7.6,7.05,7.2,177734.0,0.0,1.0,7.45,7.6,7.05,7.2,177734.0
2016-10-25,7.65,7.7,7.4,7.45,143074.0,0.0,1.0,7.65,7.7,7.4,7.45,143074.0
2016-10-24,7.85,7.95,7.6,7.65,139657.0,0.0,1.0,7.85,7.95,7.6,7.65,139657.0
2016-10-21,7.72,7.91,7.66,7.86,72519.0,0.0,1.0,7.72,7.91,7.66,7.86,72519.0
2016-10-20,7.9,7.9595,7.7546,7.8,53568.0,0.0,1.0,7.9,7.9595,7.7546,7.8,53568.0
2016-10-19,7.71,7.98,7.5738,7.9,244303.0,0.0,1.0,7.71,7.98,7.5738,7.9,244303.0
2016-10-18,7.5,7.77,7.312,7.65,101067.0,0.0,1.0,7.5,7.77,7.312,7.65,101067.0
2016-10-17,7.44,7.525,7.4335,7.49,82557.0,0.0,1.0,7.44,7.525,7.4335,7.49,82557.0
2016-10-14,7.56,7.57,7.32,7.49,127879.0,0.0,1.0,7.56,7.57,7.32,7.49,127879.0
2016-10-13,7.39,7.6186,7.39,7.57,87175.0,0.0,1.0,7.39,7.6186,7.39,7.57,87175.0
2016-10-12,7.5,7.86,7.159,7.48,122117.0,0.0,1.0,7.5,7.86,7.159,7.48,122117.0
2016-10-11,7.67,7.67,7.33,7.47,90004.0,0.0,1.0,7.67,7.67,7.33,7.47,90004.0
2016-10-10,7.65,7.79,7.5601,7.67,103112.0,0.0,1.0,7.65,7.79,7.5601,7.67,103112.0
2016-10-07,7.589,7.6,7.37,7.58,97210.0,0.0,1.0,7.589,7.6,7.37,7.58,97210.0
2016-10-06,7.54,7.59,7.36,7.54,89376.0,0.0,1.0,7.54,7.59,7.36,7.54,89376.0
2016-10-05,7.43,7.6,7.42,7.46,62157.0,0.0,1.0,7.43,7.6,7.42,7.46,62157.0
2016-10-04,7.58,7.67,7.34,7.37,90610.0,0.0,1.0,7.58,7.67,7.34,7.37,90610.0
2016-10-03,7.4,7.59,7.36,7.55,101733.0,0.0,1.0,7.4,7.59,7.36,7.55,101733.0
2016-09-30,7.24,7.42,7.1,7.4,137429.0,0.0,1.0,7.24,7.42,7.1,7.4,137429.0
2016-09-29,7.16,7.25,7.09,7.18,172141.0,0.0,1.0,7.16,7.25,7.09,7.18,172141.0
2016-09-28,7.2,7.25,7.0001,7.18,74626.0,0.0,1.0,7.2,7.25,7.0001,7.18,74626.0
2016-09-27,7.25,7.31,7.14,7.19,82431.0,0.0,1.0,7.25,7.31,7.14,7.19,82431.0
2016-09-26,7.32,7.33,7.22,7.24,64683.0,0.0,1.0,7.32,7.33,7.22,7.24,64683.0
2016-09-23,7.37,7.39,7.215,7.32,108455.0,0.0,1.0,7.37,7.39,7.215,7.32,108455.0
2016-09-22,7.15,7.3795,7.15,7.32,227785.0,0.0,1.0,7.15,7.3795,7.15,7.32,227785.0
2016-09-21,7.09,7.18,7.0,7.14,81987.0,0.0,1.0,7.09,7.18,7.0,7.14,81987.0
2016-09-20,7.25,7.25,7.0,7.08,52111.0,0.0,1.0,7.25,7.25,7.0,7.08,52111.0
2016-09-19,7.0,7.29,7.0,7.2,137671.0,0.0,1.0,7.0,7.29,7.0,7.2,137671.0
2016-09-16,6.86,7.09,6.85,6.99,212292.0,0.0,1.0,6.86,7.09,6.85,6.99,212292.0
2016-09-15,6.72,6.85,6.61,6.83,107195.0,0.0,1.0,6.72,6.85,6.61,6.83,107195.0
2016-09-14,6.84,6.98,6.71,6.72,143228.0,0.0,1.0,6.84,6.98,6.71,6.72,143228.0
2016-09-13,6.94,6.96,6.78,6.86,72570.0,0.0,1.0,6.94,6.96,6.78,6.86,72570.0
2016-09-12,6.85,6.985,6.74,6.96,83947.0,0.0,1.0,6.85,6.985,6.74,6.96,83947.0
2016-09-09,6.96,6.97,6.7001,6.83,117756.0,0.0,1.0,6.96,6.97,6.7001,6.83,117756.0
2016-09-08,7.0,7.07,6.9,6.99,94517.0,0.0,1.0,7.0,7.07,6.9,6.99,94517.0
2016-09-07,7.17,7.3,6.99,7.03,206567.0,0.0,1.0,7.17,7.3,6.99,7.03,206567.0
2016-09-06,7.01,7.25,6.97,7.14,174877.0,0.0,1.0,7.01,7.25,6.97,7.14,174877.0
2016-09-02,6.79,7.0,6.78,7.0,125502.0,0.0,1.0,6.79,7.0,6.78,7.0,125502.0
2016-09-01,6.8,6.81,6.62,6.73,51554.0,0.0,1.0,6.8,6.81,6.62,6.73,51554.0
2016-08-31,6.86,6.9007,6.65,6.76,63378.0,0.0,1.0,6.86,6.9007,6.65,6.76,63378.0
2016-08-30,6.63,6.9,6.61,6.84,155357.0,0.0,1.0,6.63,6.9,6.61,6.84,155357.0
2016-08-29,6.65,6.75,6.54,6.6,106271.0,0.0,1.0,6.65,6.75,6.54,6.6,106271.0
2016-08-26,6.6,6.7,6.52,6.64,85742.0,0.0,1.0,6.6,6.7,6.52,6.64,85742.0
2016-08-25,6.49,6.67,6.46,6.61,83323.0,0.0,1.0,6.49,6.67,6.46,6.61,83323.0
2016-08-24,6.45,6.55,6.44,6.49,146674.0,0.0,1.0,6.45,6.55,6.44,6.49,146674.0
2016-08-23,6.49,6.59,6.39,6.49,210401.0,0.0,1.0,6.49,6.59,6.39,6.49,210401.0
2016-08-22,6.47,6.55,6.41,6.49,87634.0,0.0,1.0,6.47,6.55,6.41,6.49,87634.0
2016-08-19,6.32,6.53,6.17,6.53,151638.0,0.0,1.0,6.32,6.53,6.17,6.53,151638.0
2016-08-18,6.23,6.4,6.23,6.34,117557.0,0.0,1.0,6.23,6.4,6.23,6.34,117557.0
2016-08-17,6.17,6.21,6.06,6.2,103225.0,0.0,1.0,6.17,6.21,6.06,6.2,103225.0
2016-08-16,6.29,6.29,6.09,6.12,90988.0,0.0,1.0,6.29,6.29,6.09,6.12,90988.0
2016-08-15,6.24,6.44,6.24,6.29,136796.0,0.0,1.0,6.24,6.44,6.24,6.29,136796.0
2016-08-12,6.1536,6.3,6.13,6.28,127068.0,0.0,1.0,6.1536,6.3,6.13,6.28,127068.0
2016-08-11,6.26,6.33,6.2,6.21,50050.0,0.0,1.0,6.26,6.33,6.2,6.21,50050.0
2016-08-10,6.26,6.43,6.22,6.23,92780.0,0.0,1.0,6.26,6.43,6.22,6.23,92780.0
2016-08-09,6.05,6.25,6.0,6.24,198010.0,0.0,1.0,6.05,6.25,6.0,6.24,198010.0
2016-08-08,5.96,6.04,5.89,5.97,119062.0,0.0,1.0,5.96,6.04,5.89,5.97,119062.0
2016-08-05,5.92,5.99,5.87,5.95,90310.0,0.0,1.0,5.92,5.99,5.87,5.95,90310.0
2016-08-04,5.89,5.95,5.8,5.84,69995.0,0.0,1.0,5.89,5.95,5.8,5.84,69995.0
2016-08-03,5.85,5.91,5.83,5.87,52565.0,0.0,1.0,5.85,5.91,5.83,5.87,52565.0
2016-08-02,5.86,5.91,5.84,5.85,92827.0,0.0,1.0,5.86,5.91,5.84,5.85,92827.0
2016-08-01,6.0,6.04,5.85,5.87,56459.0,0.0,1.0,6.0,6.04,5.85,5.87,56459.0
2016-07-29,5.98,6.05,5.95,6.01,86951.0,0.0,1.0,5.98,6.05,5.95,6.01,86951.0
2016-07-28,5.93,6.0386,5.91,5.97,61382.0,0.0,1.0,5.93,6.0386,5.91,5.97,61382.0
2016-07-27,5.97,6.02,5.86,5.95,118738.0,0.0,1.0,5.97,6.02,5.86,5.95,118738.0
2016-07-26,5.87,5.99,5.73,5.92,108504.0,0.0,1.0,5.87,5.99,5.73,5.92,108504.0
2016-07-25,5.94,5.9625,5.72,5.85,59123.0,0.0,1.0,5.94,5.9625,5.72,5.85,59123.0
2016-07-22,5.92,6.01,5.79,5.94,140097.0,0.0,1.0,5.92,6.01,5.79,5.94,140097.0
2016-07-21,5.86,5.95,5.71,5.9,70977.0,0.0,1.0,5.86,5.95,5.71,5.9,70977.0
2016-07-20,5.79,5.95,5.63,5.87,123190.0,0.0,1.0,5.79,5.95,5.63,5.87,123190.0
2016-07-19,5.72,5.77,5.61,5.76,98989.0,0.0,1.0,5.72,5.77,5.61,5.76,98989.0
2016-07-18,5.86,5.86,5.73,5.74,116666.0,0.0,1.0,5.86,5.86,5.73,5.74,116666.0
2016-07-15,5.79,5.8801,5.7101,5.87,167436.0,0.0,1.0,5.79,5.8801,5.7101,5.87,167436.0
2016-07-14,5.7,5.77,5.54,5.75,208653.0,0.0,1.0,5.7,5.77,5.54,5.75,208653.0
2016-07-13,5.68,5.8799,5.55,5.65,116602.0,0.0,1.0,5.68,5.8799,5.55,5.65,116602.0
2016-07-12,5.74,5.88,5.63,5.67,215474.0,0.0,1.0,5.74,5.88,5.63,5.67,215474.0
2016-07-11,5.6,5.83,5.5,5.72,174817.0,0.0,1.0,5.6,5.83,5.5,5.72,174817.0
2016-07-08,5.39,5.6301,5.38,5.59,390420.0,0.0,1.0,5.39,5.6301,5.38,5.59,390420.0
2016-07-07,5.39,5.39,5.32,5.35,206042.0,0.0,1.0,5.39,5.39,5.32,5.35,206042.0
2016-07-06,5.3,5.39,5.28,5.35,274893.0,0.0,1.0,5.3,5.39,5.28,5.35,274893.0
2016-07-05,5.39,5.49,5.33,5.37,72189.0,0.0,1.0,5.39,5.49,5.33,5.37,72189.0
2016-07-01,5.38,5.54,5.35,5.39,99214.0,0.0,1.0,5.38,5.54,5.35,5.39,99214.0
2016-06-30,5.39,5.39,5.29,5.34,90245.0,0.0,1.0,5.39,5.39,5.29,5.34,90245.0
2016-06-29,5.22,5.4,5.12,5.34,120693.0,0.0,1.0,5.22,5.4,5.12,5.34,120693.0
2016-06-28,5.1,5.29,5.08,5.14,136466.0,0.0,1.0,5.1,5.29,5.08,5.14,136466.0
2016-06-27,5.17,5.31,5.02,5.06,172967.0,0.0,1.0,5.17,5.31,5.02,5.06,172967.0
2016-06-24,5.05,5.235,5.04,5.16,386752.0,0.0,1.0,5.05,5.235,5.04,5.16,386752.0
2016-06-23,5.36,5.48,5.31,5.38,110828.0,0.0,1.0,5.36,5.48,5.31,5.38,110828.0
2016-06-22,5.27,5.55,5.25,5.27,179677.0,0.0,1.0,5.27,5.55,5.25,5.27,179677.0
2016-06-21,5.24,5.34,5.173,5.29,127440.0,0.0,1.0,5.24,5.34,5.173,5.29,127440.0
2016-06-20,5.12,5.25,5.08,5.23,152743.0,0.0,1.0,5.12,5.25,5.08,5.23,152743.0
2016-06-17,5.14,5.22,4.975,5.07,291170.0,0.0,1.0,5.14,5.22,4.975,5.07,291170.0
2016-06-16,5.18,5.19,5.1,5.15,66397.0,0.0,1.0,5.18,5.19,5.1,5.15,66397.0
2016-06-15,5.13,5.33,5.06,5.25,156146.0,0.0,1.0,5.13,5.33,5.06,5.25,156146.0
2016-06-14,5.14,5.26,5.04,5.08,168876.0,0.0,1.0,5.14,5.26,5.04,5.08,168876.0
2016-06-13,5.27,5.33,5.12,5.15,95485.0,0.0,1.0,5.27,5.33,5.12,5.15,95485.0
2016-06-10,5.34,5.44,5.26,5.29,141170.0,0.0,1.0,5.34,5.44,5.26,5.29,141170.0
2016-06-09,5.36,5.47,5.31,5.43,81824.0,0.0,1.0,5.36,5.47,5.31,5.43,81824.0
2016-06-08,5.36,5.49,5.31,5.4,127712.0,0.0,1.0,5.36,5.49,5.31,5.4,127712.0
2016-06-07,5.35,5.4279,5.3,5.36,59598.0,0.0,1.0,5.35,5.4279,5.3,5.36,59598.0
2016-06-06,5.26,5.46,5.22,5.34,94227.0,0.0,1.0,5.26,5.46,5.22,5.34,94227.0
2016-06-03,5.41,5.46,5.17,5.26,112752.0,0.0,1.0,5.41,5.46,5.17,5.26,112752.0
2016-06-02,5.14,5.46,5.135,5.45,240841.0,0.0,1.0,5.14,5.46,5.135,5.45,240841.0
2016-06-01,5.21,5.27,5.14,5.23,107349.0,0.0,1.0,5.21,5.27,5.14,5.23,107349.0
2016-05-31,5.24,5.27,5.1511,5.21,118181.0,0.0,1.0,5.24,5.27,5.1511,5.21,118181.0
2016-05-27,5.15,5.29,5.11,5.26,122209.0,0.0,1.0,5.15,5.29,5.11,5.26,122209.0
2016-05-26,5.29,5.29,5.12,5.15,100379.0,0.0,1.0,5.29,5.29,5.12,5.15,100379.0
2016-05-25,5.14,5.33,5.13,5.29,263743.0,0.0,1.0,5.14,5.33,5.13,5.29,263743.0
2016-05-24,5.09,5.15,5.01,5.14,130973.0,0.0,1.0,5.09,5.15,5.01,5.14,130973.0
2016-05-23,5.05,5.12,5.01,5.06,66502.0,0.0,1.0,5.05,5.12,5.01,5.06,66502.0
2016-05-20,5.01,5.12,4.97,5.07,132662.0,0.0,1.0,5.01,5.12,4.97,5.07,132662.0
2016-05-19,5.01,5.08,4.85,4.97,162623.0,0.0,1.0,5.01,5.08,4.85,4.97,162623.0
2016-05-18,5.03,5.1,4.98,5.04,103132.0,0.0,1.0,5.03,5.1,4.98,5.04,103132.0
2016-05-17,5.06,5.18,5.0,5.04,149123.0,0.0,1.0,5.06,5.18,5.0,5.04,149123.0
2016-05-16,5.19,5.21,5.068,5.09,114256.0,0.0,1.0,5.19,5.21,5.068,5.09,114256.0
2016-05-13,5.06,5.25,5.06,5.15,121502.0,0.0,1.0,5.06,5.25,5.06,5.15,121502.0
2016-05-12,5.16,5.18,4.99,5.07,154139.0,0.0,1.0,5.16,5.18,4.99,5.07,154139.0
2016-05-11,5.37,5.37,5.11,5.12,146836.0,0.0,1.0,5.37,5.37,5.11,5.12,146836.0
2016-05-10,5.05,5.48,5.05,5.37,169741.0,0.0,1.0,5.05,5.48,5.05,5.37,169741.0
