Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,29.25,29.7,28.85,29.15,102580.0,0.0,1.0,29.25,29.7,28.85,29.15,102580.0
2016-11-16,28.95,29.3,28.55,29.3,66434.0,0.0,1.0,28.95,29.3,28.55,29.3,66434.0
2016-11-15,29.3,29.3808,28.5,28.8,67935.0,0.0,1.0,29.3,29.3808,28.5,28.8,67935.0
2016-11-14,29.6,29.95,29.05,29.25,83255.0,0.0,1.0,29.6,29.95,29.05,29.25,83255.0
2016-11-11,27.9,29.45,27.45,29.0,126818.0,0.0,1.0,27.9,29.45,27.45,29.0,126818.0
2016-11-10,28.8,29.05,27.2,27.85,213550.0,0.0,1.0,28.8,29.05,27.2,27.85,213550.0
2016-11-09,28.1,29.1,28.05,28.65,106616.0,0.0,1.0,28.1,29.1,28.05,28.65,106616.0
2016-11-08,29.5,29.85,28.45,28.5,107712.0,0.0,1.0,29.5,29.85,28.45,28.5,107712.0
2016-11-07,30.2,30.55,29.3,29.4,123947.0,0.0,1.0,30.2,30.55,29.3,29.4,123947.0
2016-11-04,32.1,32.45,29.6,29.6,130937.0,0.0,1.0,32.1,32.45,29.6,29.6,130937.0
2016-11-03,32.65,33.15,31.85,32.1,76229.0,0.0,1.0,32.65,33.15,31.85,32.1,76229.0
2016-11-02,33.3,33.5,32.75,32.8,49910.0,0.0,1.0,33.3,33.5,32.75,32.8,49910.0
2016-11-01,34.1,34.1,32.9,33.35,90275.0,0.0,1.0,34.1,34.1,32.9,33.35,90275.0
2016-10-31,33.9,34.5,33.8,34.0,30354.0,0.0,1.0,33.9,34.5,33.8,34.0,30354.0
2016-10-28,34.5,34.65,34.05,34.15,37814.0,0.0,1.0,34.5,34.65,34.05,34.15,37814.0
2016-10-27,34.7,34.95,34.15,34.4,71368.0,0.0,1.0,34.7,34.95,34.15,34.4,71368.0
2016-10-26,35.05,35.55,34.8,34.9,22172.0,0.0,1.0,35.05,35.55,34.8,34.9,22172.0
2016-10-25,35.1,35.75,34.75,35.3,80196.0,0.0,1.0,35.1,35.75,34.75,35.3,80196.0
2016-10-24,35.2,35.25,34.9,35.05,17494.0,0.0,1.0,35.2,35.25,34.9,35.05,17494.0
2016-10-21,34.75,35.1,34.75,35.0,37692.0,0.0,1.0,34.75,35.1,34.75,35.0,37692.0
2016-10-20,35.05,35.2,34.8,35.1,23203.0,0.0,1.0,35.05,35.2,34.8,35.1,23203.0
2016-10-19,35.3,35.55,35.0,35.15,148441.0,0.0,1.0,35.3,35.55,35.0,35.15,148441.0
2016-10-18,35.25,35.682,35.1,35.15,26151.0,0.0,1.0,35.25,35.682,35.1,35.15,26151.0
2016-10-17,35.55,35.55,34.975,35.2,31429.0,0.0,1.0,35.55,35.55,34.975,35.2,31429.0
2016-10-14,35.25,35.66,34.834,35.47,32885.0,0.0,1.0,35.25,35.66,34.834,35.47,32885.0
2016-10-13,35.05,35.21,34.57,35.09,40796.0,0.0,1.0,35.05,35.21,34.57,35.09,40796.0
2016-10-12,35.34,35.59,35.02,35.33,31775.0,0.0,1.0,35.34,35.59,35.02,35.33,31775.0
2016-10-11,36.33,36.4,34.88,35.32,87836.0,0.0,1.0,36.33,36.4,34.88,35.32,87836.0
2016-10-10,36.62,36.91,36.355,36.55,75817.0,0.0,1.0,36.62,36.91,36.355,36.55,75817.0
2016-10-07,36.65,36.65,35.735,36.46,61698.0,0.0,1.0,36.65,36.65,35.735,36.46,61698.0
2016-10-06,36.34,36.87,36.14,36.65,62092.0,0.0,1.0,36.34,36.87,36.14,36.65,62092.0
2016-10-05,36.61,36.8,36.18,36.5,105731.0,0.0,1.0,36.61,36.8,36.18,36.5,105731.0
2016-10-04,36.78,37.4289,36.44,36.49,53164.0,0.0,1.0,36.78,37.4289,36.44,36.49,53164.0
2016-10-03,36.82,36.95,36.25,36.81,66884.0,0.0,1.0,36.82,36.95,36.25,36.81,66884.0
2016-09-30,36.34,37.02,36.08,36.78,63501.0,0.0,1.0,36.34,37.02,36.08,36.78,63501.0
2016-09-29,37.28,37.28,36.06,36.15,46434.0,0.0,1.0,37.28,37.28,36.06,36.15,46434.0
2016-09-28,37.74,37.79,36.3,37.14,93658.0,0.0,1.0,37.74,37.79,36.3,37.14,93658.0
2016-09-27,36.72,37.955,36.62,37.59,73101.0,0.0,1.0,36.72,37.955,36.62,37.59,73101.0
2016-09-26,36.63,36.99,36.365,36.8,51597.0,0.0,1.0,36.63,36.99,36.365,36.8,51597.0
