Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,3.0,3.05,2.65,2.8,641670.0,0.0,1.0,3.0,3.05,2.65,2.8,641670.0
2016-11-16,2.9,2.95,2.8,2.95,152069.0,0.0,1.0,2.9,2.95,2.8,2.95,152069.0
2016-11-15,3.3,3.375,2.9,2.95,525845.0,0.0,1.0,3.3,3.375,2.9,2.95,525845.0
2016-11-14,3.0,3.25,2.9,3.25,554057.0,0.0,1.0,3.0,3.25,2.9,3.25,554057.0
2016-11-11,2.6,2.91,2.525,2.85,454116.0,0.0,1.0,2.6,2.91,2.525,2.85,454116.0
2016-11-10,2.65,2.75,2.4632,2.6,573391.0,0.0,1.0,2.65,2.75,2.4632,2.6,573391.0
2016-11-09,2.25,2.6,2.25,2.55,485320.0,0.0,1.0,2.25,2.6,2.25,2.55,485320.0
2016-11-08,2.3,2.3,2.125,2.2,284350.0,0.0,1.0,2.3,2.3,2.125,2.2,284350.0
2016-11-07,2.4,2.49,2.25,2.3,240124.0,0.0,1.0,2.4,2.49,2.25,2.3,240124.0
2016-11-04,2.45,2.55,2.25,2.35,731284.0,0.0,1.0,2.45,2.55,2.25,2.35,731284.0
2016-11-03,2.6,2.6,2.45,2.45,736712.0,0.0,1.0,2.6,2.6,2.45,2.45,736712.0
2016-11-02,2.6,2.7,2.45,2.6,987999.0,0.0,1.0,2.6,2.7,2.45,2.6,987999.0
2016-11-01,2.75,2.925,2.75,2.8,178387.0,0.0,1.0,2.75,2.925,2.75,2.8,178387.0
2016-10-31,2.65,2.8,2.65,2.75,182381.0,0.0,1.0,2.65,2.8,2.65,2.75,182381.0
2016-10-28,2.75,2.765,2.61,2.66,333136.0,0.0,1.0,2.75,2.765,2.61,2.66,333136.0
2016-10-27,2.89,2.96,2.75,2.76,258131.0,0.0,1.0,2.89,2.96,2.75,2.76,258131.0
2016-10-26,2.75,2.88,2.7169,2.87,233912.0,0.0,1.0,2.75,2.88,2.7169,2.87,233912.0
2016-10-25,2.82,2.82,2.67,2.77,315892.0,0.0,1.0,2.82,2.82,2.67,2.77,315892.0
2016-10-24,2.85,2.87,2.64,2.81,364011.0,0.0,1.0,2.85,2.87,2.64,2.81,364011.0
2016-10-21,2.71,2.92,2.7,2.84,264348.0,0.0,1.0,2.71,2.92,2.7,2.84,264348.0
