Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-03-22,10.97,11.0,10.96,11.0,1675733.0,0.0,1.0,10.97,11.0,10.96,11.0,1675733.0
2016-03-21,10.95,10.99,10.95,10.98,917829.0,0.0,1.0,10.95,10.99,10.95,10.98,917829.0
2016-03-18,10.97,10.97,10.94,10.95,685724.0,0.0,1.0,10.97,10.97,10.94,10.95,685724.0
2016-03-17,10.95,10.97,10.94,10.95,976441.0,0.0,1.0,10.95,10.97,10.94,10.95,976441.0
2016-03-16,10.94,10.95,10.94,10.95,482729.0,0.0,1.0,10.94,10.95,10.94,10.95,482729.0
2016-03-15,10.95,10.96,10.94,10.95,256051.0,0.0,1.0,10.95,10.96,10.94,10.95,256051.0
2016-03-14,10.94,10.97,10.92,10.95,203322.0,0.0,1.0,10.94,10.97,10.92,10.95,203322.0
2016-03-11,10.94,10.95,10.92,10.94,1377275.0,0.0,1.0,10.94,10.95,10.92,10.94,1377275.0
2016-03-10,10.9,10.932,10.9,10.9,1707866.0,0.0,1.0,10.9,10.932,10.9,10.9,1707866.0
2016-03-09,10.93,10.93,10.89,10.9,491230.0,0.0,1.0,10.93,10.93,10.89,10.9,491230.0
2016-03-08,10.89,10.92,10.89,10.9,1554019.0,0.0,1.0,10.89,10.92,10.89,10.9,1554019.0
2016-03-07,10.89,10.94,10.89,10.89,527861.0,0.0,1.0,10.89,10.94,10.89,10.89,527861.0
2016-03-04,10.89,10.95,10.87,10.89,684776.0,0.0,1.0,10.89,10.95,10.87,10.89,684776.0
2016-03-03,10.87,10.9,10.87,10.89,289721.0,0.0,1.0,10.87,10.9,10.87,10.89,289721.0
2016-03-02,10.86,10.93,10.85,10.89,276041.0,0.0,1.0,10.86,10.93,10.85,10.89,276041.0
2016-03-01,10.83,11.02,10.81,10.86,667722.0,0.0,1.0,10.83,11.02,10.81,10.86,667722.0
2016-02-29,10.8,10.82,10.79,10.8,719060.0,0.0,1.0,10.8,10.82,10.79,10.8,719060.0
2016-02-26,10.8,10.815,10.78,10.79,1021466.0,0.0,1.0,10.8,10.815,10.78,10.79,1021466.0
2016-02-25,10.8,10.82,10.78,10.8,1144113.0,0.0,1.0,10.8,10.82,10.78,10.8,1144113.0
2016-02-24,10.74,10.9,10.74,10.8,1320702.0,0.0,1.0,10.74,10.9,10.74,10.8,1320702.0
2016-02-23,10.69,10.77,10.68,10.76,359671.0,0.0,1.0,10.69,10.77,10.68,10.76,359671.0
2016-02-22,10.7,10.7818,10.66,10.68,377730.0,0.0,1.0,10.7,10.7818,10.66,10.68,377730.0
2016-02-19,10.63,10.685,10.58,10.66,283636.0,0.0,1.0,10.63,10.685,10.58,10.66,283636.0
2016-02-18,10.61,10.66,10.56,10.63,546126.0,0.0,1.0,10.61,10.66,10.56,10.63,546126.0
2016-02-17,10.58,10.65,10.53,10.62,435524.0,0.0,1.0,10.58,10.65,10.53,10.62,435524.0
2016-02-16,10.55,10.585,10.47,10.57,642798.0,0.0,1.0,10.55,10.585,10.47,10.57,642798.0
2016-02-12,10.53,10.6,10.48,10.5,362420.0,0.0,1.0,10.53,10.6,10.48,10.5,362420.0
2016-02-11,10.44,10.56,10.42,10.47,1090996.0,0.0,1.0,10.44,10.56,10.42,10.47,1090996.0
2016-02-10,10.5,10.57,10.5,10.52,468777.0,0.0,1.0,10.5,10.57,10.5,10.52,468777.0
2016-02-09,10.39,10.5001,10.38,10.44,660263.0,0.0,1.0,10.39,10.5001,10.38,10.44,660263.0
2016-02-08,10.43,10.48,10.39,10.44,442819.0,0.0,1.0,10.43,10.48,10.39,10.44,442819.0
