Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-08-09,4.59,4.6,4.59,4.6,11800.0,0.0,1.0,4.59,4.6,4.59,4.6,11800.0
2016-08-08,4.59,4.6,4.59,4.6,7970.0,0.0,1.0,4.59,4.6,4.59,4.6,7970.0
2016-08-05,4.59,4.6,4.59,4.59,54330.0,0.0,1.0,4.59,4.6,4.59,4.59,54330.0
2016-08-04,4.59,4.6,4.59,4.6,14156.0,0.0,1.0,4.59,4.6,4.59,4.6,14156.0
2016-08-03,4.59,4.6,4.59,4.6,8953.0,0.0,1.0,4.59,4.6,4.59,4.6,8953.0
2016-08-02,4.59,4.6,4.59,4.595,49307.0,0.0,1.0,4.59,4.6,4.59,4.595,49307.0
2016-08-01,4.6,4.6,4.59,4.6,27762.0,0.0,1.0,4.6,4.6,4.59,4.6,27762.0
2016-07-29,4.59,4.6,4.58,4.58,10174.0,0.0,1.0,4.59,4.6,4.58,4.58,10174.0
2016-07-28,4.59,4.6,4.58,4.58,12261.0,0.0,1.0,4.59,4.6,4.58,4.58,12261.0
2016-07-27,4.58,4.6,4.58,4.6,98903.0,0.0,1.0,4.58,4.6,4.58,4.6,98903.0
2016-07-26,4.58,4.6,4.58,4.59,9178.0,0.0,1.0,4.58,4.6,4.58,4.59,9178.0
2016-07-25,4.58,4.59,4.58,4.58,117343.0,0.0,1.0,4.58,4.59,4.58,4.58,117343.0
2016-07-22,4.58,4.59,4.58,4.59,104380.0,0.0,1.0,4.58,4.59,4.58,4.59,104380.0
2016-07-21,4.58,4.59,4.58,4.58,152430.0,0.0,1.0,4.58,4.59,4.58,4.58,152430.0
2016-07-20,4.58,4.59,4.58,4.59,96276.0,0.0,1.0,4.58,4.59,4.58,4.59,96276.0
2016-07-19,4.58,4.59,4.5701,4.59,87692.0,0.0,1.0,4.58,4.59,4.5701,4.59,87692.0
2016-07-18,4.58,4.58,4.57,4.57,53053.0,0.0,1.0,4.58,4.58,4.57,4.57,53053.0
2016-07-15,4.57,4.58,4.57,4.57,19927.0,0.0,1.0,4.57,4.58,4.57,4.57,19927.0
2016-07-14,4.57,4.58,4.57,4.57,274602.0,0.0,1.0,4.57,4.58,4.57,4.57,274602.0
2016-07-13,4.56,4.59,4.56,4.58,251620.0,0.0,1.0,4.56,4.59,4.56,4.58,251620.0
2016-07-12,4.57,4.57,4.56,4.56,677364.0,0.0,1.0,4.57,4.57,4.56,4.56,677364.0
2016-07-11,4.56,4.57,4.56,4.565,990155.0,0.0,1.0,4.56,4.57,4.56,4.565,990155.0
2016-07-08,4.56,4.57,4.56,4.56,597344.0,0.0,1.0,4.56,4.57,4.56,4.56,597344.0
2016-07-07,4.56,4.57,4.56,4.57,51915.0,0.0,1.0,4.56,4.57,4.56,4.57,51915.0
2016-07-06,4.56,4.58,4.56,4.57,572861.0,0.0,1.0,4.56,4.58,4.56,4.57,572861.0
2016-07-05,4.56,4.57,4.55,4.57,214510.0,0.0,1.0,4.56,4.57,4.55,4.57,214510.0
2016-07-01,4.55,4.56,4.54,4.55,1377612.0,0.0,1.0,4.55,4.56,4.54,4.55,1377612.0
2016-06-30,4.55,4.5661,4.55,4.55,914372.0,0.0,1.0,4.55,4.5661,4.55,4.55,914372.0
2016-06-29,4.55,4.56,4.55,4.55,750367.0,0.0,1.0,4.55,4.56,4.55,4.55,750367.0
2016-06-28,4.54,4.57,4.54,4.56,5119622.0,0.0,1.0,4.54,4.57,4.54,4.56,5119622.0
2016-06-27,1.65,1.689,1.6,1.689,2959.0,0.0,1.0,1.65,1.689,1.6,1.689,2959.0
2016-06-24,1.62,1.67,1.6,1.6,2778.0,0.0,1.0,1.62,1.67,1.6,1.6,2778.0
2016-06-23,1.64,1.7,1.64,1.64,1600.0,0.0,1.0,1.64,1.7,1.64,1.64,1600.0
2016-06-22,1.66,1.71,1.64,1.64,2088.0,0.0,1.0,1.66,1.71,1.64,1.64,2088.0
2016-06-21,1.69,1.71,1.6766,1.709,1408.0,0.0,1.0,1.69,1.71,1.6766,1.709,1408.0
2016-06-20,1.68,1.75,1.63,1.74,10131.0,0.0,1.0,1.68,1.75,1.63,1.74,10131.0
2016-06-17,1.7565,1.81,1.68,1.68,5389.0,0.0,1.0,1.7565,1.81,1.68,1.68,5389.0
2016-06-16,1.73,1.77,1.73,1.76,1566.0,0.0,1.0,1.73,1.77,1.73,1.76,1566.0
2016-06-15,1.7341,1.77,1.734,1.75,750.0,0.0,1.0,1.7341,1.77,1.734,1.75,750.0
2016-06-14,1.64,1.67,1.625,1.66,3828.0,0.0,1.0,1.64,1.67,1.625,1.66,3828.0
2016-06-13,1.81,1.81,1.61,1.64,17888.0,0.0,1.0,1.81,1.81,1.61,1.64,17888.0
2016-06-10,1.69,1.708,1.68,1.68,3149.0,0.0,1.0,1.69,1.708,1.68,1.68,3149.0
2016-06-09,1.69,1.75,1.69,1.75,624.0,0.0,1.0,1.69,1.75,1.69,1.75,624.0
2016-06-08,1.8,1.8,1.61,1.65,10550.0,0.0,1.0,1.8,1.8,1.61,1.65,10550.0
2016-06-07,1.78,1.81,1.7,1.81,3067.0,0.0,1.0,1.78,1.81,1.7,1.81,3067.0
