Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,24.1,24.2,22.85,22.95,773931.0,0.0,1.0,24.1,24.2,22.85,22.95,773931.0
2016-11-16,23.2,24.1,23.105,23.85,497911.0,0.0,1.0,23.2,24.1,23.105,23.85,497911.0
2016-11-15,22.8,23.8,22.8,23.3,547960.0,0.0,1.0,22.8,23.8,22.8,23.3,547960.0
2016-11-14,22.7,23.85,22.55,22.75,684730.0,0.0,1.0,22.7,23.85,22.55,22.75,684730.0
2016-11-11,21.7,22.6,21.65,22.5,586491.0,0.0,1.0,21.7,22.6,21.65,22.5,586491.0
2016-11-10,21.25,21.95,21.05,21.7,509343.0,0.0,1.0,21.25,21.95,21.05,21.7,509343.0
2016-11-09,20.4,21.15,20.1509,21.05,449231.0,0.0,1.0,20.4,21.15,20.1509,21.05,449231.0
2016-11-08,20.55,21.2,20.4,20.8,506616.0,0.0,1.0,20.55,21.2,20.4,20.8,506616.0
2016-11-07,20.35,20.75,20.15,20.6,401133.0,0.0,1.0,20.35,20.75,20.15,20.6,401133.0
2016-11-04,19.85,20.225,19.6,20.05,429908.0,0.0,1.0,19.85,20.225,19.6,20.05,429908.0
2016-11-03,19.9,20.2,19.6,19.8,528294.0,0.0,1.0,19.9,20.2,19.6,19.8,528294.0
2016-11-02,19.6,20.2,19.35,19.95,549059.0,0.0,1.0,19.6,20.2,19.35,19.95,549059.0
2016-11-01,20.85,21.0,19.8,20.1,697090.0,0.0,1.0,20.85,21.0,19.8,20.1,697090.0
2016-10-31,20.25,20.85,20.1,20.7,515486.0,0.0,1.0,20.25,20.85,20.1,20.7,515486.0
2016-10-28,20.75,21.1,20.15,20.2,687880.0,0.0,1.0,20.75,21.1,20.15,20.2,687880.0
2016-10-27,21.55,21.9,20.6,20.65,928035.0,0.0,1.0,21.55,21.9,20.6,20.65,928035.0
2016-10-26,22.05,22.6,21.55,21.55,1436403.0,0.0,1.0,22.05,22.6,21.55,21.55,1436403.0
2016-10-25,23.0,23.25,22.75,23.15,406724.0,0.0,1.0,23.0,23.25,22.75,23.15,406724.0
2016-10-24,22.35,23.2,22.2,23.1,542255.0,0.0,1.0,22.35,23.2,22.2,23.1,542255.0
2016-10-21,21.95,22.2,21.85,22.15,244706.0,0.0,1.0,21.95,22.2,21.85,22.15,244706.0
2016-10-20,21.95,22.25,21.95,22.15,286782.0,0.0,1.0,21.95,22.25,21.95,22.15,286782.0
2016-10-19,21.6,22.2,21.6,22.0,232862.0,0.0,1.0,21.6,22.2,21.6,22.0,232862.0
2016-10-18,21.5,21.8,21.35,21.65,211260.0,0.0,1.0,21.5,21.8,21.35,21.65,211260.0
2016-10-17,21.6,21.6,21.15,21.3,195744.0,0.0,1.0,21.6,21.6,21.15,21.3,195744.0
2016-10-14,21.61,21.75,21.47,21.52,199899.0,0.0,1.0,21.61,21.75,21.47,21.52,199899.0
2016-10-13,21.95,22.02,21.47,21.52,408670.0,0.0,1.0,21.95,22.02,21.47,21.52,408670.0
2016-10-12,21.81,22.3,21.625,22.15,355620.0,0.0,1.0,21.81,22.3,21.625,22.15,355620.0
2016-10-11,22.37,22.37,21.79,21.86,442013.0,0.0,1.0,22.37,22.37,21.79,21.86,442013.0
2016-10-10,22.65,22.68,22.25,22.36,758442.0,0.0,1.0,22.65,22.68,22.25,22.36,758442.0
2016-10-07,22.86,22.94,22.44,22.49,515969.0,0.0,1.0,22.86,22.94,22.44,22.49,515969.0
2016-10-06,23.13,23.36,22.82,22.9,413744.0,0.0,1.0,23.13,23.36,22.82,22.9,413744.0
2016-10-05,24.27,24.28,23.1,23.14,481546.0,0.0,1.0,24.27,24.28,23.1,23.14,481546.0
2016-10-04,23.91,24.54,23.91,24.15,316340.0,0.0,1.0,23.91,24.54,23.91,24.15,316340.0
2016-10-03,23.56,23.92,23.41,23.9,417194.0,0.0,1.0,23.56,23.92,23.41,23.9,417194.0
2016-09-30,23.67,23.73,23.32,23.66,322602.0,0.0,1.0,23.67,23.73,23.32,23.66,322602.0
2016-09-29,23.8,23.8,23.405,23.56,170661.0,0.0,1.0,23.8,23.8,23.405,23.56,170661.0
2016-09-28,23.75,23.81,23.49,23.79,209129.0,0.0,1.0,23.75,23.81,23.49,23.79,209129.0
2016-09-27,23.48,23.77,23.47,23.74,316227.0,0.0,1.0,23.48,23.77,23.47,23.74,316227.0
2016-09-26,23.6,23.71,23.28,23.51,177793.0,0.0,1.0,23.6,23.71,23.28,23.51,177793.0
2016-09-23,23.77,23.84,23.49,23.66,235371.0,0.0,1.0,23.77,23.84,23.49,23.66,235371.0
2016-09-22,23.65,24.0,23.61,23.82,378891.0,0.0,1.0,23.65,24.0,23.61,23.82,378891.0
2016-09-21,23.29,23.65,23.16,23.6,279200.0,0.0,1.0,23.29,23.65,23.16,23.6,279200.0
2016-09-20,23.51,23.51,23.01,23.09,302921.0,0.0,1.0,23.51,23.51,23.01,23.09,302921.0
2016-09-19,23.54,23.87,23.1403,23.36,306582.0,0.0,1.0,23.54,23.87,23.1403,23.36,306582.0
2016-09-16,23.1,23.37,22.91,23.36,394385.0,0.0,1.0,23.1,23.37,22.91,23.36,394385.0
2016-09-15,22.3,23.06,22.17,23.05,504698.0,0.0,1.0,22.3,23.06,22.17,23.05,504698.0
2016-09-14,21.93,22.26,21.88,22.23,577015.0,0.0,1.0,21.93,22.26,21.88,22.23,577015.0
2016-09-13,21.99,22.12,21.62,21.96,530854.0,0.0,1.0,21.99,22.12,21.62,21.96,530854.0
2016-09-12,21.46,22.13,21.4098,22.0,320643.0,0.0,1.0,21.46,22.13,21.4098,22.0,320643.0
2016-09-09,22.21,22.35,21.49,21.65,420371.0,0.0,1.0,22.21,22.35,21.49,21.65,420371.0
2016-09-08,22.31,22.66,22.24,22.34,412985.0,0.0,1.0,22.31,22.66,22.24,22.34,412985.0
2016-09-07,22.08,22.46,22.02,22.37,559041.0,0.0,1.0,22.08,22.46,22.02,22.37,559041.0
2016-09-06,22.62,22.62,22.3,22.36,189743.0,0.0,1.0,22.62,22.62,22.3,22.36,189743.0
2016-09-02,22.25,22.48,22.12,22.48,282046.0,0.0,1.0,22.25,22.48,22.12,22.48,282046.0
2016-09-01,21.8,22.21,21.62,22.15,306576.0,0.0,1.0,21.8,22.21,21.62,22.15,306576.0
2016-08-31,22.25,22.25,21.72,21.95,553477.0,0.0,1.0,22.25,22.25,21.72,21.95,553477.0
2016-08-30,22.3,22.77,22.08,22.245,187075.0,0.0,1.0,22.3,22.77,22.08,22.245,187075.0
2016-08-29,22.33,22.42,22.1199,22.29,206116.0,0.0,1.0,22.33,22.42,22.1199,22.29,206116.0
2016-08-26,22.32,22.74,22.21,22.36,280702.0,0.0,1.0,22.32,22.74,22.21,22.36,280702.0
2016-08-25,22.28,22.57,22.1,22.44,189106.0,0.0,1.0,22.28,22.57,22.1,22.44,189106.0
2016-08-24,22.86,23.16,22.255,22.31,412162.0,0.0,1.0,22.86,23.16,22.255,22.31,412162.0
2016-08-23,22.26,23.03,22.18,22.92,526848.0,0.0,1.0,22.26,23.03,22.18,22.92,526848.0
2016-08-22,22.92,23.04,22.6,22.9,218213.0,0.0,1.0,22.92,23.04,22.6,22.9,218213.0
2016-08-19,22.94,23.32,22.5972,23.09,329648.0,0.0,1.0,22.94,23.32,22.5972,23.09,329648.0
2016-08-18,22.9,23.19,22.81,22.96,154771.0,0.0,1.0,22.9,23.19,22.81,22.96,154771.0
2016-08-17,22.78,22.95,22.45,22.93,309317.0,0.0,1.0,22.78,22.95,22.45,22.93,309317.0
2016-08-16,23.37,23.37,22.83,22.84,543688.0,0.0,1.0,23.37,23.37,22.83,22.84,543688.0
2016-08-15,23.33,23.51,23.13,23.38,280433.0,0.0,1.0,23.33,23.51,23.13,23.38,280433.0
2016-08-12,23.46,23.59,23.12,23.2,142768.0,0.0,1.0,23.46,23.59,23.12,23.2,142768.0
2016-08-11,23.48,23.62,23.24,23.53,308886.0,0.0,1.0,23.48,23.62,23.24,23.53,308886.0
2016-08-10,23.14,23.39,22.9,23.3,354034.0,0.0,1.0,23.14,23.39,22.9,23.3,354034.0
2016-08-09,23.09,23.28,22.94,23.2,318480.0,0.0,1.0,23.09,23.28,22.94,23.2,318480.0
2016-08-08,23.99,23.99,23.02,23.13,422985.0,0.0,1.0,23.99,23.99,23.02,23.13,422985.0
2016-08-05,24.24,24.3,23.8,24.02,537247.0,0.0,1.0,24.24,24.3,23.8,24.02,537247.0
2016-08-04,24.66,25.0,22.88,24.14,1915749.0,0.0,1.0,24.66,25.0,22.88,24.14,1915749.0
2016-08-03,22.83,23.3,22.44,23.22,676891.0,0.0,1.0,22.83,23.3,22.44,23.22,676891.0
2016-08-02,23.23,23.23,22.45,22.88,478263.0,0.0,1.0,23.23,23.23,22.45,22.88,478263.0
2016-08-01,22.9,23.575,22.8,23.2,568920.0,0.0,1.0,22.9,23.575,22.8,23.2,568920.0
2016-07-29,23.18,23.2,22.88,23.03,375234.0,0.0,1.0,23.18,23.2,22.88,23.03,375234.0
2016-07-28,23.01,23.25,22.93,23.18,244771.0,0.0,1.0,23.01,23.25,22.93,23.18,244771.0
2016-07-27,22.95,23.1099,22.78,22.96,218794.0,0.0,1.0,22.95,23.1099,22.78,22.96,218794.0
2016-07-26,22.65,23.045,22.65,22.84,279096.0,0.0,1.0,22.65,23.045,22.65,22.84,279096.0
2016-07-25,22.71,22.99,22.6385,22.75,274719.0,0.0,1.0,22.71,22.99,22.6385,22.75,274719.0
2016-07-22,22.15,22.76,22.15,22.71,567990.0,0.0,1.0,22.15,22.76,22.15,22.71,567990.0
2016-07-21,22.55,22.72,22.05,22.09,489801.0,0.0,1.0,22.55,22.72,22.05,22.09,489801.0
2016-07-20,22.3,22.49,22.02,22.48,393348.0,0.0,1.0,22.3,22.49,22.02,22.48,393348.0
2016-07-19,22.11,22.61,22.03,22.12,406456.0,0.0,1.0,22.11,22.61,22.03,22.12,406456.0
2016-07-18,22.15,22.36,22.02,22.08,287275.0,0.0,1.0,22.15,22.36,22.02,22.08,287275.0
2016-07-15,22.18,22.25,21.946,22.12,204468.0,0.0,1.0,22.18,22.25,21.946,22.12,204468.0
2016-07-14,22.19,22.31,21.96,22.06,331968.0,0.0,1.0,22.19,22.31,21.96,22.06,331968.0
2016-07-13,22.01,22.25,21.8,22.0,381182.0,0.0,1.0,22.01,22.25,21.8,22.0,381182.0
2016-07-12,21.9,22.05,21.61,21.91,301985.0,0.0,1.0,21.9,22.05,21.61,21.91,301985.0
2016-07-11,21.76,21.9522,21.47,21.75,364957.0,0.0,1.0,21.76,21.9522,21.47,21.75,364957.0
2016-07-08,20.65,21.91,20.59,21.64,834738.0,0.0,1.0,20.65,21.91,20.59,21.64,834738.0
2016-07-07,20.43,20.51,19.9,20.38,496027.0,0.0,1.0,20.43,20.51,19.9,20.38,496027.0
2016-07-06,19.2,19.59,19.18,19.5,240705.0,0.0,1.0,19.2,19.59,19.18,19.5,240705.0
2016-07-05,19.62,19.75,19.15,19.37,313191.0,0.0,1.0,19.62,19.75,19.15,19.37,313191.0
2016-07-01,19.63,19.82,19.48,19.67,591238.0,0.0,1.0,19.63,19.82,19.48,19.67,591238.0
2016-06-30,19.8,19.86,19.5,19.72,838942.0,0.0,1.0,19.8,19.86,19.5,19.72,838942.0
2016-06-29,19.64,19.885,19.39,19.69,477915.0,0.0,1.0,19.64,19.885,19.39,19.69,477915.0
2016-06-28,19.49,19.62,19.12,19.4,506263.0,0.0,1.0,19.49,19.62,19.12,19.4,506263.0
2016-06-27,19.83,19.88,18.54,19.21,776878.0,0.0,1.0,19.83,19.88,18.54,19.21,776878.0
2016-06-24,19.87,20.5,19.63,20.02,953057.0,0.0,1.0,19.87,20.5,19.63,20.02,953057.0
2016-06-23,20.54,20.85,20.235,20.85,265155.0,0.0,1.0,20.54,20.85,20.235,20.85,265155.0
2016-06-22,20.58,20.71,20.2,20.25,416706.0,0.0,1.0,20.58,20.71,20.2,20.25,416706.0
2016-06-21,20.7,20.83,20.375,20.56,300445.0,0.0,1.0,20.7,20.83,20.375,20.56,300445.0
2016-06-20,20.88,21.08,20.525,20.66,507590.0,0.0,1.0,20.88,21.08,20.525,20.66,507590.0
2016-06-17,20.86,20.96,20.5,20.58,719561.0,0.0,1.0,20.86,20.96,20.5,20.58,719561.0
2016-06-16,20.58,20.845,20.39,20.79,555646.0,0.0,1.0,20.58,20.845,20.39,20.79,555646.0
2016-06-15,20.81,21.06,20.77,20.82,315184.0,0.0,1.0,20.81,21.06,20.77,20.82,315184.0
2016-06-14,20.22,20.68,20.1,20.67,388685.0,0.0,1.0,20.22,20.68,20.1,20.67,388685.0
2016-06-13,20.34,20.94,20.32,20.35,346770.0,0.0,1.0,20.34,20.94,20.32,20.35,346770.0
2016-06-10,20.36,20.41,19.82,20.36,660846.0,0.0,1.0,20.36,20.41,19.82,20.36,660846.0
2016-06-09,20.75,21.0,20.46,20.58,557542.0,0.0,1.0,20.75,21.0,20.46,20.58,557542.0
2016-06-08,20.67,20.91,20.48,20.79,486492.0,0.0,1.0,20.67,20.91,20.48,20.79,486492.0
2016-06-07,20.19,20.81,20.07,20.68,423600.0,0.0,1.0,20.19,20.81,20.07,20.68,423600.0
2016-06-06,19.85,20.32,19.79,20.21,379994.0,0.0,1.0,19.85,20.32,19.79,20.21,379994.0
2016-06-03,20.02,20.15,19.55,19.85,486292.0,0.0,1.0,20.02,20.15,19.55,19.85,486292.0
2016-06-02,19.76,20.16,19.56,20.13,470063.0,0.0,1.0,19.76,20.16,19.56,20.13,470063.0
2016-06-01,19.82,20.0,19.52,19.82,732971.0,0.0,1.0,19.82,20.0,19.52,19.82,732971.0
2016-05-31,19.82,19.96,19.57,19.74,562267.0,0.0,1.0,19.82,19.96,19.57,19.74,562267.0
2016-05-27,19.56,19.93,19.3319,19.77,418703.0,0.0,1.0,19.56,19.93,19.3319,19.77,418703.0
2016-05-26,19.23,19.855,19.04,19.62,558609.0,0.0,1.0,19.23,19.855,19.04,19.62,558609.0
2016-05-25,18.7,19.31,18.6,19.18,874355.0,0.0,1.0,18.7,19.31,18.6,19.18,874355.0
2016-05-24,18.6,18.805,18.47,18.58,1699257.0,0.0,1.0,18.6,18.805,18.47,18.58,1699257.0
2016-05-23,18.33,18.8,18.11,18.52,882623.0,0.0,1.0,18.33,18.8,18.11,18.52,882623.0
2016-05-20,18.76,19.19,18.69,18.94,693378.0,0.0,1.0,18.76,19.19,18.69,18.94,693378.0
2016-05-19,19.0,19.31,18.5505,18.69,543457.0,0.0,1.0,19.0,19.31,18.5505,18.69,543457.0
2016-05-18,18.29,19.31,17.98,19.05,778744.0,0.0,1.0,18.29,19.31,17.98,19.05,778744.0
2016-05-17,18.57,18.82,18.26,18.31,405016.0,0.0,1.0,18.57,18.82,18.26,18.31,405016.0
2016-05-16,18.5,19.1,18.42,18.67,550226.0,0.0,1.0,18.5,19.1,18.42,18.67,550226.0
2016-05-13,18.43,18.5,18.2,18.45,624229.0,0.0,1.0,18.43,18.5,18.2,18.45,624229.0
2016-05-12,18.71,18.8,18.23,18.45,271582.0,0.0,1.0,18.71,18.8,18.23,18.45,271582.0
2016-05-11,18.62,18.87,18.54,18.55,233654.0,0.0,1.0,18.62,18.87,18.54,18.55,233654.0
2016-05-10,18.62,18.74,18.26,18.62,350584.0,0.0,1.0,18.62,18.74,18.26,18.62,350584.0
2016-05-09,18.23,19.1,18.05,18.61,442399.0,0.0,1.0,18.23,19.1,18.05,18.61,442399.0
2016-05-06,18.17,18.29,17.92,18.22,497516.0,0.0,1.0,18.17,18.29,17.92,18.22,497516.0
2016-05-05,18.39,18.46,18.05,18.33,356068.0,0.0,1.0,18.39,18.46,18.05,18.33,356068.0
2016-05-04,18.7,18.91,17.92,18.32,556598.0,0.0,1.0,18.7,18.91,17.92,18.32,556598.0
2016-05-03,19.28,19.49,18.77,18.78,457309.0,0.0,1.0,19.28,19.49,18.77,18.78,457309.0
2016-05-02,19.13,19.6,19.04,19.51,646690.0,0.0,1.0,19.13,19.6,19.04,19.51,646690.0
2016-04-29,19.85,20.04,18.87,19.08,666400.0,0.0,1.0,19.85,20.04,18.87,19.08,666400.0
2016-04-28,20.0,20.74,19.62,19.86,1480477.0,0.0,1.0,20.0,20.74,19.62,19.86,1480477.0
2016-04-27,18.68,19.18,18.33,18.83,1168003.0,0.0,1.0,18.68,19.18,18.33,18.83,1168003.0
2016-04-26,18.21,18.58,18.13,18.54,476537.0,0.0,1.0,18.21,18.58,18.13,18.54,476537.0
2016-04-25,18.72,19.06,18.14,18.17,488616.0,0.0,1.0,18.72,19.06,18.14,18.17,488616.0
2016-04-22,18.4,18.83,18.275,18.83,385054.0,0.0,1.0,18.4,18.83,18.275,18.83,385054.0
2016-04-21,18.09,18.63,17.825,18.42,367880.0,0.0,1.0,18.09,18.63,17.825,18.42,367880.0
2016-04-20,18.1,18.2499,17.73,17.88,360179.0,0.0,1.0,18.1,18.2499,17.73,17.88,360179.0
2016-04-19,18.25,18.349,17.65,18.05,416255.0,0.0,1.0,18.25,18.349,17.65,18.05,416255.0
2016-04-18,17.46,18.43,17.46,18.2,776087.0,0.0,1.0,17.46,18.43,17.46,18.2,776087.0
2016-04-15,17.84,18.07,17.43,17.55,517107.0,0.0,1.0,17.84,18.07,17.43,17.55,517107.0
2016-04-14,16.91,18.47,16.91,17.81,1408835.0,0.0,1.0,16.91,18.47,16.91,17.81,1408835.0
2016-04-13,16.38,16.91,16.11,16.91,441204.0,0.0,1.0,16.38,16.91,16.11,16.91,441204.0
2016-04-12,16.08,16.355,15.93,16.22,341877.0,0.0,1.0,16.08,16.355,15.93,16.22,341877.0
2016-04-11,16.9,16.9,16.09,16.09,341139.0,0.0,1.0,16.9,16.9,16.09,16.09,341139.0
2016-04-08,16.9,16.9,16.45,16.83,522316.0,0.0,1.0,16.9,16.9,16.45,16.83,522316.0
2016-04-07,16.7,16.88,16.55,16.71,534719.0,0.0,1.0,16.7,16.88,16.55,16.71,534719.0
2016-04-06,16.72,16.95,16.7,16.85,446082.0,0.0,1.0,16.72,16.95,16.7,16.85,446082.0
2016-04-05,16.5,16.98,16.4,16.7,941467.0,0.0,1.0,16.5,16.98,16.4,16.7,941467.0
2016-04-04,15.94,16.81,15.85,16.68,974715.0,0.0,1.0,15.94,16.81,15.85,16.68,974715.0
2016-04-01,15.62,15.97,15.18,15.94,531655.0,0.0,1.0,15.62,15.97,15.18,15.94,531655.0
2016-03-31,15.25,16.0,15.13,15.75,1273280.0,0.0,1.0,15.25,16.0,15.13,15.75,1273280.0
2016-03-30,15.2,15.38,15.14,15.22,523870.0,0.0,1.0,15.2,15.38,15.14,15.22,523870.0
2016-03-29,14.35,15.12,14.13,15.11,817845.0,0.0,1.0,14.35,15.12,14.13,15.11,817845.0
2016-03-28,14.51,14.639,13.88,14.38,662782.0,0.0,1.0,14.51,14.639,13.88,14.38,662782.0
2016-03-24,14.93,14.98,14.49,14.55,890014.0,0.0,1.0,14.93,14.98,14.49,14.55,890014.0
2016-03-23,15.02,15.3,14.86,15.0,855330.0,0.0,1.0,15.02,15.3,14.86,15.0,855330.0
2016-03-22,15.0,15.27,14.96,15.04,803552.0,0.0,1.0,15.0,15.27,14.96,15.04,803552.0
2016-03-21,15.85,15.85,15.05,15.08,657000.0,0.0,1.0,15.85,15.85,15.05,15.08,657000.0
2016-03-18,15.65,15.98,15.48,15.89,915720.0,0.0,1.0,15.65,15.98,15.48,15.89,915720.0
2016-03-17,15.19,15.54,14.91,15.51,649326.0,0.0,1.0,15.19,15.54,14.91,15.51,649326.0
2016-03-16,15.32,15.34,14.98,15.19,1179991.0,0.0,1.0,15.32,15.34,14.98,15.19,1179991.0
2016-03-15,15.7,15.94,14.96,15.44,1362607.0,0.0,1.0,15.7,15.94,14.96,15.44,1362607.0
2016-03-14,15.81,15.81,14.83,15.7,1842552.0,0.0,1.0,15.81,15.81,14.83,15.7,1842552.0
2016-03-11,15.36,16.075,15.3165,15.92,1624794.0,0.0,1.0,15.36,16.075,15.3165,15.92,1624794.0
2016-03-09,18.38,18.4499,16.0,16.14,2406790.0,0.0,1.0,18.38,18.4499,16.0,16.14,2406790.0
2016-03-08,19.02,19.17,18.15,18.25,345840.0,0.0,1.0,19.02,19.17,18.15,18.25,345840.0
2016-03-07,19.0,19.265,18.61,19.13,467054.0,0.0,1.0,19.0,19.265,18.61,19.13,467054.0
2016-03-04,19.13,19.36,18.63,19.07,436276.0,0.0,1.0,19.13,19.36,18.63,19.07,436276.0
2016-03-03,18.99,19.11,18.65,19.05,247756.0,0.0,1.0,18.99,19.11,18.65,19.05,247756.0
2016-03-02,18.67,19.12,18.645,19.05,413742.0,0.0,1.0,18.67,19.12,18.645,19.05,413742.0
2016-03-01,18.72,19.05,18.56,18.84,481733.0,0.0,1.0,18.72,19.05,18.56,18.84,481733.0
2016-02-29,18.33,18.87,18.33,18.5,408797.0,0.0,1.0,18.33,18.87,18.33,18.5,408797.0
2016-02-26,18.0,18.36,17.7,18.33,553403.0,0.0,1.0,18.0,18.36,17.7,18.33,553403.0
2016-02-25,18.04,18.21,17.35,17.99,335118.0,0.0,1.0,18.04,18.21,17.35,17.99,335118.0
2016-02-24,17.34,18.05,17.15,17.9,435938.0,0.0,1.0,17.34,18.05,17.15,17.9,435938.0
2016-02-23,18.5,18.62,17.54,17.56,838926.0,0.0,1.0,18.5,18.62,17.54,17.56,838926.0
2016-02-22,18.59,18.89,18.49,18.74,461539.0,0.0,1.0,18.59,18.89,18.49,18.74,461539.0
2016-02-19,17.99,18.32,17.6,18.31,402228.0,0.0,1.0,17.99,18.32,17.6,18.31,402228.0
2016-02-18,18.21,18.35,17.85,18.05,585825.0,0.0,1.0,18.21,18.35,17.85,18.05,585825.0
2016-02-17,17.51,18.35,17.51,18.07,827744.0,0.0,1.0,17.51,18.35,17.51,18.07,827744.0
2016-02-16,16.61,17.51,16.51,17.44,663273.0,0.0,1.0,16.61,17.51,16.51,17.44,663273.0
2016-02-12,16.93,16.99,16.21,16.31,565595.0,0.0,1.0,16.93,16.99,16.21,16.31,565595.0
2016-02-11,16.36,16.9,16.15,16.56,985500.0,0.0,1.0,16.36,16.9,16.15,16.56,985500.0
2016-02-10,16.5,17.27,16.35,16.72,1122569.0,0.0,1.0,16.5,17.27,16.35,16.72,1122569.0
2016-02-09,16.53,17.36,15.35,15.98,1770756.0,0.0,1.0,16.53,17.36,15.35,15.98,1770756.0
2016-02-08,18.21,18.21,16.56,17.26,1707835.0,0.0,1.0,18.21,18.21,16.56,17.26,1707835.0
2016-02-05,20.7,21.05,19.06,19.15,2859913.0,0.0,1.0,20.7,21.05,19.06,19.15,2859913.0
2016-02-04,21.27,21.63,20.74,21.34,988157.0,0.0,1.0,21.27,21.63,20.74,21.34,988157.0
2016-02-03,21.92,21.99,21.09,21.33,863723.0,0.0,1.0,21.92,21.99,21.09,21.33,863723.0
2016-02-02,22.11,22.12,21.49,21.71,536786.0,0.0,1.0,22.11,22.12,21.49,21.71,536786.0
2016-02-01,21.6,22.6,21.325,22.37,688006.0,0.0,1.0,21.6,22.6,21.325,22.37,688006.0
2016-01-29,21.25,21.89,20.93,21.82,657655.0,0.0,1.0,21.25,21.89,20.93,21.82,657655.0
2016-01-28,21.94,22.76,20.86,21.01,749225.0,0.0,1.0,21.94,22.76,20.86,21.01,749225.0
2016-01-27,22.58,22.66,21.56,21.76,469104.0,0.0,1.0,22.58,22.66,21.56,21.76,469104.0
2016-01-26,22.46,23.035,22.1,22.78,456948.0,0.0,1.0,22.46,23.035,22.1,22.78,456948.0
2016-01-25,23.16,23.31,22.07,22.32,423386.0,0.0,1.0,23.16,23.31,22.07,22.32,423386.0
2016-01-22,22.22,23.5,22.19,23.36,1136544.0,0.0,1.0,22.22,23.5,22.19,23.36,1136544.0
