Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,15.21,15.27,15.01,15.03,1242608.0,0.0,1.0,15.21,15.27,15.01,15.03,1242608.0
2016-11-16,15.04,15.2,15.02,15.19,1046721.0,0.0,1.0,15.04,15.2,15.02,15.19,1046721.0
2016-11-15,15.28,15.445,15.01,15.11,1892889.0,0.0,1.0,15.28,15.445,15.01,15.11,1892889.0
2016-11-14,14.96,15.23,14.94,15.16,2276158.0,0.0,1.0,14.96,15.23,14.94,15.16,2276158.0
2016-11-11,14.94,15.225,14.93,15.03,1760266.0,0.0,1.0,14.94,15.225,14.93,15.03,1760266.0
2016-11-10,14.96,15.15,14.59,14.96,1903230.0,0.0,1.0,14.96,15.15,14.59,14.96,1903230.0
2016-11-09,14.64,15.07,14.42,15.02,2083969.0,0.0,1.0,14.64,15.07,14.42,15.02,2083969.0
2016-11-08,14.98,15.05,14.83,14.99,1199301.0,0.0,1.0,14.98,15.05,14.83,14.99,1199301.0
2016-11-07,14.96,15.04,14.89,14.97,1390176.0,0.0,1.0,14.96,15.04,14.89,14.97,1390176.0
2016-11-04,14.78,14.85,14.72,14.73,1682329.0,0.0,1.0,14.78,14.85,14.72,14.73,1682329.0
2016-11-03,14.88,14.95,14.69,14.73,1154058.0,0.0,1.0,14.88,14.95,14.69,14.73,1154058.0
2016-11-02,15.34,15.5,14.87,14.88,1443320.0,0.0,1.0,15.34,15.5,14.87,14.88,1443320.0
2016-11-01,15.54,15.54,15.07,15.08,1365126.0,0.0,1.0,15.54,15.54,15.07,15.08,1365126.0
2016-10-31,15.4,15.6,15.29,15.57,1190940.0,0.0,1.0,15.4,15.6,15.29,15.57,1190940.0
2016-10-28,15.22,15.37,15.21,15.32,1433903.0,0.0,1.0,15.22,15.37,15.21,15.32,1433903.0
2016-10-27,15.5,15.5,15.18,15.22,1650555.0,0.0,1.0,15.5,15.5,15.18,15.22,1650555.0
2016-10-26,15.63,15.69,15.42,15.51,1387575.0,0.0,1.0,15.63,15.69,15.42,15.51,1387575.0
2016-10-25,15.81,15.89,15.64,15.73,2033456.0,0.0,1.0,15.81,15.89,15.64,15.73,2033456.0
2016-10-24,15.88,15.96,15.76,15.85,1433355.0,0.0,1.0,15.88,15.96,15.76,15.85,1433355.0
2016-10-21,15.73,15.81,15.71,15.78,1045616.0,0.0,1.0,15.73,15.81,15.71,15.78,1045616.0
2016-10-20,15.87,15.97,15.735,15.81,1258497.0,0.0,1.0,15.87,15.97,15.735,15.81,1258497.0
2016-10-19,15.91,15.95,15.84,15.92,2139174.0,0.0,1.0,15.91,15.95,15.84,15.92,2139174.0
2016-10-18,16.07,16.07,15.925,15.97,3247701.0,0.0,1.0,16.07,16.07,15.925,15.97,3247701.0
2016-10-17,15.99,16.1,15.89,15.9,1188994.0,0.0,1.0,15.99,16.1,15.89,15.9,1188994.0
2016-10-14,16.09,16.17,15.99,15.99,1231710.0,0.0,1.0,16.09,16.17,15.99,15.99,1231710.0
2016-10-13,15.82,16.2,15.82,16.1,3633852.0,0.0,1.0,15.82,16.2,15.82,16.1,3633852.0
2016-10-12,15.9,16.03,15.86,15.93,1878285.0,0.0,1.0,15.9,16.03,15.86,15.93,1878285.0
2016-10-11,15.97,16.075,15.76,15.86,1012241.0,0.0,1.0,15.97,16.075,15.76,15.86,1012241.0
2016-10-10,15.98,16.15,15.95,16.1,738702.0,0.0,1.0,15.98,16.15,15.95,16.1,738702.0
2016-10-07,16.11,16.33,15.85,15.99,1452423.0,0.0,1.0,16.11,16.33,15.85,15.99,1452423.0
2016-10-06,16.0,16.14,15.87,16.02,1802810.0,0.0,1.0,16.0,16.14,15.87,16.02,1802810.0
2016-10-05,16.47,16.545,16.07,16.11,1751828.0,0.0,1.0,16.47,16.545,16.07,16.11,1751828.0
2016-10-04,16.44,16.515,16.24,16.39,2676205.0,0.0,1.0,16.44,16.515,16.24,16.39,2676205.0
2016-10-03,16.97,16.97,16.44,16.46,2017561.0,0.0,1.0,16.97,16.97,16.44,16.46,2017561.0
2016-09-30,16.88,16.96,16.71,16.8,2352698.0,0.0,1.0,16.88,16.96,16.71,16.8,2352698.0
2016-09-29,16.84,16.92,16.68,16.8,917608.0,0.0,1.0,16.84,16.92,16.68,16.8,917608.0
2016-09-28,16.91,16.97,16.82,16.95,558080.0,0.0,1.0,16.91,16.97,16.82,16.95,558080.0
2016-09-27,17.15,17.22,16.81,16.85,1422857.0,0.0,1.0,17.15,17.22,16.81,16.85,1422857.0
2016-09-26,17.17,17.31,17.13,17.14,1764760.0,0.0,1.0,17.17,17.31,17.13,17.14,1764760.0
2016-09-23,17.08,17.35,16.98,17.28,2384007.0,0.0,1.0,17.08,17.35,16.98,17.28,2384007.0
2016-09-22,16.74,17.14,16.73,17.11,2158342.0,0.166,1.0,16.74,17.14,16.73,17.11,2158342.0
2016-09-21,16.56,16.78,16.32,16.77,1237970.0,0.0,1.0,16.400879833295,16.618765918037,16.163185922667,16.608862005094,1237970.0
2016-09-20,16.73,16.76,16.52,16.58,1087831.0,0.0,1.0,16.569246353323,16.598958092151,16.361264181523,16.42068765918,1087831.0
2016-09-19,16.49,16.63,16.43,16.62,880041.0,0.0,1.0,16.331552442695,16.470207223894,16.272128965038,16.460303310952,880041.0
2016-09-16,16.38,16.53,16.2901,16.49,1398678.0,0.0,1.0,16.222609400324,16.371168094466,16.133573222968,16.331552442695,1398678.0
2016-09-15,16.35,16.52,16.33,16.41,1059876.0,0.0,1.0,16.192897661496,16.361264181523,16.17308983561,16.252321139153,1059876.0
2016-09-14,16.38,16.49,16.32,16.42,668810.0,0.0,1.0,16.222609400324,16.331552442695,16.163185922667,16.262225052095,668810.0
2016-09-13,16.58,16.735,16.35,16.35,1120272.0,0.0,1.0,16.42068765918,16.574198309794,16.192897661496,16.192897661496,1120272.0
2016-09-12,16.54,16.82,16.54,16.7,1440691.0,0.0,1.0,16.381072007409,16.658381569808,16.381072007409,16.539534614494,1440691.0
2016-09-09,17.07,17.11,16.51,16.63,1107955.0,0.0,1.0,16.905979393378,16.945595045149,16.351360268581,16.470207223894,1107955.0
2016-09-08,17.43,17.46,17.23,17.28,870919.0,0.0,1.0,17.262520259319,17.292231998148,17.064442000463,17.113961565177,870919.0
2016-09-07,17.29,17.57,17.19,17.56,1619103.0,0.0,1.0,17.12386547812,17.401175040519,17.024826348692,17.391271127576,1619103.0
2016-09-06,17.15,17.27,17.07,17.27,811946.0,0.0,1.0,16.985210696921,17.104057652234,16.905979393378,17.104057652234,811946.0
2016-09-02,17.07,17.37,17.045,17.15,610982.0,0.0,1.0,16.905979393378,17.203096781662,16.881219611021,16.985210696921,610982.0
2016-09-01,16.99,17.08,16.89,16.99,714920.0,0.0,1.0,16.826748089836,16.915883306321,16.727708960408,16.826748089836,714920.0
2016-08-31,16.91,17.01,16.8,17.0,1464730.0,0.0,1.0,16.747516786293,16.846555915721,16.638573743922,16.836652002778,1464730.0
2016-08-30,17.0,17.0,16.715,16.87,638431.0,0.0,1.0,16.836652002778,16.836652002778,16.554390483908,16.707901134522,638431.0
2016-08-29,16.87,17.02,16.84,16.95,595204.0,0.0,1.0,16.707901134522,16.856459828664,16.678189395693,16.787132438064,595204.0
