Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-10-24,8.95,9.05,8.95,9.0,753406.0,0.0,1.0,8.95,9.05,8.95,9.0,753406.0
2016-10-21,8.95,9.0,8.95,9.0,1669870.0,0.0,1.0,8.95,9.0,8.95,9.0,1669870.0
2016-10-20,8.95,9.0,8.95,9.0,960942.0,0.0,1.0,8.95,9.0,8.95,9.0,960942.0
2016-10-19,8.95,9.0,8.95,8.975,736548.0,0.0,1.0,8.95,9.0,8.95,8.975,736548.0
2016-10-18,8.95,9.0,8.95,9.0,449967.0,0.0,1.0,8.95,9.0,8.95,9.0,449967.0
2016-10-17,9.0,9.0,8.95,9.0,629531.0,0.0,1.0,9.0,9.0,8.95,9.0,629531.0
2016-10-14,8.99,9.0,8.98,8.98,2473988.0,0.0,1.0,8.99,9.0,8.98,8.98,2473988.0
2016-10-13,8.98,8.99,8.98,8.98,869591.0,0.0,1.0,8.98,8.99,8.98,8.98,869591.0
2016-10-12,8.99,8.99,8.98,8.98,830814.0,0.0,1.0,8.99,8.99,8.98,8.98,830814.0
2016-10-11,8.99,9.0,8.98,8.98,683323.0,0.0,1.0,8.99,9.0,8.98,8.98,683323.0
2016-10-10,8.98,9.0,8.98,9.0,594110.0,0.0,1.0,8.98,9.0,8.98,9.0,594110.0
2016-10-07,8.99,8.99,8.97,8.99,849499.0,0.0,1.0,8.99,8.99,8.97,8.99,849499.0
2016-10-06,8.99,8.99,8.97,8.98,1092766.0,0.0,1.0,8.99,8.99,8.97,8.98,1092766.0
2016-10-05,8.99,8.99,8.97,8.99,865086.0,0.0,1.0,8.99,8.99,8.97,8.99,865086.0
2016-10-04,8.99,8.99,8.98,8.98,902828.0,0.0,1.0,8.99,8.99,8.98,8.98,902828.0
2016-10-03,8.97,8.99,8.96,8.99,1107895.0,0.0,1.0,8.97,8.99,8.96,8.99,1107895.0
2016-09-30,8.96,8.98,8.96,8.96,3009726.0,0.0,1.0,8.96,8.98,8.96,8.96,3009726.0
2016-09-29,8.97,8.98,8.96,8.97,1202408.0,0.0,1.0,8.97,8.98,8.96,8.97,1202408.0
2016-09-28,8.95,8.97,8.95,8.96,7406730.0,0.0,1.0,8.95,8.97,8.95,8.96,7406730.0
2016-09-27,8.96,8.98,8.94,8.95,9593056.0,0.0,1.0,8.96,8.98,8.94,8.95,9593056.0
2016-09-26,8.98,8.99,8.96,8.965,3195161.0,0.0,1.0,8.98,8.99,8.96,8.965,3195161.0
2016-09-23,8.96,9.0,8.96,9.0,1799924.0,0.0,1.0,8.96,9.0,8.96,9.0,1799924.0
2016-09-22,8.98,9.01,8.96,8.965,1218587.0,0.0,1.0,8.98,9.01,8.96,8.965,1218587.0
2016-09-21,8.96,8.99,8.96,8.99,2229372.0,0.0,1.0,8.96,8.99,8.96,8.99,2229372.0
2016-09-20,8.96,8.98,8.96,8.97,1579591.0,0.0,1.0,8.96,8.98,8.96,8.97,1579591.0
2016-09-19,8.97,8.98,8.96,8.96,2235369.0,0.0,1.0,8.97,8.98,8.96,8.96,2235369.0
2016-09-16,8.97,8.99,8.96,8.99,2980606.0,0.0,1.0,8.97,8.99,8.96,8.99,2980606.0
2016-09-15,8.95,8.98,8.95,8.98,2703135.0,0.0,1.0,8.95,8.98,8.95,8.98,2703135.0
2016-09-14,8.96,8.97,8.95,8.96,5276652.0,0.0,1.0,8.96,8.97,8.95,8.96,5276652.0
2016-09-13,8.95,8.98,8.95,8.96,9048638.0,0.0,1.0,8.95,8.98,8.95,8.96,9048638.0
2016-09-12,8.95,8.98,8.95,8.98,47728343.0,0.0,1.0,8.95,8.98,8.95,8.98,47728343.0
2016-09-09,7.5,7.62,7.36,7.45,706932.0,0.0,1.0,7.5,7.62,7.36,7.45,706932.0
2016-09-08,7.55,7.76,7.45,7.62,551409.0,0.0,1.0,7.55,7.76,7.45,7.62,551409.0
2016-09-07,7.5,7.56,7.33,7.53,752813.0,0.0,1.0,7.5,7.56,7.33,7.53,752813.0
2016-09-06,7.26,7.55,7.17,7.31,800112.0,0.0,1.0,7.26,7.55,7.17,7.31,800112.0
2016-09-02,7.29,7.32,7.075,7.28,554093.0,0.0,1.0,7.29,7.32,7.075,7.28,554093.0
2016-09-01,7.44,7.56,7.168,7.24,559892.0,0.0,1.0,7.44,7.56,7.168,7.24,559892.0
