Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,10.24,10.24,10.0,10.11,253618.0,0.0,1.0,10.24,10.24,10.0,10.11,253618.0
2016-11-16,10.05,10.19,9.93,10.14,197607.0,0.0,1.0,10.05,10.19,9.93,10.14,197607.0
2016-11-15,10.05,10.14,9.745,10.05,122536.0,0.0,1.0,10.05,10.14,9.745,10.05,122536.0
2016-11-14,9.9,10.34,9.86,10.09,369328.0,0.0,1.0,9.9,10.34,9.86,10.09,369328.0
2016-11-11,8.83,9.77,8.74,9.7,320201.0,0.0,1.0,8.83,9.77,8.74,9.7,320201.0
2016-11-10,8.9,9.31,8.78,9.03,339984.0,0.0,1.0,8.9,9.31,8.78,9.03,339984.0
2016-11-09,8.31,8.78,8.16,8.68,238270.0,0.0,1.0,8.31,8.78,8.16,8.68,238270.0
2016-11-08,8.08,8.43,7.88,8.32,157048.0,0.0,1.0,8.08,8.43,7.88,8.32,157048.0
2016-11-07,7.75,8.2,7.75,8.1,341234.0,0.0,1.0,7.75,8.2,7.75,8.1,341234.0
2016-11-04,7.54,7.65,7.42,7.53,321928.0,0.0,1.0,7.54,7.65,7.42,7.53,321928.0
2016-11-03,7.24,7.72,6.99,7.5,404041.0,0.0,1.0,7.24,7.72,6.99,7.5,404041.0
2016-11-02,7.45,7.71,7.39,7.54,194746.0,0.0,1.0,7.45,7.71,7.39,7.54,194746.0
2016-11-01,7.66,7.66,7.47,7.52,194981.0,0.0,1.0,7.66,7.66,7.47,7.52,194981.0
2016-10-31,7.54,7.65,7.5,7.6,212461.0,0.0,1.0,7.54,7.65,7.5,7.6,212461.0
2016-10-28,7.49,7.6014,7.41,7.51,317922.0,0.0,1.0,7.49,7.6014,7.41,7.51,317922.0
2016-10-27,7.64,7.78,7.52,7.57,195456.0,0.0,1.0,7.64,7.78,7.52,7.57,195456.0
2016-10-26,7.47,7.74,7.45,7.57,163063.0,0.0,1.0,7.47,7.74,7.45,7.57,163063.0
2016-10-25,7.7,7.82,7.49,7.57,156233.0,0.0,1.0,7.7,7.82,7.49,7.57,156233.0
2016-10-24,7.78,7.89,7.58,7.75,207575.0,0.0,1.0,7.78,7.89,7.58,7.75,207575.0
2016-10-21,7.66,7.73,7.49,7.68,135813.0,0.0,1.0,7.66,7.73,7.49,7.68,135813.0
2016-10-20,7.67,7.87,7.66,7.75,106901.0,0.0,1.0,7.67,7.87,7.66,7.75,106901.0
2016-10-19,7.62,7.83,7.62,7.72,143649.0,0.0,1.0,7.62,7.83,7.62,7.72,143649.0
2016-10-18,7.84,7.84,7.57,7.58,156174.0,0.0,1.0,7.84,7.84,7.57,7.58,156174.0
2016-10-17,7.62,7.8,7.57,7.65,179339.0,0.0,1.0,7.62,7.8,7.57,7.65,179339.0
2016-10-14,7.71,7.95,7.5986,7.65,155172.0,0.0,1.0,7.71,7.95,7.5986,7.65,155172.0
2016-10-13,7.64,7.96,7.51,7.65,177859.0,0.0,1.0,7.64,7.96,7.51,7.65,177859.0
2016-10-12,7.66,7.85,7.58,7.75,270892.0,0.0,1.0,7.66,7.85,7.58,7.75,270892.0
2016-10-11,7.83,7.87,7.5369,7.65,96004.0,0.0,1.0,7.83,7.87,7.5369,7.65,96004.0
2016-10-10,7.69,7.92,7.69,7.87,130216.0,0.0,1.0,7.69,7.92,7.69,7.87,130216.0
2016-10-07,7.87,7.87,7.54,7.61,181636.0,0.0,1.0,7.87,7.87,7.54,7.61,181636.0
2016-10-06,7.9,8.06,7.81,7.84,160787.0,0.0,1.0,7.9,8.06,7.81,7.84,160787.0
