Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-07-05,18.26,18.27,18.24,18.27,1320611.0,0.0,1.0,18.26,18.27,18.24,18.27,1320611.0
2016-07-01,18.27,18.31,18.25,18.28,236816.0,0.0,1.0,18.27,18.31,18.25,18.28,236816.0
2016-06-30,18.25,18.28,18.23,18.25,715805.0,0.0,1.0,18.25,18.28,18.23,18.25,715805.0
2016-06-29,18.26,18.26,18.24,18.25,179009.0,0.0,1.0,18.26,18.26,18.24,18.25,179009.0
2016-06-28,18.24,18.26,18.23,18.24,695717.0,0.0,1.0,18.24,18.26,18.23,18.24,695717.0
2016-06-27,18.22,18.26,18.22,18.25,248334.0,0.0,1.0,18.22,18.26,18.22,18.25,248334.0
2016-06-24,18.24,18.35,18.21,18.24,803133.0,0.0,1.0,18.24,18.35,18.21,18.24,803133.0
2016-06-23,18.33,18.35,18.24,18.25,429985.0,0.0,1.0,18.33,18.35,18.24,18.25,429985.0
2016-06-22,18.28,18.31,18.25,18.29,163917.0,0.0,1.0,18.28,18.31,18.25,18.29,163917.0
2016-06-21,18.27,18.3525,18.26,18.27,94449.0,0.0,1.0,18.27,18.3525,18.26,18.27,94449.0
2016-06-20,18.36,18.48,18.25,18.25,152177.0,0.0,1.0,18.36,18.48,18.25,18.25,152177.0
2016-06-17,18.47,18.47,18.29,18.36,266559.0,0.0,1.0,18.47,18.47,18.29,18.36,266559.0
2016-06-16,18.44,18.48,18.33,18.44,497017.0,0.0,1.0,18.44,18.48,18.33,18.44,497017.0
2016-06-15,18.52,18.6,18.46,18.46,123320.0,0.0,1.0,18.52,18.6,18.46,18.46,123320.0
2016-06-14,18.6,18.62,18.3925,18.55,84339.0,0.0,1.0,18.6,18.62,18.3925,18.55,84339.0
2016-06-13,18.39,18.61,18.39,18.61,237791.0,0.0,1.0,18.39,18.61,18.39,18.61,237791.0
2016-06-10,18.34,18.41,18.33,18.38,144952.0,0.0,1.0,18.34,18.41,18.33,18.38,144952.0
2016-06-09,18.34,18.4,18.32,18.38,215512.0,0.0,1.0,18.34,18.4,18.32,18.38,215512.0
2016-06-08,18.27,18.37,18.25,18.36,1617011.0,0.0,1.0,18.27,18.37,18.25,18.36,1617011.0
2016-06-07,18.34,18.34,18.26,18.27,84566.0,0.0,1.0,18.34,18.34,18.26,18.27,84566.0
2016-06-06,18.32,18.37,18.28,18.29,116570.0,0.0,1.0,18.32,18.37,18.28,18.29,116570.0
2016-06-03,18.31,18.37,18.29,18.35,646790.0,0.0,1.0,18.31,18.37,18.29,18.35,646790.0
2016-06-02,18.3,18.33,18.27,18.3,226516.0,0.0,1.0,18.3,18.33,18.27,18.3,226516.0
2016-06-01,18.25,18.32,18.25,18.28,129678.0,0.0,1.0,18.25,18.32,18.25,18.28,129678.0
2016-05-31,18.25,18.33,18.22,18.25,174564.0,0.0,1.0,18.25,18.33,18.22,18.25,174564.0
2016-05-27,18.24,18.29,18.23,18.26,231634.0,0.0,1.0,18.24,18.29,18.23,18.26,231634.0
2016-05-26,18.22,18.265,18.205,18.24,528289.0,0.0,1.0,18.22,18.265,18.205,18.24,528289.0
2016-05-25,18.26,18.28,18.18,18.21,545600.0,0.0,1.0,18.26,18.28,18.18,18.21,545600.0
2016-05-24,18.32,18.32,18.22,18.25,176113.0,0.0,1.0,18.32,18.32,18.22,18.25,176113.0
2016-05-23,18.26,18.29,18.19,18.2,147746.0,0.0,1.0,18.26,18.29,18.19,18.2,147746.0
2016-05-20,18.3,18.3,18.21,18.26,222738.0,0.0,1.0,18.3,18.3,18.21,18.26,222738.0
2016-05-19,18.22,18.26,18.2,18.22,291730.0,0.0,1.0,18.22,18.26,18.2,18.22,291730.0
2016-05-18,18.21,18.26,18.19,18.24,298697.0,0.0,1.0,18.21,18.26,18.19,18.24,298697.0
2016-05-17,18.24,18.255,18.2,18.2,571344.0,0.0,1.0,18.24,18.255,18.2,18.2,571344.0
2016-05-16,18.27,18.295,18.22,18.24,632800.0,0.0,1.0,18.27,18.295,18.22,18.24,632800.0
2016-05-13,18.27,18.39,18.24,18.27,354146.0,0.0,1.0,18.27,18.39,18.24,18.27,354146.0
2016-05-12,18.27,18.34,18.25,18.31,868569.0,0.0,1.0,18.27,18.34,18.25,18.31,868569.0
2016-05-11,18.34,18.34,18.24,18.27,630088.0,0.0,1.0,18.34,18.34,18.24,18.27,630088.0
2016-05-10,18.42,18.43,18.31,18.34,70951.0,0.0,1.0,18.42,18.43,18.31,18.34,70951.0
2016-05-09,18.32,18.47,18.31,18.37,77171.0,0.0,1.0,18.32,18.47,18.31,18.37,77171.0
2016-05-06,18.31,18.41,18.3,18.31,91796.0,0.0,1.0,18.31,18.41,18.3,18.31,91796.0
2016-05-05,18.38,18.44,18.29,18.29,80917.0,0.0,1.0,18.38,18.44,18.29,18.29,80917.0
2016-05-04,18.31,18.47,18.3,18.43,111074.0,0.0,1.0,18.31,18.47,18.3,18.43,111074.0
2016-05-03,18.4,18.4,18.27,18.31,128136.0,0.0,1.0,18.4,18.4,18.27,18.31,128136.0
2016-05-02,18.51,18.54,18.35,18.44,96190.0,0.0,1.0,18.51,18.54,18.35,18.44,96190.0
2016-04-29,18.52,18.61,18.46,18.47,728059.0,0.0,1.0,18.52,18.61,18.46,18.47,728059.0
2016-04-28,18.5,18.68,18.5,18.58,211166.0,0.0,1.0,18.5,18.68,18.5,18.58,211166.0
2016-04-27,18.43,18.58,18.425,18.51,204695.0,0.0,1.0,18.43,18.58,18.425,18.51,204695.0
2016-04-26,18.38,18.49,18.34,18.45,415597.0,0.0,1.0,18.38,18.49,18.34,18.45,415597.0
2016-04-25,18.35,18.4,18.325,18.36,473667.0,0.0,1.0,18.35,18.4,18.325,18.36,473667.0
2016-04-22,18.32,18.38,18.3,18.36,320100.0,0.0,1.0,18.32,18.38,18.3,18.36,320100.0
2016-04-21,18.26,18.33,18.26,18.31,1016533.0,0.0,1.0,18.26,18.33,18.26,18.31,1016533.0
2016-04-20,18.3,18.32,18.26,18.26,95237.0,0.0,1.0,18.3,18.32,18.26,18.26,95237.0
2016-04-19,18.33,18.3301,18.29,18.33,76112.0,0.0,1.0,18.33,18.3301,18.29,18.33,76112.0
2016-04-18,18.3,18.335,18.28,18.32,90020.0,0.0,1.0,18.3,18.335,18.28,18.32,90020.0
2016-04-15,18.27,18.335,18.27,18.32,143948.0,0.0,1.0,18.27,18.335,18.27,18.32,143948.0
2016-04-14,18.33,18.34,18.29,18.29,141076.0,0.0,1.0,18.33,18.34,18.29,18.29,141076.0
2016-04-13,18.38,18.38,18.26,18.32,312278.0,0.0,1.0,18.38,18.38,18.26,18.32,312278.0
2016-04-12,18.28,18.32,18.24,18.3,522532.0,0.0,1.0,18.28,18.32,18.24,18.3,522532.0
2016-04-11,18.33,18.35,18.25,18.25,150064.0,0.0,1.0,18.33,18.35,18.25,18.25,150064.0
2016-04-08,18.3,18.35,18.27,18.31,95210.0,0.0,1.0,18.3,18.35,18.27,18.31,95210.0
2016-04-07,18.26,18.295,18.25,18.29,122578.0,0.0,1.0,18.26,18.295,18.25,18.29,122578.0
2016-04-06,18.29,18.32,18.25,18.3,129005.0,0.0,1.0,18.29,18.32,18.25,18.3,129005.0
2016-04-05,18.3,18.3,18.25,18.3,131663.0,0.0,1.0,18.3,18.3,18.25,18.3,131663.0
2016-04-04,18.34,18.36,18.26,18.32,265371.0,0.0,1.0,18.34,18.36,18.26,18.32,265371.0
2016-04-01,18.32,18.431,18.27,18.37,202884.0,0.0,1.0,18.32,18.431,18.27,18.37,202884.0
2016-03-31,18.31,18.38,18.305,18.38,270139.0,0.0,1.0,18.31,18.38,18.305,18.38,270139.0
2016-03-30,18.35,18.39,18.29,18.3,357318.0,0.0,1.0,18.35,18.39,18.29,18.3,357318.0
2016-03-29,18.3,18.38,18.3,18.37,519420.0,0.0,1.0,18.3,18.38,18.3,18.37,519420.0
2016-03-28,18.32,18.36,18.28,18.32,357030.0,0.0,1.0,18.32,18.36,18.28,18.32,357030.0
2016-03-24,18.25,18.35,18.25,18.3,155076.0,0.0,1.0,18.25,18.35,18.25,18.3,155076.0
2016-03-23,18.3,18.33,18.23,18.28,230979.0,0.0,1.0,18.3,18.33,18.23,18.28,230979.0
2016-03-22,18.28,18.345,18.25,18.3,182482.0,0.0,1.0,18.28,18.345,18.25,18.3,182482.0
2016-03-21,18.26,18.35,18.26,18.3,282914.0,0.0,1.0,18.26,18.35,18.26,18.3,282914.0
2016-03-18,18.29,18.3,18.22,18.25,604912.0,0.0,1.0,18.29,18.3,18.22,18.25,604912.0
2016-03-17,18.32,18.38,18.26,18.26,524712.0,0.0,1.0,18.32,18.38,18.26,18.26,524712.0
2016-03-16,18.3,18.46,18.28,18.32,318984.0,0.0,1.0,18.3,18.46,18.28,18.32,318984.0
2016-03-15,18.33,18.38,18.28,18.33,171865.0,0.0,1.0,18.33,18.38,18.28,18.33,171865.0
2016-03-14,18.29,18.4,18.29,18.38,269576.0,0.0,1.0,18.29,18.4,18.29,18.38,269576.0
2016-03-11,18.32,18.34,18.265,18.28,187101.0,0.0,1.0,18.32,18.34,18.265,18.28,187101.0
2016-03-09,18.27,18.425,18.24,18.31,266668.0,0.0,1.0,18.27,18.425,18.24,18.31,266668.0
2016-03-08,18.37,18.37,18.22,18.27,595438.0,0.0,1.0,18.37,18.37,18.22,18.27,595438.0
2016-03-07,18.25,18.29,18.21,18.25,557784.0,0.0,1.0,18.25,18.29,18.21,18.25,557784.0
2016-03-04,18.27,18.31,18.24,18.25,1252673.0,0.0,1.0,18.27,18.31,18.24,18.25,1252673.0
2016-03-03,18.26,18.27,18.24,18.27,985506.0,0.0,1.0,18.26,18.27,18.24,18.27,985506.0
2016-03-02,18.25,18.3,18.21,18.27,2585934.0,0.0,1.0,18.25,18.3,18.21,18.27,2585934.0
2016-03-01,18.23,18.3353,18.22,18.25,738036.0,0.0,1.0,18.23,18.3353,18.22,18.25,738036.0
2016-02-29,18.18,18.24,18.18,18.24,850715.0,0.0,1.0,18.18,18.24,18.18,18.24,850715.0
2016-02-26,18.29,18.3,18.18,18.18,978153.0,0.0,1.0,18.29,18.3,18.18,18.18,978153.0
2016-02-25,18.11,18.4,18.06,18.4,27278654.0,0.0,1.0,18.11,18.4,18.06,18.4,27278654.0
2016-02-24,17.4,17.82,17.28,17.75,119547.0,0.0,1.0,17.4,17.82,17.28,17.75,119547.0
2016-02-23,17.67,17.83,17.41,17.45,141754.0,0.0,1.0,17.67,17.83,17.41,17.45,141754.0
2016-02-22,17.51,17.85,17.49,17.69,227733.0,0.0,1.0,17.51,17.85,17.49,17.69,227733.0
2016-02-19,17.24,17.5,17.24,17.42,128044.0,0.0,1.0,17.24,17.5,17.24,17.42,128044.0
2016-02-18,17.35,17.35,17.19,17.26,95467.0,0.0,1.0,17.35,17.35,17.19,17.26,95467.0
2016-02-17,17.36,17.56,17.27,17.29,235133.0,0.0,1.0,17.36,17.56,17.27,17.29,235133.0
