Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,9.29,9.55,9.23,9.35,576798.0,0.0,1.0,9.29,9.55,9.23,9.35,576798.0
2016-11-16,8.75,9.24,8.61,9.22,1583362.0,0.0,1.0,8.75,9.24,8.61,9.22,1583362.0
2016-11-15,8.58,8.8961,8.57,8.81,989645.0,0.0,1.0,8.58,8.8961,8.57,8.81,989645.0
2016-11-14,8.1,8.99,7.57,8.57,2843709.0,0.0,1.0,8.1,8.99,7.57,8.57,2843709.0
2016-11-11,12.16,12.4,11.87,12.16,466106.0,0.0,1.0,12.16,12.4,11.87,12.16,466106.0
2016-11-10,12.59,12.65,12.32,12.34,217022.0,0.0,1.0,12.59,12.65,12.32,12.34,217022.0
2016-11-09,12.08,12.63,12.07,12.55,165903.0,0.0,1.0,12.08,12.63,12.07,12.55,165903.0
2016-11-08,12.38,12.43,12.25,12.35,98318.0,0.0,1.0,12.38,12.43,12.25,12.35,98318.0
2016-11-07,12.1,12.37,12.1,12.34,146228.0,0.0,1.0,12.1,12.37,12.1,12.34,146228.0
2016-11-04,11.81,12.14,11.81,11.95,111746.0,0.0,1.0,11.81,12.14,11.81,11.95,111746.0
2016-11-03,11.89,11.98,11.7,11.76,123715.0,0.0,1.0,11.89,11.98,11.7,11.76,123715.0
2016-11-02,12.01,12.2228,11.69,11.81,152057.0,0.0,1.0,12.01,12.2228,11.69,11.81,152057.0
2016-11-01,12.35,12.35,11.9,12.0,197826.0,0.0,1.0,12.35,12.35,11.9,12.0,197826.0
2016-10-31,12.26,12.5,12.26,12.39,130119.0,0.0,1.0,12.26,12.5,12.26,12.39,130119.0
2016-10-28,12.44,12.5099,12.25,12.28,103397.0,0.0,1.0,12.44,12.5099,12.25,12.28,103397.0
2016-10-27,12.65,12.65,12.29,12.32,62439.0,0.0,1.0,12.65,12.65,12.29,12.32,62439.0
2016-10-26,12.69,12.77,12.56,12.65,140399.0,0.0,1.0,12.69,12.77,12.56,12.65,140399.0
2016-10-25,12.6,12.75,12.6,12.75,139582.0,0.0,1.0,12.6,12.75,12.6,12.75,139582.0
2016-10-24,12.45,12.669,12.43,12.56,125327.0,0.0,1.0,12.45,12.669,12.43,12.56,125327.0
2016-10-21,12.09,12.4,12.09,12.39,61595.0,0.0,1.0,12.09,12.4,12.09,12.39,61595.0
2016-10-20,12.21,12.28,12.05,12.2,103162.0,0.0,1.0,12.21,12.28,12.05,12.2,103162.0
2016-10-19,12.27,12.31,12.23,12.23,88067.0,0.0,1.0,12.27,12.31,12.23,12.23,88067.0
2016-10-18,12.21,12.29,12.16,12.22,64652.0,0.0,1.0,12.21,12.29,12.16,12.22,64652.0
2016-10-17,12.05,12.17,12.05,12.13,79415.0,0.0,1.0,12.05,12.17,12.05,12.13,79415.0
2016-10-14,12.2,12.2153,12.02,12.05,87407.0,0.0,1.0,12.2,12.2153,12.02,12.05,87407.0
2016-10-13,12.15,12.26,12.13,12.15,76774.0,0.0,1.0,12.15,12.26,12.13,12.15,76774.0
2016-10-12,12.22,12.31,12.14,12.24,123029.0,0.0,1.0,12.22,12.31,12.14,12.24,123029.0
2016-10-11,12.21,12.245,12.05,12.16,117577.0,0.0,1.0,12.21,12.245,12.05,12.16,117577.0
2016-10-10,12.06,12.27,12.06,12.21,99701.0,0.0,1.0,12.06,12.27,12.06,12.21,99701.0
2016-10-07,12.2,12.28,12.02,12.05,159881.0,0.0,1.0,12.2,12.28,12.02,12.05,159881.0
2016-10-06,12.16,12.33,12.06,12.21,159651.0,0.0,1.0,12.16,12.33,12.06,12.21,159651.0
2016-10-05,12.39,12.45,12.2099,12.23,118214.0,0.0,1.0,12.39,12.45,12.2099,12.23,118214.0
2016-10-04,12.63,12.64,12.23,12.33,204662.0,0.0,1.0,12.63,12.64,12.23,12.33,204662.0
2016-10-03,12.73,12.745,12.65,12.67,106107.0,0.0,1.0,12.73,12.745,12.65,12.67,106107.0
2016-09-30,12.75,12.92,12.63,12.81,163456.0,0.0,1.0,12.75,12.92,12.63,12.81,163456.0
2016-09-29,12.85,12.89,12.66,12.7,100748.0,0.0,1.0,12.85,12.89,12.66,12.7,100748.0
2016-09-28,12.88,12.92,12.76,12.9,164306.0,0.42,1.0,12.88,12.92,12.76,12.9,164306.0
2016-09-27,13.2,13.319,13.13,13.22,219428.0,0.0,1.0,12.783783783784,12.899031531532,12.715990990991,12.803153153153,219428.0
2016-09-26,13.31,13.4365,13.2,13.2,222174.0,0.0,1.0,12.890315315315,13.012826576577,12.783783783784,12.783783783784,222174.0
2016-09-23,13.27,13.36,13.24,13.31,139862.0,0.0,1.0,12.851576576577,12.938738738739,12.822522522523,12.890315315315,139862.0
