Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-09-30,40.99,41.24,39.7,40.83,1554163.0,0.0,1.0,40.99,41.24,39.7,40.83,1554163.0
2015-09-29,41.43,41.57,39.77,40.56,1092123.0,0.0,1.0,41.43,41.57,39.77,40.56,1092123.0
2015-09-28,43.47,43.51,40.47,41.25,1074978.0,0.0,1.0,43.47,43.51,40.47,41.25,1074978.0
2015-09-25,43.36,44.23,43.28,43.57,822647.0,0.0,1.0,43.36,44.23,43.28,43.57,822647.0
2015-09-24,42.01,42.94,41.17,42.88,592830.0,0.0,1.0,42.01,42.94,41.17,42.88,592830.0
2015-09-23,42.16,43.36,42.16,42.47,636251.0,0.0,1.0,42.16,43.36,42.16,42.47,636251.0
2015-09-22,43.09,43.39,41.84,42.07,524320.0,0.0,1.0,43.09,43.39,41.84,42.07,524320.0
2015-09-21,45.31,45.72,43.26,43.5,509857.0,0.0,1.0,45.31,45.72,43.26,43.5,509857.0
2015-09-18,45.24,45.7,44.76,44.89,997398.0,0.0,1.0,45.24,45.7,44.76,44.89,997398.0
2015-09-17,44.91,46.54,44.88,45.69,684301.0,0.0,1.0,44.91,46.54,44.88,45.69,684301.0
2015-09-16,44.85,44.95,44.34,44.81,358370.0,0.0,1.0,44.85,44.95,44.34,44.81,358370.0
2015-09-15,45.12,45.13,44.62,44.8,329264.0,0.0,1.0,45.12,45.13,44.62,44.8,329264.0
2015-09-14,45.37,45.57,44.47,45.05,434116.0,0.0,1.0,45.37,45.57,44.47,45.05,434116.0
2015-09-11,43.82,45.855,43.66,45.41,662291.0,0.0,1.0,43.82,45.855,43.66,45.41,662291.0
2015-09-10,43.89,44.47,43.36,44.33,405580.0,0.0,1.0,43.89,44.47,43.36,44.33,405580.0
2015-09-09,45.35,45.395,44.07,44.46,456360.0,0.0,1.0,45.35,45.395,44.07,44.46,456360.0
2015-09-08,43.04,45.09,42.83,45.0,920249.0,0.0,1.0,43.04,45.09,42.83,45.0,920249.0
2015-09-04,43.13,43.4,42.19,42.52,462425.0,0.0,1.0,43.13,43.4,42.19,42.52,462425.0
2015-09-03,43.45,43.915,43.29,43.76,467520.0,0.0,1.0,43.45,43.915,43.29,43.76,467520.0
2015-09-02,42.45,43.22,41.91,43.21,532708.0,0.0,1.0,42.45,43.22,41.91,43.21,532708.0
2015-09-01,42.51,43.037,41.69,41.92,330177.0,0.0,1.0,42.51,43.037,41.69,41.92,330177.0
2015-08-31,43.13,43.82,42.82,43.24,243044.0,0.0,1.0,43.13,43.82,42.82,43.24,243044.0
2015-08-28,43.07,43.73,42.706,43.13,393932.0,0.0,1.0,43.07,43.73,42.706,43.13,393932.0
2015-08-27,42.97,43.57,41.9,43.1,589744.0,0.0,1.0,42.97,43.57,41.9,43.1,589744.0
2015-08-26,42.42,42.47,40.83,42.35,1168556.0,0.0,1.0,42.42,42.47,40.83,42.35,1168556.0
2015-08-25,43.57,43.95,41.48,41.58,1178721.0,0.0,1.0,43.57,43.95,41.48,41.58,1178721.0
2015-08-24,42.46,44.06,40.59,43.08,686402.0,0.0,1.0,42.46,44.06,40.59,43.08,686402.0
2015-08-21,45.39,46.065,44.87,45.09,595165.0,0.0,1.0,45.39,46.065,44.87,45.09,595165.0
2015-08-20,46.87,47.47,45.89,46.14,452619.0,0.0,1.0,46.87,47.47,45.89,46.14,452619.0
2015-08-19,47.3,47.72,46.7801,47.5,612232.0,0.0,1.0,47.3,47.72,46.7801,47.5,612232.0
2015-08-18,46.94,47.72,46.73,47.49,873966.0,0.0,1.0,46.94,47.72,46.73,47.49,873966.0
2015-08-17,45.33,46.6,44.97,46.6,277696.0,0.0,1.0,45.33,46.6,44.97,46.6,277696.0
2015-08-14,45.3,45.77,44.76,45.62,188831.0,0.0,1.0,45.3,45.77,44.76,45.62,188831.0
2015-08-13,44.59,45.82,44.47,45.4,386509.0,0.0,1.0,44.59,45.82,44.47,45.4,386509.0
2015-08-12,44.27,44.73,43.05,44.6,595301.0,0.0,1.0,44.27,44.73,43.05,44.6,595301.0
2015-08-11,44.1,44.63,43.3033,44.49,424750.0,0.0,1.0,44.1,44.63,43.3033,44.49,424750.0
2015-08-10,43.29,44.41,43.19,44.22,508494.0,0.0,1.0,43.29,44.41,43.19,44.22,508494.0
2015-08-07,42.64,43.05,42.49,42.91,345002.0,0.0,1.0,42.64,43.05,42.49,42.91,345002.0
2015-08-06,43.21,43.37,42.51,42.84,453863.0,0.0,1.0,43.21,43.37,42.51,42.84,453863.0
2015-08-05,43.97,44.15,42.56,43.1,524251.0,0.0,1.0,43.97,44.15,42.56,43.1,524251.0
2015-08-04,44.71,44.8,43.53,43.86,350101.0,0.0,1.0,44.71,44.8,43.53,43.86,350101.0
2015-08-03,45.3,45.41,44.55,44.73,705825.0,0.0,1.0,45.3,45.41,44.55,44.73,705825.0
2015-07-31,44.86,46.1,44.26,45.47,692834.0,0.0,1.0,44.86,46.1,44.26,45.47,692834.0
2015-07-30,45.33,45.73,44.21,44.68,903893.0,0.0,1.0,45.33,45.73,44.21,44.68,903893.0
2015-07-29,44.35,46.12,44.08,45.82,599442.0,0.0,1.0,44.35,46.12,44.08,45.82,599442.0
2015-07-28,44.62,45.1,43.9,44.46,595110.0,0.0,1.0,44.62,45.1,43.9,44.46,595110.0
2015-07-27,44.55,44.78,43.89,44.33,861390.0,0.0,1.0,44.55,44.78,43.89,44.33,861390.0
2015-07-24,46.3,46.52,44.53,44.9,577058.0,0.0,1.0,46.3,46.52,44.53,44.9,577058.0
2015-07-23,46.9,47.19,45.56,46.28,373943.0,0.0,1.0,46.9,47.19,45.56,46.28,373943.0
2015-07-22,44.89,47.13,44.785,46.83,854274.0,0.0,1.0,44.89,47.13,44.785,46.83,854274.0
2015-07-21,44.91,45.56,44.36,45.01,502098.0,0.0,1.0,44.91,45.56,44.36,45.01,502098.0
2015-07-20,46.21,46.22,44.57,44.64,578366.0,0.0,1.0,46.21,46.22,44.57,44.64,578366.0
2015-07-17,46.64,46.81,45.95,46.13,396172.0,0.0,1.0,46.64,46.81,45.95,46.13,396172.0
2015-07-16,46.41,46.44,46.44,46.42,229561.0,0.0,1.0,46.41,46.44,46.44,46.42,229561.0
2015-07-15,46.75,46.87,45.83,46.14,667829.0,0.0,1.0,46.75,46.87,45.83,46.14,667829.0
2015-07-14,46.71,46.94,46.19,46.62,646772.0,0.0,1.0,46.71,46.94,46.19,46.62,646772.0
2015-07-10,46.6,46.92,46.03,46.62,392618.0,0.0,1.0,46.6,46.92,46.03,46.62,392618.0
2015-07-09,46.48,46.89,46.13,46.23,353358.0,0.0,1.0,46.48,46.89,46.13,46.23,353358.0
2015-07-08,45.99,46.32,45.51,45.83,475186.0,0.0,1.0,45.99,46.32,45.51,45.83,475186.0
