Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-11,13.97,13.99,13.965,13.99,377677.0,0.0,1.0,13.97,13.99,13.965,13.99,377677.0
2016-11-10,13.96,13.98,13.96,13.98,616447.0,0.0,1.0,13.96,13.98,13.96,13.98,616447.0
2016-11-09,13.93,13.98,13.9,13.98,872164.0,0.0,1.0,13.93,13.98,13.9,13.98,872164.0
2016-11-08,13.93,13.96,13.842,13.92,500426.0,0.0,1.0,13.93,13.96,13.842,13.92,500426.0
2016-11-07,13.94,13.95,13.905,13.93,254931.0,0.0,1.0,13.94,13.95,13.905,13.93,254931.0
2016-11-04,13.92,13.92,13.9,13.92,152560.0,0.0,1.0,13.92,13.92,13.9,13.92,152560.0
2016-11-03,13.91,13.92,13.9,13.91,253125.0,0.0,1.0,13.91,13.92,13.9,13.91,253125.0
2016-11-02,13.91,13.95,13.83,13.9,481585.0,0.0,1.0,13.91,13.95,13.83,13.9,481585.0
2016-11-01,13.91,13.93,13.895,13.91,328414.0,0.0,1.0,13.91,13.93,13.895,13.91,328414.0
2016-10-31,13.91,13.95,13.9,13.91,505639.0,0.0,1.0,13.91,13.95,13.9,13.91,505639.0
2016-10-28,13.92,13.92,13.9,13.9,189092.0,0.0,1.0,13.92,13.92,13.9,13.9,189092.0
2016-10-27,13.92,13.95,13.9,13.9,335097.0,0.0,1.0,13.92,13.95,13.9,13.9,335097.0
2016-10-26,13.92,13.92,13.9,13.9,200873.0,0.0,1.0,13.92,13.92,13.9,13.9,200873.0
2016-10-25,13.92,13.93,13.89,13.92,278818.0,0.0,1.0,13.92,13.93,13.89,13.92,278818.0
2016-10-24,13.92,13.99,13.9,13.92,138313.0,0.0,1.0,13.92,13.99,13.9,13.92,138313.0
2016-10-21,13.91,13.92,13.91,13.92,128264.0,0.0,1.0,13.91,13.92,13.91,13.92,128264.0
2016-10-20,13.93,13.93,13.91,13.91,45072.0,0.0,1.0,13.93,13.93,13.91,13.91,45072.0
2016-10-19,13.91,13.93,13.9,13.93,285428.0,0.0,1.0,13.91,13.93,13.9,13.93,285428.0
2016-10-18,13.94,13.94,13.9,13.9,420862.0,0.0,1.0,13.94,13.94,13.9,13.9,420862.0
2016-10-17,13.89,13.94,13.89,13.93,396805.0,0.0,1.0,13.89,13.94,13.89,13.93,396805.0
2016-10-14,13.9,13.93,13.76,13.88,1495958.0,0.0,1.0,13.9,13.93,13.76,13.88,1495958.0
2016-10-13,13.89,13.94,13.89,13.9,254263.0,0.0,1.0,13.89,13.94,13.89,13.9,254263.0
2016-10-12,13.95,13.95,13.89,13.89,263585.0,0.0,1.0,13.95,13.95,13.89,13.89,263585.0
2016-10-11,13.93,13.95,13.91,13.92,815843.0,0.0,1.0,13.93,13.95,13.91,13.92,815843.0
2016-10-10,13.9,13.96,13.9,13.95,157684.0,0.0,1.0,13.9,13.96,13.9,13.95,157684.0
2016-10-07,13.96,13.96,13.72,13.89,700712.0,0.0,1.0,13.96,13.96,13.72,13.89,700712.0
2016-10-06,13.97,13.98,13.94,13.95,735432.0,0.0,1.0,13.97,13.98,13.94,13.95,735432.0
2016-10-05,13.97,13.98,13.96,13.96,1635310.0,0.0,1.0,13.97,13.98,13.96,13.96,1635310.0
2016-10-04,13.97,13.99,13.97,13.97,242863.0,0.0,1.0,13.97,13.99,13.97,13.97,242863.0
2016-10-03,13.97,13.99,13.97,13.99,291558.0,0.0,1.0,13.97,13.99,13.97,13.99,291558.0
2016-09-30,13.97,13.985,13.97,13.98,195406.0,0.0,1.0,13.97,13.985,13.97,13.98,195406.0
2016-09-29,13.97,13.99,13.97,13.97,163738.0,0.0,1.0,13.97,13.99,13.97,13.97,163738.0
2016-09-28,13.97,13.98,13.97,13.97,105447.0,0.0,1.0,13.97,13.98,13.97,13.97,105447.0
2016-09-27,13.97,13.99,13.97,13.97,132914.0,0.0,1.0,13.97,13.99,13.97,13.97,132914.0
2016-09-26,13.97,13.98,13.97,13.97,276013.0,0.0,1.0,13.97,13.98,13.97,13.97,276013.0
2016-09-23,13.95,13.97,13.94,13.97,388727.0,0.0,1.0,13.95,13.97,13.94,13.97,388727.0
