Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,41.95,42.4,41.65,42.0,260962.0,0.0,1.0,41.95,42.4,41.65,42.0,260962.0
2016-11-16,41.55,42.55,41.55,41.95,202193.0,0.0,1.0,41.55,42.55,41.55,41.95,202193.0
2016-11-15,41.8,42.05,41.4,41.8,161575.0,0.0,1.0,41.8,42.05,41.4,41.8,161575.0
2016-11-14,41.1,42.35,41.1,41.75,240109.0,0.0,1.0,41.1,42.35,41.1,41.75,240109.0
2016-11-11,40.2,41.45,39.85,40.55,338054.0,0.0,1.0,40.2,41.45,39.85,40.55,338054.0
2016-11-10,40.1,42.0,39.15,40.2,365241.0,0.0,1.0,40.1,42.0,39.15,40.2,365241.0
2016-11-09,37.6,40.1,37.6,39.55,220822.0,0.0,1.0,37.6,40.1,37.6,39.55,220822.0
2016-11-08,37.1,38.7,36.45,38.2,322179.0,0.0,1.0,37.1,38.7,36.45,38.2,322179.0
2016-11-07,35.7,37.5,35.3,37.4,369453.0,0.0,1.0,35.7,37.5,35.3,37.4,369453.0
2016-11-04,35.3,36.05,34.75,34.9,298177.0,0.0,1.0,35.3,36.05,34.75,34.9,298177.0
2016-11-03,35.0,35.95,34.75,35.3,246293.0,0.0,1.0,35.0,35.95,34.75,35.3,246293.0
2016-11-02,34.8,35.3,34.5,34.7,181262.0,0.0,1.0,34.8,35.3,34.5,34.7,181262.0
2016-11-01,35.55,36.0,34.2,35.0,240508.0,0.0,1.0,35.55,36.0,34.2,35.0,240508.0
2016-10-31,35.35,36.1,34.91,35.65,219955.0,0.0,1.0,35.35,36.1,34.91,35.65,219955.0
2016-10-28,34.85,35.55,34.3,35.5,404957.0,0.0,1.0,34.85,35.55,34.3,35.5,404957.0
2016-10-27,33.85,35.5,33.55,34.75,640098.0,0.0,1.0,33.85,35.5,33.55,34.75,640098.0
2016-10-26,31.9,34.025,31.0,33.275,704195.0,0.0,1.0,31.9,34.025,31.0,33.275,704195.0
2016-10-25,29.65,30.0,29.0,29.15,195034.0,0.0,1.0,29.65,30.0,29.0,29.15,195034.0
2016-10-24,29.45,29.9,29.2,29.8,99110.0,0.0,1.0,29.45,29.9,29.2,29.8,99110.0
2016-10-21,28.76,29.45,28.57,29.29,98966.0,0.0,1.0,28.76,29.45,28.57,29.29,98966.0
2016-10-20,28.82,29.2499,28.82,29.01,100576.0,0.0,1.0,28.82,29.2499,28.82,29.01,100576.0
2016-10-19,29.18,29.2062,28.74,28.97,66184.0,0.0,1.0,29.18,29.2062,28.74,28.97,66184.0
2016-10-18,29.49,29.49,28.82,29.11,132459.0,0.0,1.0,29.49,29.49,28.82,29.11,132459.0
2016-10-17,28.9,29.18,28.62,29.0,108686.0,0.0,1.0,28.9,29.18,28.62,29.0,108686.0
2016-10-14,29.2,29.35,28.76,29.03,126097.0,0.0,1.0,29.2,29.35,28.76,29.03,126097.0
2016-10-13,29.49,29.66,29.07,29.18,183302.0,0.0,1.0,29.49,29.66,29.07,29.18,183302.0
2016-10-12,29.75,30.1,29.45,29.83,131229.0,0.0,1.0,29.75,30.1,29.45,29.83,131229.0
2016-10-11,29.69,29.9,29.52,29.7,155881.0,0.0,1.0,29.69,29.9,29.52,29.7,155881.0
2016-10-10,29.48,29.87,29.48,29.78,116953.0,0.0,1.0,29.48,29.87,29.48,29.78,116953.0
2016-10-07,29.8,29.8,27.96,29.33,151484.0,0.0,1.0,29.8,29.8,27.96,29.33,151484.0
