Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,2.36,2.38,1.7,1.78,1493777.0,0.0,1.0,2.36,2.38,1.7,1.78,1493777.0
2016-11-16,1.92,2.38,1.69,1.9,2726477.0,0.0,1.0,1.92,2.38,1.69,1.9,2726477.0
2016-11-15,1.64,1.76,1.6,1.65,920379.0,0.0,1.0,1.64,1.76,1.6,1.65,920379.0
2016-11-14,1.49,1.6,1.48,1.5702,402066.0,0.0,1.0,1.49,1.6,1.48,1.5702,402066.0
2016-11-11,1.43,1.53,1.43,1.49,195892.0,0.0,1.0,1.43,1.53,1.43,1.49,195892.0
2016-11-10,1.36,1.44,1.36,1.43,277500.0,0.0,1.0,1.36,1.44,1.36,1.43,277500.0
2016-11-09,1.22,1.38,1.2,1.36,152806.0,0.0,1.0,1.22,1.38,1.2,1.36,152806.0
2016-11-08,1.23,1.31,1.195,1.28,132594.0,0.0,1.0,1.23,1.31,1.195,1.28,132594.0
2016-11-07,1.23,1.3093,1.23,1.24,147905.0,0.0,1.0,1.23,1.3093,1.23,1.24,147905.0
2016-11-04,1.21,1.27,1.21,1.25,121883.0,0.0,1.0,1.21,1.27,1.21,1.25,121883.0
2016-11-03,1.25,1.2768,1.25,1.26,83298.0,0.0,1.0,1.25,1.2768,1.25,1.26,83298.0
2016-11-02,1.27,1.32,1.25,1.25,103002.0,0.0,1.0,1.27,1.32,1.25,1.25,103002.0
2016-11-01,1.23,1.37,1.15,1.31,178269.0,0.0,1.0,1.23,1.37,1.15,1.31,178269.0
2016-10-31,1.38,1.38,1.26,1.27,66290.0,0.0,1.0,1.38,1.38,1.26,1.27,66290.0
2016-10-28,1.27,1.38,1.26,1.33,130340.0,0.0,1.0,1.27,1.38,1.26,1.33,130340.0
2016-10-27,1.3,1.31,1.28,1.29,31834.0,0.0,1.0,1.3,1.31,1.28,1.29,31834.0
2016-10-26,1.35,1.37,1.2614,1.28,132137.0,0.0,1.0,1.35,1.37,1.2614,1.28,132137.0
2016-10-25,1.39,1.4,1.32,1.35,77639.0,0.0,1.0,1.39,1.4,1.32,1.35,77639.0
2016-10-24,1.38,1.4,1.36,1.38,68510.0,0.0,1.0,1.38,1.4,1.36,1.38,68510.0
2016-10-21,1.42,1.42,1.38,1.38,42417.0,0.0,1.0,1.42,1.42,1.38,1.38,42417.0
2016-10-20,1.42,1.44,1.37,1.41,78009.0,0.0,1.0,1.42,1.44,1.37,1.41,78009.0
2016-10-19,1.38,1.449,1.38,1.39,77894.0,0.0,1.0,1.38,1.449,1.38,1.39,77894.0
2016-10-18,1.34,1.38,1.3,1.38,123971.0,0.0,1.0,1.34,1.38,1.3,1.38,123971.0
2016-10-17,1.4,1.4,1.3,1.32,59563.0,0.0,1.0,1.4,1.4,1.3,1.32,59563.0
2016-10-14,1.36,1.39,1.35,1.355,41038.0,0.0,1.0,1.36,1.39,1.35,1.355,41038.0
2016-10-13,1.4,1.4,1.32,1.35,97154.0,0.0,1.0,1.4,1.4,1.32,1.35,97154.0
2016-10-12,1.36,1.39,1.33,1.35,139258.0,0.0,1.0,1.36,1.39,1.33,1.35,139258.0
2016-10-11,1.4,1.43,1.38,1.4,52396.0,0.0,1.0,1.4,1.43,1.38,1.4,52396.0
2016-10-10,1.44,1.48,1.42,1.4201,46747.0,0.0,1.0,1.44,1.48,1.42,1.4201,46747.0
2016-10-07,1.45,1.483,1.4,1.41,84130.0,0.0,1.0,1.45,1.483,1.4,1.41,84130.0
2016-10-06,1.49,1.5,1.43,1.48,70841.0,0.0,1.0,1.49,1.5,1.43,1.48,70841.0
2016-10-05,1.51,1.52,1.46,1.4899,68141.0,0.0,1.0,1.51,1.52,1.46,1.4899,68141.0
2016-10-04,1.53,1.54,1.45,1.46,48001.0,0.0,1.0,1.53,1.54,1.45,1.46,48001.0
2016-10-03,1.44,1.54,1.4,1.51,151067.0,0.0,1.0,1.44,1.54,1.4,1.51,151067.0
2016-09-30,1.5,1.5,1.38,1.41,150779.0,0.0,1.0,1.5,1.5,1.38,1.41,150779.0
2016-09-29,1.53,1.54,1.42,1.45,66880.0,0.0,1.0,1.53,1.54,1.42,1.45,66880.0
2016-09-28,1.53,1.57,1.44,1.51,117196.0,0.0,1.0,1.53,1.57,1.44,1.51,117196.0
2016-09-27,1.58,1.58,1.52,1.53,102957.0,0.0,1.0,1.58,1.58,1.52,1.53,102957.0
2016-09-26,1.52,1.59,1.52,1.54,97040.0,0.0,1.0,1.52,1.59,1.52,1.54,97040.0
2016-09-23,1.6,1.6293,1.52,1.52,160329.0,0.0,1.0,1.6,1.6293,1.52,1.52,160329.0
2016-09-22,1.58,1.66,1.56,1.6,203128.0,0.0,1.0,1.58,1.66,1.56,1.6,203128.0
2016-09-21,1.49,1.6,1.489,1.55,213454.0,0.0,1.0,1.49,1.6,1.489,1.55,213454.0
2016-09-20,1.48,1.59,1.45,1.49,209521.0,0.0,1.0,1.48,1.59,1.45,1.49,209521.0
2016-09-19,1.4,1.5,1.4,1.46,157207.0,0.0,1.0,1.4,1.5,1.4,1.46,157207.0
2016-09-16,1.34,1.4,1.32,1.4,186985.0,0.0,1.0,1.34,1.4,1.32,1.4,186985.0
2016-09-15,1.34,1.38,1.34,1.34,68620.0,0.0,1.0,1.34,1.38,1.34,1.34,68620.0
2016-09-14,1.4,1.4,1.33,1.37,81558.0,0.0,1.0,1.4,1.4,1.33,1.37,81558.0
2016-09-13,1.51,1.54,1.32,1.33,376093.0,0.0,1.0,1.51,1.54,1.32,1.33,376093.0
2016-09-12,1.46,1.55,1.46,1.51,138065.0,0.0,1.0,1.46,1.55,1.46,1.51,138065.0
2016-09-09,1.57,1.5863,1.46,1.46,124375.0,0.0,1.0,1.57,1.5863,1.46,1.46,124375.0
2016-09-08,1.5,1.6,1.5,1.58,133438.0,0.0,1.0,1.5,1.6,1.5,1.58,133438.0
2016-09-07,1.55,1.67,1.43,1.51,340272.0,0.0,1.0,1.55,1.67,1.43,1.51,340272.0
2016-09-06,1.28,1.5,1.28,1.49,378406.0,0.0,1.0,1.28,1.5,1.28,1.49,378406.0
2016-09-02,1.3,1.32,1.281,1.31,44682.0,0.0,1.0,1.3,1.32,1.281,1.31,44682.0
2016-09-01,1.24,1.3,1.24,1.3,38331.0,0.0,1.0,1.24,1.3,1.24,1.3,38331.0
2016-08-31,1.25,1.28,1.23,1.25,28093.0,0.0,1.0,1.25,1.28,1.23,1.25,28093.0
2016-08-30,1.28,1.28,1.25,1.25,34024.0,0.0,1.0,1.28,1.28,1.25,1.25,34024.0
2016-08-29,1.3,1.3,1.25,1.27,27879.0,0.0,1.0,1.3,1.3,1.25,1.27,27879.0
2016-08-26,1.29,1.34,1.25,1.26,118285.0,0.0,1.0,1.29,1.34,1.25,1.26,118285.0
2016-08-25,1.31,1.32,1.28,1.29,43384.0,0.0,1.0,1.31,1.32,1.28,1.29,43384.0
2016-08-24,1.31,1.34,1.27,1.27,125346.0,0.0,1.0,1.31,1.34,1.27,1.27,125346.0
2016-08-23,1.31,1.32,1.25,1.31,77863.0,0.0,1.0,1.31,1.32,1.25,1.31,77863.0
2016-08-22,1.28,1.32,1.27,1.27,118490.0,0.0,1.0,1.28,1.32,1.27,1.27,118490.0
2016-08-19,1.28,1.3,1.28,1.28,81142.0,0.0,1.0,1.28,1.3,1.28,1.28,81142.0
2016-08-18,1.3,1.3,1.25,1.27,86377.0,0.0,1.0,1.3,1.3,1.25,1.27,86377.0
2016-08-17,1.27,1.29,1.27,1.28,28559.0,0.0,1.0,1.27,1.29,1.27,1.28,28559.0
2016-08-16,1.3,1.31,1.23,1.25,90264.0,0.0,1.0,1.3,1.31,1.23,1.25,90264.0
2016-08-15,1.33,1.33,1.27,1.27,47708.0,0.0,1.0,1.33,1.33,1.27,1.27,47708.0
2016-08-12,1.28,1.33,1.24,1.3,106665.0,0.0,1.0,1.28,1.33,1.24,1.3,106665.0
2016-08-11,1.31,1.34,1.24,1.31,85241.0,0.0,1.0,1.31,1.34,1.24,1.31,85241.0
2016-08-10,1.38,1.38,1.25,1.25,109402.0,0.0,1.0,1.38,1.38,1.25,1.25,109402.0
2016-08-09,1.42,1.42,1.2911,1.33,136599.0,0.0,1.0,1.42,1.42,1.2911,1.33,136599.0
2016-08-08,1.28,1.42,1.28,1.4,258304.0,0.0,1.0,1.28,1.42,1.28,1.4,258304.0
2016-08-05,1.2,1.29,1.2,1.28,183532.0,0.0,1.0,1.2,1.29,1.2,1.28,183532.0
2016-08-04,1.16,1.23,1.134,1.19,65817.0,0.0,1.0,1.16,1.23,1.134,1.19,65817.0
2016-08-03,1.14,1.22,1.1201,1.18,134091.0,0.0,1.0,1.14,1.22,1.1201,1.18,134091.0
2016-08-02,1.16,1.17,1.08,1.09,141969.0,0.0,1.0,1.16,1.17,1.08,1.09,141969.0
2016-08-01,1.09,1.19,1.09,1.15,143192.0,0.0,1.0,1.09,1.19,1.09,1.15,143192.0
2016-07-29,1.08,1.1,1.07,1.09,113601.0,0.0,1.0,1.08,1.1,1.07,1.09,113601.0
2016-07-28,1.12,1.15,1.1,1.11,73406.0,0.0,1.0,1.12,1.15,1.1,1.11,73406.0
2016-07-27,1.16,1.18,1.11,1.14,46659.0,0.0,1.0,1.16,1.18,1.11,1.14,46659.0
2016-07-26,1.13,1.18,1.1,1.15,146935.0,0.0,1.0,1.13,1.18,1.1,1.15,146935.0
2016-07-25,1.19,1.24,1.1,1.1,110875.0,0.0,1.0,1.19,1.24,1.1,1.1,110875.0
2016-07-22,1.27,1.31,1.2,1.23,166679.0,0.0,1.0,1.27,1.31,1.2,1.23,166679.0
2016-07-21,1.17,1.3,1.17,1.26,119117.0,0.0,1.0,1.17,1.3,1.17,1.26,119117.0
2016-07-20,1.21,1.26,1.2,1.2,73368.0,0.0,1.0,1.21,1.26,1.2,1.2,73368.0
2016-07-19,1.18,1.25,1.15,1.21,76434.0,0.0,1.0,1.18,1.25,1.15,1.21,76434.0
2016-07-18,1.24,1.25,1.21,1.21,81384.0,0.0,1.0,1.24,1.25,1.21,1.21,81384.0
2016-07-15,1.3,1.33,1.24,1.24,115411.0,0.0,1.0,1.3,1.33,1.24,1.24,115411.0
2016-07-14,1.32,1.32,1.25,1.27,98131.0,0.0,1.0,1.32,1.32,1.25,1.27,98131.0
2016-07-13,1.18,1.32,1.17,1.25,336602.0,0.0,1.0,1.18,1.32,1.17,1.25,336602.0
2016-07-12,1.12,1.2393,1.12,1.18,203431.0,0.0,1.0,1.12,1.2393,1.12,1.18,203431.0
2016-07-11,1.14,1.1699,1.1,1.1,93298.0,0.0,1.0,1.14,1.1699,1.1,1.1,93298.0
2016-07-08,1.12,1.15,1.09,1.12,119368.0,0.0,1.0,1.12,1.15,1.09,1.12,119368.0
2016-07-07,1.08,1.12,1.06,1.09,95197.0,0.0,1.0,1.08,1.12,1.06,1.09,95197.0
2016-07-06,1.06,1.12,1.06,1.08,80271.0,0.0,1.0,1.06,1.12,1.06,1.08,80271.0
2016-07-05,1.1,1.1,1.015,1.09,217190.0,0.0,1.0,1.1,1.1,1.015,1.09,217190.0
2016-07-01,1.06,1.13,1.05,1.1,229364.0,0.0,1.0,1.06,1.13,1.05,1.1,229364.0
