Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,29.79,29.95,29.39,29.52,252680.0,0.0,1.0,29.79,29.95,29.39,29.52,252680.0
2016-11-16,29.21,29.88,29.21,29.75,205148.0,0.0,1.0,29.21,29.88,29.21,29.75,205148.0
2016-11-15,29.11,29.79,28.98,29.24,269275.0,0.0,1.0,29.11,29.79,28.98,29.24,269275.0
2016-11-14,28.91,29.44,28.76,29.04,252966.0,0.0,1.0,28.91,29.44,28.76,29.04,252966.0
2016-11-11,27.76,28.79,27.58,28.72,426889.0,0.0,1.0,27.76,28.79,27.58,28.72,426889.0
2016-11-10,28.31,28.79,27.4558,27.75,767933.0,0.0,1.0,28.31,28.79,27.4558,27.75,767933.0
2016-11-09,27.36,28.34,27.14,28.14,515882.0,0.0,1.0,27.36,28.34,27.14,28.14,515882.0
2016-11-08,27.52,27.76,27.36,27.62,339906.0,0.0,1.0,27.52,27.76,27.36,27.62,339906.0
2016-11-07,27.57,27.81,27.28,27.5,439655.0,0.0,1.0,27.57,27.81,27.28,27.5,439655.0
2016-11-04,27.78,27.81,26.99,27.11,432487.0,0.0,1.0,27.78,27.81,26.99,27.11,432487.0
2016-11-03,28.21,29.3457,27.68,27.71,475037.0,0.0,1.0,28.21,29.3457,27.68,27.71,475037.0
2016-11-02,28.53,28.73,28.22,28.26,556937.0,0.0,1.0,28.53,28.73,28.22,28.26,556937.0
2016-11-01,28.76,28.9,28.45,28.6,577240.0,0.0,1.0,28.76,28.9,28.45,28.6,577240.0
2016-10-31,28.72,29.28,28.43,28.79,1022299.0,0.0,1.0,28.72,29.28,28.43,28.79,1022299.0
2016-10-28,28.98,29.3636,28.44,28.52,811272.0,0.0,1.0,28.98,29.3636,28.44,28.52,811272.0
2016-10-27,29.81,29.81,28.98,29.0,1022916.0,0.0,1.0,29.81,29.81,28.98,29.0,1022916.0
2016-10-26,29.5,29.68,29.32,29.65,343605.0,0.0,1.0,29.5,29.68,29.32,29.65,343605.0
2016-10-25,29.55,29.97,29.46,29.72,336401.0,0.0,1.0,29.55,29.97,29.46,29.72,336401.0
2016-10-24,30.43,30.43,29.81,29.92,289281.0,0.0,1.0,30.43,30.43,29.81,29.92,289281.0
2016-10-21,29.45,30.65,29.45,30.18,250211.0,0.0,1.0,29.45,30.65,29.45,30.18,250211.0
2016-10-20,29.47,29.88,29.29,29.73,270734.0,0.0,1.0,29.47,29.88,29.29,29.73,270734.0
2016-10-19,29.89,29.99,29.635,29.64,421344.0,0.0,1.0,29.89,29.99,29.635,29.64,421344.0
