Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,22.12,22.36,21.94,22.19,767536.0,0.0,1.0,22.12,22.36,21.94,22.19,767536.0
2016-11-16,22.15,22.52,22.0,22.04,752000.0,0.0,1.0,22.15,22.52,22.0,22.04,752000.0
2016-11-15,22.58,22.735,21.89,22.15,784579.0,0.0,1.0,22.58,22.735,21.89,22.15,784579.0
2016-11-14,21.64,22.8,21.64,22.61,1091407.0,0.0,1.0,21.64,22.8,21.64,22.61,1091407.0
2016-11-11,21.58,21.8,20.93,21.45,894763.0,0.0,1.0,21.58,21.8,20.93,21.45,894763.0
2016-11-10,21.13,21.88,20.92,21.56,1002426.0,0.0,1.0,21.13,21.88,20.92,21.56,1002426.0
2016-11-09,19.31,20.86,19.02,20.8,585345.0,0.0,1.0,19.31,20.86,19.02,20.8,585345.0
2016-11-08,19.74,19.81,19.44,19.64,365524.0,0.0,1.0,19.74,19.81,19.44,19.64,365524.0
2016-11-07,19.69,19.92,19.6,19.87,583247.0,0.0,1.0,19.69,19.92,19.6,19.87,583247.0
2016-11-04,18.67,19.63,18.44,19.29,1118654.0,0.0,1.0,18.67,19.63,18.44,19.29,1118654.0
2016-11-03,18.89,18.89,18.51,18.55,577950.0,0.0,1.0,18.89,18.89,18.51,18.55,577950.0
2016-11-02,18.98,19.15,18.59,18.78,440051.0,0.0,1.0,18.98,19.15,18.59,18.78,440051.0
2016-11-01,19.27,19.27,18.8,18.94,355389.0,0.0,1.0,19.27,19.27,18.8,18.94,355389.0
2016-10-31,19.25,19.25,18.85,19.19,525219.0,0.0,1.0,19.25,19.25,18.85,19.19,525219.0
2016-10-28,19.14,19.51,19.08,19.17,574287.0,0.0,1.0,19.14,19.51,19.08,19.17,574287.0
2016-10-27,19.0,19.3,18.6565,19.17,848511.0,0.0,1.0,19.0,19.3,18.6565,19.17,848511.0
2016-10-26,19.5,19.71,18.95,19.14,748342.0,0.0,1.0,19.5,19.71,18.95,19.14,748342.0
2016-10-25,19.25,19.76,19.1,19.51,1072744.0,0.0,1.0,19.25,19.76,19.1,19.51,1072744.0
2016-10-24,19.09,19.73,19.03,19.35,1436343.0,0.0,1.0,19.09,19.73,19.03,19.35,1436343.0
2016-10-21,18.78,19.88,18.775,19.06,2213773.0,0.0,1.0,18.78,19.88,18.775,19.06,2213773.0
2016-10-20,18.0,19.8,17.95,18.99,8221740.0,0.0,1.0,18.0,19.8,17.95,18.99,8221740.0
2016-10-19,21.12,21.88,21.0,21.58,1252938.0,0.0,1.0,21.12,21.88,21.0,21.58,1252938.0
2016-10-18,21.38,21.5,20.84,21.13,720371.0,0.0,1.0,21.38,21.5,20.84,21.13,720371.0
2016-10-17,20.89,21.22,20.88,21.0,787048.0,0.0,1.0,20.89,21.22,20.88,21.0,787048.0
2016-10-14,20.95,21.08,20.54,20.87,393995.0,0.0,1.0,20.95,21.08,20.54,20.87,393995.0
2016-10-13,20.72,20.93,20.6,20.85,464870.0,0.0,1.0,20.72,20.93,20.6,20.85,464870.0
2016-10-12,20.92,21.21,20.81,20.94,444301.0,0.0,1.0,20.92,21.21,20.81,20.94,444301.0
2016-10-11,21.25,21.25,20.63,20.83,518059.0,0.0,1.0,21.25,21.25,20.63,20.83,518059.0
2016-10-10,21.46,22.43,21.195,21.28,662741.0,0.0,1.0,21.46,22.43,21.195,21.28,662741.0
2016-10-07,21.21,21.43,20.98,21.14,565029.0,0.0,1.0,21.21,21.43,20.98,21.14,565029.0
2016-10-06,21.0,21.34,20.84,21.25,556287.0,0.0,1.0,21.0,21.34,20.84,21.25,556287.0
2016-10-05,20.84,21.32,20.767,21.0,431320.0,0.0,1.0,20.84,21.32,20.767,21.0,431320.0
2016-10-04,20.89,21.43,20.65,20.84,798935.0,0.0,1.0,20.89,21.43,20.65,20.84,798935.0
2016-10-03,21.6,21.6,20.26,20.72,1559424.0,0.0,1.0,21.6,21.6,20.26,20.72,1559424.0
2016-09-30,22.2,22.39,21.35,21.6,1070163.0,0.0,1.0,22.2,22.39,21.35,21.6,1070163.0
2016-09-29,22.47,23.1501,22.21,22.25,1773722.0,0.0,1.0,22.47,23.1501,22.21,22.25,1773722.0
2016-09-28,23.37,23.81,22.61,22.82,1474920.0,0.0,1.0,23.37,23.81,22.61,22.82,1474920.0
2016-09-27,25.07,25.29,24.62,25.12,246214.0,0.0,1.0,25.07,25.29,24.62,25.12,246214.0
2016-09-26,25.42,25.51,25.07,25.11,285289.0,0.0,1.0,25.42,25.51,25.07,25.11,285289.0
2016-09-23,25.62,25.97,25.521,25.56,310726.0,0.0,1.0,25.62,25.97,25.521,25.56,310726.0
2016-09-22,25.42,25.88,25.36,25.81,550876.0,0.0,1.0,25.42,25.88,25.36,25.81,550876.0
2016-09-21,24.76,25.41,24.73,25.37,388046.0,0.0,1.0,24.76,25.41,24.73,25.37,388046.0
2016-09-20,25.2,25.55,24.76,24.78,343204.0,0.0,1.0,25.2,25.55,24.76,24.78,343204.0
2016-09-19,25.15,25.4,24.98,25.16,241289.0,0.0,1.0,25.15,25.4,24.98,25.16,241289.0
2016-09-16,25.1,25.31,24.93,24.95,505456.0,0.0,1.0,25.1,25.31,24.93,24.95,505456.0
2016-09-15,24.88,25.51,24.88,25.09,423828.0,0.0,1.0,24.88,25.51,24.88,25.09,423828.0
2016-09-14,25.28,25.43,24.92,24.98,363783.0,0.0,1.0,25.28,25.43,24.92,24.98,363783.0
2016-09-13,25.25,25.63,24.97,25.41,523545.0,0.0,1.0,25.25,25.63,24.97,25.41,523545.0
2016-09-12,24.96,25.46,24.58,25.46,434976.0,0.0,1.0,24.96,25.46,24.58,25.46,434976.0
