Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,49.96,50.75,49.71,50.34,296768.0,0.0,1.0,49.96,50.75,49.71,50.34,296768.0
2016-11-16,49.26,50.33,49.03,49.67,274321.0,0.0,1.0,49.26,50.33,49.03,49.67,274321.0
2016-11-15,50.1,50.46,48.98,49.66,332314.0,0.0,1.0,50.1,50.46,48.98,49.66,332314.0
2016-11-14,50.2,50.61,49.51,49.98,418500.0,0.0,1.0,50.2,50.61,49.51,49.98,418500.0
2016-11-11,49.2,50.05,48.67,49.99,482396.0,0.0,1.0,49.2,50.05,48.67,49.99,482396.0
2016-11-10,49.85,50.42,48.54,49.23,407632.0,0.0,1.0,49.85,50.42,48.54,49.23,407632.0
2016-11-09,47.59,49.64,47.59,49.58,530653.0,0.0,1.0,47.59,49.64,47.59,49.58,530653.0
2016-11-08,47.8,48.76,47.8,48.11,309831.0,0.0,1.0,47.8,48.76,47.8,48.11,309831.0
2016-11-07,47.6,48.17,47.51,47.99,315714.0,0.0,1.0,47.6,48.17,47.51,47.99,315714.0
2016-11-04,47.39,47.745,47.02,47.11,378426.0,0.0,1.0,47.39,47.745,47.02,47.11,378426.0
2016-11-03,47.72,47.91,47.01,47.06,516774.0,0.0,1.0,47.72,47.91,47.01,47.06,516774.0
2016-11-02,48.52,49.03,47.43,47.48,483395.0,0.0,1.0,48.52,49.03,47.43,47.48,483395.0
2016-11-01,48.99,49.09,48.47,48.64,614625.0,0.0,1.0,48.99,49.09,48.47,48.64,614625.0
2016-10-31,47.86,49.02,47.67,49.0,678938.0,0.0,1.0,47.86,49.02,47.67,49.0,678938.0
2016-10-28,46.9,48.27,46.56,47.93,1060623.0,0.0,1.0,46.9,48.27,46.56,47.93,1060623.0
2016-10-27,45.49,47.64,45.375,47.21,2682787.0,0.0,1.0,45.49,47.64,45.375,47.21,2682787.0
2016-10-26,42.1,42.55,41.9124,42.07,1319961.0,0.0,1.0,42.1,42.55,41.9124,42.07,1319961.0
2016-10-25,42.83,43.54,42.41,42.44,1824388.0,0.0,1.0,42.83,43.54,42.41,42.44,1824388.0
2016-10-24,43.28,43.31,42.42,42.69,534662.0,0.0,1.0,43.28,43.31,42.42,42.69,534662.0
2016-10-21,43.0,43.27,42.485,43.2,548790.0,0.0,1.0,43.0,43.27,42.485,43.2,548790.0
2016-10-20,43.56,43.88,42.4,43.18,858489.0,0.0,1.0,43.56,43.88,42.4,43.18,858489.0
2016-10-19,43.6,44.05,43.09,43.78,603376.0,0.0,1.0,43.6,44.05,43.09,43.78,603376.0
2016-10-18,44.0,44.35,43.6,43.87,664030.0,0.0,1.0,44.0,44.35,43.6,43.87,664030.0
2016-10-17,44.16,44.47,43.68,43.84,395404.0,0.0,1.0,44.16,44.47,43.68,43.84,395404.0
2016-10-14,44.37,44.85,43.9425,44.08,498697.0,0.0,1.0,44.37,44.85,43.9425,44.08,498697.0
2016-10-13,45.0,45.58,44.23,44.27,545913.0,0.0,1.0,45.0,45.58,44.23,44.27,545913.0
2016-10-12,45.42,45.73,44.98,45.13,207311.0,0.0,1.0,45.42,45.73,44.98,45.13,207311.0
2016-10-11,46.01,46.1,44.9515,45.24,278504.0,0.0,1.0,46.01,46.1,44.9515,45.24,278504.0
2016-10-10,45.88,46.42,45.31,45.98,222766.0,0.0,1.0,45.88,46.42,45.31,45.98,222766.0
2016-10-07,46.19,46.58,45.73,45.76,357486.0,0.0,1.0,46.19,46.58,45.73,45.76,357486.0
2016-10-06,46.19,46.28,45.82,46.11,351066.0,0.0,1.0,46.19,46.28,45.82,46.11,351066.0
2016-10-05,46.0,46.47,45.51,46.34,454571.0,0.0,1.0,46.0,46.47,45.51,46.34,454571.0
2016-10-04,45.71,46.0,45.15,45.98,517506.0,0.0,1.0,45.71,46.0,45.15,45.98,517506.0
2016-10-03,44.75,45.65,44.75,45.63,398422.0,0.0,1.0,44.75,45.65,44.75,45.63,398422.0
2016-09-30,44.52,45.06,44.34,44.64,293518.0,0.0,1.0,44.52,45.06,44.34,44.64,293518.0
2016-09-29,44.85,45.37,44.11,44.4,473285.0,0.0,1.0,44.85,45.37,44.11,44.4,473285.0
