Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,6.35,6.85,6.2,6.75,121878.0,0.0,1.0,6.35,6.85,6.2,6.75,121878.0
2016-11-16,6.1,6.4,6.1,6.3,44059.0,0.0,1.0,6.1,6.4,6.1,6.3,44059.0
2016-11-15,6.2,6.2,6.0,6.15,15119.0,0.0,1.0,6.2,6.2,6.0,6.15,15119.0
2016-11-14,6.0,6.2397,6.0,6.15,90389.0,0.0,1.0,6.0,6.2397,6.0,6.15,90389.0
2016-11-11,5.6,6.0,5.6,5.95,65331.0,0.0,1.0,5.6,6.0,5.6,5.95,65331.0
2016-11-10,5.5,5.7,5.5,5.65,64938.0,0.0,1.0,5.5,5.7,5.5,5.65,64938.0
2016-11-09,5.25,5.5,5.0,5.5,63479.0,0.0,1.0,5.25,5.5,5.0,5.5,63479.0
2016-11-08,5.05,5.25,5.05,5.25,36097.0,0.0,1.0,5.05,5.25,5.05,5.25,36097.0
2016-11-07,5.05,5.125,4.95,5.05,45676.0,0.0,1.0,5.05,5.125,4.95,5.05,45676.0
2016-11-04,4.9584,5.0,4.85,4.9,752970.0,0.0,1.0,4.9584,5.0,4.85,4.9,752970.0
2016-11-03,4.9,5.0,4.85,4.9,49582.0,0.0,1.0,4.9,5.0,4.85,4.9,49582.0
2016-11-02,4.85,4.95,4.85,4.9,300837.0,0.0,1.0,4.85,4.95,4.85,4.9,300837.0
2016-11-01,4.85,4.95,4.85,4.9,61561.0,0.0,1.0,4.85,4.95,4.85,4.9,61561.0
2016-10-31,4.85,4.95,4.8355,4.85,18462.0,0.0,1.0,4.85,4.95,4.8355,4.85,18462.0
2016-10-28,4.85,5.05,4.8,4.85,99467.0,0.0,1.0,4.85,5.05,4.8,4.85,99467.0
2016-10-27,4.95,4.95,4.75,4.85,508065.0,0.0,1.0,4.95,4.95,4.75,4.85,508065.0
2016-10-26,4.9985,5.1118,4.85,4.9,64388.0,0.0,1.0,4.9985,5.1118,4.85,4.9,64388.0
2016-10-25,5.1,5.1,5.0,5.0,59525.0,0.0,1.0,5.1,5.1,5.0,5.0,59525.0
2016-10-24,5.15,5.15,5.0,5.15,39575.0,0.0,1.0,5.15,5.15,5.0,5.15,39575.0
2016-10-21,5.15,5.175,5.05,5.1,18047.0,0.0,1.0,5.15,5.175,5.05,5.1,18047.0
2016-10-20,5.2,5.25,5.1,5.2,13513.0,0.0,1.0,5.2,5.25,5.1,5.2,13513.0
2016-10-19,5.0,5.25,4.955,5.15,35789.0,0.0,1.0,5.0,5.25,4.955,5.15,35789.0
2016-10-18,5.05,5.1,5.0,5.0,15018.0,0.0,1.0,5.05,5.1,5.0,5.0,15018.0
2016-10-17,5.05,5.05,4.95,5.0,21595.0,0.0,1.0,5.05,5.05,4.95,5.0,21595.0
2016-10-14,5.2,5.2,4.9,5.0,45611.0,0.0,1.0,5.2,5.2,4.9,5.0,45611.0
2016-10-13,5.2,5.3,5.15,5.2,37433.0,0.0,1.0,5.2,5.3,5.15,5.2,37433.0
2016-10-12,5.2,5.3,5.15,5.15,11679.0,0.0,1.0,5.2,5.3,5.15,5.15,11679.0
2016-10-11,5.2,5.25,5.15,5.2,18584.0,0.0,1.0,5.2,5.25,5.15,5.2,18584.0
