Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,46.08,46.335,44.73,45.03,2234013.0,0.0,1.0,46.08,46.335,44.73,45.03,2234013.0
2016-11-16,46.8,48.81,45.065,45.62,2058941.0,0.0,1.0,46.8,48.81,45.065,45.62,2058941.0
2016-11-15,46.06,47.42,46.06,46.96,1986597.0,0.0,1.0,46.06,47.42,46.06,46.96,1986597.0
2016-11-14,46.25,46.42,45.21,45.89,2232034.0,0.0,1.0,46.25,46.42,45.21,45.89,2232034.0
2016-11-11,45.95,46.45,45.13,46.1775,3103244.0,0.0,1.0,45.95,46.45,45.13,46.1775,3103244.0
2016-11-10,47.0,47.58,45.15,46.45,9796202.0,0.0,1.0,47.0,47.58,45.15,46.45,9796202.0
2016-11-09,45.76,49.26,45.261,48.7,2296226.0,0.0,1.0,45.76,49.26,45.261,48.7,2296226.0
2016-11-08,46.16,46.66,45.11,45.57,1308089.0,0.0,1.0,46.16,46.66,45.11,45.57,1308089.0
2016-11-07,45.72,46.98,45.05,46.61,2500526.0,0.0,1.0,45.72,46.98,45.05,46.61,2500526.0
2016-11-04,42.72,44.7,40.39,43.73,2928397.0,0.0,1.0,42.72,44.7,40.39,43.73,2928397.0
2016-11-03,42.52,43.86,42.37,42.93,2138125.0,0.0,1.0,42.52,43.86,42.37,42.93,2138125.0
2016-11-02,44.34,44.45,42.24,42.47,3293819.0,0.0,1.0,44.34,44.45,42.24,42.47,3293819.0
2016-11-01,46.65,47.29,44.69,44.92,2434652.0,0.0,1.0,46.65,47.29,44.69,44.92,2434652.0
2016-10-31,46.67,46.99,45.77,46.19,1351749.0,0.0,1.0,46.67,46.99,45.77,46.19,1351749.0
2016-10-28,46.96,48.17,46.69,46.91,1091766.0,0.0,1.0,46.96,48.17,46.69,46.91,1091766.0
2016-10-27,47.71,48.68,47.02,47.07,1100945.0,0.0,1.0,47.71,48.68,47.02,47.07,1100945.0
2016-10-26,48.61,48.86,46.72,47.37,1955099.0,0.0,1.0,48.61,48.86,46.72,47.37,1955099.0
2016-10-25,49.16,50.42,49.03,49.11,843332.0,0.0,1.0,49.16,50.42,49.03,49.11,843332.0
2016-10-24,49.46,49.73,48.12,49.3,1580110.0,0.0,1.0,49.46,49.73,48.12,49.3,1580110.0
2016-10-21,48.48,49.34,48.17,49.14,1216964.0,0.0,1.0,48.48,49.34,48.17,49.14,1216964.0
2016-10-20,49.18,49.86,48.96,49.16,1509272.0,0.0,1.0,49.18,49.86,48.96,49.16,1509272.0
2016-10-19,48.98,50.44,48.78,49.77,1540902.0,0.0,1.0,48.98,50.44,48.78,49.77,1540902.0
2016-10-18,47.93,48.76,47.48,48.66,861738.0,0.0,1.0,47.93,48.76,47.48,48.66,861738.0
2016-10-17,47.8,47.85,46.71,47.05,898020.0,0.0,1.0,47.8,47.85,46.71,47.05,898020.0
2016-10-14,49.03,49.27,47.325,47.63,1803657.0,0.0,1.0,49.03,49.27,47.325,47.63,1803657.0
2016-10-13,48.0,49.65,47.29,48.68,1616832.0,0.0,1.0,48.0,49.65,47.29,48.68,1616832.0
2016-10-12,48.7,48.89,48.16,48.39,1330401.0,0.0,1.0,48.7,48.89,48.16,48.39,1330401.0
2016-10-11,49.0,49.22,48.27,48.95,1231325.0,0.0,1.0,49.0,49.22,48.27,48.95,1231325.0
2016-10-10,48.8,49.98,48.8,49.0,1948559.0,0.0,1.0,48.8,49.98,48.8,49.0,1948559.0
2016-10-07,48.28,48.62,47.59,48.32,1136343.0,0.0,1.0,48.28,48.62,47.59,48.32,1136343.0
2016-10-06,47.04,48.81,47.04,48.1,1588168.0,0.0,1.0,47.04,48.81,47.04,48.1,1588168.0
2016-10-05,47.38,48.31,46.99,47.01,1739136.0,0.0,1.0,47.38,48.31,46.99,47.01,1739136.0
2016-10-04,47.03,47.62,46.34,46.93,1407881.0,0.0,1.0,47.03,47.62,46.34,46.93,1407881.0
2016-10-03,46.37,47.2244,45.78,47.03,1327636.0,0.0,1.0,46.37,47.2244,45.78,47.03,1327636.0
2016-09-30,45.69,46.88,45.31,46.56,1407072.0,0.0,1.0,45.69,46.88,45.31,46.56,1407072.0
2016-09-29,44.84,46.85,44.84,45.32,2245686.0,0.0,1.0,44.84,46.85,44.84,45.32,2245686.0
